	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.8407657944E-02	9.4372112204E-01	9.4376991253E-01	1.0436812547E00	1.0460309685E00	1.2795947652E00	1.0515701758E00	1.0515701758E00	1.0487511064E00	2.0326136341E00	2.0326140062E00	2.0277371268E00	2.0277910367E00	2.0354896540E00	2.0279134552E00	2.0279134552E00	2.0278503671E00	1.3100427662E00	1.3182431164E00	1.4052956682E00	1.4178523719E00	1.4106299243E00	1.9893300553E00	1.9902511783E00	1.9739423001E00	1.9763191356E00	1.9749445926E00	1.7510952667E00	1.4229113979E00	5.8841299064E-01	1.7194661749E-01	1.9453476349E00	5.8834213477E-01	1.9454415187E00	1.8849848653E00	1.9454169320E00	1.8850490247E00	1.5968631358E00	
Target (LIBOR)	5.8407657944E-02	0.0000000000E00	9.8881407703E-01	9.8886778455E-01	1.0859954587E00	1.0882738005E00	1.3144642363E00	1.0936506965E00	1.0936506965E00	1.0909054626E00	2.0332593020E00	2.0332596539E00	2.0286519228E00	2.0287028613E00	2.0359763269E00	2.0288185320E00	2.0288185320E00	2.0287589205E00	1.3427819334E00	1.3506996377E00	1.4347519950E00	1.4468223679E00	1.4398947838E00	1.9923408889E00	1.9932122405E00	1.9777825573E00	1.9800319827E00	1.9787312535E00	1.7658104227E00	1.4514419312E00	5.4427196965E-01	1.3091584477E-01	1.9507126804E00	5.4420015059E-01	1.9508015346E00	1.8934963482E00	1.9507782805E00	1.8935572485E00	1.6182248660E00	
Caplet Vola Analytic Single-Curve	9.4372112204E-01	9.8881407703E-01	0.0000000000E00	7.8534280387E-03	1.3296541777E-01	1.3603913515E-01	4.9753562251E-01	1.4369768907E-01	1.4369768907E-01	1.3996664152E-01	2.0853896593E00	2.0853940528E00	2.0719931106E00	2.0721351164E00	2.0930409938E00	2.0724629012E00	2.0724629012E00	2.0722916412E00	6.3814613188E-01	6.4864616182E-01	7.6227713889E-01	7.8120338275E-01	7.6753430489E-01	1.9717314048E00	1.9740764492E00	1.9314213684E00	1.9373126737E00	1.9337827538E00	1.4683476806E00	8.8577474905E-01	1.3209084582E00	1.0458483234E00	1.8592450195E00	1.3208623936E00	1.8594777503E00	1.7093624398E00	1.8594099790E00	1.7095183665E00	1.2060116570E00	
Caplet Vola Monte-Carlo Single-Curve	9.4376991253E-01	9.8886778455E-01	7.8534280387E-03	0.0000000000E00	1.3279584757E-01	1.3589194670E-01	4.9720524351E-01	1.4352954370E-01	1.4352954370E-01	1.3985574021E-01	2.0856819864E00	2.0856853656E00	2.0722827463E00	2.0724248735E00	2.0933349847E00	2.0727527223E00	2.0727527223E00	2.0725816180E00	6.3793760010E-01	6.4844004377E-01	7.6217692108E-01	7.8113719813E-01	7.6746819755E-01	1.9719418205E00	1.9742891363E00	1.9316167341E00	1.9375152079E00	1.9339834606E00	1.4690316037E00	8.8572162242E-01	1.3211797212E00	1.0459909484E00	1.8594556462E00	1.3211335971E00	1.8596923293E00	1.7095598161E00	1.8596239583E00	1.7097151287E00	1.2067224948E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0436812547E00	1.0859954587E00	1.3296541777E-01	1.3279584757E-01	0.0000000000E00	3.4042602206E-03	3.7778943266E-01	1.0832845321E-02	1.0832845321E-02	9.1007829956E-03	2.0962193655E00	2.0962240566E00	2.0809919897E00	2.0811527571E00	2.1048730914E00	2.0815237818E00	2.0815237818E00	2.0813295858E00	5.5798758121E-01	5.6732885143E-01	6.7038472025E-01	6.8899086236E-01	6.7462388445E-01	1.9679200848E00	1.9705509149E00	1.9225493104E00	1.9291354737E00	1.9251774575E00	1.4259342710E00	8.3204223378E-01	1.3913585601E00	1.1367638904E00	1.8417581457E00	1.3913153806E00	1.8420197045E00	1.6749035355E00	1.8419432817E00	1.6750767549E00	1.1579674494E00	
Caplet Vola Analytic Multi-Curve Ju	1.0460309685E00	1.0882738005E00	1.3603913515E-01	1.3589194670E-01	3.4042602206E-03	0.0000000000E00	3.7537188950E-01	7.7157425387E-03	7.7157425387E-03	6.5553558639E-03	2.0968489620E00	2.0968537238E00	2.0815723256E00	2.0817335256E00	2.1055276522E00	2.0821056653E00	2.0821056653E00	2.0819108204E00	5.5661834494E-01	5.6592051916E-01	6.6859770742E-01	6.8717279315E-01	6.7278587406E-01	1.9681844943E00	1.9708222982E00	1.9226825434E00	1.9292845293E00	1.9253157679E00	1.4252168167E00	8.3136422791E-01	1.3930012821E00	1.1388964686E00	1.8416847367E00	1.3929581792E00	1.8419467129E00	1.6743829261E00	1.8418701193E00	1.6745566261E00	1.1572381312E00	
Caplet Vola Analytic Multi-Curve Ho	1.2795947652E00	1.3144642363E00	4.9753562251E-01	4.9720524351E-01	3.7778943266E-01	3.7537188950E-01	0.0000000000E00	3.6847831803E-01	3.6847831803E-01	3.7272798041E-01	2.0622298765E00	2.0622331757E00	2.0411093228E00	2.0413366231E00	2.0743992014E00	2.0418543344E00	2.0418543344E00	2.0415876455E00	4.7033619089E-01	4.7178806248E-01	4.8563271635E-01	4.9946896188E-01	4.8639098172E-01	1.8848926068E00	1.8884840518E00	1.8235899628E00	1.8325483338E00	1.8272107551E00	1.2382008254E00	6.8340828248E-01	1.5475093462E00	1.3477519746E00	1.7146758404E00	1.5474732900E00	1.7150462039E00	1.4984014458E00	1.7149380075E00	1.4986148936E00	9.7235997383E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.0515701758E00	1.0936506965E00	1.4369768907E-01	1.4352954370E-01	1.0832845321E-02	7.7157425387E-03	3.6847831803E-01	0.0000000000E00	0.0000000000E00	6.5936885223E-03	2.0975037429E00	2.0975085061E00	2.0821148630E00	2.0822772193E00	2.1062434173E00	2.0826519984E00	2.0826519984E00	2.0824557612E00	5.5233806160E-01	5.6154643340E-01	6.6336966574E-01	6.8190551418E-01	6.6748733391E-01	1.9679465326E00	1.9706016514E00	1.9221379916E00	1.9287820967E00	1.9247876230E00	1.4227894856E00	8.2875659243E-01	1.3968540616E00	1.1439110061E00	1.8406177835E00	1.3968111191E00	1.8408815548E00	1.6722993797E00	1.8408044350E00	1.6724740969E00	1.1546286639E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.0515701758E00	1.0936506965E00	1.4369768907E-01	1.4352954370E-01	1.0832845321E-02	7.7157425387E-03	3.6847831803E-01	0.0000000000E00	0.0000000000E00	6.5936885223E-03	2.0975037429E00	2.0975085061E00	2.0821148630E00	2.0822772193E00	2.1062434173E00	2.0826519984E00	2.0826519984E00	2.0824557612E00	5.5233806160E-01	5.6154643340E-01	6.6336966574E-01	6.8190551418E-01	6.6748733391E-01	1.9679465326E00	1.9706016514E00	1.9221379916E00	1.9287820967E00	1.9247876230E00	1.4227894856E00	8.2875659243E-01	1.3968540616E00	1.1439110061E00	1.8406177835E00	1.3968111191E00	1.8408815548E00	1.6722993797E00	1.8408044350E00	1.6724740969E00	1.1546286639E00	
Caplet Vola Monte-Carlo Multi-Curve	1.0487511064E00	1.0909054626E00	1.3996664152E-01	1.3985574021E-01	9.1007829956E-03	6.5553558639E-03	3.7272798041E-01	6.5936885223E-03	6.5936885223E-03	0.0000000000E00	2.0972545202E00	2.0972594294E00	2.0819256873E00	2.0820873193E00	2.1059572024E00	2.0824605794E00	2.0824605794E00	2.0822645138E00	5.5449566580E-01	5.6375837567E-01	6.6604249506E-01	6.8458901949E-01	6.7019034040E-01	1.9681900720E00	1.9708354384E00	1.9225525895E00	1.9291734493E00	1.9251933970E00	1.4238150287E00	8.3106497943E-01	1.3946933853E00	1.1412331161E00	1.8413466819E00	1.3946503964E00	1.8416073546E00	1.6735424964E00	1.8415316879E00	1.6737182896E00	1.1557399698E00	
