	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7142857143E-02	1.4038945900E00	1.4051919800E00	1.4038945900E00	1.4038945900E00	?	1.4038945900E00	1.4038945900E00	1.4070993299E00	1.9899975127E00	1.9900218773E00	1.9899975127E00	1.9899975127E00	?	1.9899975127E00	1.9899975127E00	1.9900571698E00	1.6139417830E00	1.6227044771E00	1.6139417830E00	1.6209880470E00	1.6249706340E00	1.9522588449E00	1.9536437343E00	1.9522588449E00	1.9538116335E00	1.9539913746E00	1.8391023904E00	1.6762308204E00	3.7174901231E-01	6.9928936005E-01	1.8974194467E00	3.7160890521E-01	1.8974460428E00	1.8974460428E00	1.8974137668E00	1.8974137668E00	1.7512604745E00	
Target (LIBOR)	5.7142857143E-02	0.0000000000E00	1.4323115270E00	1.4335573613E00	1.4323115270E00	1.4323115270E00	?	1.4323115270E00	1.4323115270E00	1.4353888347E00	1.9905518939E00	1.9905749113E00	1.9905518939E00	1.9905518939E00	?	1.9905518939E00	1.9905518939E00	1.9906082523E00	1.6334239102E00	1.6417882326E00	1.6334239102E00	1.6401499964E00	1.6439510319E00	1.9548812143E00	1.9561908764E00	1.9548812143E00	1.9563496520E00	1.9565196250E00	1.8477008051E00	1.6928367471E00	3.7166199411E-01	7.4895031736E-01	1.9029801392E00	3.7152247574E-01	1.9030053295E00	1.9030053295E00	1.9029747595E00	1.9029747595E00	1.7642649395E00	
Caplet Vola Analytic Single-Curve	1.4038945900E00	1.4323115270E00	0.0000000000E00	7.1884148931E-03	5.0929340834E-16	5.7396558718E-16	?	0.0000000000E00	0.0000000000E00	7.6890571293E-03	1.9435484845E00	1.9436843948E00	1.9435484845E00	1.9435484845E00	?	1.9435484845E00	1.9435484845E00	1.9438812772E00	5.2462622600E-01	5.4047861463E-01	5.2462622600E-01	5.4174362936E-01	5.4500587881E-01	1.7418973567E00	1.7489969287E00	1.7418973567E00	1.7498591493E00	1.7507825399E00	1.2275851067E00	6.9695864329E-01	1.4088501199E00	9.3378642900E-01	1.4773726192E00	1.4087657691E00	1.4774935207E00	1.4774935207E00	1.4773468001E00	1.4773468001E00	9.2283879685E-01	
Caplet Vola Monte-Carlo Single-Curve	1.4051919800E00	1.4335573613E00	7.1884148931E-03	0.0000000000E00	7.1884148931E-03	7.1884148931E-03	?	7.1884148931E-03	7.1884148931E-03	9.9388558843E-03	1.9434058368E00	1.9435420857E00	1.9434058368E00	1.9434058368E00	?	1.9434058368E00	1.9434058368E00	1.9437394585E00	5.2429754520E-01	5.4017223312E-01	5.2429754520E-01	5.4143984941E-01	5.4470602471E-01	1.7412785855E00	1.7483940334E00	1.7412785855E00	1.7492581865E00	1.7501836477E00	1.2259883782E00	6.9535613459E-01	1.4101385935E00	9.3578709528E-01	1.4762084513E00	1.4100543947E00	1.4763295816E00	1.4763295816E00	1.4761825834E00	1.4761825834E00	9.2328094665E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.4038945900E00	1.4323115270E00	5.0929340834E-16	7.1884148931E-03	0.0000000000E00	1.6168044709E-16	?	5.0929340834E-16	5.0929340834E-16	7.6890571293E-03	1.9435484845E00	1.9436843948E00	1.9435484845E00	1.9435484845E00	?	1.9435484845E00	1.9435484845E00	1.9438812772E00	5.2462622600E-01	5.4047861463E-01	5.2462622600E-01	5.4174362936E-01	5.4500587881E-01	1.7418973567E00	1.7489969287E00	1.7418973567E00	1.7498591493E00	1.7507825399E00	1.2275851067E00	6.9695864329E-01	1.4088501199E00	9.3378642900E-01	1.4773726192E00	1.4087657691E00	1.4774935207E00	1.4774935207E00	1.4773468001E00	1.4773468001E00	9.2283879685E-01	
Caplet Vola Analytic Multi-Curve Ju	1.4038945900E00	1.4323115270E00	5.7396558718E-16	7.1884148931E-03	1.6168044709E-16	0.0000000000E00	?	5.7396558718E-16	5.7396558718E-16	7.6890571293E-03	1.9435484845E00	1.9436843948E00	1.9435484845E00	1.9435484845E00	?	1.9435484845E00	1.9435484845E00	1.9438812772E00	5.2462622600E-01	5.4047861463E-01	5.2462622600E-01	5.4174362936E-01	5.4500587881E-01	1.7418973567E00	1.7489969287E00	1.7418973567E00	1.7498591493E00	1.7507825399E00	1.2275851067E00	6.9695864329E-01	1.4088501199E00	9.3378642900E-01	1.4773726192E00	1.4087657691E00	1.4774935207E00	1.4774935207E00	1.4773468001E00	1.4773468001E00	9.2283879685E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.4038945900E00	1.4323115270E00	0.0000000000E00	7.1884148931E-03	5.0929340834E-16	5.7396558718E-16	?	0.0000000000E00	0.0000000000E00	7.6890571293E-03	1.9435484845E00	1.9436843948E00	1.9435484845E00	1.9435484845E00	?	1.9435484845E00	1.9435484845E00	1.9438812772E00	5.2462622600E-01	5.4047861463E-01	5.2462622600E-01	5.4174362936E-01	5.4500587881E-01	1.7418973567E00	1.7489969287E00	1.7418973567E00	1.7498591493E00	1.7507825399E00	1.2275851067E00	6.9695864329E-01	1.4088501199E00	9.3378642900E-01	1.4773726192E00	1.4087657691E00	1.4774935207E00	1.4774935207E00	1.4773468001E00	1.4773468001E00	9.2283879685E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.4038945900E00	1.4323115270E00	0.0000000000E00	7.1884148931E-03	5.0929340834E-16	5.7396558718E-16	?	0.0000000000E00	0.0000000000E00	7.6890571293E-03	1.9435484845E00	1.9436843948E00	1.9435484845E00	1.9435484845E00	?	1.9435484845E00	1.9435484845E00	1.9438812772E00	5.2462622600E-01	5.4047861463E-01	5.2462622600E-01	5.4174362936E-01	5.4500587881E-01	1.7418973567E00	1.7489969287E00	1.7418973567E00	1.7498591493E00	1.7507825399E00	1.2275851067E00	6.9695864329E-01	1.4088501199E00	9.3378642900E-01	1.4773726192E00	1.4087657691E00	1.4774935207E00	1.4774935207E00	1.4773468001E00	1.4773468001E00	9.2283879685E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.4070993299E00	1.4353888347E00	7.6890571293E-03	9.9388558843E-03	7.6890571293E-03	7.6890571293E-03	?	7.6890571293E-03	7.6890571293E-03	0.0000000000E00	1.9431950096E00	1.9433317587E00	1.9431950096E00	1.9431950096E00	?	1.9431950096E00	1.9431950096E00	1.9435298563E00	5.2076133585E-01	5.3663951825E-01	5.2076133585E-01	5.3791676021E-01	5.4117526656E-01	1.7403643604E00	1.7475032548E00	1.7403643604E00	1.7483702619E00	1.7492987813E00	1.2236311607E00	6.9429347635E-01	1.4120328201E00	9.3873054793E-01	1.4744891331E00	1.4119488452E00	1.4746106009E00	1.4746106009E00	1.4744631931E00	1.4744631931E00	9.1783510578E-01	
