Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
88.65	93.86	47.63	47.67	47.63	47.63	?	47.63	47.63	47.92	0.08	0.08	0.08	0.08	?	0.08	0.08	0.08	44.75	44.55	44.75	44.71	44.17	0.24	0.24	0.24	0.24	0.23	1.00	2.00	100.50	99.50	1.15	100.50	1.15	1.15	1.15	1.15	0.50	
91.21	96.58	46.15	46.28	46.15	46.15	?	46.15	46.15	45.88	0.12	0.12	0.12	0.12	?	0.12	0.12	0.12	36.36	36.08	36.36	36.24	35.80	0.67	0.67	0.67	0.67	0.66	1.00	6.00	101.08	98.93	1.30	101.08	1.30	1.30	1.30	1.30	1.00	
92.88	98.34	44.54	44.61	44.54	44.54	?	44.54	44.54	44.22	0.15	0.15	0.15	0.15	?	0.15	0.15	0.15	27.20	26.91	27.20	27.02	26.72	0.90	0.89	0.90	0.89	0.88	1.00	10.00	101.73	98.30	1.44	101.73	1.43	1.43	1.44	1.44	1.50	
93.78	99.30	42.83	42.78	42.83	42.83	?	42.83	42.83	42.45	0.18	0.18	0.18	0.18	?	0.18	0.18	0.18	19.49	19.25	19.49	19.29	19.11	0.92	0.91	0.92	0.91	0.90	1.00	14.00	102.47	97.60	1.57	102.47	1.57	1.57	1.57	1.57	2.00	
94.06	99.59	41.07	40.79	41.07	41.07	?	41.07	41.07	40.62	0.21	0.20	0.21	0.21	?	0.21	0.21	0.20	15.13	14.93	15.13	14.95	14.83	0.92	0.91	0.92	0.91	0.90	1.00	18.00	103.28	96.84	1.68	103.28	1.69	1.69	1.69	1.69	2.50	
93.81	99.33	39.29	39.14	39.29	39.29	?	39.29	39.29	39.03	0.23	0.23	0.23	0.23	?	0.23	0.23	0.23	12.45	12.29	12.45	12.29	12.20	0.92	0.91	0.92	0.91	0.90	1.00	22.00	104.17	96.03	1.79	104.17	1.79	1.79	1.79	1.79	3.00	
93.15	98.63	37.52	37.42	37.52	37.52	?	37.52	37.52	37.10	0.24	0.24	0.24	0.24	?	0.24	0.24	0.24	10.64	10.50	10.64	10.50	10.42	0.92	0.91	0.92	0.91	0.90	1.00	26.00	105.13	95.17	1.88	105.13	1.88	1.88	1.88	1.88	3.50	
92.15	97.57	35.80	35.69	35.80	35.80	?	35.80	35.80	35.39	0.25	0.25	0.25	0.25	?	0.25	0.25	0.25	9.34	9.21	9.34	9.21	9.15	0.92	0.91	0.92	0.91	0.90	1.00	30.00	106.15	94.29	1.94	106.15	1.94	1.94	1.94	1.94	4.00	
90.88	96.23	34.14	33.82	34.14	34.14	?	34.14	34.14	33.78	0.26	0.26	0.26	0.26	?	0.26	0.26	0.26	8.43	8.32	8.43	8.32	8.26	0.92	0.91	0.92	0.91	0.90	1.00	34.00	107.22	93.38	1.98	107.22	1.98	1.98	1.99	1.99	4.50	
89.40	94.66	32.57	32.17	32.57	32.57	?	32.57	32.57	32.28	0.26	0.26	0.26	0.26	?	0.26	0.26	0.26	35.95	35.50	35.95	35.79	35.21	0.47	0.47	0.47	0.47	0.46	3.50	2.00	108.34	92.46	2.00	108.33	2.00	2.00	2.00	2.00	5.00	
