Time	F	S	L	N	E(L/N)
0.0	0.010000000000000004	3.9999999999998363E-5	-0.05	1.005	-0.05
0.5	0.011512654447005503	4.010130685160256E-5	-0.0440022442461429	1.0107802220131266	-0.04401018885729336
1.0	0.012986160549376532	4.007187141755705E-5	-0.03813376757920591	1.0173483669767942	-0.03816168100387024
1.5	0.014410627402761434	4.017387730189153E-5	-0.032494198719936675	1.0247025642103582	-0.03255804794644528
2.0	0.0157756172338446	4.0295209531779656E-5	-0.027184087556623618	1.0328284282972682	-0.027300282055276695
2.5	0.017037953985421912	4.0293698337900794E-5	-0.02233675231624019	1.0416984345881832	-0.02252257093736989
3.0	0.018196309772338635	4.039487953999199E-5	-0.018043295348121373	1.0512688444757565	-0.018314338418036438
3.5	0.019121961482977585	4.038165371671573E-5	-0.0145226568633057	1.0614691839271437	-0.014882031417855166
4.0	0.01983906807503118	4.0348606403390305E-5	-0.011840583318565428	1.0722061174632822	-0.0122870079884259
4.5	0.02033478795413306	4.043962960161108E-5	-0.010099772416265331	1.083348868131908	-0.010614866326918992
5.0	0.020542125410105107	4.044086036257514E-5	-0.009457433729532312	1.094749485524085	-0.010028748590273239
5.5	0.020572122557103233	4.0497008866198996E-5	-0.009427380434030564	1.1063161329614555	-0.01003811970397481
6.0	0.020585218050303118	4.0479496190348686E-5	-0.00941430245350653	1.1180358239275432	-0.010048971866422675
6.5	0.020594271190496588	4.039406931344926E-5	-0.009405334740189958	1.1298940927621715	-0.010050066443181167
7.0	0.020609757450016072	4.037823897968282E-5	-0.009389864311004243	1.141892492902873	-0.010044388688318093
7.5	0.020632628296477665	4.051452495537454E-5	-0.009366857178566959	1.1540239754574135	-0.010025104638526678
8.0	0.020637128599833483	4.044129647264766E-5	-0.00936243010369387	1.1662920463500985	-0.01002382150424652
8.5	0.020629059850908734	4.049473391430969E-5	-0.009370445415176953	1.1786929633159435	-0.01003352549002763
9.0	0.020619999324725396	4.033900345860052E-5	-0.009379661671816	1.1912169754542088	-0.010037139432747654
9.5	0.020645715564777612	4.0412046520245994E-5	-0.00935387238870214	1.2038790180627763	-0.010015451750871112
10.0	0.020682529222754747	4.0463487113100285E-5	-0.009317007290132151	1.2166801027093075	-0.009982022031309042
10.5	0.02067430729844507	4.039697002535629E-5	-0.009325295731529574	1.2296189725425408	-0.009990196400315138
11.0	0.020684105813528936	4.0422959152257096E-5	-0.009315471227318805	1.242691617204657	-0.0099790989502477
11.5	0.020654767108953878	4.0397699530342255E-5	-0.009344835191515775	1.2559048967351385	-0.010007361676715986
12.0	0.02066013122529677	4.0360231584312335E-5	-0.009339508543118918	1.2692585561003151	-0.010001099104429726
12.5	0.020592216527089258	4.02209638752879E-5	-0.009407562509035452	1.282748354035673	-0.010063680793743465
13.0	0.020632171345064485	4.045755045851635E-5	-0.009367371104476996	1.2963835461738764	-0.010026475819660024
13.5	0.020670719569724542	4.0498674610190014E-5	-0.009328781755665264	1.310162278332727	-0.009986955184363051
14.0	0.020731705205791446	4.051251642076118E-5	-0.009267782277787791	1.3240848155897214	-0.009926733571341951
14.5	0.020719342910076943	4.0555832874233835E-5	-0.009280101257048819	1.3381581243155969	-0.009939781209277248
15.0	0.020691050433684386	4.051352212969372E-5	-0.009308436044185919	1.3523754655927045	-0.009964261646088277
15.5	0.020546469840342398	4.042903384384382E-5	-0.00988810112581376	1.3666438598269608	-0.010541260766925584
16.0	0.02013365085022673	4.0462019285240444E-5	-0.011545887130488026	1.380758402620916	-0.012182820513266022
16.5	0.01943794777292532	4.047284778588543E-5	-0.014206579379288794	1.3945250408508947	-0.014811270794404722
17.0	0.018532088028537234	4.042126758905128E-5	-0.017707490703873712	1.4077936024334605	-0.018284309540139702
17.5	0.01745857606379539	4.0384524655419687E-5	-0.0219160394115492	1.4203864499927321	-0.022443478997415587
18.0	0.016191258903088084	4.037120167457976E-5	-0.026768369895237332	1.4321740590834404	-0.02724296663324752
18.5	0.01478363881821704	4.019425683973047E-5	-0.03212116692494323	1.4430320690419682	-0.03253290251168588
19.0	0.013307473374725792	4.0201455921344335E-5	-0.03781232516935287	1.4528718599485477	-0.03816106374436549
19.5	0.01177566266179664	4.019799281635125E-5	-0.043739139345387014	1.4616208118946081	-0.04402192848796781
