	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	1.3228278194E-01	1.7725186495E00	1.7721619066E00	2.2482724233E00	2.2483591398E00	2.2488072929E00	1.8193241260E00	1.8193241260E00	1.8089268789E00	2.2478449341E00	2.2478442200E00	2.2488057535E00	2.2488060031E00	2.2488072929E00	2.2475759690E00	2.2475759690E00	2.2475463969E00	1.8005025432E00	1.8042072959E00	1.8364035173E00	2.0706326204E00	1.8413144111E00	2.2452523333E00	2.2452812284E00	2.2445479845E00	2.2469565027E00	2.2445980021E00	2.2388072929E00	2.2288072929E00	1.2438072929E00	1.2537824173E00	2.2342363333E00	1.2438072929E00	2.2342248078E00	2.2282082124E00	2.2342369804E00	2.2282369804E00	2.2438072929E00	
Target (LIBOR)	1.3228278194E-01	0.0000000000E00	1.9048014314E00	1.9044446885E00	2.3805552052E00	2.3806419218E00	2.3810900748E00	1.9516069079E00	1.9516069079E00	1.9412096608E00	2.3801277160E00	2.3801270020E00	2.3810885355E00	2.3810887851E00	2.3810900748E00	2.3798587509E00	2.3798587509E00	2.3798291788E00	1.9327853251E00	1.9364900778E00	1.9686862992E00	2.2029154024E00	1.9735971930E00	2.3775351153E00	2.3775640104E00	2.3768307665E00	2.3792392847E00	2.3768807840E00	2.3710900748E00	2.3610900748E00	1.3760900748E00	1.3860651992E00	2.3665191153E00	1.3760900748E00	2.3665075898E00	2.3604909943E00	2.3665197623E00	2.3605197623E00	2.3760900748E00	
Caplet Vola Analytic Single-Curve	1.7725186495E00	1.9048014314E00	0.0000000000E00	4.5669764381E-03	4.7575377379E-01	4.7584049036E-01	4.7628864345E-01	1.1504618527E-01	1.1504618527E-01	3.9751909335E-02	4.7532628460E-01	4.7532557058E-01	4.7628710409E-01	4.7628735366E-01	4.7628864345E-01	4.7505731949E-01	4.7505731949E-01	4.7502774740E-01	2.8390030900E-01	2.8607683407E-01	2.8783131068E-01	3.3160476010E-01	2.8995329284E-01	4.7273368385E-01	4.7276257899E-01	4.7202933508E-01	4.7443785326E-01	4.7207935264E-01	4.6628864345E-01	4.5628864345E-01	2.1773445235E00	5.5940331960E-01	4.6171768385E-01	2.1759085406E00	4.6170615836E-01	4.5568956291E-01	4.6171833095E-01	4.5571833095E-01	4.7128864345E-01	
Caplet Vola Monte-Carlo Single-Curve	1.7721619066E00	1.9044446885E00	4.5669764381E-03	0.0000000000E00	4.7611051665E-01	4.7619723322E-01	4.7664538630E-01	1.1302027339E-01	1.1302027339E-01	4.0922807255E-02	4.7568302745E-01	4.7568231344E-01	4.7664384694E-01	4.7664409651E-01	4.7664538630E-01	4.7541406235E-01	4.7541406235E-01	4.7538449026E-01	2.8187439712E-01	2.8405092219E-01	2.8580539880E-01	3.2828184830E-01	2.8792738096E-01	4.7309042671E-01	4.7311932184E-01	4.7238607794E-01	4.7479459612E-01	4.7243609550E-01	4.6664538630E-01	4.5664538630E-01	2.1773734644E00	5.6397029604E-01	4.6207442671E-01	2.1759374815E00	4.6206290122E-01	4.5604630576E-01	4.6207507380E-01	4.5607507380E-01	4.7164538630E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	2.2482724233E00	2.3805552052E00	4.7575377379E-01	4.7611051665E-01	0.0000000000E00	6.8967507353E-03	1.2174352352E-01	4.2894829725E-01	4.2894829725E-01	4.3934554440E-01	1.6708695027E-01	1.6708590382E-01	1.6866142614E-01	1.6879137252E-01	1.7052562914E-01	1.6795404222E-01	1.6795404222E-01	1.6670558564E-01	4.4776988006E-01	4.4406512734E-01	4.1186890596E-01	1.7763980283E-01	4.0695801218E-01	1.6288416022E-01	1.6303336825E-01	1.6196317964E-01	1.6560496870E-01	1.6217512750E-01	1.5851747548E-01	1.7148252452E-01	2.2491012758E00	9.9449000597E-01	1.3367020197E-01	2.2476652929E00	1.3363149533E-01	1.2758467176E-01	1.3357446181E-01	1.2757446181E-01	1.2508987936E-01	
Caplet Vola Analytic Multi-Curve Ju	2.2483591398E00	2.3806419218E00	4.7584049036E-01	4.7619723322E-01	6.8967507353E-03	0.0000000000E00	1.1544644842E-01	4.2903501382E-01	4.2903501382E-01	4.3943226097E-01	1.6022673986E-01	1.6022569342E-01	1.6180121573E-01	1.6193116212E-01	1.6366541873E-01	1.6109383182E-01	1.6109383182E-01	1.5984537524E-01	4.4785659663E-01	4.4415184391E-01	4.1195562253E-01	1.7772651940E-01	4.0704472875E-01	1.5624915099E-01	1.5639835902E-01	1.5532817041E-01	1.5896995947E-01	1.5554011827E-01	1.5203492059E-01	1.7796507941E-01	2.2528110651E00	9.9457672254E-01	1.2710155969E-01	2.2513750822E00	1.2710002892E-01	1.2105480850E-01	1.2703492059E-01	1.2103492059E-01	1.1874739573E-01	
Caplet Vola Analytic Multi-Curve Ho	2.2488072929E00	2.3810900748E00	4.7628864345E-01	4.7664538630E-01	1.2174352352E-01	1.1544644842E-01	0.0000000000E00	4.2948316690E-01	4.2948316690E-01	4.3988041405E-01	7.4017010411E-02	7.3979644153E-02	7.5473256848E-02	7.5614435619E-02	7.7328981418E-02	7.4891771952E-02	7.4891771952E-02	7.3656399572E-02	4.4830474971E-01	4.4459999700E-01	4.1240377561E-01	1.7817467248E-01	4.0749288183E-01	6.4439839346E-02	6.4621573918E-02	6.3586114831E-02	6.7046929414E-02	6.3910594683E-02	1.2069427554E-01	2.8283174953E-01	2.3033302090E00	9.9502487562E-01	3.5111127485E-02	2.3018942261E00	3.5420084725E-02	2.9378267017E-02	3.5301660361E-02	2.9301660361E-02	1.5569427554E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.8193241260E00	1.9516069079E00	1.1504618527E-01	1.1302027339E-01	4.2894829725E-01	4.2903501382E-01	4.2948316690E-01	0.0000000000E00	0.0000000000E00	8.4652453681E-02	4.2852080805E-01	4.2852009403E-01	4.2948162754E-01	4.2948187711E-01	4.2948316690E-01	4.2825184294E-01	4.2825184294E-01	4.2822227086E-01	1.6885412373E-01	1.7103064880E-01	1.7278512541E-01	2.5130849442E-01	1.7490710757E-01	4.2592820731E-01	4.2595710244E-01	4.2522385853E-01	4.2763237671E-01	4.2527387609E-01	4.1948316690E-01	4.0948316690E-01	2.2268133495E00	6.6783601776E-01	4.1491220731E-01	2.2253773666E00	4.1490068181E-01	4.0888408636E-01	4.1491285440E-01	4.0891285440E-01	4.2448316690E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.8193241260E00	1.9516069079E00	1.1504618527E-01	1.1302027339E-01	4.2894829725E-01	4.2903501382E-01	4.2948316690E-01	0.0000000000E00	0.0000000000E00	8.4652453681E-02	4.2852080805E-01	4.2852009403E-01	4.2948162754E-01	4.2948187711E-01	4.2948316690E-01	4.2825184294E-01	4.2825184294E-01	4.2822227086E-01	1.6885412373E-01	1.7103064880E-01	1.7278512541E-01	2.5130849442E-01	1.7490710757E-01	4.2592820731E-01	4.2595710244E-01	4.2522385853E-01	4.2763237671E-01	4.2527387609E-01	4.1948316690E-01	4.0948316690E-01	2.2268133495E00	6.6783601776E-01	4.1491220731E-01	2.2253773666E00	4.1490068181E-01	4.0888408636E-01	4.1491285440E-01	4.0891285440E-01	4.2448316690E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.8089268789E00	1.9412096608E00	3.9751909335E-02	4.0922807255E-02	4.3934554440E-01	4.3943226097E-01	4.3988041405E-01	8.4652453681E-02	8.4652453681E-02	0.0000000000E00	4.3891805520E-01	4.3891734119E-01	4.3987887469E-01	4.3987912426E-01	4.3988041405E-01	4.3864909009E-01	4.3864909009E-01	4.3861951801E-01	2.5350657741E-01	2.5568310248E-01	2.5743757909E-01	2.9736449616E-01	2.5955956126E-01	4.3632545446E-01	4.3635434959E-01	4.3562110568E-01	4.3802962386E-01	4.3567112324E-01	4.2988041405E-01	4.1988041405E-01	2.1879267944E00	5.8611028710E-01	4.2530945446E-01	2.1864908114E00	4.2529792896E-01	4.1928133351E-01	4.2531010155E-01	4.1931010155E-01	4.3488041405E-01	
