	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.8712230371E-02	1.2440012397E00	1.2446764596E00	1.3798251069E00	1.3851489921E00	1.4547762046E00	1.3159842924E00	1.3159842924E00	1.2620815705E00	1.5043272548E00	1.5043364869E00	1.5056263699E00	1.5057265793E00	1.5070016161E00	1.5049334471E00	1.5049334471E00	1.5039885353E00	1.3470047530E00	1.3510422852E00	1.3564238093E00	1.4137430380E00	1.3607259285E00	1.4898907861E00	1.4904254300E00	1.4881984047E00	1.4951641603E00	1.4888608510E00	1.4449027881E00	1.3752874035E00	5.6339902396E-01	7.8139367738E-01	1.4684143327E00	5.6313931398E-01	1.4684248949E00	1.4623795436E00	1.4684120770E00	1.4624120770E00	1.4081079163E00	
Target (LIBOR)	8.8712230371E-02	0.0000000000E00	1.3327134700E00	1.3333886900E00	1.4685373373E00	1.4738612224E00	1.5434884350E00	1.4046965228E00	1.4046965228E00	1.3507938009E00	1.5930394851E00	1.5930487173E00	1.5943386003E00	1.5944388097E00	1.5957138465E00	1.5936456775E00	1.5936456775E00	1.5927007657E00	1.4357169834E00	1.4397545156E00	1.4451360397E00	1.5024552684E00	1.4494381588E00	1.5786030165E00	1.5791376603E00	1.5769106351E00	1.5838763907E00	1.5775730813E00	1.5336150185E00	1.4639996339E00	5.7975262696E-01	8.7010590775E-01	1.5571265631E00	5.7948763176E-01	1.5571371253E00	1.5510917740E00	1.5571243074E00	1.5511243074E00	1.4968201467E00	
Caplet Vola Analytic Single-Curve	1.2440012397E00	1.3327134700E00	0.0000000000E00	1.8960814873E-03	1.3582386729E-01	1.4114775242E-01	2.1077496496E-01	7.1983052782E-02	7.1983052782E-02	1.8080330852E-02	2.6032601510E-01	2.6033524724E-01	2.6162513024E-01	2.6172533967E-01	2.6300037643E-01	2.6093220743E-01	2.6093220743E-01	2.5998729566E-01	1.1153811679E-01	1.1381731270E-01	1.1664214070E-01	1.6974179837E-01	1.1917823465E-01	2.4588954646E-01	2.4642419032E-01	2.4419716504E-01	2.5116292067E-01	2.4485961131E-01	2.0090154845E-01	1.3832091773E-01	1.2588574761E00	4.6260756227E-01	2.2441309309E-01	1.2586025166E00	2.2442365527E-01	2.1837830397E-01	2.2441083739E-01	2.1841083739E-01	1.6800588371E-01	
Caplet Vola Monte-Carlo Single-Curve	1.2446764596E00	1.3333886900E00	1.8960814873E-03	0.0000000000E00	1.3514864734E-01	1.4047253248E-01	2.1009974501E-01	7.1307832836E-02	7.1307832836E-02	1.7405110907E-02	2.5965079516E-01	2.5966002730E-01	2.6094991029E-01	2.6105011972E-01	2.6232515648E-01	2.6025698748E-01	2.6025698748E-01	2.5931207571E-01	1.1129122956E-01	1.1357042546E-01	1.1633464506E-01	1.6906657843E-01	1.1884874293E-01	2.4521432651E-01	2.4574897037E-01	2.4352194510E-01	2.5048770072E-01	2.4418439136E-01	2.0022632851E-01	1.3776811893E-01	1.2595326961E00	4.6328278222E-01	2.2373787314E-01	1.2592777365E00	2.2374843532E-01	2.1770308403E-01	2.2373561744E-01	2.1773561744E-01	1.6777466970E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.3798251069E00	1.4685373373E00	1.3582386729E-01	1.3514864734E-01	0.0000000000E00	5.3238851361E-03	7.4951097669E-02	6.3840814506E-02	6.3840814506E-02	1.1774353644E-01	1.2452407034E-01	1.2453333910E-01	1.2580126295E-01	1.2590147238E-01	1.2717650914E-01	1.2514405574E-01	1.2514405574E-01	1.2420066049E-01	7.9070474810E-02	7.7625768653E-02	7.3919224738E-02	6.0215084933E-02	7.2577242187E-02	1.1022055558E-01	1.1075371764E-01	1.0856429461E-01	1.1540653648E-01	1.0922417587E-01	7.7628997240E-02	6.7421878283E-02	1.3946813434E00	5.9843142956E-01	8.9309025283E-02	1.3944263839E00	8.9320178514E-02	8.3583370579E-02	8.9306736402E-02	8.3614428710E-02	6.5713180023E-02	
Caplet Vola Analytic Multi-Curve Ju	1.3851489921E00	1.4738612224E00	1.4114775242E-01	1.4047253248E-01	5.3238851361E-03	0.0000000000E00	6.9627212533E-02	6.9164699642E-02	6.9164699642E-02	1.2306742157E-01	1.1920463220E-01	1.1921390096E-01	1.2047737781E-01	1.2057758724E-01	1.2185262400E-01	1.1982461761E-01	1.1982461761E-01	1.1888122236E-01	7.9147073599E-02	7.7564681459E-02	7.3763726839E-02	5.6842721562E-02	7.2302224064E-02	1.0490111744E-01	1.0543427950E-01	1.0324485648E-01	1.1008709835E-01	1.0390473774E-01	7.3908493457E-02	6.7989532147E-02	1.4000052285E00	6.0375531469E-01	8.3989587151E-02	1.3997502690E00	8.4000740381E-02	7.8317029020E-02	8.3987298270E-02	7.8347689213E-02	6.3626793369E-02	
Caplet Vola Analytic Multi-Curve Ho	1.4547762046E00	1.5434884350E00	2.1077496496E-01	2.1009974501E-01	7.4951097669E-02	6.9627212533E-02	0.0000000000E00	1.3879191217E-01	1.3879191217E-01	1.9269463410E-01	4.9796573269E-02	4.9806163932E-02	5.0873640635E-02	5.0971632330E-02	5.2225411471E-02	5.0423973022E-02	5.0423973022E-02	4.9512504831E-02	1.0787723754E-01	1.0396972454E-01	9.8639395785E-02	4.9535096549E-02	9.4660355832E-02	3.7065387415E-02	3.7563967704E-02	3.5718575418E-02	4.1504716237E-02	3.6320173930E-02	3.7071402844E-02	9.2458924912E-02	1.4696324411E00	6.7338252723E-01	1.8163310551E-02	1.4693774815E00	1.8168247727E-02	1.4994392101E-02	1.8161560448E-02	1.5006360816E-02	5.1534185671E-02	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.3159842924E00	1.4046965228E00	7.1983052782E-02	7.1307832836E-02	6.3840814506E-02	6.9164699642E-02	1.3879191217E-01	0.0000000000E00	0.0000000000E00	5.3902721929E-02	1.8834296232E-01	1.8835219446E-01	1.8964207745E-01	1.8974228689E-01	1.9101732365E-01	1.8894915464E-01	1.8894915464E-01	1.8800424288E-01	7.1613383068E-02	7.2054707001E-02	7.2314946066E-02	9.8695062612E-02	7.3020913413E-02	1.7390649367E-01	1.7444113754E-01	1.7221411226E-01	1.7917986788E-01	1.7287655853E-01	1.3543461785E-01	9.6291195077E-02	1.3308405289E00	5.3459061505E-01	1.5243004030E-01	1.3305855694E00	1.5244060248E-01	1.4639525119E-01	1.5242778461E-01	1.4642778461E-01	1.1696270162E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.3159842924E00	1.4046965228E00	7.1983052782E-02	7.1307832836E-02	6.3840814506E-02	6.9164699642E-02	1.3879191217E-01	0.0000000000E00	0.0000000000E00	5.3902721929E-02	1.8834296232E-01	1.8835219446E-01	1.8964207745E-01	1.8974228689E-01	1.9101732365E-01	1.8894915464E-01	1.8894915464E-01	1.8800424288E-01	7.1613383068E-02	7.2054707001E-02	7.2314946066E-02	9.8695062612E-02	7.3020913413E-02	1.7390649367E-01	1.7444113754E-01	1.7221411226E-01	1.7917986788E-01	1.7287655853E-01	1.3543461785E-01	9.6291195077E-02	1.3308405289E00	5.3459061505E-01	1.5243004030E-01	1.3305855694E00	1.5244060248E-01	1.4639525119E-01	1.5242778461E-01	1.4642778461E-01	1.1696270162E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.2620815705E00	1.3507938009E00	1.8080330852E-02	1.7405110907E-02	1.1774353644E-01	1.2306742157E-01	1.9269463410E-01	5.3902721929E-02	5.3902721929E-02	0.0000000000E00	2.4224568425E-01	2.4225491639E-01	2.4354479938E-01	2.4364500882E-01	2.4492004557E-01	2.4285187657E-01	2.4285187657E-01	2.4190696481E-01	9.8181021746E-02	1.0027023034E-01	1.0279242003E-01	1.5166146752E-01	1.0515758286E-01	2.2780921560E-01	2.2834385947E-01	2.2611683419E-01	2.3308258981E-01	2.2677928045E-01	1.8324400250E-01	1.2503461019E-01	1.2769378070E00	4.8068789312E-01	2.0633276223E-01	1.2766828474E00	2.0634332441E-01	2.0029797312E-01	2.0633050654E-01	2.0033050654E-01	1.5265008522E-01	
Caplet Value Analytic Single-Curve	1.5043272548E00	1.5930394851E00	2.6032601510E-01	2.5965079516E-01	1.2452407034E-01	1.1920463220E-01	4.9796573269E-02	1.8834296232E-01	1.8834296232E-01	2.4224568425E-01	0.0000000000E00	2.9937209565E-05	1.2991151349E-03	1.3993245673E-03	2.6743613262E-03	6.2830526704E-04	6.2830526704E-04	3.3871944130E-04	1.5732250172E-01	1.5328496951E-01	1.4790344545E-01	9.0584216729E-02	1.4360132630E-01	1.4436468645E-02	1.3901824783E-02	1.6128850059E-02	9.1630944355E-03	1.5466403794E-02	5.9424466648E-02	1.2903985126E-01	1.5191834912E00	7.2293357737E-01	3.5912922015E-02	1.5189285317E00	3.5902359835E-02	4.1947711127E-02	3.5915177711E-02	4.1915177711E-02	9.6219338443E-02	
Caplet Value Monte-Carlo Single-Curve	1.5043364869E00	1.5930487173E00	2.6033524724E-01	2.5966002730E-01	1.2453333910E-01	1.1921390096E-01	4.9806163932E-02	1.8835219446E-01	1.8835219446E-01	2.4225491639E-01	2.9937209565E-05	0.0000000000E00	1.2898829917E-03	1.3900924240E-03	2.6651291829E-03	6.1882180606E-04	6.1882180606E-04	3.4795158456E-04	1.5733173386E-01	1.5329420166E-01	1.4791267759E-01	9.0593448872E-02	1.4361055844E-01	1.4445700788E-02	1.3911056926E-02	1.6138082202E-02	9.1723265787E-03	1.5475635937E-02	5.9433698791E-02	1.2904908341E-01	1.5191927234E00	7.2294280952E-01	3.5922154158E-02	1.5189377638E00	3.5911591978E-02	4.1956943270E-02	3.5924409855E-02	4.1924409855E-02	9.6228570586E-02	
Caplet Value Analytic Multi-Curve Fenton-Wilkinson	1.5056263699E00	1.5943386003E00	2.6162513024E-01	2.6094991029E-01	1.2580126295E-01	1.2047737781E-01	5.0873640635E-02	1.8964207745E-01	1.8964207745E-01	2.4354479938E-01	1.2991151349E-03	1.2898829917E-03	0.0000000000E00	1.0020943233E-04	1.3752461912E-03	6.9292280940E-04	6.9292280940E-04	1.6378345762E-03	1.5862161685E-01	1.5458408465E-01	1.4920256058E-01	9.1883331864E-02	1.4490044143E-01	1.5735583780E-02	1.5200939918E-02	1.7427965194E-02	1.0462209570E-02	1.6765518929E-02	6.0723581783E-02	1.3033896640E-01	1.5204826063E00	7.2423269251E-01	3.7212037150E-02	1.5202276468E00	3.7201474970E-02	4.3246826262E-02	3.7214292846E-02	4.3214292846E-02	9.7518453578E-02	
Caplet Value Analytic Multi-Curve Ju	1.5057265793E00	1.5944388097E00	2.6172533967E-01	2.6105011972E-01	1.2590147238E-01	1.2057758724E-01	5.0971632330E-02	1.8974228689E-01	1.8974228689E-01	2.4364500882E-01	1.3993245673E-03	1.3900924240E-03	1.0020943233E-04	0.0000000000E00	1.2750367589E-03	7.9313224173E-04	7.9313224173E-04	1.7380440086E-03	1.5872182629E-01	1.5468429408E-01	1.4930277002E-01	9.1983541296E-02	1.4500065086E-01	1.5835793212E-02	1.5301149350E-02	1.7528174626E-02	1.0562419003E-02	1.6865728361E-02	6.0823791215E-02	1.3043917583E-01	1.5205828158E00	7.2433290194E-01	3.7312246582E-02	1.5203278563E00	3.7301684402E-02	4.3347035694E-02	3.7314502279E-02	4.3314502279E-02	9.7618663010E-02	
Caplet Value Analytic Multi-Curve Ho	1.5070016161E00	1.5957138465E00	2.6300037643E-01	2.6232515648E-01	1.2717650914E-01	1.2185262400E-01	5.2225411471E-02	1.9101732365E-01	1.9101732365E-01	2.4492004557E-01	2.6743613262E-03	2.6651291829E-03	1.3752461912E-03	1.2750367589E-03	0.0000000000E00	2.0681690006E-03	2.0681690006E-03	3.0130807675E-03	1.5999686304E-01	1.5595933084E-01	1.5057780678E-01	9.3258578055E-02	1.4627568762E-01	1.7110829971E-02	1.6576186109E-02	1.8803211385E-02	1.1837455762E-02	1.8140765120E-02	6.2098827974E-02	1.3171421259E-01	1.5218578525E00	7.2560793870E-01	3.8587283341E-02	1.5216028930E00	3.8576721161E-02	4.4622072453E-02	3.8589539038E-02	4.4589539038E-02	9.8893699769E-02	
Caplet Value Analytic Multi-Curve Drift-Freeze	1.5049334471E00	1.5936456775E00	2.6093220743E-01	2.6025698748E-01	1.2514405574E-01	1.1982461761E-01	5.0423973022E-02	1.8894915464E-01	1.8894915464E-01	2.4285187657E-01	6.2830526704E-04	6.1882180606E-04	6.9292280940E-04	7.9313224173E-04	2.0681690006E-03	0.0000000000E00	0.0000000000E00	9.4491176685E-04	1.5792869404E-01	1.5389116184E-01	1.4850963778E-01	9.1190409054E-02	1.4420751862E-01	1.5042660970E-02	1.4508017108E-02	1.6735042385E-02	9.7692867610E-03	1.6072596119E-02	6.0030658973E-02	1.2964604359E-01	1.5197896835E00	7.2353976970E-01	3.6519114340E-02	1.5195347240E00	3.6508552161E-02	4.2553903452E-02	3.6521370037E-02	4.2521370037E-02	9.6825530768E-02	
