	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.8712230371E-02	1.2440012397E00	1.2446764596E00	1.2596911248E00	1.2606136360E00	?	1.2609030595E00	1.2608516331E00	1.2619920438E00	1.5043272548E00	1.5043364869E00	1.5039850141E00	1.5040012763E00	?	1.5040062185E00	1.5040052914E00	1.5040248937E00	1.3470047530E00	1.3510422852E00	1.3582236545E00	1.3616777223E00	1.3625132037E00	1.4898907861E00	1.4904254300E00	1.4886602426E00	1.4893479120E00	1.4893147481E00	1.4449027881E00	1.3752874035E00	5.6339902396E-01	7.8139367738E-01	1.4684143327E00	5.6313931398E-01	1.4684248949E00	1.4623896586E00	1.4684120770E00	1.4624120770E00	1.4081079163E00	
Target (LIBOR)	8.8712230371E-02	0.0000000000E00	1.3327134700E00	1.3333886900E00	1.3484033552E00	1.3493258664E00	?	1.3496152899E00	1.3495638635E00	1.3507042742E00	1.5930394851E00	1.5930487173E00	1.5926972445E00	1.5927135067E00	?	1.5927184488E00	1.5927175218E00	1.5927371240E00	1.4357169834E00	1.4397545156E00	1.4469358848E00	1.4503899527E00	1.4512254341E00	1.5786030165E00	1.5791376603E00	1.5773724729E00	1.5780601424E00	1.5780269785E00	1.5336150185E00	1.4639996339E00	5.7975262696E-01	8.7010590775E-01	1.5571265631E00	5.7948763176E-01	1.5571371253E00	1.5511018890E00	1.5571243074E00	1.5511243074E00	1.4968201467E00	
Caplet Vola Analytic Single-Curve	1.2440012397E00	1.3327134700E00	0.0000000000E00	1.8960814873E-03	1.5689885135E-02	1.6612396355E-02	?	1.6901819860E-02	1.6850393456E-02	1.7990804127E-02	2.6032601510E-01	2.6033524724E-01	2.5998377445E-01	2.6000003668E-01	?	2.6000497881E-01	2.6000405178E-01	2.6002365400E-01	1.1153811679E-01	1.1381731270E-01	1.1827126691E-01	1.2105946082E-01	1.2071204480E-01	2.4588954646E-01	2.4642419032E-01	2.4465900290E-01	2.4534667234E-01	2.4531350846E-01	2.0090154845E-01	1.3832091773E-01	1.2588574761E00	4.6260756227E-01	2.2441309309E-01	1.2586025166E00	2.2442365527E-01	2.1838841893E-01	2.2441083739E-01	2.1841083739E-01	1.6800588371E-01	
Caplet Vola Monte-Carlo Single-Curve	1.2446764596E00	1.3333886900E00	1.8960814873E-03	0.0000000000E00	1.5014665190E-02	1.5937176410E-02	?	1.6226599914E-02	1.6175173511E-02	1.7315584182E-02	2.5965079516E-01	2.5966002730E-01	2.5930855450E-01	2.5932481673E-01	?	2.5932975887E-01	2.5932883183E-01	2.5934843405E-01	1.1129122956E-01	1.1357042546E-01	1.1794335722E-01	1.2072996910E-01	1.2038255307E-01	2.4521432651E-01	2.4574897037E-01	2.4398378296E-01	2.4467145240E-01	2.4463828852E-01	2.0022632851E-01	1.3776811893E-01	1.2595326961E00	4.6328278222E-01	2.2373787314E-01	1.2592777365E00	2.2374843532E-01	2.1771319898E-01	2.2373561744E-01	2.1773561744E-01	1.6777466970E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.2596911248E00	1.3484033552E00	1.5689885135E-02	1.5014665190E-02	0.0000000000E00	9.2251121948E-04	?	1.2119666196E-03	1.1607818200E-03	2.5132948507E-03	2.4463612997E-01	2.4464536211E-01	2.4429388931E-01	2.4431015154E-01	?	2.4431509368E-01	2.4431416664E-01	2.4433376886E-01	1.0000631810E-01	1.0209552669E-01	1.0615428850E-01	1.0884615235E-01	1.0841020666E-01	2.3019966132E-01	2.3073430518E-01	2.2896911777E-01	2.2965678721E-01	2.2962362333E-01	1.8552247298E-01	1.2662022335E-01	1.2745473612E00	4.7829744741E-01	2.0872320795E-01	1.2742924017E00	2.0873377013E-01	2.0269853379E-01	2.0872095225E-01	2.0272095225E-01	1.5485518070E-01	
Caplet Vola Analytic Multi-Curve Ju	1.2606136360E00	1.3493258664E00	1.6612396355E-02	1.5937176410E-02	9.2251121948E-04	0.0000000000E00	?	2.9371651849E-04	2.4253171892E-04	1.7611934307E-03	2.4371361875E-01	2.4372285089E-01	2.4337137809E-01	2.4338764032E-01	?	2.4339258246E-01	2.4339165542E-01	2.4341125764E-01	9.9364601119E-02	1.0145380971E-01	1.0550831040E-01	1.0820017424E-01	1.0776422856E-01	2.2927715010E-01	2.2981179396E-01	2.2804660655E-01	2.2873427599E-01	2.2870111211E-01	1.8467243131E-01	1.2600353491E-01	1.2754698725E00	4.7921995863E-01	2.0780069673E-01	1.2752149129E00	2.0781125891E-01	2.0177602257E-01	2.0779844103E-01	2.0179844103E-01	1.5415257163E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.2609030595E00	1.3496152899E00	1.6901819860E-02	1.6226599914E-02	1.2119666196E-03	2.9371651849E-04	?	0.0000000000E00	5.1426403408E-05	1.5641256537E-03	2.4342419524E-01	2.4343342738E-01	2.4308195459E-01	2.4309821682E-01	?	2.4310315895E-01	2.4310223192E-01	2.4312183414E-01	9.9154100222E-02	1.0124330881E-01	1.0530210251E-01	1.0799396636E-01	1.0755802068E-01	2.2898772660E-01	2.2952237046E-01	2.2775718304E-01	2.2844485248E-01	2.2841168860E-01	1.8440555466E-01	1.2580481945E-01	1.2757592960E00	4.7950938213E-01	2.0751127323E-01	1.2755043364E00	2.0752183541E-01	2.0148659907E-01	2.0750901753E-01	2.0150901753E-01	1.5392981317E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.2608516331E00	1.3495638635E00	1.6850393456E-02	1.6175173511E-02	1.1607818200E-03	2.4253171892E-04	?	5.1426403408E-05	0.0000000000E00	1.5951199967E-03	2.4347562164E-01	2.4348485379E-01	2.4313338099E-01	2.4314964322E-01	?	2.4315458536E-01	2.4315365832E-01	2.4317326054E-01	9.9189615719E-02	1.0127882431E-01	1.0533785962E-01	1.0802972346E-01	1.0759377778E-01	2.2903915300E-01	2.2957379686E-01	2.2780860945E-01	2.2849627889E-01	2.2846311501E-01	1.8445303234E-01	1.2583861743E-01	1.2757078696E00	4.7945795573E-01	2.0756269963E-01	1.2754529100E00	2.0757326181E-01	2.0153802547E-01	2.0756044393E-01	2.0156044393E-01	1.5396891665E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.2619920438E00	1.3507042742E00	1.7990804127E-02	1.7315584182E-02	2.5132948507E-03	1.7611934307E-03	?	1.5641256537E-03	1.5951199967E-03	0.0000000000E00	2.4233521097E-01	2.4234444312E-01	2.4199297032E-01	2.4200923255E-01	?	2.4201417468E-01	2.4201324765E-01	2.4203284987E-01	9.8205915387E-02	1.0029512398E-01	1.0455106643E-01	1.0724293028E-01	1.0680698459E-01	2.2789874233E-01	2.2843338619E-01	2.2666819877E-01	2.2735586822E-01	2.2732270434E-01	1.8334940058E-01	1.2518930583E-01	1.2768482802E00	4.8059836640E-01	2.0642228896E-01	1.2765933207E00	2.0643285114E-01	2.0039761480E-01	2.0642003326E-01	2.0042003326E-01	1.5278785051E-01	
