	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	4.3501934934E-02	4.6602138159E-01	4.6600831305E-01	3.1639045007E-01	?	3.1665109337E-01	4.6633700216E-01	4.6633700216E-01	4.6774161289E-01	7.3745143169E-01	7.3745107018E-01	7.1896091829E-01	?	7.1898647891E-01	7.3744923533E-01	7.3744923533E-01	7.3745913680E-01	5.8039627088E-01	5.8254601665E-01	5.8189740811E-01	5.8489903272E-01	5.8500383494E-01	7.2969556602E-01	7.2986141664E-01	7.2976463921E-01	7.3005639911E-01	7.2999752442E-01	6.8881403242E-01	6.0924728847E-01	5.6971655991E-01	1.3456347660E-01	7.2158378095E-01	5.6962922356E-01	7.2160626297E-01	7.9029957949E-01	7.2159934750E-01	7.9029321232E-01	6.5752318686E-01	
Target (LIBOR)	4.3501934934E-02	0.0000000000E00	5.0933077162E-01	5.0931949829E-01	3.4618042671E-01	?	3.4649495862E-01	5.0964730475E-01	5.0964730475E-01	5.1105521541E-01	7.8095335584E-01	7.8095299431E-01	7.6246215302E-01	?	7.6248771588E-01	7.8095115947E-01	7.8095115947E-01	7.8096106092E-01	6.2347524593E-01	6.2563173726E-01	6.2497574645E-01	6.2797542991E-01	6.2809744264E-01	7.7319688151E-01	7.7336276216E-01	7.7326593302E-01	7.7355776893E-01	7.7349886417E-01	7.3217878221E-01	6.5234981453E-01	5.3856017435E-01	1.0523914179E-01	7.6508490738E-01	5.3847178252E-01	7.6510738061E-01	8.3378625140E-01	7.6510047067E-01	8.3377986391E-01	7.0075483205E-01	
Caplet Vola Analytic Single-Curve	4.6602138159E-01	5.0933077162E-01	0.0000000000E00	2.0738335430E-03	3.2684009172E-01	?	3.2625368083E-01	3.3627223690E-04	3.3627223690E-04	2.4319270902E-03	2.7757271366E-01	2.7757278903E-01	2.5912004283E-01	?	2.5914487450E-01	2.7757059519E-01	2.7757059519E-01	2.7758040635E-01	1.3613584265E-01	1.3764595041E-01	1.3797881640E-01	1.4034456778E-01	1.3995933141E-01	2.7032191447E-01	2.7047279355E-01	2.7040179200E-01	2.7065817018E-01	2.7061189496E-01	2.4030376475E-01	1.7579404083E-01	9.7551697408E-01	5.7823150450E-01	2.6256632044E-01	9.7544090032E-01	2.6258739041E-01	3.3086192238E-01	2.6257992687E-01	3.3085578406E-01	2.1955844822E-01	
Caplet Vola Monte-Carlo Single-Curve	4.6600831305E-01	5.0931949829E-01	2.0738335430E-03	0.0000000000E00	3.2683976587E-01	?	3.2625320893E-01	2.0910418253E-03	2.0910418253E-03	3.2047856308E-03	2.7752949758E-01	2.7752943775E-01	2.5908101352E-01	?	2.5910583564E-01	2.7752737925E-01	2.7752737925E-01	2.7753720319E-01	1.3606623709E-01	1.3757667815E-01	1.3790444179E-01	1.4027914764E-01	1.3989231350E-01	2.7027311499E-01	2.7042419466E-01	2.7035276443E-01	2.7060971163E-01	2.7056329482E-01	2.4035784819E-01	1.7574862094E-01	9.7566528442E-01	5.7826917248E-01	2.6252284762E-01	9.7558915986E-01	2.6254446506E-01	3.3079806683E-01	2.6253691977E-01	3.3079186337E-01	2.1964034269E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	3.1639045007E-01	3.4618042671E-01	3.2684009172E-01	3.2683976587E-01	0.0000000000E00	?	6.3647319702E-04	3.2714651858E-01	3.2714651858E-01	3.2806887799E-01	5.8450854344E-01	5.8450869991E-01	5.6680945064E-01	?	5.6683230721E-01	5.8450665188E-01	5.8450665188E-01	5.8451483528E-01	4.2388537911E-01	4.2566936788E-01	4.2568665859E-01	4.2781354860E-01	4.2841296231E-01	5.7825168754E-01	5.7837858137E-01	5.7832428970E-01	5.7853379878E-01	5.7850056838E-01	5.5028757922E-01	4.8855126604E-01	8.1982514267E-01	4.1327991472E-01	5.7129152356E-01	8.1974586384E-01	5.7130813906E-01	6.3624775333E-01	5.7130231591E-01	6.3624243859E-01	5.3054059011E-01	
Caplet Vola Analytic Multi-Curve Ju	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Ho	3.1665109337E-01	3.4649495862E-01	3.2625368083E-01	3.2625320893E-01	6.3647319702E-04	?	0.0000000000E00	3.2656000317E-01	3.2656000317E-01	3.2748143469E-01	5.8388250235E-01	5.8388265849E-01	5.6618471285E-01	?	5.6620756664E-01	5.8388061098E-01	5.8388061098E-01	5.8388879366E-01	4.2327456827E-01	4.2505794797E-01	4.2507589434E-01	4.2720211191E-01	4.2780144798E-01	5.7762642576E-01	5.7775329968E-01	5.7769902425E-01	5.7790850165E-01	5.7787527971E-01	5.4967507508E-01	4.8795705679E-01	8.2020987132E-01	4.1362324662E-01	5.7066692172E-01	8.2013059482E-01	5.7068353684E-01	6.3561861215E-01	5.7067771399E-01	6.3561329809E-01	5.2993841322E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	4.6633700216E-01	5.0964730475E-01	3.3627223690E-04	2.0910418253E-03	3.2714651858E-01	?	3.2656000317E-01	0.0000000000E00	0.0000000000E00	2.2126399825E-03	2.7723920663E-01	2.7723928170E-01	2.5878697548E-01	?	2.5881180653E-01	2.7723708811E-01	2.7723708811E-01	2.7724690022E-01	1.3587271146E-01	1.3738046426E-01	1.3771513249E-01	1.4007917078E-01	1.3969175272E-01	2.6998818846E-01	2.7013907144E-01	2.7006807272E-01	2.7032446376E-01	2.7027818516E-01	2.3998307666E-01	1.7549983353E-01	9.7579662060E-01	5.7854108825E-01	2.6223243189E-01	9.7572055298E-01	2.6225350595E-01	3.3052726950E-01	2.6224604086E-01	3.3052113121E-01	2.1925111302E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	4.6633700216E-01	5.0964730475E-01	3.3627223690E-04	2.0910418253E-03	3.2714651858E-01	?	3.2656000317E-01	0.0000000000E00	0.0000000000E00	2.2126399825E-03	2.7723920663E-01	2.7723928170E-01	2.5878697548E-01	?	2.5881180653E-01	2.7723708811E-01	2.7723708811E-01	2.7724690022E-01	1.3587271146E-01	1.3738046426E-01	1.3771513249E-01	1.4007917078E-01	1.3969175272E-01	2.6998818846E-01	2.7013907144E-01	2.7006807272E-01	2.7032446376E-01	2.7027818516E-01	2.3998307666E-01	1.7549983353E-01	9.7579662060E-01	5.7854108825E-01	2.6223243189E-01	9.7572055298E-01	2.6225350595E-01	3.3052726950E-01	2.6224604086E-01	3.3052113121E-01	2.1925111302E-01	
Caplet Vola Monte-Carlo Multi-Curve	4.6774161289E-01	5.1105521541E-01	2.4319270902E-03	3.2047856308E-03	3.2806887799E-01	?	3.2748143469E-01	2.2126399825E-03	2.2126399825E-03	0.0000000000E00	2.7577816574E-01	2.7577825248E-01	2.5730959989E-01	?	2.5733445187E-01	2.7577604675E-01	2.7577604675E-01	2.7578579339E-01	1.3431693631E-01	1.3582254002E-01	1.3615029882E-01	1.3851736446E-01	1.3811975926E-01	2.6852210491E-01	2.6867311820E-01	2.6860150323E-01	2.6885828139E-01	2.6881180880E-01	2.3834650568E-01	1.7443057553E-01	9.7663665276E-01	5.7973886703E-01	2.6076238724E-01	9.7656066965E-01	2.6078319074E-01	3.2913279775E-01	2.6077589251E-01	3.2912679876E-01	2.1758698674E-01	
