	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7142857143E-02	1.4038945900E00	1.4042009532E00	1.4122653521E00	1.4125662855E00	?	1.4145256567E00	1.4145256567E00	1.4140361711E00	1.9931014617E00	1.9931090425E00	1.9926300841E00	1.9926317082E00	?	1.9926523170E00	1.9926523170E00	1.9926524909E00	1.6470059494E00	1.6516001169E00	1.6395657626E00	1.6456773416E00	1.6406093316E00	1.9706157997E00	1.9711931949E00	1.9667753662E00	1.9678999778E00	1.9671422177E00	1.8391023904E00	1.6762308204E00	3.1628828165E-01	5.6249324051E-01	1.9398159025E00	3.1621304775E-01	1.9398245694E00	1.9352767972E00	1.9398240237E00	1.9352969817E00	1.7512604745E00	
Target (LIBOR)	5.7142857143E-02	0.0000000000E00	1.4323115270E00	1.4326057201E00	1.4403488552E00	1.4406377664E00	?	1.4425188016E00	1.4425188016E00	1.4420488954E00	1.9934840895E00	1.9934912505E00	1.9930388114E00	1.9930403455E00	?	1.9930598134E00	1.9930598134E00	1.9930599776E00	1.6649742006E00	1.6693557155E00	1.6578772096E00	1.6637069860E00	1.6588727304E00	1.9722369247E00	1.9727826835E00	1.9686066926E00	1.9696697902E00	1.9689534817E00	1.8477008051E00	1.6928367471E00	3.4008429345E-01	6.1469663052E-01	1.9431119112E00	3.4003054270E-01	1.9431201104E00	1.9388175318E00	1.9431195942E00	1.9388366291E00	1.7642649395E00	
Caplet Vola Analytic Single-Curve	1.4038945900E00	1.4323115270E00	0.0000000000E00	6.5896242825E-03	1.6793307678E-02	1.7198017701E-02	?	2.1112707476E-02	2.1112707476E-02	2.1027888598E-02	1.9609252313E00	1.9609678245E00	1.9582782217E00	1.9582873364E00	?	1.9584030044E00	1.9584030044E00	1.9584039803E00	6.1431286201E-01	6.2297421215E-01	5.8641856197E-01	6.0300035503E-01	5.8519696526E-01	1.8378213060E00	1.8409035395E00	1.8174230586E00	1.8233779634E00	1.8193638968E00	1.2275851067E00	6.9695864329E-01	1.2891702221E00	1.0483710888E00	1.6790791090E00	1.2891060932E00	1.6791222656E00	1.6565892166E00	1.6791195486E00	1.6566887298E00	9.2283879685E-01	
Caplet Vola Monte-Carlo Single-Curve	1.4042009532E00	1.4326057201E00	6.5896242825E-03	0.0000000000E00	1.8575521454E-02	1.9025979841E-02	?	2.2657192462E-02	2.2657192462E-02	2.3310247439E-02	1.9609018509E00	1.9609444694E00	1.9582532742E00	1.9582623943E00	?	1.9583781307E00	1.9583781307E00	1.9583791072E00	6.1523481047E-01	6.2390425216E-01	5.8732220324E-01	6.0391655469E-01	5.8610117454E-01	1.8377272841E00	1.8408112304E00	1.8173177740E00	1.8232759538E00	1.8192596784E00	1.2272085430E00	6.9627502301E-01	1.2895232402E00	1.0488091112E00	1.6789007574E00	1.2894591363E00	1.6789439359E00	1.6563995337E00	1.6789412176E00	1.6564990966E00	9.2459321877E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.4122653521E00	1.4403488552E00	1.6793307678E-02	1.8575521454E-02	0.0000000000E00	6.0034154812E-04	?	4.5153840550E-03	4.5153840550E-03	5.1421541856E-03	1.9602777463E00	1.9603210383E00	1.9575873444E00	1.9575966084E00	?	1.9577141713E00	1.9577141713E00	1.9577151632E00	6.0270669327E-01	6.1140149403E-01	5.7461189569E-01	5.9129036776E-01	5.7336357517E-01	1.8352188011E00	1.8383484123E00	1.8145090410E00	1.8205545213E00	1.8164793667E00	1.2171874707E00	6.8689200527E-01	1.2988201350E00	1.0603561080E00	1.6741455316E00	1.2987566910E00	1.6741892929E00	1.6513426629E00	1.6741865379E00	1.6514435515E00	9.1066383210E-01	
Caplet Vola Analytic Multi-Curve Ju	1.4125662855E00	1.4406377664E00	1.7198017701E-02	1.9025979841E-02	6.0034154812E-04	0.0000000000E00	?	3.9150451600E-03	3.9150451600E-03	4.8450053756E-03	1.9602541293E00	1.9602974467E00	1.9575621449E00	1.9575714144E00	?	1.9576890464E00	1.9576890464E00	1.9576900388E00	6.0222790556E-01	6.1092359635E-01	5.7412635672E-01	5.9080790882E-01	5.7287699504E-01	1.8351239252E00	1.8382552624E00	1.8144028181E00	1.8204515974E00	1.8163742178E00	1.2168094184E00	6.8644356214E-01	1.2991672247E00	1.0607876316E00	1.6739657987E00	1.2991038055E00	1.6740095820E00	1.6511515468E00	1.6740068256E00	1.6512524853E00	9.1022552688E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.4145256567E00	1.4425188016E00	2.1112707476E-02	2.2657192462E-02	4.5153840550E-03	3.9150451600E-03	?	0.0000000000E00	0.0000000000E00	3.6674244932E-03	1.9600997724E00	1.9601432564E00	1.9573974460E00	1.9574067510E00	?	1.9575248346E00	1.9575248346E00	1.9575258309E00	5.9956804962E-01	6.0827190339E-01	5.7141867135E-01	5.8812341884E-01	5.7016304225E-01	1.8345039211E00	1.8376465349E00	1.8137086788E00	1.8197790119E00	1.8156870953E00	1.2143406115E00	6.8435904829E-01	1.3014274079E00	1.0635983874E00	1.6727914767E00	1.3013641499E00	1.6728354036E00	1.6499028820E00	1.6728326382E00	1.6500041472E00	9.0724178997E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.4145256567E00	1.4425188016E00	2.1112707476E-02	2.2657192462E-02	4.5153840550E-03	3.9150451600E-03	?	0.0000000000E00	0.0000000000E00	3.6674244932E-03	1.9600997724E00	1.9601432564E00	1.9573974460E00	1.9574067510E00	?	1.9575248346E00	1.9575248346E00	1.9575258309E00	5.9956804962E-01	6.0827190339E-01	5.7141867135E-01	5.8812341884E-01	5.7016304225E-01	1.8345039211E00	1.8376465349E00	1.8137086788E00	1.8197790119E00	1.8156870953E00	1.2143406115E00	6.8435904829E-01	1.3014274079E00	1.0635983874E00	1.6727914767E00	1.3013641499E00	1.6728354036E00	1.6499028820E00	1.6728326382E00	1.6500041472E00	9.0724178997E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.4140361711E00	1.4420488954E00	2.1027888598E-02	2.3310247439E-02	5.1421541856E-03	4.8450053756E-03	?	3.6674244932E-03	3.6674244932E-03	0.0000000000E00	1.9601384291E00	1.9601818714E00	1.9574386926E00	1.9574479887E00	?	1.9575659593E00	1.9575659593E00	1.9575669545E00	6.0099776668E-01	6.0970353392E-01	5.7285401281E-01	5.8955816058E-01	5.7160083636E-01	1.8346591788E00	1.8377989692E00	1.8138824983E00	1.8199474349E00	1.8158591581E00	1.2149585546E00	6.8600682769E-01	1.3008627271E00	1.0628960296E00	1.6730855085E00	1.3007994288E00	1.6731293995E00	1.6502155229E00	1.6731266364E00	1.6503167063E00	9.0741601419E-01	
