Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
224.88	238.11	47.63	47.69	47.73	47.61	?	47.52	47.52	47.91	0.01	0.01	0.03	0.03	?	0.03	0.03	0.03	44.29	44.37	42.60	42.51	42.92	0.06	0.06	0.11	0.11	0.11	1.00	2.00	100.05	99.95	0.17	100.05	0.17	0.49	0.17	0.48	0.50	
204.12	216.13	46.15	46.32	45.18	45.04	?	44.83	44.83	44.84	0.02	0.02	0.05	0.05	?	0.05	0.05	0.05	33.80	33.71	32.18	32.09	33.54	0.29	0.28	0.39	0.39	0.41	1.00	6.00	100.14	99.86	0.26	100.14	0.26	0.57	0.26	0.57	1.00	
190.21	201.39	44.54	44.66	43.22	43.08	?	42.77	42.77	43.09	0.04	0.04	0.08	0.08	?	0.08	0.08	0.08	22.37	22.21	22.90	22.76	23.78	0.48	0.47	0.62	0.62	0.64	1.00	10.00	100.26	99.74	0.37	100.26	0.37	0.73	0.37	0.73	1.50	
180.88	191.52	42.83	42.84	40.78	40.75	?	40.42	40.42	40.66	0.07	0.07	0.11	0.11	?	0.11	0.11	0.11	12.99	12.88	14.90	14.75	15.41	0.50	0.49	0.68	0.68	0.71	1.00	14.00	100.45	99.55	0.63	100.45	0.63	0.94	0.63	0.94	2.00	
174.62	184.90	41.07	40.84	39.25	39.23	?	38.92	38.92	39.01	0.10	0.10	0.14	0.14	?	0.13	0.13	0.14	8.66	8.59	10.78	10.66	11.13	0.49	0.49	0.71	0.71	0.74	1.00	18.00	100.77	99.24	0.82	100.77	0.82	1.13	0.82	1.13	2.50	
170.43	180.46	39.29	39.19	37.76	37.75	?	37.47	37.47	37.74	0.13	0.13	0.16	0.16	?	0.16	0.16	0.16	6.41	6.36	8.39	8.28	8.66	0.49	0.49	0.73	0.72	0.75	1.00	22.00	101.19	98.83	1.01	101.19	1.01	1.31	1.01	1.30	3.00	
167.62	177.48	37.52	37.47	36.27	36.26	?	36.01	36.01	36.05	0.16	0.16	0.19	0.19	?	0.19	0.19	0.19	5.10	5.07	6.88	6.79	7.11	0.49	0.49	0.73	0.72	0.76	1.00	26.00	101.71	98.33	1.21	101.71	1.21	1.50	1.21	1.50	3.50	
165.74	175.49	35.80	35.74	34.78	34.77	?	34.55	34.55	34.51	0.19	0.19	0.22	0.22	?	0.22	0.22	0.22	4.31	4.28	5.93	5.85	6.14	0.49	0.48	0.74	0.73	0.76	1.00	30.00	102.33	97.74	1.41	102.33	1.41	1.70	1.41	1.70	4.00	
164.48	174.15	34.14	33.86	33.31	33.30	?	33.10	33.10	33.07	0.22	0.22	0.25	0.25	?	0.25	0.25	0.25	3.78	3.75	5.27	5.19	5.45	0.49	0.48	0.74	0.73	0.77	1.00	34.00	103.07	97.05	1.60	103.07	1.60	1.88	1.60	1.88	4.50	
193.94	205.35	32.57	32.19	31.89	31.89	?	31.71	31.71	31.67	0.24	0.24	0.27	0.27	?	0.27	0.27	0.27	35.73	35.43	34.40	34.32	34.28	0.33	0.33	0.39	0.39	0.39	3.50	2.00	103.92	96.28	1.78	103.92	1.78	2.06	1.78	2.06	5.00	
177.77	188.23	31.12	31.16	30.56	30.55	?	30.39	30.39	30.32	0.26	0.26	0.29	0.29	?	0.29	0.29	0.29	26.61	26.26	26.21	25.88	26.17	0.95	0.93	1.08	1.07	1.08	3.50	6.00	104.88	95.43	1.96	104.88	1.95	2.22	1.96	2.22	5.50	
166.93	176.75	29.80	29.86	29.32	29.31	?	29.17	29.17	29.04	0.28	0.28	0.31	0.31	?	0.31	0.31	0.31	17.89	17.57	18.34	17.83	18.27	1.22	1.20	1.42	1.38	1.42	3.50	10.00	105.95	94.51	2.12	105.94	2.11	2.36	2.12	2.37	6.00	
159.67	169.06	28.63	28.77	28.20	28.20	?	28.06	28.06	28.01	0.30	0.30	0.32	0.32	?	0.32	0.32	0.32	11.95	11.71	12.88	12.35	12.81	1.24	1.22	1.50	1.43	1.49	3.50	14.00	107.12	93.52	2.27	107.12	2.25	2.50	2.26	2.50	6.50	
154.80	163.91	27.59	27.83	27.20	27.20	?	27.06	27.06	26.96	0.31	0.31	0.34	0.34	?	0.34	0.34	0.33	8.80	8.61	9.82	9.34	9.76	1.24	1.22	1.52	1.44	1.51	3.50	18.00	108.39	92.47	2.39	108.39	2.37	2.62	2.38	2.63	7.00	
151.54	160.45	26.65	27.04	26.30	26.30	?	26.16	26.16	26.16	0.32	0.32	0.35	0.35	?	0.35	0.35	0.35	7.03	6.88	8.02	7.61	7.97	1.24	1.21	1.53	1.45	1.52	3.50	22.00	109.76	91.39	2.50	109.76	2.48	2.73	2.49	2.74	7.50	
149.35	158.13	25.81	26.12	25.48	25.48	?	25.35	25.35	25.30	0.33	0.33	0.35	0.35	?	0.35	0.35	0.35	5.96	5.83	6.89	6.53	6.85	1.24	1.21	1.54	1.46	1.53	3.50	26.00	111.21	90.27	2.59	111.21	2.57	2.82	2.58	2.82	8.00	
147.88	156.58	25.04	25.28	24.74	24.73	?	24.61	24.61	24.55	0.33	0.34	0.36	0.36	?	0.36	0.36	0.36	5.23	5.12	6.11	5.78	6.08	1.24	1.21	1.54	1.46	1.53	3.50	30.00	112.74	89.12	2.67	112.75	2.65	2.89	2.65	2.89	8.50	
169.84	179.83	24.33	24.79	24.05	24.05	?	23.94	23.94	23.85	0.34	0.34	0.36	0.36	?	0.36	0.36	0.36	28.35	28.10	27.83	27.78	27.39	0.55	0.55	0.60	0.60	0.59	6.00	2.00	114.35	87.95	2.75	114.35	2.72	2.95	2.73	2.96	9.00	
157.25	166.50	23.68	23.95	23.42	23.42	?	23.32	23.32	23.37	0.34	0.35	0.36	0.36	?	0.36	0.36	0.36	21.26	21.00	21.16	20.84	20.75	1.35	1.33	1.48	1.46	1.45	6.00	6.00	116.03	86.77	2.82	116.03	2.80	3.02	2.81	3.02	9.50	
148.81	157.56	23.08	23.38	22.84	22.84	?	22.76	22.76	22.88	0.35	0.35	0.37	0.37	?	0.36	0.36	0.37	14.95	14.70	15.23	14.73	14.89	1.65	1.63	1.84	1.77	1.79	6.00	10.00	117.80	85.57	2.90	117.79	2.89	3.08	2.88	3.08	10.00	
143.15	151.57	22.53	22.75	22.31	22.30	?	22.24	22.24	22.29	0.35	0.35	0.37	0.37	?	0.37	0.37	0.37	10.54	10.33	11.03	10.50	10.77	1.68	1.64	1.88	1.79	1.84	6.00	14.00	119.64	84.35	2.97	119.64	2.95	3.13	2.95	3.13	10.50	
139.36	147.56	22.01	22.05	21.81	21.81	?	21.76	21.76	21.80	0.35	0.35	0.37	0.37	?	0.37	0.37	0.37	8.23	8.05	8.77	8.28	8.55	1.68	1.64	1.90	1.80	1.86	6.00	18.00	121.56	83.12	3.02	121.56	3.02	3.17	3.02	3.16	11.00	
136.82	144.87	21.52	21.47	21.39	21.38	?	21.36	21.36	21.27	0.35	0.35	0.36	0.36	?	0.36	0.36	0.36	6.87	6.72	7.41	6.96	7.22	1.68	1.64	1.91	1.80	1.86	6.00	22.00	123.56	81.89	3.09	123.56	3.09	3.18	3.09	3.18	11.50	
135.11	143.06	21.07	20.94	20.97	20.97	?	20.96	20.96	20.88	0.35	0.35	0.36	0.36	?	0.36	0.36	0.36	5.97	5.84	6.49	6.09	6.33	1.68	1.64	1.92	1.80	1.87	6.00	26.00	125.65	80.64	3.13	125.65	3.13	3.19	3.13	3.19	12.00	
151.07	159.96	20.64	20.48	20.52	20.52	?	20.50	20.50	20.23	0.35	0.35	0.36	0.36	?	0.35	0.35	0.35	23.91	23.79	23.56	23.52	23.19	0.64	0.64	0.69	0.69	0.68	8.50	2.00	127.81	79.40	3.12	127.80	3.11	3.20	3.12	3.21	12.50	
141.27	149.58	20.24	20.09	20.10	20.10	?	20.06	20.06	19.89	0.34	0.34	0.35	0.35	?	0.35	0.35	0.35	18.07	17.86	17.96	17.68	17.68	1.50	1.49	1.60	1.57	1.57	8.50	6.00	130.00	78.18	3.09	130.00	3.09	3.21	3.10	3.21	13.00	
134.70	142.62	19.87	19.64	19.73	19.72	?	19.69	19.69	19.65	0.33	0.33	0.34	0.34	?	0.34	0.34	0.34	12.97	12.74	13.06	12.63	12.82	1.82	1.79	1.93	1.87	1.90	8.50	10.00	132.22	76.99	3.05	132.21	3.06	3.17	3.06	3.17	13.50	
130.29	137.95	19.51	19.24	19.38	19.38	?	19.35	19.35	19.51	0.32	0.32	0.33	0.33	?	0.33	0.33	0.33	9.60	9.39	9.80	9.34	9.61	1.84	1.81	1.98	1.88	1.94	8.50	14.00	134.45	75.82	3.01	134.44	3.03	3.13	3.02	3.12	14.00	
127.34	134.83	19.17	18.94	19.04	19.04	?	19.01	19.01	19.09	0.31	0.31	0.32	0.32	?	0.32	0.32	0.32	7.72	7.55	7.97	7.54	7.80	1.85	1.81	1.99	1.88	1.94	8.50	18.00	136.69	74.70	2.97	136.67	2.99	3.09	2.98	3.08	14.50	
125.36	132.73	18.85	18.80	18.72	18.72	?	18.69	18.69	18.72	0.30	0.30	0.31	0.31	?	0.31	0.31	0.31	6.56	6.41	6.81	6.42	6.67	1.85	1.81	1.99	1.88	1.95	8.50	22.00	138.94	73.60	2.94	138.91	2.95	3.05	2.95	3.04	15.00	
136.46	144.49	18.54	18.46	18.45	18.45	?	18.43	18.43	18.46	0.30	0.30	0.30	0.30	?	0.30	0.30	0.30	21.05	20.74	20.82	20.78	20.57	0.68	0.67	0.70	0.70	0.69	11.00	2.00	141.20	72.53	2.91	141.16	2.92	2.99	2.92	2.98	15.50	
128.82	136.40	18.25	18.12	18.19	18.19	?	18.19	18.19	18.26	0.29	0.29	0.29	0.29	?	0.29	0.29	0.29	16.10	15.75	16.02	15.76	15.71	1.54	1.50	1.58	1.55	1.55	11.00	6.00	143.47	71.49	2.88	143.43	2.90	2.93	2.89	2.93	16.00	
123.70	130.98	17.97	17.89	17.92	17.91	?	17.91	17.91	17.95	0.28	0.28	0.29	0.29	?	0.29	0.29	0.29	11.91	11.59	11.93	11.55	11.64	1.82	1.77	1.88	1.82	1.84	11.00	10.00	145.75	70.47	2.86	145.70	2.87	2.91	2.86	2.90	16.50	
120.27	127.35	17.70	17.47	17.64	17.64	?	17.64	17.64	17.71	0.28	0.27	0.28	0.28	?	0.28	0.28	0.28	8.99	8.73	9.08	8.67	8.84	1.84	1.79	1.91	1.83	1.86	11.00	14.00	148.05	69.48	2.83	147.99	2.84	2.88	2.84	2.88	17.00	
125.08	132.43	17.45	17.19	17.40	17.40	?	17.40	17.40	17.54	0.27	0.27	0.27	0.27	?	0.27	0.27	0.27	19.03	18.52	18.88	18.82	18.56	0.63	0.61	0.64	0.64	0.63	13.50	2.00	150.35	68.50	2.80	150.30	2.82	2.85	2.81	2.84	17.50	
119.13	126.14	17.20	16.98	17.17	17.17	?	17.16	17.16	17.27	0.26	0.26	0.27	0.27	?	0.27	0.27	0.27	14.62	14.16	14.55	14.31	14.29	1.38	1.34	1.41	1.39	1.39	13.50	6.00	152.67	67.56	2.77	152.61	2.79	2.81	2.78	2.81	18.00	
115.14	121.91	16.97	16.80	16.92	16.91	?	16.91	16.91	16.92	0.26	0.26	0.26	0.26	?	0.26	0.26	0.26	10.81	10.43	10.82	10.46	10.60	1.63	1.57	1.67	1.61	1.63	13.50	10.00	154.99	66.63	2.75	154.94	2.76	2.79	2.76	2.79	18.50	
116.21	123.05	16.75	16.59	16.67	16.67	?	16.66	16.66	16.67	0.25	0.25	0.26	0.26	?	0.26	0.26	0.26	17.46	17.08	17.41	17.33	17.22	0.55	0.54	0.56	0.55	0.55	16.00	2.00	157.33	65.72	2.72	157.28	2.73	2.78	2.73	2.78	19.00	
111.58	118.14	16.53	16.54	16.44	16.44	?	16.43	16.43	16.41	0.25	0.25	0.25	0.25	?	0.25	0.25	0.25	13.40	13.04	13.38	13.14	13.17	1.22	1.19	1.23	1.21	1.21	16.00	6.00	159.67	64.84	2.71	159.63	2.70	2.77	2.71	2.77	19.50	
