	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7142857143E-02	1.4038945900E00	1.4042009532E00	1.5898169070E00	1.6135088419E00	1.6790913899E00	1.4309622281E00	1.4309622281E00	1.4199399489E00	1.9931014617E00	1.9931090425E00	1.9937082193E00	1.9939919524E00	1.9948400805E00	1.9932237413E00	1.9932237413E00	1.9926991113E00	1.6470059494E00	1.6516001169E00	1.6466736014E00	1.7689284450E00	1.6497331926E00	1.9706157997E00	1.9711931949E00	1.9677009841E00	1.9757586833E00	1.9681586984E00	1.8391023904E00	1.6762308204E00	3.1628828165E-01	5.6249324051E-01	1.9398159025E00	3.1621304775E-01	1.9398245694E00	1.9352572200E00	1.9398240237E00	1.9352969817E00	1.7512604745E00	
Target (LIBOR)	5.7142857143E-02	0.0000000000E00	1.4323115270E00	1.4326057201E00	1.6103852261E00	1.6330105985E00	1.6955627497E00	1.4582941726E00	1.4582941726E00	1.4477160929E00	1.9934840895E00	1.9934912505E00	1.9940572434E00	1.9943252593E00	1.9951263934E00	1.9935995978E00	1.9935995978E00	1.9931040170E00	1.6649742006E00	1.6693557155E00	1.6646572144E00	1.7810631135E00	1.6675752743E00	1.9722369247E00	1.9727826835E00	1.9694816834E00	1.9770977122E00	1.9699143545E00	1.8477008051E00	1.6928367471E00	3.4008429345E-01	6.1469663052E-01	1.9431119112E00	3.4003054270E-01	1.9431201104E00	1.9387990089E00	1.9431195942E00	1.9388366291E00	1.7642649395E00	
Caplet Vola Analytic Single-Curve	1.4038945900E00	1.4323115270E00	0.0000000000E00	6.5896242825E-03	4.2062334655E-01	4.8331521560E-01	6.7009514826E-01	1.0808984134E-01	1.0808984134E-01	3.4513866420E-02	1.9609252313E00	1.9609678245E00	1.9643367580E00	1.9659337234E00	1.9707136574E00	1.9616123655E00	1.9616123655E00	1.9586656601E00	6.1431286201E-01	6.2297421215E-01	6.0118160785E-01	9.6276203402E-01	6.0628659353E-01	1.8378213060E00	1.8409035395E00	1.8223231700E00	1.8654183846E00	1.8247500596E00	1.2275851067E00	6.9695864329E-01	1.2891702221E00	1.0483710888E00	1.6790791090E00	1.2891060932E00	1.6791222656E00	1.6564927013E00	1.6791195486E00	1.6566887298E00	9.2283879685E-01	
Caplet Vola Monte-Carlo Single-Curve	1.4042009532E00	1.4326057201E00	6.5896242825E-03	0.0000000000E00	4.2004595543E-01	4.8274637779E-01	6.6955883216E-01	1.0724537149E-01	1.0724537149E-01	3.5667134742E-02	1.9609018509E00	1.9609444694E00	1.9643154005E00	1.9659133141E00	1.9706960906E00	1.9615893923E00	1.9615893923E00	1.9586409419E00	6.1523481047E-01	6.2390425216E-01	6.0209811013E-01	9.6246915945E-01	6.0720819798E-01	1.8377272841E00	1.8408112304E00	1.8222205794E00	1.8653398006E00	1.8246488061E00	1.2272085430E00	6.9627502301E-01	1.2895232402E00	1.0488091112E00	1.6789007574E00	1.2894591363E00	1.6789439359E00	1.6563029701E00	1.6789412176E00	1.6564990966E00	9.2459321877E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.5898169070E00	1.6103852261E00	4.2062334655E-01	4.2004595543E-01	0.0000000000E00	6.6048689043E-02	2.6838327224E-01	3.9810718548E-01	3.9810718548E-01	3.8994904155E-01	1.9406100508E00	1.9406752407E00	1.9455992660E00	1.9480242776E00	1.9552888055E00	1.9420304387E00	1.9420304387E00	1.9374768103E00	6.3256384250E-01	6.4106096186E-01	6.1499843730E-01	6.9441185833E-01	6.2234141094E-01	1.7599699185E00	1.7644800247E00	1.7390203666E00	1.7979158588E00	1.7425918351E00	9.4251686364E-01	5.9662304735E-01	1.5056781565E00	1.3231295401E00	1.5313140957E00	1.5056306244E00	1.5313694309E00	1.5046703610E00	1.5313670760E00	1.5049341609E00	5.8671838199E-01	
Caplet Vola Analytic Multi-Curve Ju	1.6135088419E00	1.6330105985E00	4.8331521560E-01	4.8274637779E-01	6.6048689043E-02	0.0000000000E00	2.0323523861E-01	4.4940835611E-01	4.4940835611E-01	4.5308038868E-01	1.9366281906E00	1.9366976930E00	1.9419373941E00	1.9445233452E00	1.9522712748E00	1.9381429579E00	1.9381429579E00	1.9332882283E00	6.2758922614E-01	6.3605397604E-01	6.0767192612E-01	6.4372642247E-01	6.1413893002E-01	1.7453225792E00	1.7501023949E00	1.7231374685E00	1.7854079255E00	1.7269197966E00	8.9181018180E-01	6.1997874112E-01	1.5335984935E00	1.3594767311E00	1.5039441382E00	1.5335532890E00	1.5040022806E00	1.4759839737E00	1.5039998165E00	1.4762610041E00	5.2928385435E-01	
Caplet Vola Analytic Multi-Curve Ho	1.6790913899E00	1.6955627497E00	6.7009514826E-01	6.6955883216E-01	2.6838327224E-01	2.0323523861E-01	0.0000000000E00	6.2137783195E-01	6.2137783195E-01	6.4154691248E-01	1.9225720801E00	1.9226567000E00	1.9290352987E00	1.9321859887E00	1.9416314704E00	1.9245586193E00	1.9245586193E00	1.9185355981E00	6.2075910155E-01	6.2791790370E-01	6.0363589291E-01	5.2174170391E-01	6.0953841772E-01	1.6925102777E00	1.6982065036E00	1.6661446257E00	1.7403339313E00	1.6706409414E00	7.3483793846E-01	6.9991260900E-01	1.6112821233E00	1.4617443272E00	1.4087220270E00	1.6112436196E00	1.4087892877E00	1.3779978335E00	1.4087864798E00	1.3783092522E00	3.7092560732E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.4309622281E00	1.4582941726E00	1.0808984134E-01	1.0724537149E-01	3.9810718548E-01	4.4940835611E-01	6.2137783195E-01	0.0000000000E00	0.0000000000E00	9.8775152859E-02	1.9587635625E00	1.9588084875E00	1.9623620261E00	1.9640466162E00	1.9690892716E00	1.9594883212E00	1.9594883212E00	1.9563803655E00	6.0198180750E-01	6.0966249461E-01	5.8596191712E-01	9.3013952330E-01	5.9059463098E-01	1.8291431278E00	1.8323830882E00	1.8128561263E00	1.8581623491E00	1.8154060816E00	1.1989576828E00	6.9535222306E-01	1.3204071500E00	1.0872533270E00	1.6626532926E00	1.3203452568E00	1.6626984556E00	1.6390242629E00	1.6626956124E00	1.6392292764E00	8.9815605459E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.4309622281E00	1.4582941726E00	1.0808984134E-01	1.0724537149E-01	3.9810718548E-01	4.4940835611E-01	6.2137783195E-01	0.0000000000E00	0.0000000000E00	9.8775152859E-02	1.9587635625E00	1.9588084875E00	1.9623620261E00	1.9640466162E00	1.9690892716E00	1.9594883212E00	1.9594883212E00	1.9563803655E00	6.0198180750E-01	6.0966249461E-01	5.8596191712E-01	9.3013952330E-01	5.9059463098E-01	1.8291431278E00	1.8323830882E00	1.8128561263E00	1.8581623491E00	1.8154060816E00	1.1989576828E00	6.9535222306E-01	1.3204071500E00	1.0872533270E00	1.6626532926E00	1.3203452568E00	1.6626984556E00	1.6390242629E00	1.6626956124E00	1.6392292764E00	8.9815605459E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.4199399489E00	1.4477160929E00	3.4513866420E-02	3.5667134742E-02	3.8994904155E-01	4.5308038868E-01	6.4154691248E-01	9.8775152859E-02	9.8775152859E-02	0.0000000000E00	1.9596678831E00	1.9597118329E00	1.9631881657E00	1.9648361078E00	1.9697688773E00	1.9603769068E00	1.9603769068E00	1.9573363866E00	5.9398185704E-01	6.0271753422E-01	5.8058657100E-01	9.3818419906E-01	5.8572622697E-01	1.8327699622E00	1.8359440935E00	1.8168121503E00	1.8611955127E00	1.8193107566E00	1.2074519822E00	6.8089402073E-01	1.3076755339E00	1.0713753567E00	1.6695092321E00	1.3076127230E00	1.6695535600E00	1.6463140458E00	1.6695507694E00	1.6465153213E00	8.9881062895E-01	
Caplet Value Analytic Single-Curve	1.9931014617E00	1.9934840895E00	1.9609252313E00	1.9609018509E00	1.9406100508E00	1.9366281906E00	1.9225720801E00	1.9587635625E00	1.9587635625E00	1.9596678831E00	0.0000000000E00	7.8950145397E-03	9.2152063442E-02	1.3821204746E-01	2.8879127371E-01	8.5166778898E-02	8.5166778898E-02	5.6772042401E-02	1.9298556941E00	1.9288592539E00	1.9299267921E00	1.8903750007E00	1.9292672674E00	1.2429409387E00	1.2305947613E00	1.2997176806E00	1.1228823002E00	1.2913671467E00	1.8416406978E00	1.9230449223E00	1.9914903027E00	1.9877192711E00	1.5935857548E00	1.9914893710E00	1.5935323649E00	1.6198784421E00	1.5935357265E00	1.6196635814E00	1.8984292158E00	
Caplet Value Monte-Carlo Single-Curve	1.9931090425E00	1.9934912505E00	1.9609678245E00	1.9609444694E00	1.9406752407E00	1.9366976930E00	1.9226567000E00	1.9588084875E00	1.9588084875E00	1.9597118329E00	7.8950145397E-03	0.0000000000E00	9.1052981682E-02	1.3711587347E-01	2.8771275996E-01	8.5153209138E-02	8.5153209138E-02	5.7872529862E-02	1.9299315554E00	1.9289361734E00	1.9300025779E00	1.8904923707E00	1.9293437536E00	1.2436167138E00	1.2312789446E00	1.3003537090E00	1.1234077320E00	1.2920091322E00	1.8418081235E00	1.9231280054E00	1.9914996501E00	1.9877327481E00	1.5939877200E00	1.9914987195E00	1.5939343769E00	1.6202571504E00	1.5939377355E00	1.6200424812E00	1.8985381875E00	
Caplet Value Analytic Multi-Curve Fenton-Wilkinson	1.9937082193E00	1.9940572434E00	1.9643367580E00	1.9643154005E00	1.9455992660E00	1.9419373941E00	1.9290352987E00	1.9623620261E00	1.9623620261E00	1.9631881657E00	9.2152063442E-02	9.1052981682E-02	0.0000000000E00	4.6207113536E-02	1.9795624841E-01	1.1463890732E-01	1.1463890732E-01	1.4872958016E-01	1.9359359558E00	1.9350244611E00	1.9360009912E00	1.8997902685E00	1.9353976966E00	1.2979270013E00	1.2862801876E00	1.3514047446E00	1.1813665720E00	1.3435479378E00	1.8550856553E00	1.9297049963E00	1.9922384936E00	1.9887980887E00	1.6260408914E00	1.9922376436E00	1.6259913213E00	1.6504381583E00	1.6259944424E00	1.6502389022E00	1.9071692444E00	
Caplet Value Analytic Multi-Curve Ju	1.9939919524E00	1.9943252593E00	1.9659337234E00	1.9659133141E00	1.9480242776E00	1.9445233452E00	1.9321859887E00	1.9640466162E00	1.9640466162E00	1.9648361078E00	1.3821204746E-01	1.3711587347E-01	4.6207113536E-02	0.0000000000E00	1.5209694206E-01	1.4456334395E-01	1.4456334395E-01	1.9460234913E-01	1.9387850439E00	1.9379134462E00	1.9388472320E00	1.9042077228E00	1.9382703471E00	1.3242787205E00	1.3129779927E00	1.3761289330E00	1.2084398993E00	1.3685151919E00	1.8614037458E00	1.9328264615E00	1.9925883822E00	1.9893026552E00	1.6414161946E00	1.9925875705E00	1.6413684610E00	1.6649030693E00	1.6413714665E00	1.6647113012E00	1.9112688191E00	
Caplet Value Analytic Multi-Curve Ho	1.9948400805E00	1.9951263934E00	1.9707136574E00	1.9706960906E00	1.9552888055E00	1.9522712748E00	1.9416314704E00	1.9690892716E00	1.9690892716E00	1.9697688773E00	2.8879127371E-01	2.8771275996E-01	1.9795624841E-01	1.5209694206E-01	0.0000000000E00	2.7122752378E-01	2.7122752378E-01	3.4415269698E-01	1.9473236885E00	1.9465720176E00	1.9473773181E00	1.9174683679E00	1.9468798166E00	1.4055972542E00	1.3954091545E00	1.4522358196E00	1.3007666113E00	1.4453983121E00	1.8804082951E00	1.9421840464E00	1.9936343299E00	1.9908112265E00	1.6881496467E00	1.9936336326E00	1.6881076013E00	1.7088202950E00	1.6881102486E00	1.7086516617E00	1.9235711229E00	
Caplet Value Analytic Multi-Curve Drift-Freeze	1.9932237413E00	1.9935995978E00	1.9616123655E00	1.9615893923E00	1.9420304387E00	1.9381429579E00	1.9245586193E00	1.9594883212E00	1.9594883212E00	1.9603769068E00	8.5166778898E-02	8.5153209138E-02	1.1463890732E-01	1.4456334395E-01	2.7122752378E-01	0.0000000000E00	0.0000000000E00	8.8794356649E-02	1.9310796831E00	1.9301003210E00	1.9311495622E00	1.8922690255E00	1.9305013425E00	1.2538755644E00	1.2416660104E00	1.3100067301E00	1.1384442826E00	1.3017529256E00	1.8443430312E00	1.9243854697E00	1.9916410810E00	1.9879366642E00	1.6000803837E00	1.9916401658E00	1.6000277520E00	1.6259966342E00	1.6000310658E00	1.6257848743E00	1.9001876557E00	
