	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7987730221E-02	1.4184455963E00	1.4186508349E00	1.7578379839E00	1.7792839473E00	?	1.6879319399E00	1.6879319399E00	1.4710501805E00	2.0228158911E00	2.0228216005E00	2.0249640686E00	2.0252986692E00	?	2.0243691801E00	2.0243691801E00	2.0225443459E00	1.6689499265E00	1.6733588042E00	1.6888529700E00	1.8213949383E00	1.6946328616E00	2.0010956285E00	2.0016440889E00	1.9993492325E00	2.0079771647E00	2.0000896295E00	1.8780167299E00	1.7100751465E00	3.8283196715E-01	5.7928203479E-01	1.9710847463E00	3.8280262789E-01	1.9711057992E00	1.9663524320E00	1.9711006910E00	1.9663599149E00	1.7940853572E00	
Target (LIBOR)	5.7987730221E-02	0.0000000000E00	1.4475002520E00	1.4476975882E00	1.7717378433E00	1.7921535128E00	?	1.7052340657E00	1.7052340657E00	1.4980044356E00	2.0231905011E00	2.0231958945E00	2.0252196481E00	2.0255357017E00	?	2.0246577417E00	2.0246577417E00	2.0229339944E00	1.6871356551E00	1.6913432447E00	1.7061571466E00	1.8323204267E00	1.7116710331E00	2.0026654726E00	2.0031839435E00	2.0010147123E00	2.0091695752E00	2.0017146539E00	1.8860485700E00	1.7262427875E00	4.1677767546E-01	6.3166156193E-01	1.9742842972E00	4.1676770501E-01	1.9743041882E00	1.9698076959E00	1.9742993665E00	1.9698147865E00	1.8062736608E00	
Caplet Vola Analytic Single-Curve	1.4184455963E00	1.4475002520E00	0.0000000000E00	7.7888769087E-03	1.1356706934E00	1.1948021695E00	?	8.6885069553E-01	8.6885069553E-01	1.7623734447E-01	2.0797622420E00	2.0797902766E00	2.0921701317E00	2.0940026616E00	?	2.0886408458E00	2.0886408458E00	2.0781697539E00	7.8502999248E-01	7.9381909003E-01	8.1926715655E-01	1.2397018558E00	8.3071929800E-01	1.9649200016E00	1.9676892751E00	1.9554329251E00	2.0015225064E00	1.9591493911E00	1.4683476806E00	8.8577474905E-01	1.3404517187E00	1.0524726995E00	1.8182891636E00	1.3403362482E00	1.8184304378E00	1.7935381010E00	1.8183884411E00	1.7935573838E00	1.2060116570E00	
Caplet Vola Monte-Carlo Single-Curve	1.4186508349E00	1.4476975882E00	7.7888769087E-03	0.0000000000E00	1.1364909206E00	1.1959180089E00	?	8.6985880463E-01	8.6985880463E-01	1.7722234571E-01	2.0808568336E00	2.0808835316E00	2.0932821622E00	2.0951206209E00	?	2.0897486831E00	2.0897486831E00	2.0792621453E00	7.8545429990E-01	7.9422470935E-01	8.1981960567E-01	1.2407862325E00	8.3127103148E-01	1.9659572664E00	1.9687271447E00	1.9564573199E00	2.0026076012E00	1.9601764131E00	1.4699697094E00	8.8616350907E-01	1.3410593497E00	1.0527572803E00	1.8192711690E00	1.3409437130E00	1.8194181340E00	1.7944890584E00	1.8193750449E00	1.7945073436E00	1.2077431054E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.7578379839E00	1.7717378433E00	1.1356706934E00	1.1364909206E00	0.0000000000E00	1.2018590930E-01	?	3.8178330884E-01	3.8178330884E-01	9.9086414963E-01	2.2213907219E00	2.2215086820E00	2.2450515608E00	2.2496288613E00	?	2.2394387106E00	2.2394387106E00	2.2185479111E00	9.8961963557E-01	9.9605703960E-01	8.8724200734E-01	6.8148189669E-01	8.9316206671E-01	1.9301168604E00	1.9373535972E00	1.9122875810E00	2.0096292614E00	1.9219342747E00	7.8175250322E-01	1.0026370115E00	1.6671318979E00	1.5602186469E00	1.5877634897E00	1.6670618593E00	1.5876738894E00	1.5535829728E00	1.5877606650E00	1.5537874041E00	3.6801574439E-01	
Caplet Vola Analytic Multi-Curve Ju	1.7792839473E00	1.7921535128E00	1.1948021695E00	1.1959180089E00	1.2018590930E-01	0.0000000000E00	?	4.5514138180E-01	4.5514138180E-01	1.0534091058E00	2.2536603969E00	2.2538137713E00	2.2785828109E00	2.2834045117E00	?	2.2728160916E00	2.2728160916E00	2.2506363317E00	1.0398446799E00	1.0457015059E00	9.3319137877E-01	6.6284665722E-01	9.3760824773E-01	1.9382916325E00	1.9461063809E00	1.9195149552E00	2.0226881789E00	1.9298750423E00	7.0939646963E-01	1.0539596338E00	1.6916299540E00	1.5948823916E00	1.5734660382E00	1.6915632221E00	1.5732244478E00	1.5385711018E00	1.5733590193E00	1.5388266008E00	3.0590885904E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.6879319399E00	1.7052340657E00	8.6885069553E-01	8.6985880463E-01	3.8178330884E-01	4.5514138180E-01	?	0.0000000000E00	0.0000000000E00	7.0442081796E-01	2.0170813799E00	2.0171620968E00	2.0383488808E00	2.0419820141E00	?	2.0326514787E00	2.0326514787E00	2.0145679835E00	8.1759673061E-01	8.2423188490E-01	7.2163589859E-01	6.8066915660E-01	7.2882854560E-01	1.7917915372E00	1.7973535247E00	1.7762906347E00	1.8568565598E00	1.7837230711E00	8.9151147395E-01	7.0615910811E-01	1.5970463525E00	1.4464927602E00	1.5133454365E00	1.5969654306E00	1.5134303203E00	1.4797548400E00	1.5134243075E00	1.4798534247E00	5.0978405200E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.6879319399E00	1.7052340657E00	8.6885069553E-01	8.6985880463E-01	3.8178330884E-01	4.5514138180E-01	?	0.0000000000E00	0.0000000000E00	7.0442081796E-01	2.0170813799E00	2.0171620968E00	2.0383488808E00	2.0419820141E00	?	2.0326514787E00	2.0326514787E00	2.0145679835E00	8.1759673061E-01	8.2423188490E-01	7.2163589859E-01	6.8066915660E-01	7.2882854560E-01	1.7917915372E00	1.7973535247E00	1.7762906347E00	1.8568565598E00	1.7837230711E00	8.9151147395E-01	7.0615910811E-01	1.5970463525E00	1.4464927602E00	1.5133454365E00	1.5969654306E00	1.5134303203E00	1.4797548400E00	1.5134243075E00	1.4798534247E00	5.0978405200E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.4710501805E00	1.4980044356E00	1.7623734447E-01	1.7722234571E-01	9.9086414963E-01	1.0534091058E00	?	7.0442081796E-01	7.0442081796E-01	0.0000000000E00	2.0200351988E00	2.0200675787E00	2.0337271518E00	2.0357842560E00	?	2.0298406313E00	2.0298406313E00	2.0183094684E00	7.2015788466E-01	7.2907006751E-01	7.3057426307E-01	1.1106277992E00	7.4216674696E-01	1.8919592832E00	1.8950595483E00	1.8816147031E00	1.9322653833E00	1.8857763925E00	1.3470357538E00	7.5879353148E-01	1.3858197468E00	1.1227209967E00	1.7286832045E00	1.3857102457E00	1.7288333830E00	1.7023449420E00	1.7287901203E00	1.7023691947E00	1.0664485186E00	
