	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	9.0023865436E-02	1.2568949925E00	1.2569637246E00	1.4276926190E00	1.4368742610E00	?	1.3948177864E00	1.3948177864E00	1.2855387975E00	1.5279474804E00	1.5279488922E00	1.5287739075E00	1.5288988439E00	?	1.5285389970E00	1.5285389970E00	1.5278422137E00	1.3802865315E00	1.3821916851E00	1.3898852304E00	1.4503647487E00	1.3923940843E00	1.5201008160E00	1.5202963684E00	1.5194324772E00	1.5226864442E00	1.5196998885E00	1.4754760927E00	1.4030554619E00	5.2260186424E-01	6.8185141614E-01	1.5090088386E00	5.2253615271E-01	1.5090216365E00	1.5071191491E00	1.5090179348E00	1.5071202849E00	1.4425414327E00	
Target (LIBOR)	9.0023865436E-02	0.0000000000E00	1.3468460228E00	1.3469141892E00	1.5175693077E00	1.5267601439E00	?	1.4847529078E00	1.4847529078E00	1.3755395593E00	1.6179713154E00	1.6179727273E00	1.6187977367E00	1.6189226748E00	?	1.6185628330E00	1.6185628330E00	1.6178660499E00	1.4701616201E00	1.4720682199E00	1.4798046530E00	1.5403392588E00	1.4823165653E00	1.6101237838E00	1.6103193823E00	1.6094554202E00	1.6127096284E00	1.6097228937E00	1.5654441479E00	1.4928898567E00	5.8742760709E-01	7.7152346945E-01	1.5990299094E00	5.8738561676E-01	1.5990426947E00	1.5971404677E00	1.5990389988E00	1.5971416093E00	1.5324607691E00	
Caplet Vola Analytic Single-Curve	1.2568949925E00	1.3468460228E00	0.0000000000E00	2.0564732651E-03	2.1598874962E-01	2.2170387361E-01	?	1.7754664469E-01	1.7754664469E-01	4.4392645559E-02	2.7734888285E-01	2.7734963900E-01	2.7818091170E-01	2.7829256413E-01	?	2.7793265723E-01	2.7793265723E-01	2.7723910785E-01	1.6096120900E-01	1.6193732758E-01	1.6465241597E-01	2.1607106976E-01	1.6585209960E-01	2.7043911123E-01	2.7060292965E-01	2.6977719426E-01	2.7284351711E-01	2.7000070911E-01	2.4030376475E-01	1.7579404083E-01	9.9608164901E-01	5.8418794064E-01	2.6105571203E-01	9.9590599587E-01	2.6107293261E-01	2.5908306270E-01	2.6106709592E-01	2.5908165285E-01	2.1955844822E-01	
Caplet Vola Monte-Carlo Single-Curve	1.2569637246E00	1.3469141892E00	2.0564732651E-03	0.0000000000E00	2.1605411502E-01	2.2181555597E-01	?	1.7768328073E-01	1.7768328073E-01	4.4626626021E-02	2.7732891368E-01	2.7732948788E-01	2.7816183999E-01	2.7827406364E-01	?	2.7791342700E-01	2.7791342700E-01	2.7721902636E-01	1.6098557159E-01	1.6195673693E-01	1.6469806740E-01	2.1616112130E-01	1.6589596215E-01	2.7042509695E-01	2.7058866308E-01	2.6976250349E-01	2.7283173550E-01	2.6998593260E-01	2.4045199543E-01	1.7580052772E-01	9.9642623209E-01	5.8426194776E-01	2.6105162144E-01	9.9625042404E-01	2.6106964568E-01	2.5907732897E-01	2.6106365570E-01	2.5907577133E-01	2.1977735175E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.4276926190E00	1.5175693077E00	2.1598874962E-01	2.1605411502E-01	0.0000000000E00	1.3417118553E-02	?	4.9794450563E-02	4.9794450563E-02	1.7634473651E-01	1.3202935515E-01	1.3203318050E-01	1.3255289663E-01	1.3268133410E-01	?	1.3245846746E-01	1.3245846746E-01	1.3196991438E-01	1.2975663936E-01	1.2956428171E-01	1.1272821352E-01	6.8401814062E-02	1.1229564361E-01	1.2297362479E-01	1.2322072305E-01	1.2246728553E-01	1.2539560586E-01	1.2280135624E-01	7.0150794589E-02	1.2487141257E-01	1.1156003389E00	7.5068628140E-01	1.1059020658E-01	1.1154417217E00	1.1058129195E-01	1.0957888604E-01	1.1058750419E-01	1.0958967073E-01	3.9794548912E-02	
Caplet Vola Analytic Multi-Curve Ju	1.4368742610E00	1.5267601439E00	2.2170387361E-01	2.2181555597E-01	1.3417118553E-02	0.0000000000E00	?	5.7255351717E-02	5.7255351717E-02	1.8259956645E-01	1.2351489746E-01	1.2352007136E-01	1.2398486842E-01	1.2410328648E-01	?	1.2391158102E-01	1.2391158102E-01	1.2346026656E-01	1.3152848563E-01	1.3118123614E-01	1.1424645774E-01	6.3462970965E-02	1.1354349844E-01	1.1452191779E-01	1.1476870095E-01	1.1404451566E-01	1.1684722141E-01	1.1437514358E-01	6.0374036779E-02	1.2638440048E-01	1.1241630617E00	7.5998158429E-01	1.0231063444E-01	1.1240053237E00	1.0229227614E-01	1.0139785342E-01	1.0230119289E-01	1.0141109233E-01	3.1662678713E-02	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.3948177864E00	1.4847529078E00	1.7754664469E-01	1.7768328073E-01	4.9794450563E-02	5.7255351717E-02	?	0.0000000000E00	0.0000000000E00	1.3534116742E-01	1.4844897779E-01	1.4845202560E-01	1.4921270336E-01	1.4934993205E-01	?	1.4901072293E-01	1.4901072293E-01	1.4836345514E-01	1.1877895563E-01	1.1888527067E-01	1.0190589962E-01	7.7958839420E-02	1.0195485052E-01	1.3953312494E-01	1.3976774292E-01	1.3891085662E-01	1.4215696896E-01	1.3922877152E-01	9.2624278857E-02	9.7946719420E-02	1.0913158980E00	7.1645104430E-01	1.2683657045E-01	1.0911535509E00	1.2684113593E-01	1.2532560401E-01	1.2684079246E-01	1.2533049196E-01	6.2343130500E-02	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.3948177864E00	1.4847529078E00	1.7754664469E-01	1.7768328073E-01	4.9794450563E-02	5.7255351717E-02	?	0.0000000000E00	0.0000000000E00	1.3534116742E-01	1.4844897779E-01	1.4845202560E-01	1.4921270336E-01	1.4934993205E-01	?	1.4901072293E-01	1.4901072293E-01	1.4836345514E-01	1.1877895563E-01	1.1888527067E-01	1.0190589962E-01	7.7958839420E-02	1.0195485052E-01	1.3953312494E-01	1.3976774292E-01	1.3891085662E-01	1.4215696896E-01	1.3922877152E-01	9.2624278857E-02	9.7946719420E-02	1.0913158980E00	7.1645104430E-01	1.2683657045E-01	1.0911535509E00	1.2684113593E-01	1.2532560401E-01	1.2684079246E-01	1.2533049196E-01	6.2343130500E-02	
Caplet Vola Monte-Carlo Multi-Curve	1.2855387975E00	1.3755395593E00	4.4392645559E-02	4.4626626021E-02	1.7634473651E-01	1.8259956645E-01	?	1.3534116742E-01	1.3534116742E-01	0.0000000000E00	2.4470833479E-01	2.4470936053E-01	2.4556732794E-01	2.4568738211E-01	?	2.4531282810E-01	2.4531282810E-01	2.4459891654E-01	1.3886290929E-01	1.3982277149E-01	1.3790306615E-01	1.8000760611E-01	1.3910680917E-01	2.3728617747E-01	2.3746570221E-01	2.3660829802E-01	2.3979908569E-01	2.3685323207E-01	2.0399573975E-01	1.4132390762E-01	1.0128659841E00	6.0946561121E-01	2.2707419311E-01	1.0126930628E00	2.2709100851E-01	2.2511501686E-01	2.2708550903E-01	2.2511424198E-01	1.8112339273E-01	
