Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.082311020719386E-4	0.0	0.0	0.0	0.0	0.0	5.354387221728421E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0010641738481086886	0.0	0.0	0.001968535198457611	0.0	0.0	0.0	0.0	5.999803660420073E-4	0.0	6.017540331811603E-4	0.0015518255878009812	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.573989775100257E-4	0.0	0.0	0.0	0.0	0.0	9.108184681733927E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.005131088285508819	0.0	0.0	0.007018480767008195	0.0	0.0	3.004964569651158E-4	0.0	0.0012462973515418405	3.013858836808021E-4	0.0012375297962512984	0.002519012386113718	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.332473432855073E-4	0.0	0.0	0.0	0.0	0.0	0.0014373464415045787	0.0	0.0	0.0	0.0	0.0	0.0	0.008134726835765084	0.0	0.0	0.010752045745924992	0.0	0.0	8.568575621054806E-4	0.0	0.0021986054114222255	8.524922931277948E-4	0.002185226476203402	0.00386621714560981	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016069277600944806	0.0	0.0	0.0	0.0	0.0	0.0021228450891721566	0.0	0.0	0.0	0.0	0.0	0.0	0.008407067664764475	0.0	0.0	0.011665472470741676	0.0	0.0	0.0018371876230007169	0.0	0.004159605968523442	0.0018262573042736568	0.004124554239306049	0.005604215944012619	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00228790197008228	0.0	0.0	0.0	0.0	0.0	0.002818215129036717	0.0	0.0	0.0	0.0	0.0	0.0	0.008355099226449723	0.0	0.0	0.012103893094072388	0.0	0.0	0.0037237057049108145	0.0	0.005853959700902582	0.0036930578923199935	0.005815613847836298	0.007328160678687068	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002963680695188848	0.0	0.0	0.0	0.0	0.0	0.0035382383190009177	0.0	0.0	0.0	0.0	0.0	0.0	0.008314425067840985	0.0	0.0	0.012320097794102336	0.0	0.0	0.0063982838048298315	0.0	0.007554237879928341	0.006350296428553058	0.007592154651510504	0.009083650828535579	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003680244975377649	0.0	0.0	0.0	0.0	0.0	0.004233830743514359	0.0	0.0	0.0	0.0	0.0	0.0	0.008283514455493987	0.0	0.0	0.012406555286338878	0.0	0.0	0.009876814249698787	0.0	0.009345178162818749	0.009856190468236674	0.009338751371024663	0.010842978772710302	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004391346296847197	0.0	0.0	0.0	0.0	0.0	0.004887200075250066	0.0	0.0	0.0	0.0	0.0	0.0	0.008263384591226953	0.0	0.0	0.012476957756968316	0.0	0.0	0.014209873313430295	0.0	0.01112655933117891	0.014221032704078566	0.011024758412180537	0.012535888247099596	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004934301992983259	0.0	0.0	0.0	0.0	0.0	0.0054305700213040115	0.0	0.0	0.0	0.0	0.0	0.0	0.008249827560190146	0.0	0.0	0.012493071724455322	0.0	0.0	0.019447795511688393	0.0	0.012583050537461412	0.01944676014078316	0.01246676987763692	0.014003830354723194	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053914296233691945	0.0	0.0	0.0	0.0	0.0	0.005922239575659253	0.0	0.0	0.0	0.0	0.0	0.0	0.007283537996055206	0.0	0.0	0.008324758320436465	0.0	0.0	0.025485357736563557	0.0	0.013879495722775765	0.025385399106777975	0.01388666942475493	0.015357737724491631	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005881343469697478	0.0	0.0	0.0	0.0	0.0	0.006388934259338974	0.0	0.0	0.0	0.0	0.0	0.0	0.018384655871427135	0.0	0.0	0.020868132242375985	0.0	0.0	0.03221875435540439	0.0	0.015229221705513912	0.032069247176155155	0.01525067341119193	0.016627363672186084	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006208902732405979	0.0	0.0	0.0	0.0	0.0	0.006715604513279609	0.0	0.0	0.0	0.0	0.0	0.0	0.022437025819954354	0.0	0.0	0.025966437062247754	0.0	0.0	0.03967803070500859	0.0	0.016273920353492524	0.03945772559065444	0.01634989663507816	0.01762934419766728	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006507025195064114	0.0	0.0	0.0	0.0	0.0	0.007004141593195871	0.0	0.0	0.0	0.0	0.0	0.0	0.02264136046872933	0.0	0.0	0.02698821068272408	0.0	0.0	0.047631793210015	0.0	0.017242096255493108	0.04752706142648483	0.017329020318791265	0.018579248537700103	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006800908703181949	0.0	0.0	0.0	0.0	0.0	0.007283156004392887	0.0	0.0	0.0	0.0	0.0	0.0	0.022577107523983026	0.0	0.0	0.027292158184949913	0.0	0.0	0.055986013001410734	0.0	0.01816405853082013	0.05612364241606382	0.01815666346403429	0.019464686288749096	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007063427131898226	0.0	0.0	0.0	0.0	0.0	0.007446451115877465	0.0	0.0	0.0	0.0	0.0	0.0	0.02253466998551403	0.0	0.0	0.02747786691162396	0.0	0.0	0.06485610161364966	0.0	0.01903030690339624	0.0652943579589212	0.018842374848692237	0.020146404619172446	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007209309285617127	0.0	0.0	0.0	0.0	0.0	0.007498822182133297	0.0	0.0	0.0	0.0	0.0	0.0	0.022512024425337417	0.0	0.0	0.02758798192632943	0.0	0.0	0.07417200187763312	0.0	0.019637626681760667	0.07484619253065694	0.01933516122154306	0.02058624004794855	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0072729826077686825	0.0	0.0	0.0	0.0	0.0	0.007585168466672283	0.0	0.0	0.0	0.0	0.0	0.0	0.0224998179768172	0.0	0.0	0.027622239076480776	0.0	0.0	0.08381439805536366	0.0	0.020080660215017032	0.08487472347912244	0.01987147619372002	0.02106416295273692	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007393691517425317	0.0	0.0	0.0	0.0	0.0	0.007637450776456362	0.0	0.0	0.0	0.0	0.0	0.0	0.011638234560261543	0.0	0.0	0.012559586805931368	0.0	0.0	0.09385489157492885	0.0	0.020658406142398764	0.09523969005798658	0.020379336390236195	0.021495554123195152	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007407197169101114	0.0	0.0	0.0	0.0	0.0	0.007695697358984184	0.0	0.0	0.0	0.0	0.0	0.0	0.025544986585833165	0.0	0.0	0.02766136932650956	0.0	0.0	0.1044247589303481	0.0	0.021046119351171955	0.10565596565242587	0.020939071098136502	0.0219552164664921	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007516216206930283	0.0	0.0	0.0	0.0	0.0	0.007792164516302424	0.0	0.0	0.0	0.0	0.0	0.0	0.02987945812698251	0.0	0.0	0.032745402788117994	0.0	0.0	0.11536694816624886	0.0	0.021636944957699848	0.11646376466048383	0.02156871878312778	0.022485685585358527	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007550284729673792	0.0	0.0	0.0	0.0	0.0	0.007816979019812391	0.0	0.0	0.0	0.0	0.0	0.0	0.03010560704998748	0.0	0.0	0.033317857315675665	0.0	0.0	0.1266400584508993	0.0	0.02205918903296607	0.1279912989725572	0.022052221976752145	0.02286349904989532	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007595886443540752	0.0	0.0	0.0	0.0	0.0	0.007805700387058181	0.0	0.0	0.0	0.0	0.0	0.0	0.03007686747882166	0.0	0.0	0.03357636555714449	0.0	0.0	0.13824077718935832	0.0	0.02249516795256	0.14030354935172443	0.022504907759325614	0.02315276488143376	0.0	0.0	0.0	
