Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
224.88	238.11	47.63	47.69	0.00	0.00	0.00	50.21	50.21	46.18	0.01	0.01	0.00	0.00	0.00	0.03	0.03	0.03	44.29	44.37	41.32	4.38	41.45	0.06	0.06	0.11	0.01	0.11	1.00	2.00	100.05	99.95	0.17	100.05	0.17	0.49	0.17	0.48	0.50	
204.12	216.13	46.15	46.32	0.00	0.00	0.00	48.19	48.19	42.89	0.02	0.02	0.00	0.00	0.00	0.06	0.06	0.05	33.80	33.71	31.95	6.98	32.08	0.29	0.28	0.39	0.09	0.39	1.00	6.00	100.14	99.86	0.26	100.14	0.26	0.57	0.26	0.57	1.00	
190.21	201.39	44.54	44.66	0.05	0.03	0.02	46.06	46.06	41.03	0.04	0.04	0.00	0.00	0.00	0.08	0.08	0.07	22.37	22.21	22.35	7.26	22.34	0.48	0.47	0.61	0.20	0.61	1.00	10.00	100.26	99.74	0.37	100.26	0.37	0.73	0.37	0.73	1.50	
180.88	191.52	42.83	42.84	1.64	1.14	0.27	41.62	41.62	38.92	0.07	0.07	0.00	0.00	0.00	0.11	0.11	0.10	12.99	12.88	14.11	5.84	14.11	0.50	0.49	0.65	0.27	0.65	1.00	14.00	100.45	99.55	0.63	100.45	0.63	0.94	0.63	0.94	2.00	
174.62	184.90	41.07	40.84	5.06	4.03	0.89	38.42	38.42	37.41	0.10	0.10	0.02	0.01	0.00	0.14	0.14	0.13	8.66	8.59	9.99	4.80	10.01	0.49	0.49	0.67	0.32	0.67	1.00	18.00	100.77	99.24	0.82	100.77	0.82	1.13	0.82	1.13	2.50	
170.43	180.46	39.29	39.19	9.44	8.00	2.01	35.30	35.30	36.30	0.13	0.13	0.04	0.04	0.01	0.16	0.16	0.16	6.41	6.36	7.70	4.14	7.73	0.49	0.49	0.67	0.36	0.68	1.00	22.00	101.19	98.83	1.01	101.19	1.01	1.31	1.01	1.30	3.00	
167.62	177.48	37.52	37.47	13.24	11.47	3.65	32.72	32.72	34.75	0.16	0.16	0.07	0.06	0.02	0.18	0.18	0.19	5.10	5.07	6.29	3.69	6.33	0.49	0.49	0.68	0.40	0.68	1.00	26.00	101.71	98.33	1.21	101.71	1.21	1.50	1.21	1.50	3.50	
165.74	175.49	35.80	35.74	16.11	14.08	5.58	30.54	30.54	33.32	0.19	0.19	0.11	0.09	0.04	0.20	0.20	0.22	4.31	4.28	5.41	3.35	5.45	0.49	0.48	0.68	0.42	0.68	1.00	30.00	102.33	97.74	1.41	102.33	1.41	1.70	1.41	1.70	4.00	
164.48	174.15	34.14	33.86	18.11	15.95	7.54	28.68	28.68	31.98	0.22	0.22	0.14	0.12	0.06	0.22	0.22	0.24	3.78	3.75	4.80	3.12	4.84	0.49	0.48	0.68	0.44	0.68	1.00	34.00	103.07	97.05	1.60	103.07	1.60	1.88	1.60	1.88	4.50	
193.94	205.35	32.57	32.19	19.46	17.31	9.41	27.04	27.04	30.69	0.24	0.24	0.17	0.15	0.08	0.24	0.24	0.27	35.73	35.43	33.31	14.35	33.11	0.33	0.33	0.39	0.17	0.38	3.50	2.00	103.92	96.28	1.78	103.92	1.78	2.06	1.78	2.06	5.00	
177.77	188.23	31.12	31.16	20.37	18.42	11.20	25.56	25.56	29.46	0.26	0.26	0.20	0.18	0.11	0.25	0.25	0.29	26.61	26.26	25.37	13.22	25.14	0.95	0.93	1.06	0.56	1.05	3.50	6.00	104.88	95.43	1.96	104.88	1.95	2.22	1.96	2.22	5.50	
166.93	176.75	29.80	29.86	20.84	19.17	12.67	24.34	24.34	28.29	0.28	0.28	0.22	0.21	0.14	0.26	0.26	0.30	17.89	17.57	17.50	10.18	17.30	1.22	1.20	1.37	0.80	1.35	3.50	10.00	105.95	94.51	2.12	105.94	2.11	2.36	2.12	2.37	6.00	
159.67	169.06	28.63	28.77	20.91	19.43	13.52	23.41	23.41	27.34	0.30	0.30	0.24	0.23	0.16	0.27	0.27	0.32	11.95	11.71	12.05	7.45	11.91	1.24	1.22	1.41	0.87	1.39	3.50	14.00	107.12	93.52	2.27	107.12	2.25	2.50	2.26	2.50	6.50	
154.80	163.91	27.59	27.83	20.72	19.32	13.86	22.65	22.65	26.35	0.31	0.31	0.26	0.24	0.18	0.28	0.28	0.33	8.80	8.61	9.10	5.99	9.01	1.24	1.22	1.42	0.93	1.40	3.50	18.00	108.39	92.47	2.39	108.39	2.37	2.62	2.38	2.63	7.00	
151.54	160.45	26.65	27.04	20.50	19.21	14.15	21.95	21.95	25.59	0.32	0.32	0.27	0.26	0.19	0.29	0.29	0.34	7.03	6.88	7.40	5.08	7.33	1.24	1.21	1.42	0.98	1.41	3.50	22.00	109.76	91.39	2.50	109.76	2.48	2.73	2.49	2.74	7.50	
149.35	158.13	25.81	26.12	20.25	19.10	14.41	21.29	21.29	24.76	0.33	0.33	0.29	0.27	0.20	0.30	0.30	0.35	5.96	5.83	6.34	4.49	6.28	1.24	1.21	1.42	1.01	1.41	3.50	26.00	111.21	90.27	2.59	111.21	2.57	2.82	2.58	2.82	8.00	
147.88	156.58	25.04	25.28	19.99	18.96	14.60	20.70	20.70	24.06	0.33	0.34	0.29	0.28	0.22	0.30	0.30	0.35	5.23	5.12	5.62	4.09	5.57	1.24	1.21	1.42	1.04	1.41	3.50	30.00	112.74	89.12	2.67	112.75	2.65	2.89	2.65	2.89	8.50	
169.84	179.83	24.33	24.79	19.74	18.89	14.87	20.15	20.15	23.41	0.34	0.34	0.30	0.29	0.23	0.31	0.31	0.35	28.35	28.10	27.14	18.07	26.72	0.55	0.55	0.59	0.40	0.58	6.00	2.00	114.35	87.95	2.75	114.35	2.72	2.95	2.73	2.96	9.00	
157.25	166.50	23.68	23.95	19.52	18.87	15.19	19.65	19.65	22.97	0.34	0.35	0.31	0.30	0.24	0.31	0.31	0.36	21.26	21.00	20.51	14.12	20.12	1.35	1.33	1.44	1.00	1.42	6.00	6.00	116.03	86.77	2.82	116.03	2.80	3.02	2.81	3.02	9.50	
148.81	157.56	23.08	23.38	19.33	18.85	15.53	19.24	19.24	22.53	0.35	0.35	0.31	0.31	0.25	0.31	0.31	0.36	14.95	14.70	14.63	10.42	14.30	1.65	1.63	1.77	1.27	1.73	6.00	10.00	117.80	85.57	2.90	117.79	2.89	3.08	2.88	3.08	10.00	
143.15	151.57	22.53	22.75	19.12	18.77	15.79	18.89	18.89	21.98	0.35	0.35	0.32	0.31	0.26	0.31	0.31	0.36	10.54	10.33	10.53	7.82	10.28	1.68	1.64	1.80	1.34	1.76	6.00	14.00	119.64	84.35	2.97	119.64	2.95	3.13	2.95	3.13	10.50	
139.36	147.56	22.01	22.05	19.05	18.80	16.27	18.69	18.69	21.55	0.35	0.35	0.32	0.32	0.28	0.32	0.32	0.36	8.23	8.05	8.31	6.29	8.11	1.68	1.64	1.81	1.37	1.77	6.00	18.00	121.56	83.12	3.02	121.56	3.02	3.17	3.02	3.16	11.00	
136.82	144.87	21.52	21.47	19.43	19.24	17.49	19.02	19.02	21.11	0.35	0.35	0.33	0.33	0.30	0.33	0.33	0.36	6.87	6.72	7.01	5.41	6.83	1.68	1.64	1.81	1.40	1.77	6.00	22.00	123.56	81.89	3.09	123.56	3.09	3.18	3.09	3.18	11.50	
135.11	143.06	21.07	20.94	19.59	19.43	18.10	19.25	19.25	20.77	0.35	0.35	0.34	0.33	0.31	0.33	0.33	0.36	5.97	5.84	6.13	4.82	5.98	1.68	1.64	1.82	1.43	1.77	6.00	26.00	125.65	80.64	3.13	125.65	3.13	3.19	3.13	3.19	12.00	
