Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.082311020719386E-4	0.0	0.0	0.0	0.0	0.0	5.357975936052811E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0010641738481086886	0.0	0.0	0.0019710073559761187	0.0	0.0	0.0	0.0	5.999803660420073E-4	0.0	6.017540331811603E-4	0.0015526524205642315	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.573989775100257E-4	0.0	0.0	0.0	0.0	0.0	9.118014003080698E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.005131088285508819	0.0	0.0	0.007029587980133093	0.0	0.0	3.004964569651158E-4	0.0	0.0012462973515418405	3.013858836808021E-4	0.0012375297962512984	0.0025210740518760615	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.332473432855073E-4	0.0	0.0	0.0	0.0	0.0	0.0014397071804159252	0.0	0.0	0.0	0.0	0.0	0.0	0.008134726835765084	0.0	0.0	0.010768802991186292	0.0	0.0	8.568575621054806E-4	0.0	0.0021986054114222255	8.524922931277948E-4	0.002185226476203402	0.003870932415866402	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016069277600944806	0.0	0.0	0.0	0.0	0.0	0.0021274291248443034	0.0	0.0	0.0	0.0	0.0	0.0	0.008407067664764475	0.0	0.0	0.011682778411395159	0.0	0.0	0.0018371876230007169	0.0	0.004159605968523442	0.0018262573042736568	0.004124554239306049	0.005613242083941088	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00228790197008228	0.0	0.0	0.0	0.0	0.0	0.0028250246753042008	0.0	0.0	0.0	0.0	0.0	0.0	0.008355099226449723	0.0	0.0	0.012121188971776676	0.0	0.0	0.0037237057049108145	0.0	0.005853959700902582	0.0036930578923199935	0.005815613847836298	0.007341519923715429	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002963680695188848	0.0	0.0	0.0	0.0	0.0	0.003547501801609713	0.0	0.0	0.0	0.0	0.0	0.0	0.008314425067840985	0.0	0.0	0.01233737943213466	0.0	0.0	0.0063982838048298315	0.0	0.007554237879928341	0.006350296428553058	0.007592154651510504	0.009101759701150647	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003680244975377649	0.0	0.0	0.0	0.0	0.0	0.004245313763459425	0.0	0.0	0.0	0.0	0.0	0.0	0.008283514455493987	0.0	0.0	0.012423826510684969	0.0	0.0	0.009876814249698787	0.0	0.009345178162818749	0.009856190468236674	0.009338751371024663	0.010865541009092929	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004391346296847197	0.0	0.0	0.0	0.0	0.0	0.004900753903054903	0.0	0.0	0.0	0.0	0.0	0.0	0.008263384591226953	0.0	0.0	0.012494220759532318	0.0	0.0	0.014209873313430295	0.0	0.01112655933117891	0.014221032704078566	0.011024758412180537	0.012562739988760157	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004934301992983259	0.0	0.0	0.0	0.0	0.0	0.005447082819945711	0.0	0.0	0.0	0.0	0.0	0.0	0.008249827560190146	0.0	0.0	0.012510330418154709	0.0	0.0	0.019447795511688393	0.0	0.012583050537461412	0.01944676014078316	0.01246676987763692	0.014036407024317639	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053914296233691945	0.0	0.0	0.0	0.0	0.0	0.0059393126071131015	0.0	0.0	0.0	0.0	0.0	0.0	0.007283537996055206	0.0	0.0	0.008346783073423982	0.0	0.0	0.025485357736563557	0.0	0.013879495722775765	0.025385399106777975	0.01388666942475493	0.015391933739079548	0.0	0.0	0.0	
