	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	7.4283896080E-02	1.1509671308E00	1.1592111768E00	1.1998195658E00	1.2026069216E00	1.3579068337E00	1.2097714596E00	1.2097714596E00	1.2085345529E00	2.5867249860E00	2.5867647692E00	2.5831350288E00	2.5832205766E00	2.5881080158E00	2.5833869151E00	2.5833869151E00	2.5833279549E00	1.8691628116E00	1.8768011138E00	1.8245843285E00	1.8335720873E00	1.8343501680E00	2.5391382798E00	2.5400647813E00	2.5088443056E00	2.5108840557E00	2.5106204568E00	2.3656364146E00	2.0413556995E00	9.8357972111E-01	2.5618680783E-01	2.4902444696E00	9.8344678900E-01	2.4902803029E00	2.4563616059E00	2.4902115758E00	2.4564281878E00	2.2289597810E00	
Target (LIBOR)	7.4283896080E-02	0.0000000000E00	1.2055173803E00	1.2134249853E00	1.2528088649E00	1.2559045354E00	1.4051894215E00	1.2624965179E00	1.2624965179E00	1.2629190369E00	2.5874569445E00	2.5874945241E00	2.5840648067E00	2.5841456439E00	2.5887635653E00	2.5843028296E00	2.5843028296E00	2.5842470929E00	1.9002422416E00	1.9076051244E00	1.8574112505E00	1.8661064272E00	1.8668298927E00	2.5424720386E00	2.5433484684E00	2.5137979067E00	2.5157298975E00	2.5154792067E00	2.3776609932E00	2.0617161580E00	9.3266161298E-01	2.1276570265E-01	2.4961960039E00	9.3252990135E-01	2.4962299893E00	2.4640677189E00	2.4961649739E00	2.4641310568E00	2.2468155185E00	
Caplet Vola Analytic Single-Curve	1.1509671308E00	1.2055173803E00	0.0000000000E00	1.8136700562E-02	8.9666311584E-02	7.8999856102E-02	2.9156310103E-01	8.4807343142E-02	8.4807343142E-02	9.3597926444E-02	3.5726194911E00	3.5726210887E00	3.5605937779E00	3.5608579689E00	3.5760855425E00	3.5614463221E00	3.5614463221E00	3.5609683676E00	1.2600852850E00	1.2735514255E00	1.1946067917E00	1.2095870233E00	1.2157803809E00	3.4567790146E00	3.4590331521E00	3.3763717220E00	3.3825487866E00	3.3800168238E00	2.8492015046E00	2.2991050023E00	1.7436777867E00	1.1091413218E00	3.2912222319E00	1.7435362763E00	3.2913056245E00	3.1914407966E00	3.2913480824E00	3.1918858012E00	2.5887393649E00	
Caplet Vola Monte-Carlo Single-Curve	1.1592111768E00	1.2134249853E00	1.8136700562E-02	0.0000000000E00	8.7661070544E-02	7.6059726552E-02	3.0142194622E-01	8.4535374845E-02	8.4535374845E-02	8.9319977819E-02	3.5768133715E00	3.5768149772E00	3.5647701302E00	3.5650347062E00	3.5802844397E00	3.5656239225E00	3.5656239225E00	3.5651453085E00	1.2553718797E00	1.2688155220E00	1.1877613674E00	1.2026915028E00	1.2088947712E00	3.4608173650E00	3.4630746987E00	3.3802944217E00	3.3864803772E00	3.3839444612E00	2.8524381569E00	2.3016647160E00	1.7430590974E00	1.1036083947E00	3.2950964676E00	1.7429175527E00	3.2951800577E00	3.1951744151E00	3.2952224963E00	3.1956199757E00	2.5915925188E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.1998195658E00	1.2528088649E00	8.9666311584E-02	8.7661070544E-02	0.0000000000E00	2.1566755965E-02	2.8000354803E-01	3.5668874180E-02	3.5668874180E-02	3.6018051178E-02	3.6045919816E00	3.6045936857E00	3.5921101300E00	3.5923843173E00	3.6081896365E00	3.5929949806E00	3.5929949806E00	3.5924992253E00	1.1899064612E00	1.2037672359E00	1.1260548179E00	1.1407609348E00	1.1471525516E00	3.4845446590E00	3.4868800668E00	3.4012782299E00	3.4076714157E00	3.4050487714E00	2.8581452576E00	2.2958835374E00	1.7207808891E00	1.1440492938E00	3.3136510121E00	1.7206376661E00	3.3137377086E00	3.2105617538E00	3.3137811368E00	3.2110207911E00	2.5912968474E00	
Caplet Vola Analytic Multi-Curve Ju	1.2026069216E00	1.2559045354E00	7.8999856102E-02	7.6059726552E-02	2.1566755965E-02	0.0000000000E00	2.5879908260E-01	1.6268065445E-02	1.6268065445E-02	1.7835280145E-02	3.6217644742E00	3.6217662198E00	3.6091587892E00	3.6094356926E00	3.6253977389E00	3.6100524297E00	3.6100524297E00	3.6095519178E00	1.1889092410E00	1.2025548001E00	1.1246286566E00	1.1393700608E00	1.1457836785E00	3.5005949663E00	3.5029526157E00	3.4165369487E00	3.4229903782E00	3.4203417769E00	2.8688879459E00	2.3027613312E00	1.7298682384E00	1.1459182925E00	3.3283821253E00	1.7297252790E00	3.3284699288E00	3.2243587767E00	3.3285134473E00	3.2248216500E00	2.5999222646E00	
Caplet Vola Analytic Multi-Curve Ho	1.3579068337E00	1.4051894215E00	2.9156310103E-01	3.0142194622E-01	2.8000354803E-01	2.5879908260E-01	0.0000000000E00	2.4438311287E-01	2.4438311287E-01	2.4814486067E-01	4.2669808069E00	4.2669843852E00	4.2491281042E00	4.2495200282E00	4.2721235735E00	4.2503940583E00	4.2503940583E00	4.2496925782E00	1.1454518609E00	1.1613489069E00	1.0756545737E00	1.0916663152E00	1.0988879064E00	4.0986391704E00	4.1019292302E00	3.9815076941E00	3.9904692457E00	3.9867364621E00	3.2507606166E00	2.5355346653E00	1.8594429377E00	1.2939599839E00	3.8722084184E00	1.8593013811E00	3.8723429454E00	3.7296452597E00	3.8723893824E00	3.7302649815E00	2.8989351940E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.2097714596E00	1.2624965179E00	8.4807343142E-02	8.4535374845E-02	3.5668874180E-02	1.6268065445E-02	2.4438311287E-01	0.0000000000E00	0.0000000000E00	2.2628551445E-02	3.6638489768E00	3.6638508237E00	3.6509490731E00	3.6512324300E00	3.6675668259E00	3.6518636012E00	3.6518636012E00	3.6513518055E00	1.1929032671E00	1.2074432494E00	1.1288445966E00	1.1437243032E00	1.1501777818E00	3.5400186798E00	3.5424291725E00	3.4540785443E00	3.4606752589E00	3.4579647735E00	2.8956948748E00	2.3203321679E00	1.7382485611E00	1.1547901436E00	3.3647040829E00	1.7381056745E00	3.3647945584E00	3.2584580309E00	3.3648382530E00	3.2589300020E00	2.6216492378E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.2097714596E00	1.2624965179E00	8.4807343142E-02	8.4535374845E-02	3.5668874180E-02	1.6268065445E-02	2.4438311287E-01	0.0000000000E00	0.0000000000E00	2.2628551445E-02	3.6638489768E00	3.6638508237E00	3.6509490731E00	3.6512324300E00	3.6675668259E00	3.6518636012E00	3.6518636012E00	3.6513518055E00	1.1929032671E00	1.2074432494E00	1.1288445966E00	1.1437243032E00	1.1501777818E00	3.5400186798E00	3.5424291725E00	3.4540785443E00	3.4606752589E00	3.4579647735E00	2.8956948748E00	2.3203321679E00	1.7382485611E00	1.1547901436E00	3.3647040829E00	1.7381056745E00	3.3647945584E00	3.2584580309E00	3.3648382530E00	3.2589300020E00	2.6216492378E00	
Caplet Vola Monte-Carlo Multi-Curve	1.2085345529E00	1.2629190369E00	9.3597926444E-02	8.9319977819E-02	3.6018051178E-02	1.7835280145E-02	2.4814486067E-01	2.2628551445E-02	2.2628551445E-02	0.0000000000E00	3.6602404150E00	3.6602422417E00	3.6474457577E00	3.6477268095E00	3.6639278466E00	3.6483528404E00	3.6483528404E00	3.6478451775E00	1.1796723763E00	1.1941212344E00	1.1161970510E00	1.1309116303E00	1.1373535532E00	3.5373856908E00	3.5397775824E00	3.4520954246E00	3.4586432499E00	3.4559530328E00	2.8972564042E00	2.3243618266E00	1.7362244180E00	1.1500591437E00	3.3633403470E00	1.7360816237E00	3.3634301451E00	3.2578347225E00	3.3634735545E00	3.2583035125E00	2.6244792472E00	
Caplet Value Analytic Single-Curve	2.5867249860E00	2.5874569445E00	3.5726194911E00	3.5768133715E00	3.6045919816E00	3.6217644742E00	4.2669808069E00	3.6638489768E00	3.6638489768E00	3.6602404150E00	0.0000000000E00	2.1559414843E-02	8.7841861260E-01	8.4495051612E-01	2.2360268363E-01	8.2829994867E-01	8.2829994867E-01	8.2205385311E-01	5.4258072963E00	5.4771779238E00	4.9917191427E00	5.0835285296E00	4.9921162639E00	1.8439121107E00	1.8141207646E00	2.8984864349E00	2.8136426159E00	2.8921287237E00	4.8650899595E00	5.0015243019E00	2.3898778582E00	2.3567493347E00	1.7458618885E00	2.3897396988E00	1.7528991130E00	1.9924388472E00	1.7489176810E00	1.9948061885E00	3.7974115683E00	
