	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.8712230371E-02	1.2440012397E00	1.2441607312E00	1.2610309136E00	1.2616100553E00	?	1.2621266449E00	1.2621266449E00	1.2628016853E00	1.5055024879E00	1.5055053559E00	1.5053766962E00	1.5053817139E00	?	1.5053856007E00	1.5053856007E00	1.5053935017E00	1.3621380085E00	1.3642190443E00	1.3665359167E00	1.3690267382E00	1.3677776078E00	1.4969472935E00	1.4971681890E00	1.4959722611E00	1.4963463359E00	1.4961700476E00	1.4449027881E00	1.3752874035E00	4.3176343621E-01	6.6208994855E-01	1.4850702627E00	4.3163953789E-01	1.4850736310E00	1.4833063192E00	1.4850734189E00	1.4833120408E00	1.4081079163E00	
Target (LIBOR)	8.8712230371E-02	0.0000000000E00	1.3327134700E00	1.3328729616E00	1.3497431439E00	1.3503222857E00	?	1.3508388753E00	1.3508388753E00	1.3515139157E00	1.5942147182E00	1.5942175862E00	1.5940889266E00	1.5940939442E00	?	1.5940978310E00	1.5940978310E00	1.5941057321E00	1.4508502389E00	1.4529312747E00	1.4552481471E00	1.4577389686E00	1.4564898382E00	1.5856595239E00	1.5858804193E00	1.5846844915E00	1.5850585663E00	1.5848822780E00	1.5336150185E00	1.4639996339E00	4.7933206232E-01	7.5080217892E-01	1.5737824931E00	4.7923350979E-01	1.5737858613E00	1.5720185496E00	1.5737856493E00	1.5720242711E00	1.4968201467E00	
Caplet Vola Analytic Single-Curve	1.2440012397E00	1.3327134700E00	0.0000000000E00	1.7398382748E-03	1.7029673903E-02	1.7608815647E-02	?	1.8125405241E-02	1.8125405241E-02	1.8840989765E-02	2.6150124820E-01	2.6150411622E-01	2.6137545654E-01	2.6138047420E-01	?	2.6138436101E-01	2.6138436101E-01	2.6139226209E-01	1.2595766011E-01	1.2708535274E-01	1.2731585874E-01	1.2951769682E-01	1.2752148404E-01	2.5294605388E-01	2.5316694932E-01	2.5197102146E-01	2.5234509626E-01	2.5216880794E-01	2.0090154845E-01	1.3832091773E-01	9.5797467583E-01	5.8191129110E-01	2.4106902308E-01	9.5784060849E-01	2.4107239132E-01	2.3930507954E-01	2.4107217928E-01	2.3931080112E-01	1.6800588371E-01	
Caplet Vola Monte-Carlo Single-Curve	1.2441607312E00	1.3328729616E00	1.7398382748E-03	0.0000000000E00	1.7176078520E-02	1.7726012852E-02	?	1.8229248403E-02	1.8229248403E-02	1.9144768824E-02	2.6134175661E-01	2.6134462463E-01	2.6121596494E-01	2.6122098261E-01	?	2.6122486942E-01	2.6122486942E-01	2.6123277049E-01	1.2609763246E-01	1.2722532509E-01	1.2745583109E-01	1.2964422662E-01	1.2754708776E-01	2.5278656228E-01	2.5300745773E-01	2.5181152986E-01	2.5218560467E-01	2.5200931635E-01	2.0074205686E-01	1.3812971899E-01	9.5813416743E-01	5.8207078270E-01	2.4090953149E-01	9.5800010008E-01	2.4091289973E-01	2.3914558795E-01	2.4091268768E-01	2.3915130952E-01	1.6825154965E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.2610309136E00	1.3497431439E00	1.7029673903E-02	1.7176078520E-02	0.0000000000E00	5.7914174371E-04	?	1.0957313382E-03	1.0957313382E-03	2.1336264425E-03	2.4447157430E-01	2.4447444232E-01	2.4434578263E-01	2.4435080030E-01	?	2.4435468711E-01	2.4435468711E-01	2.4436258818E-01	1.1415071709E-01	1.1531897292E-01	1.1192302263E-01	1.1411141816E-01	1.1201427930E-01	2.3591637997E-01	2.3613727542E-01	2.3494134755E-01	2.3531542236E-01	2.3513913404E-01	1.8387187455E-01	1.2358254254E-01	9.7500434974E-01	5.9894096501E-01	2.2403934918E-01	9.7487028239E-01	2.2404271742E-01	2.2227540564E-01	2.2404250537E-01	2.2228112721E-01	1.5125618182E-01	
Caplet Vola Analytic Multi-Curve Ju	1.2616100553E00	1.3503222857E00	1.7608815647E-02	1.7726012852E-02	5.7914174371E-04	0.0000000000E00	?	5.1658959451E-04	5.1658959451E-04	1.5985665612E-03	2.4389243255E-01	2.4389530057E-01	2.4376664089E-01	2.4377165856E-01	?	2.4377554537E-01	2.4377554537E-01	2.4378344644E-01	1.1368820409E-01	1.1485645992E-01	1.1145960212E-01	1.1364799765E-01	1.1155085879E-01	2.3533723823E-01	2.3555813367E-01	2.3436220581E-01	2.3473628062E-01	2.3455999229E-01	1.8329273281E-01	1.2316653463E-01	9.7558349148E-01	5.9952010675E-01	2.2346020743E-01	9.7544942413E-01	2.2346357568E-01	2.2169626390E-01	2.2346336363E-01	2.2170198547E-01	1.5070144193E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.2621266449E00	1.3508388753E00	1.8125405241E-02	1.8229248403E-02	1.0957313382E-03	5.1658959451E-04	?	0.0000000000E00	0.0000000000E00	1.2378452108E-03	2.4337584296E-01	2.4337871098E-01	2.4325005130E-01	2.4325506896E-01	?	2.4325895577E-01	2.4325895577E-01	2.4326685684E-01	1.1329225632E-01	1.1446051215E-01	1.1102919022E-01	1.1321758575E-01	1.1112044689E-01	2.3482064863E-01	2.3504154408E-01	2.3384561621E-01	2.3421969102E-01	2.3404340270E-01	1.8277614321E-01	1.2277459642E-01	9.7610008107E-01	6.0003669634E-01	2.2294361784E-01	9.7596601373E-01	2.2294698608E-01	2.2117967430E-01	2.2294677403E-01	2.2118539587E-01	1.5019976032E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.2621266449E00	1.3508388753E00	1.8125405241E-02	1.8229248403E-02	1.0957313382E-03	5.1658959451E-04	?	0.0000000000E00	0.0000000000E00	1.2378452108E-03	2.4337584296E-01	2.4337871098E-01	2.4325005130E-01	2.4325506896E-01	?	2.4325895577E-01	2.4325895577E-01	2.4326685684E-01	1.1329225632E-01	1.1446051215E-01	1.1102919022E-01	1.1321758575E-01	1.1112044689E-01	2.3482064863E-01	2.3504154408E-01	2.3384561621E-01	2.3421969102E-01	2.3404340270E-01	1.8277614321E-01	1.2277459642E-01	9.7610008107E-01	6.0003669634E-01	2.2294361784E-01	9.7596601373E-01	2.2294698608E-01	2.2117967430E-01	2.2294677403E-01	2.2118539587E-01	1.5019976032E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.2628016853E00	1.3515139157E00	1.8840989765E-02	1.9144768824E-02	2.1336264425E-03	1.5985665612E-03	?	1.2378452108E-03	1.2378452108E-03	0.0000000000E00	2.4270080254E-01	2.4270367056E-01	2.4257501088E-01	2.4258002855E-01	?	2.4258391535E-01	2.4258391535E-01	2.4259181643E-01	1.1271934764E-01	1.1388760347E-01	1.1062924176E-01	1.1281763729E-01	1.1072049843E-01	2.3414560822E-01	2.3436650366E-01	2.3317057580E-01	2.3354465061E-01	2.3336836228E-01	1.8210110279E-01	1.2251861144E-01	9.7677512149E-01	6.0071173676E-01	2.2226857742E-01	9.7664105415E-01	2.2227194566E-01	2.2050463389E-01	2.2227173362E-01	2.2051035546E-01	1.4941677526E-01	
