	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	4.2559913218E-02	4.5941184804E-01	4.5949060007E-01	4.8471490412E-01	4.8572400730E-01	5.2494535587E-01	4.8742189709E-01	4.8742189709E-01	4.8680662589E-01	7.2141815231E-01	7.2141864087E-01	7.2078998436E-01	7.2080101657E-01	7.2176412320E-01	7.2082566234E-01	7.2082566234E-01	7.2080833598E-01	5.6096479913E-01	5.6321522713E-01	5.6712299300E-01	5.6961323903E-01	5.6999878293E-01	7.1342769777E-01	7.1360056198E-01	7.0884146608E-01	7.0919941343E-01	7.0910890880E-01	6.6031339649E-01	5.9069801188E-01	4.8941428318E-01	1.1814031277E-01	7.0518117953E-01	4.8935060633E-01	7.0519386775E-01	6.9665752111E-01	7.0519160162E-01	6.9668519137E-01	6.2351852470E-01	
Target (LIBOR)	4.2559913218E-02	0.0000000000E00	5.0197176126E-01	5.0205051328E-01	5.2727481734E-01	5.2828392051E-01	5.6750526908E-01	5.2998181031E-01	5.2998181031E-01	5.2936653911E-01	7.6397806553E-01	7.6397855408E-01	7.6334989758E-01	7.6336092978E-01	7.6432403642E-01	7.6338557556E-01	7.6338557556E-01	7.6336824920E-01	6.0352471235E-01	6.0577514035E-01	6.0968290622E-01	6.1217315225E-01	6.1255869614E-01	7.5598761099E-01	7.5616047520E-01	7.5140137930E-01	7.5175932665E-01	7.5166882202E-01	7.0287330971E-01	6.3325792510E-01	4.4685436996E-01	8.6563266577E-02	7.4774109275E-01	4.4679069311E-01	7.4775378097E-01	7.3921743433E-01	7.4775151484E-01	7.3924510458E-01	6.6607843792E-01	
Caplet Vola Analytic Single-Curve	4.5941184804E-01	5.0197176126E-01	0.0000000000E00	1.7059821134E-03	2.5303056078E-02	2.6312159255E-02	6.5533507826E-02	2.8010049053E-02	2.8010049053E-02	2.7394777849E-02	2.6200630427E-01	2.6200679283E-01	2.6137813632E-01	2.6138916853E-01	2.6235227516E-01	2.6141381430E-01	2.6141381430E-01	2.6139648794E-01	1.0933654610E-01	1.1081700212E-01	1.0847638074E-01	1.1068134179E-01	1.1072169233E-01	2.5401584973E-01	2.5418871394E-01	2.4942961804E-01	2.4978756539E-01	2.4969706076E-01	2.0090154845E-01	1.3832091773E-01	9.4882613122E-01	5.7755216081E-01	2.4576933149E-01	9.4876245437E-01	2.4578201971E-01	2.3724567307E-01	2.4577975358E-01	2.3727334332E-01	1.6800588371E-01	
Caplet Vola Monte-Carlo Single-Curve	4.5949060007E-01	5.0205051328E-01	1.7059821134E-03	0.0000000000E00	2.5224304051E-02	2.6233407228E-02	6.5454755800E-02	2.7931297026E-02	2.7931297026E-02	2.7316025823E-02	2.6192755225E-01	2.6192804080E-01	2.6129938429E-01	2.6131041650E-01	2.6227352313E-01	2.6133506227E-01	2.6133506227E-01	2.6131773591E-01	1.0949368160E-01	1.1097413762E-01	1.0842807377E-01	1.1063303481E-01	1.1064239758E-01	2.5393709770E-01	2.5410996192E-01	2.4935086601E-01	2.4970881336E-01	2.4961830873E-01	2.0082279643E-01	1.3816695386E-01	9.4890488324E-01	5.7763091284E-01	2.4569057946E-01	9.4884120639E-01	2.4570326769E-01	2.3716692104E-01	2.4570100155E-01	2.3719459130E-01	1.6825917438E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	4.8471490412E-01	5.2727481734E-01	2.5303056078E-02	2.5224304051E-02	0.0000000000E00	1.0091031767E-03	4.0230451749E-02	2.7069929751E-03	2.7069929751E-03	2.5541310679E-03	2.3670324820E-01	2.3670373675E-01	2.3607508024E-01	2.3608611245E-01	2.3704921908E-01	2.3611075822E-01	2.3611075822E-01	2.3609343186E-01	9.2344623434E-02	9.3648232309E-02	8.9538247194E-02	9.1645840747E-02	9.1627898651E-02	2.2871279365E-01	2.2888565787E-01	2.2412656196E-01	2.2448450931E-01	2.2439400468E-01	1.7676222479E-01	1.2206809704E-01	9.7412918730E-01	6.0285521689E-01	2.2046627541E-01	9.7406551044E-01	2.2047896364E-01	2.1194261699E-01	2.2047669750E-01	2.1197028725E-01	1.4890953412E-01	
Caplet Vola Analytic Multi-Curve Ju	4.8572400730E-01	5.2828392051E-01	2.6312159255E-02	2.6233407228E-02	1.0091031767E-03	0.0000000000E00	3.9221348572E-02	1.6978897984E-03	1.6978897984E-03	1.8259229437E-03	2.3569414502E-01	2.3569463357E-01	2.3506597706E-01	2.3507700927E-01	2.3604011591E-01	2.3510165505E-01	2.3510165505E-01	2.3508432869E-01	9.1722998000E-02	9.2961334197E-02	8.8781154460E-02	9.0888748014E-02	9.0870805918E-02	2.2770369048E-01	2.2787655469E-01	2.2311745878E-01	2.2347540613E-01	2.2338490151E-01	1.7582360022E-01	1.2139692799E-01	9.7513829047E-01	6.0386432007E-01	2.1945717223E-01	9.7507461362E-01	2.1946986046E-01	2.1093351382E-01	2.1946759433E-01	2.1096118407E-01	1.4804971215E-01	
Caplet Vola Analytic Multi-Curve Ho	5.2494535587E-01	5.6750526908E-01	6.5533507826E-02	6.5454755800E-02	4.0230451749E-02	3.9221348572E-02	0.0000000000E00	3.7523458773E-02	3.7523458773E-02	3.8138729977E-02	1.9647279645E-01	1.9647328500E-01	1.9584462849E-01	1.9585566070E-01	1.9681876733E-01	1.9588030647E-01	1.9588030647E-01	1.9586298011E-01	7.8075682154E-02	7.8453234416E-02	7.1165640060E-02	7.2328541375E-02	7.2336690497E-02	1.8848234190E-01	1.8865520612E-01	1.8389611021E-01	1.8425405756E-01	1.8416355293E-01	1.4545519434E-01	1.0276554231E-01	1.0143596390E00	6.4308566864E-01	1.8023582366E-01	1.0142959622E00	1.8024851189E-01	1.7171216524E-01	1.8024624575E-01	1.7173983550E-01	1.2951188796E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	4.8742189709E-01	5.2998181031E-01	2.8010049053E-02	2.7931297026E-02	2.7069929751E-03	1.6978897984E-03	3.7523458773E-02	0.0000000000E00	0.0000000000E00	2.4041281844E-03	2.3399625522E-01	2.3399674377E-01	2.3336808726E-01	2.3337911947E-01	2.3434222611E-01	2.3340376525E-01	2.3340376525E-01	2.3338643889E-01	9.1015500772E-02	9.2091934166E-02	8.7697888938E-02	8.9805482491E-02	8.9787540395E-02	2.2600580068E-01	2.2617866489E-01	2.2141956899E-01	2.2177751633E-01	2.2168701171E-01	1.7434255403E-01	1.2038044498E-01	9.7683618027E-01	6.0556220986E-01	2.1775928243E-01	9.7677250342E-01	2.1777197066E-01	2.0923562402E-01	2.1776970453E-01	2.0926329427E-01	1.4726433799E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	4.8742189709E-01	5.2998181031E-01	2.8010049053E-02	2.7931297026E-02	2.7069929751E-03	1.6978897984E-03	3.7523458773E-02	0.0000000000E00	0.0000000000E00	2.4041281844E-03	2.3399625522E-01	2.3399674377E-01	2.3336808726E-01	2.3337911947E-01	2.3434222611E-01	2.3340376525E-01	2.3340376525E-01	2.3338643889E-01	9.1015500772E-02	9.2091934166E-02	8.7697888938E-02	8.9805482491E-02	8.9787540395E-02	2.2600580068E-01	2.2617866489E-01	2.2141956899E-01	2.2177751633E-01	2.2168701171E-01	1.7434255403E-01	1.2038044498E-01	9.7683618027E-01	6.0556220986E-01	2.1775928243E-01	9.7677250342E-01	2.1777197066E-01	2.0923562402E-01	2.1776970453E-01	2.0926329427E-01	1.4726433799E-01	
Caplet Vola Monte-Carlo Multi-Curve	4.8680662589E-01	5.2936653911E-01	2.7394777849E-02	2.7316025823E-02	2.5541310679E-03	1.8259229437E-03	3.8138729977E-02	2.4041281844E-03	2.4041281844E-03	0.0000000000E00	2.3461152642E-01	2.3461201498E-01	2.3398335847E-01	2.3399439068E-01	2.3495749731E-01	2.3401903645E-01	2.3401903645E-01	2.3400171009E-01	9.1086261099E-02	9.2169045774E-02	8.7934214862E-02	9.0041808415E-02	9.0023866319E-02	2.2662107188E-01	2.2679393609E-01	2.2203484019E-01	2.2239278754E-01	2.2230228291E-01	1.7476211786E-01	1.2056615190E-01	9.7622090907E-01	6.0494693866E-01	2.1837455364E-01	9.7615723221E-01	2.1838724186E-01	2.0985089522E-01	2.1838497573E-01	2.0987856548E-01	1.4675687566E-01	
