	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.5326532986E-02	5.6836207218E-01	5.7238744083E-01	6.0383591975E-01	6.0697126134E-01	6.5048265185E-01	6.0823062960E-01	6.0823062960E-01	6.1086742337E-01	9.3848826569E-01	9.3850206754E-01	9.3837980391E-01	9.3839294766E-01	9.3865816969E-01	9.3839814494E-01	9.3839814494E-01	9.3842442937E-01	8.2810664931E-01	8.2937889021E-01	8.3196492716E-01	8.3287295360E-01	8.3386482891E-01	9.3136779356E-01	9.3148809551E-01	9.2962987199E-01	9.2974283831E-01	9.2991632525E-01	9.3055106076E-01	8.7404628749E-01	9.5232713082E-01	2.0048889605E-01	9.2370123859E-01	9.5216711114E-01	9.2369873155E-01	9.2161161860E-01	9.2367606076E-01	9.2159272742E-01	9.1779483522E-01	
Target (LIBOR)	5.5326532986E-02	0.0000000000E00	6.2095303027E-01	6.2497839892E-01	6.5615762141E-01	6.5932393138E-01	7.0211233855E-01	6.6056463198E-01	6.6056463198E-01	6.6345029120E-01	9.9381479868E-01	9.9382860053E-01	9.9370633690E-01	9.9371948064E-01	9.9398470268E-01	9.9372467792E-01	9.9372467792E-01	9.9375096235E-01	8.8231303198E-01	8.8358527288E-01	8.8617130983E-01	8.8707933627E-01	8.8807121158E-01	9.8669432654E-01	9.8681462850E-01	9.8495640497E-01	9.8506937130E-01	9.8524285823E-01	9.8587759374E-01	9.2663724558E-01	9.2287391030E-01	1.7103567554E-01	9.7902777157E-01	9.2271389062E-01	9.7902526454E-01	9.7693815159E-01	9.7900259374E-01	9.7691926041E-01	9.7295923729E-01	
Caplet Vola Analytic Single-Curve	5.6836207218E-01	6.2095303027E-01	0.0000000000E00	4.7893095600E-03	4.0368573887E-02	4.2961207024E-02	8.9739500882E-02	4.4349645533E-02	4.4349645533E-02	4.6093245456E-02	4.7552824604E-01	4.7552758598E-01	4.7551779057E-01	4.7551837868E-01	4.7553560134E-01	4.7551856776E-01	4.7551856776E-01	4.7551395564E-01	2.6881424726E-01	2.7025396385E-01	2.7645791170E-01	2.7766737945E-01	2.7929831578E-01	4.7392008813E-01	4.7393015604E-01	4.7385375109E-01	4.7385854147E-01	4.7389136033E-01	4.6628864345E-01	4.5628864345E-01	1.2877404697E00	6.1322511195E-01	4.6479302195E-01	1.2875804500E00	4.6478391842E-01	4.6431337161E-01	4.6479364345E-01	4.6432364345E-01	4.7128864345E-01	
Caplet Vola Monte-Carlo Single-Curve	5.7238744083E-01	6.2497839892E-01	4.7893095600E-03	0.0000000000E00	4.4376824343E-02	4.6938046974E-02	9.3747751338E-02	4.8357895988E-02	4.8357895988E-02	4.8863144648E-02	4.7594562565E-01	4.7594496558E-01	4.7593517018E-01	4.7593575829E-01	4.7595298094E-01	4.7593594736E-01	4.7593594736E-01	4.7593133525E-01	2.6775930402E-01	2.6919902061E-01	2.7492218798E-01	2.7613165573E-01	2.7776259206E-01	4.7433746773E-01	4.7434753565E-01	4.7427113069E-01	4.7427592108E-01	4.7430873994E-01	4.6670602305E-01	4.5670602305E-01	1.2872149206E00	6.1012259631E-01	4.6521040156E-01	1.2870549009E00	4.6520129802E-01	4.6473075122E-01	4.6521102305E-01	4.6474102305E-01	4.7170602305E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	6.0383591975E-01	6.5615762141E-01	4.0368573887E-02	4.4376824343E-02	0.0000000000E00	3.1663099761E-03	4.9370926995E-02	4.4070105703E-03	4.4070105703E-03	8.4967271149E-03	4.6299735333E-01	4.6299669326E-01	4.6298689786E-01	4.6298748597E-01	4.6300470862E-01	4.6298767504E-01	4.6298767504E-01	4.6298306293E-01	2.4030050521E-01	2.4196731370E-01	2.4835968264E-01	2.4956915038E-01	2.5120008672E-01	4.6138919541E-01	4.6139926332E-01	4.6132285837E-01	4.6132764875E-01	4.6136046762E-01	4.5375775073E-01	4.4375775073E-01	1.3217842387E00	6.5359368583E-01	4.5226212923E-01	1.3216242190E00	4.5225302570E-01	4.5178247890E-01	4.5226275073E-01	4.5179275073E-01	4.5875775073E-01	
Caplet Vola Analytic Multi-Curve Ju	6.0697126134E-01	6.5932393138E-01	4.2961207024E-02	4.6938046974E-02	3.1663099761E-03	0.0000000000E00	4.6809704363E-02	1.8617673957E-03	1.8617673957E-03	5.7343188632E-03	4.6264035265E-01	4.6263969258E-01	4.6262989718E-01	4.6263048529E-01	4.6264770795E-01	4.6263067436E-01	4.6263067436E-01	4.6262606225E-01	2.3763079612E-01	2.3929760461E-01	2.4568997355E-01	2.4689944129E-01	2.4853037762E-01	4.6103219473E-01	4.6104226265E-01	4.6096585770E-01	4.6097064808E-01	4.6100346694E-01	4.5340075005E-01	4.4340075005E-01	1.3219281894E00	6.5615490847E-01	4.5190512856E-01	1.3217681698E00	4.5189602502E-01	4.5142547822E-01	4.5190575005E-01	4.5143575005E-01	4.5840075005E-01	
Caplet Vola Analytic Multi-Curve Ho	6.5048265185E-01	7.0211233855E-01	8.9739500882E-02	9.3747751338E-02	4.9370926995E-02	4.6809704363E-02	0.0000000000E00	4.5389855349E-02	4.5389855349E-02	4.6367643172E-02	4.5531756220E-01	4.5531690214E-01	4.5530710674E-01	4.5530769485E-01	4.5532491750E-01	4.5530788392E-01	4.5530788392E-01	4.5530327180E-01	2.0738623231E-01	2.0905304080E-01	2.1544540974E-01	2.1665487748E-01	2.1828581382E-01	4.5370940429E-01	4.5371947220E-01	4.5364306725E-01	4.5364785763E-01	4.5368067650E-01	4.4607795961E-01	4.3607795961E-01	1.3544118676E00	7.0296461283E-01	4.4458233811E-01	1.3542518479E00	4.4457323458E-01	4.4410268777E-01	4.4458295961E-01	4.4411295961E-01	4.5107795961E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	6.0823062960E-01	6.6056463198E-01	4.4349645533E-02	4.8357895988E-02	4.4070105703E-03	1.8617673957E-03	4.5389855349E-02	0.0000000000E00	0.0000000000E00	4.7871090858E-03	4.6252558084E-01	4.6252492078E-01	4.6251512538E-01	4.6251571348E-01	4.6253293614E-01	4.6251590256E-01	4.6251590256E-01	4.6251129044E-01	2.3656116552E-01	2.3822797401E-01	2.4462034295E-01	2.4582981069E-01	2.4746074703E-01	4.6091742293E-01	4.6092749084E-01	4.6085108589E-01	4.6085587627E-01	4.6088869514E-01	4.5328597825E-01	4.4328597825E-01	1.3236187728E00	6.5757475748E-01	4.5179035675E-01	1.3234587531E00	4.5178125322E-01	4.5131070641E-01	4.5179097825E-01	4.5132097825E-01	4.5828597825E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	6.0823062960E-01	6.6056463198E-01	4.4349645533E-02	4.8357895988E-02	4.4070105703E-03	1.8617673957E-03	4.5389855349E-02	0.0000000000E00	0.0000000000E00	4.7871090858E-03	4.6252558084E-01	4.6252492078E-01	4.6251512538E-01	4.6251571348E-01	4.6253293614E-01	4.6251590256E-01	4.6251590256E-01	4.6251129044E-01	2.3656116552E-01	2.3822797401E-01	2.4462034295E-01	2.4582981069E-01	2.4746074703E-01	4.6091742293E-01	4.6092749084E-01	4.6085108589E-01	4.6085587627E-01	4.6088869514E-01	4.5328597825E-01	4.4328597825E-01	1.3236187728E00	6.5757475748E-01	4.5179035675E-01	1.3234587531E00	4.5178125322E-01	4.5131070641E-01	4.5179097825E-01	4.5132097825E-01	4.5828597825E-01	
Caplet Vola Monte-Carlo Multi-Curve	6.1086742337E-01	6.6345029120E-01	4.6093245456E-02	4.8863144648E-02	8.4967271149E-03	5.7343188632E-03	4.6367643172E-02	4.7871090858E-03	4.7871090858E-03	0.0000000000E00	4.6532545507E-01	4.6532479500E-01	4.6531499960E-01	4.6531558771E-01	4.6533281037E-01	4.6531577678E-01	4.6531577678E-01	4.6531116467E-01	2.3352227787E-01	2.3518908637E-01	2.4158145530E-01	2.4279092304E-01	2.4442185938E-01	4.6371729715E-01	4.6372736507E-01	4.6365096012E-01	4.6365575050E-01	4.6368856936E-01	4.5608585247E-01	4.4608585247E-01	1.3219832295E00	6.5876128902E-01	4.5459023098E-01	1.3218232098E00	4.5458112744E-01	4.5411058064E-01	4.5459085247E-01	4.5412085247E-01	4.6108585247E-01	
