	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	1.3228278194E-01	1.7725186495E00	1.7719048315E00	1.9724325410E00	1.9737722342E00	?	1.9739912714E00	1.9739912714E00	1.9721457247E00	2.2486915662E00	2.2486914185E00	2.2486190342E00	2.2486199438E00	?	2.2486200926E00	2.2486200926E00	2.2486188394E00	1.8059114499E00	1.8051204672E00	1.9637971965E00	1.9655134140E00	1.9638830717E00	2.2482568812E00	2.2482559142E00	2.2480712378E00	2.2480756404E00	2.2480714581E00	2.2388072929E00	2.2288072929E00	1.2483072914E00	1.2493070445E00	2.2470739786E00	1.2483072914E00	2.2470726008E00	2.2439591758E00	2.2470741270E00	2.2439636101E00	2.2438072929E00	
Target (LIBOR)	1.3228278194E-01	0.0000000000E00	1.9048014314E00	1.9041876135E00	2.1047153230E00	2.1060550161E00	?	2.1062740534E00	2.1062740534E00	2.1044285066E00	2.3809743482E00	2.3809742004E00	2.3809018161E00	2.3809027258E00	?	2.3809028745E00	2.3809028745E00	2.3809016213E00	1.9381942318E00	1.9374032492E00	2.0960799784E00	2.0977961960E00	2.0961658536E00	2.3805396631E00	2.3805386961E00	2.3803540197E00	2.3803584223E00	2.3803542400E00	2.3710900748E00	2.3610900748E00	1.3805900733E00	1.3815898265E00	2.3793567606E00	1.3805900733E00	2.3793553828E00	2.3762419577E00	2.3793569090E00	2.3762463921E00	2.3760900748E00	
Caplet Vola Analytic Single-Curve	1.7725186495E00	1.9048014314E00	0.0000000000E00	4.5484504904E-03	1.9991389158E-01	2.0125358475E-01	?	2.0147262196E-01	2.0147262196E-01	1.9962707523E-01	4.7617291676E-01	4.7617276902E-01	4.7610038469E-01	4.7610129437E-01	?	4.7610144311E-01	4.7610144311E-01	4.7610018994E-01	3.2885134901E-01	3.2934203091E-01	3.2745541212E-01	3.2807747101E-01	3.2667191948E-01	4.7573823172E-01	4.7573726473E-01	4.7555258833E-01	4.7555699090E-01	4.7555280861E-01	4.6628864345E-01	4.5628864345E-01	1.4314421111E00	6.4889752132E-01	4.7455532915E-01	1.4310020781E00	4.7455395137E-01	4.7144052631E-01	4.7455547756E-01	4.7144496066E-01	4.7128864345E-01	
Caplet Vola Monte-Carlo Single-Curve	1.7719048315E00	1.9041876135E00	4.5484504904E-03	0.0000000000E00	2.0052770951E-01	2.0186740267E-01	?	2.0208643988E-01	2.0208643988E-01	2.0024089315E-01	4.7678673468E-01	4.7678658694E-01	4.7671420261E-01	4.7671511229E-01	?	4.7671526103E-01	4.7671526103E-01	4.7671400786E-01	3.2783472119E-01	3.2832540309E-01	3.2643878430E-01	3.2706084319E-01	3.2565529166E-01	4.7635204964E-01	4.7635108265E-01	4.7616640625E-01	4.7617080883E-01	4.7616662653E-01	4.6690246137E-01	4.5690246137E-01	1.4313096614E00	6.4753907349E-01	4.7516914707E-01	1.4308696284E00	4.7516776929E-01	4.7205434423E-01	4.7516929548E-01	4.7205877858E-01	4.7190246137E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.9724325410E00	2.1047153230E00	1.9991389158E-01	2.0052770951E-01	0.0000000000E00	6.2326394100E-03	?	7.3205183589E-03	7.3205183589E-03	1.1851566077E-02	3.3706256617E-01	3.3706810519E-01	3.3692048004E-01	3.3694101993E-01	?	3.3694536396E-01	3.3694536396E-01	3.3696078484E-01	2.7898627458E-01	2.7934724138E-01	2.7662977309E-01	2.7714411304E-01	2.7596179809E-01	3.3315805330E-01	3.3319946006E-01	3.3243724513E-01	3.3248916122E-01	3.3237216935E-01	3.2809659919E-01	2.7923029586E-01	1.4337767331E00	7.2312549651E-01	3.2988759308E-01	1.4333367001E00	3.2988704958E-01	3.2680842768E-01	3.2987752326E-01	3.2680340184E-01	3.1437594024E-01	
Caplet Vola Analytic Multi-Curve Ju	1.9737722342E00	2.1060550161E00	2.0125358475E-01	2.0186740267E-01	6.2326394100E-03	0.0000000000E00	?	1.5251075393E-03	1.5251075393E-03	5.8612925429E-03	3.3101919911E-01	3.3102473814E-01	3.3087711299E-01	3.3089765288E-01	?	3.3090199691E-01	3.3090199691E-01	3.3091741779E-01	2.7426574084E-01	2.7462670764E-01	2.7190923935E-01	2.7242357930E-01	2.7124126435E-01	3.2711468625E-01	3.2715609301E-01	3.2639387808E-01	3.2644579417E-01	3.2632880230E-01	3.2205323214E-01	2.7621243133E-01	1.4340542140E00	7.2446518968E-01	3.2384422603E-01	1.4336141810E00	3.2384368253E-01	3.2076506062E-01	3.2383415621E-01	3.2076003479E-01	3.0814330083E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.9739912714E00	2.1062740534E00	2.0147262196E-01	2.0208643988E-01	7.3205183589E-03	1.5251075393E-03	?	0.0000000000E00	0.0000000000E00	4.5310477180E-03	3.2974204781E-01	3.2974758683E-01	3.2959996168E-01	3.2962050157E-01	?	3.2962484560E-01	3.2962484560E-01	3.2964026648E-01	2.7274063330E-01	2.7310160010E-01	2.7038413181E-01	2.7089847176E-01	2.6971615681E-01	3.2583753494E-01	3.2587894170E-01	3.2511672677E-01	3.2516864286E-01	3.2505165099E-01	3.2077608083E-01	2.7493612314E-01	1.4342331294E00	7.2468422689E-01	3.2256707472E-01	1.4337930964E00	3.2256653122E-01	3.1948790932E-01	3.2255700490E-01	3.1948288349E-01	3.0720836721E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.9739912714E00	2.1062740534E00	2.0147262196E-01	2.0208643988E-01	7.3205183589E-03	1.5251075393E-03	?	0.0000000000E00	0.0000000000E00	4.5310477180E-03	3.2974204781E-01	3.2974758683E-01	3.2959996168E-01	3.2962050157E-01	?	3.2962484560E-01	3.2962484560E-01	3.2964026648E-01	2.7274063330E-01	2.7310160010E-01	2.7038413181E-01	2.7089847176E-01	2.6971615681E-01	3.2583753494E-01	3.2587894170E-01	3.2511672677E-01	3.2516864286E-01	3.2505165099E-01	3.2077608083E-01	2.7493612314E-01	1.4342331294E00	7.2468422689E-01	3.2256707472E-01	1.4337930964E00	3.2256653122E-01	3.1948790932E-01	3.2255700490E-01	3.1948288349E-01	3.0720836721E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.9721457247E00	2.1044285066E00	1.9962707523E-01	2.0024089315E-01	1.1851566077E-02	5.8612925429E-03	?	4.5310477180E-03	4.5310477180E-03	0.0000000000E00	3.2577173404E-01	3.2577503707E-01	3.2562598410E-01	3.2564887410E-01	?	3.2565515189E-01	3.2565515189E-01	3.2566776794E-01	2.6840444829E-01	2.6876541510E-01	2.6604794680E-01	2.6656228676E-01	2.6537997181E-01	3.2218624145E-01	3.2222384895E-01	3.2140811888E-01	3.2146216925E-01	3.2134004240E-01	3.1709857887E-01	2.7157809108E-01	1.4346251134E00	7.2283868016E-01	3.1803602701E-01	1.4341850804E00	3.1803548350E-01	3.1495686160E-01	3.1802595719E-01	3.1495183577E-01	3.0347493119E-01	
Caplet Value Analytic Single-Curve	2.2486915662E00	2.3809743482E00	4.7617291676E-01	4.7678673468E-01	3.3706256617E-01	3.3101919911E-01	?	3.2974204781E-01	3.2974204781E-01	3.2577173404E-01	0.0000000000E00	6.0233451875E-05	1.5894114752E-04	1.3326371038E-04	?	1.2311430188E-04	1.2311430188E-04	1.1901983509E-04	4.4278011633E-01	4.4357109898E-01	3.0924365847E-01	3.0489489501E-01	3.0348287783E-01	1.5681952888E-02	1.5142596619E-02	1.5997117875E-02	1.5139359441E-02	1.5420247689E-02	1.5753508129E-01	3.3782210173E-01	1.5942686023E00	9.9938452169E-01	2.7767414877E-02	1.5938285693E00	2.7773063828E-02	2.8674620784E-02	2.7781775762E-02	2.8715089745E-02	1.9253508129E-01	
