	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.8407657944E-02	9.4372112204E-01	9.4376991253E-01	1.0975897464E00	1.1161903056E00	1.2110939673E00	1.1198534482E00	1.1198534482E00	1.1282714832E00	2.0326136341E00	2.0326140062E00	2.0311936762E00	2.0316041943E00	2.0347170937E00	2.0316725285E00	2.0316725285E00	2.0318255871E00	1.3100427662E00	1.3182431164E00	1.4258412064E00	1.4396044668E00	1.4399104595E00	1.9893300553E00	1.9902511783E00	1.9827114366E00	1.9848170705E00	1.9845251068E00	1.7510952667E00	1.4229113979E00	5.8841299064E-01	1.7194661749E-01	1.9453476349E00	5.8834213477E-01	1.9454415187E00	1.9034642800E00	1.9454169320E00	1.9034941404E00	1.5968631358E00	
Target (LIBOR)	5.8407657944E-02	0.0000000000E00	9.8881407703E-01	9.8886778455E-01	1.1380647608E00	1.1560567048E00	1.2477364192E00	1.1596053438E00	1.1596053438E00	1.1677579328E00	2.0332593020E00	2.0332596539E00	2.0319177461E00	2.0323056036E00	2.0352465070E00	2.0323701644E00	2.0323701644E00	2.0325147703E00	1.3427819334E00	1.3506996377E00	1.4545059019E00	1.4677423629E00	1.4680512056E00	1.9923408889E00	1.9932122405E00	1.9860788965E00	1.9880712198E00	1.9877948758E00	1.7658104227E00	1.4514419312E00	5.4427196965E-01	1.3091584477E-01	1.9507126804E00	5.4420015059E-01	1.9508015346E00	1.9110119650E00	1.9507782805E00	1.9110403579E00	1.6182248660E00	
Caplet Vola Analytic Single-Curve	9.4372112204E-01	9.8881407703E-01	0.0000000000E00	7.8534280387E-03	2.1365727291E-01	2.4023375522E-01	3.8023396212E-01	2.4498476512E-01	2.4498476512E-01	2.5609595611E-01	2.0853896593E00	2.0853940528E00	2.0816642012E00	2.0827403747E00	2.0909317606E00	2.0829221280E00	2.0829221280E00	2.0833301863E00	6.3814613188E-01	6.4864616182E-01	7.8733200595E-01	8.0721415761E-01	8.0825996669E-01	1.9717314048E00	1.9740764492E00	1.9551056686E00	1.9603527452E00	1.9596994998E00	1.4683476806E00	8.8577474905E-01	1.3209084582E00	1.0458483234E00	1.8592450195E00	1.3208623936E00	1.8594777503E00	1.7606156707E00	1.8594099790E00	1.7606725166E00	1.2060116570E00	
Caplet Vola Monte-Carlo Single-Curve	9.4376991253E-01	9.8886778455E-01	7.8534280387E-03	0.0000000000E00	2.1401507726E-01	2.4060456228E-01	3.8058241237E-01	2.4534121743E-01	2.4534121743E-01	2.5644079147E-01	2.0856819864E00	2.0856853656E00	2.0819546439E00	2.0830315145E00	2.0912276360E00	2.0832133720E00	2.0832133720E00	2.0836217780E00	6.3793760010E-01	6.4844004377E-01	7.8710649745E-01	8.0701710324E-01	8.0806307350E-01	1.9719418205E00	1.9742891363E00	1.9553065360E00	1.9605595938E00	1.9599055383E00	1.4690316037E00	8.8572162242E-01	1.3211797212E00	1.0459909484E00	1.8594556462E00	1.3211335971E00	1.8596923293E00	1.7608033775E00	1.8596239583E00	1.7608596261E00	1.2067224948E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0975897464E00	1.1380647608E00	2.1365727291E-01	2.1401507726E-01	0.0000000000E00	2.7369410834E-02	1.7167092496E-01	3.2542714666E-02	3.2542714666E-02	4.5336599679E-02	2.1738235194E00	2.1738304178E00	2.1693529013E00	2.1706491442E00	2.1805412125E00	2.1708721612E00	2.1708721612E00	2.1713734598E00	5.7797470037E-01	5.8596993459E-01	6.9253458976E-01	7.0959533455E-01	7.1192999733E-01	2.0357919642E00	2.0385963510E00	2.0160619529E00	2.0222637422E00	2.0215607986E00	1.4914731037E00	8.5511190992E-01	1.4375177406E00	1.1896107332E00	1.9001545274E00	1.4374756589E00	1.9004423000E00	1.7875284812E00	1.9003519479E00	1.7875791752E00	1.2270915944E00	
Caplet Vola Analytic Multi-Curve Ju	1.1161903056E00	1.1560567048E00	2.4023375522E-01	2.4060456228E-01	2.7369410834E-02	0.0000000000E00	1.4448789254E-01	5.7738859326E-03	5.7738859326E-03	1.9888859369E-02	2.1877024706E00	2.1877099025E00	2.1831260589E00	2.1844530088E00	2.1945825498E00	2.1846816875E00	2.1846816875E00	2.1851958315E00	5.7441992623E-01	5.8197406400E-01	6.8284222233E-01	6.9930772801E-01	7.0184706405E-01	2.0462772985E00	2.0491444272E00	2.0261265930E00	2.0324561007E00	2.0317476838E00	1.4962079327E00	8.5670766530E-01	1.4509995377E00	1.2066915646E00	1.9074585660E00	1.4509579869E00	1.9077527536E00	1.7929339414E00	1.9076595351E00	1.7929839296E00	1.2323298293E00	
Caplet Vola Analytic Multi-Curve Ho	1.2110939673E00	1.2477364192E00	3.8023396212E-01	3.8058241237E-01	1.7167092496E-01	1.4448789254E-01	0.0000000000E00	1.3937514523E-01	1.3937514523E-01	1.2792651433E-01	2.2701921990E00	2.2702023409E00	2.2649974553E00	2.2665040714E00	2.2780230494E00	2.2667658331E00	2.2667658331E00	2.2673550256E00	5.7427795151E-01	5.7910612827E-01	6.4359985586E-01	6.5602557191E-01	6.5967376467E-01	2.1090351710E00	2.1122635798E00	2.0864605788E00	2.0935265293E00	2.0927859605E00	1.5285173572E00	8.7910927944E-01	1.5185057991E00	1.2932537194E00	1.9520326587E00	1.5184669687E00	1.9523643942E00	1.8269652199E00	1.9522548040E00	1.8270108067E00	1.2688338554E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1198534482E00	1.1596053438E00	2.4498476512E-01	2.4534121743E-01	3.2542714666E-02	5.7738859326E-03	1.3937514523E-01	0.0000000000E00	0.0000000000E00	1.4308329481E-02	2.1884289150E00	2.1884363961E00	2.1838304205E00	2.1851636668E00	2.1953413359E00	2.1853933819E00	2.1853933819E00	2.1859098557E00	5.7190577124E-01	5.7937367940E-01	6.7919550904E-01	6.9556456027E-01	6.9811959886E-01	2.0463475352E00	2.0492270699E00	2.0261108398E00	2.0324669527E00	2.0317557835E00	1.4946339236E00	8.5599305578E-01	1.4533947817E00	1.2099266215E00	1.9069309735E00	1.4533533518E00	1.9072259905E00	1.7919739972E00	1.9071325612E00	1.7920242779E00	1.2308009781E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1198534482E00	1.1596053438E00	2.4498476512E-01	2.4534121743E-01	3.2542714666E-02	5.7738859326E-03	1.3937514523E-01	0.0000000000E00	0.0000000000E00	1.4308329481E-02	2.1884289150E00	2.1884363961E00	2.1838304205E00	2.1851636668E00	2.1953413359E00	2.1853933819E00	2.1853933819E00	2.1859098557E00	5.7190577124E-01	5.7937367940E-01	6.7919550904E-01	6.9556456027E-01	6.9811959886E-01	2.0463475352E00	2.0492270699E00	2.0261108398E00	2.0324669527E00	2.0317557835E00	1.4946339236E00	8.5599305578E-01	1.4533947817E00	1.2099266215E00	1.9069309735E00	1.4533533518E00	1.9072259905E00	1.7919739972E00	1.9071325612E00	1.7920242779E00	1.2308009781E00	
Caplet Vola Monte-Carlo Multi-Curve	1.1282714832E00	1.1677579328E00	2.5609595611E-01	2.5644079147E-01	4.5336599679E-02	1.9888859369E-02	1.2792651433E-01	1.4308329481E-02	1.4308329481E-02	0.0000000000E00	2.1897038454E00	2.1897115562E00	2.1850544012E00	2.1864022084E00	2.1966911082E00	2.1866342948E00	2.1866342948E00	2.1871558267E00	5.6557363328E-01	5.7283750033E-01	6.7008878589E-01	6.8622591004E-01	6.8881722555E-01	2.0461199943E00	2.0490279335E00	2.0256813190E00	2.0320995946E00	2.0313809002E00	1.4904583513E00	8.5440116964E-01	1.4587881066E00	1.2172959259E00	1.9053248260E00	1.4587469679E00	1.9056204210E00	1.7893674638E00	1.9055272912E00	1.7894192503E00	1.2266983900E00	
