Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
88.65	93.86	47.63	47.67	46.06	46.01	45.57	45.98	45.98	46.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	44.75	44.55	41.89	41.77	41.26	0.24	0.24	0.24	0.24	0.24	1.00	2.00	100.50	99.50	1.15	100.50	1.15	1.20	1.15	1.20	0.50	
91.21	96.58	46.15	46.28	43.75	43.60	42.64	43.54	43.54	43.23	0.12	0.12	0.12	0.12	0.11	0.12	0.12	0.12	36.36	36.08	33.11	32.93	32.47	0.67	0.67	0.68	0.68	0.67	1.00	6.00	101.08	98.93	1.30	101.08	1.30	1.39	1.30	1.39	1.00	
92.88	98.34	44.54	44.61	41.67	41.43	39.97	41.32	41.32	40.96	0.15	0.15	0.15	0.15	0.14	0.15	0.15	0.15	27.20	26.91	23.97	23.76	23.41	0.90	0.89	0.93	0.92	0.90	1.00	10.00	101.73	98.30	1.44	101.73	1.43	1.56	1.44	1.57	1.50	
93.78	99.30	42.83	42.78	39.67	39.36	37.47	39.21	39.21	38.77	0.18	0.18	0.19	0.18	0.17	0.18	0.18	0.18	19.49	19.25	16.57	16.38	16.16	0.92	0.91	0.96	0.95	0.94	1.00	14.00	102.47	97.60	1.57	102.47	1.57	1.73	1.57	1.74	2.00	
94.06	99.59	41.07	40.79	37.70	37.32	35.09	37.14	37.14	36.62	0.21	0.20	0.21	0.21	0.19	0.21	0.21	0.21	15.13	14.93	12.53	12.38	12.22	0.92	0.91	0.98	0.97	0.95	1.00	18.00	103.28	96.84	1.68	103.28	1.69	1.89	1.69	1.90	2.50	
93.81	99.33	39.29	39.14	35.73	35.28	32.77	35.09	35.09	34.72	0.23	0.23	0.24	0.23	0.21	0.23	0.23	0.23	12.45	12.29	10.17	10.04	9.92	0.92	0.91	0.99	0.98	0.97	1.00	22.00	104.17	96.03	1.79	104.17	1.79	2.04	1.79	2.04	3.00	
93.15	98.63	37.52	37.42	33.75	33.25	30.51	33.04	33.04	32.53	0.24	0.24	0.25	0.25	0.22	0.25	0.25	0.25	10.64	10.50	8.63	8.52	8.42	0.92	0.91	1.01	0.99	0.98	1.00	26.00	105.13	95.17	1.88	105.13	1.88	2.18	1.88	2.18	3.50	
92.15	97.57	35.80	35.69	31.77	31.23	28.29	31.01	31.01	30.50	0.25	0.25	0.27	0.26	0.22	0.26	0.26	0.26	9.34	9.21	7.54	7.45	7.36	0.92	0.91	1.01	1.00	0.99	1.00	30.00	106.15	94.29	1.94	106.15	1.94	2.30	1.94	2.30	4.00	
90.88	96.23	34.14	33.82	29.80	29.21	26.10	29.00	29.00	28.52	0.26	0.26	0.28	0.27	0.23	0.27	0.27	0.26	8.43	8.32	6.74	6.65	6.58	0.92	0.91	1.02	1.01	1.00	1.00	34.00	107.22	93.38	1.98	107.22	1.98	2.41	1.99	2.41	4.50	
89.40	94.66	32.57	32.17	27.85	27.21	23.94	27.01	27.01	26.59	0.26	0.26	0.28	0.27	0.22	0.27	0.27	0.27	35.95	35.50	31.48	30.90	30.63	0.47	0.47	0.49	0.48	0.47	3.50	2.00	108.34	92.46	2.00	108.33	2.00	2.50	2.00	2.50	5.00	
