Component1	Component2	Covariance
0	0	0.0
0	1	0.0
0	2	0.0
0	3	0.0
0	4	0.0
0	5	0.0
0	6	0.0
0	7	0.0
0	8	0.0
0	9	0.0
0	10	0.0
0	11	0.0
0	12	0.0
0	13	0.0
0	14	0.0
0	15	0.0
0	16	0.0
0	17	0.0
0	18	0.0
0	19	0.0
0	20	0.0
0	21	0.0
0	22	0.0
0	23	0.0
0	24	0.0
0	25	0.0
0	26	0.0
0	27	0.0
0	28	0.0
0	29	0.0
0	30	0.0
0	31	0.0
0	32	0.0
0	33	0.0
0	34	0.0
0	35	0.0
0	36	0.0
0	37	0.0
0	38	0.0
0	39	0.0
0	40	0.0
0	41	0.0
0	42	0.0
0	43	0.0
0	44	0.0
0	45	0.0
0	46	0.0
0	47	0.0
0	48	0.0
0	49	0.0
0	50	0.0
0	51	0.0
0	52	0.0
0	53	0.0
0	54	0.0
0	55	0.0
0	56	0.0
0	57	0.0
0	58	0.0
0	59	0.0
0	60	0.0
0	61	0.0
0	62	0.0
0	63	0.0
0	64	0.0
0	65	0.0
0	66	0.0
0	67	0.0
0	68	0.0
0	69	0.0
0	70	0.0
0	71	0.0
0	72	0.0
0	73	0.0
0	74	0.0
0	75	0.0
0	76	0.0
0	77	0.0
0	78	0.0
0	79	0.0
1	0	0.0
1	1	0.22685087187634295
1	2	0.21253097321158101
1	3	0.1958629076409697
1	4	0.17742327022963836
1	5	0.15770018029704144
1	6	0.1371048989807017
1	7	0.11598203691423939
1	8	0.09461851514872423
1	9	0.07325142416663367
1	10	0.05207490955976318
1	11	0.031246198450852962
1	12	0.010890867840896601
1	13	0.0
1	14	0.0
1	15	0.0
1	16	0.0
1	17	0.0
1	18	0.0
1	19	0.0
1	20	0.0
1	21	0.0
1	22	0.0
1	23	0.0
1	24	0.0
1	25	0.0
1	26	0.0
1	27	0.0
1	28	0.0
1	29	0.0
1	30	0.0
1	31	0.0
1	32	0.0
1	33	0.0
1	34	0.0
1	35	0.0
1	36	0.0
1	37	0.0
1	38	0.0
1	39	0.0
1	40	0.0
1	41	0.01359179316606226
1	42	0.012928913591286138
1	43	0.012298363034858572
1	44	0.011698564791949376
1	45	0.011128019054530319
1	46	0.010585299161073855
1	47	0.010069048029156175
1	48	0.009577974762044276
1	49	0.00911085142078174
1	50	0.008666509953701728
1	51	0.008243839275689403
1	52	0.007841782489890415
1	53	0.007459334244918236
1	54	0.007095538220952041
1	55	0.0067494847384390304
1	56	0.00642030848342171
1	57	0.006107186343802285
1	58	0.005809335351133668
1	59	0.005526010722790532
1	60	0.005256503999624813
1	61	0.005000141274448812
1	62	0.00475628150691621
1	63	0.004524314920587295
1	64	0.004303661478170246
1	65	0.004093769431125776
1	66	0.003894113940008387
1	67	0.003704195762094386
1	68	0.003523540003015026
1	69	0.0033516949292732275
1	70	0.0031882308386745337
1	71	0.0030327389858478054
1	72	0.002884830560168887
1	73	0.0027441357135315225
1	74	0.0026103026355344464
1	75	0.002482996673772129
1	76	0.0023618994970294495
1	77	0.002246708299287849
1	78	0.0021371350425525583
1	79	0.0020329057366075785
2	0	0.0
2	1	0.21253097321158101
2	2	0.19911501419700842
2	3	0.18349911566430413
2	4	0.16622347527428097
2	5	0.14774539994909858
2	6	0.12845019008050276
2	7	0.10866070285099663
2	8	0.08864574749950599
2	9	0.06862744823725098
2	10	0.04878769526913908
2	11	0.02927379079919025
2	12	0.010203384814876025
2	13	0.0
2	14	0.0
2	15	0.0
2	16	0.0
2	17	0.0
2	18	0.0
2	19	0.0
2	20	0.0
2	21	0.0
2	22	0.0
2	23	0.0
2	24	0.0
2	25	0.0
2	26	0.0
2	27	0.0
2	28	0.0
2	29	0.0
2	30	0.0
2	31	0.0
2	32	0.0
2	33	0.0
2	34	0.0
2	35	0.0
2	36	0.0
2	37	0.0
2	38	0.0
2	39	0.0
2	40	0.0
2	41	0.012733814974484003
2	42	0.01211277948987699
2	43	0.011522032263259742
2	44	0.010960096118859224
2	45	0.010425565923614969
2	46	0.009917105073614521
2	47	0.009433442151887452
2	48	0.008973367749200678
2	49	0.00853573143990543
2	50	0.008119438905273892
2	51	0.007723449197132391
2	52	0.007346772134948746
2	53	0.0069884658298651784
2	54	0.006647634329485558
2	55	0.006323425377527737
2	56	0.0060150282827389195
2	57	0.00572167189174526
2	58	0.005442622660766756
2	59	0.005177182821375706
2	60	0.004924688635712196
2	61	0.0046845087367937185
2	62	0.004456042549768855
2	63	0.004238718790167322
2	64	0.004031994035391224
2	65	0.0038353513658755064
2	66	0.0036482990725197856
2	67	0.003470369427159484
2	68	0.0033011175130017883
2	69	0.0031401201121019195
2	70	0.0029869746470978266
2	71	0.002841298174557089
2	72	0.002702726427418869
2	73	0.002570912904136521
2	74	0.0024455280022432422
2	75	0.002326258194174221
2	76	0.0022128052432844143
2	77	0.0021048854581015956
2	78	0.0020022289829499025
2	79	0.0019045791231700855
3	0	0.0
3	1	0.1958629076409697
3	2	0.18349911566430416
3	3	0.169107917779952
3	4	0.15318714582366313
3	5	0.13615824172507754
3	6	0.1183762881053405
3	7	0.10013882158023214
3	8	0.08169356961432465
3	9	0.0632452359889522
3	10	0.0449614458924167
3	11	0.026977949128830492
3	12	0.009403168806044113
3	13	0.0
3	14	0.0
3	15	0.0
3	16	0.0
3	17	0.0
3	18	0.0
3	19	0.0
3	20	0.0
3	21	0.0
3	22	0.0
3	23	0.0
3	24	0.0
3	25	0.0
3	26	0.0
3	27	0.0
3	28	0.0
3	29	0.0
3	30	0.0
3	31	0.0
3	32	0.0
3	33	0.0
3	34	0.0
3	35	0.0
3	36	0.0
3	37	0.0
3	38	0.0
3	39	0.0
3	40	0.0
3	41	0.01173514612282711
3	42	0.011162816292848614
3	43	0.010618399318053582
3	44	0.010100533872430883
3	45	0.009607925022622397
3	46	0.009139340989915113
3	47	0.008693610070152739
3	48	0.008269617703865001
3	49	0.007866303689288421
3	50	0.007482659531309668
3	51	0.007117725919702478
3	52	0.006770590330352403
3	53	0.006440384743471216
3	54	0.006126283473095303
3	55	0.0058275011024406815
3	56	0.005543290519951925
3	57	0.005272941051134133
3	58	0.0050157766814965124
3	59	0.0047711543661640285
3	60	0.004538462421930278
3	61	0.0043171189977308545
3	62	0.00410657061971262
3	63	0.003906290807260776
3	64	0.003715778756523097
3	65	0.0035345580881394447
3	66	0.003362175656045228
3	67	0.003198200414370213
3	68	0.003042222339599322
3	69	0.0028938514053002793
3	70	0.002752716606854367
3	71	0.002618465033751638
3	72	0.002490760987130813
3	73	0.0023692851403572736
3	74	0.0022537337405401426
3	75	0.002143817848991842
3	76	0.002039262618730868
3	77	0.0019398066072211827
3	78	0.0018452011226296882
3	79	0.0017552096019671094
4	0	0.0
4	1	0.17742327022963839
4	2	0.16622347527428097
4	3	0.15318714582366313
4	4	0.13876524502025533
4	5	0.12333953787647983
4	6	0.10723167753536456
4	7	0.09071118883967114
4	8	0.07400247679502046
4	9	0.05729097321568569
4	10	0.040728522110517654
4	11	0.02443809303239767
4	12	0.008517901527061241
4	13	0.0
4	14	0.0
4	15	0.0
4	16	0.0
4	17	0.0
4	18	0.0
4	19	0.0
4	20	0.0
4	21	0.0
4	22	0.0
4	23	0.0
4	24	0.0
4	25	0.0
4	26	0.0
4	27	0.0
4	28	0.0
4	29	0.0
4	30	0.0
4	31	0.0
4	32	0.0
4	33	0.0
4	34	0.0
4	35	0.0
4	36	0.0
4	37	0.0
4	38	0.0
4	39	0.0
4	40	0.0
4	41	0.010630333363330129
4	42	0.010111885887451254
4	43	0.009618723393337148
4	44	0.009149612717875651
4	45	0.008703380840029269
4	46	0.008278911947671582
