	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	3.4648610645E-02	5.3765200807E-03	3.7969385065E-03	3.5062163973E-02	3.4614709140E-02	?	3.4500034517E-02	3.4500034517E-02	2.7685069693E-02	1.9997903223E00	1.9997322160E00	1.9727427503E00	1.9727814522E00	?	1.9727918211E00	1.9727918211E00	1.9732667904E00	3.8977392295E-01	3.9811117172E-01	3.0281807832E-01	3.1344899482E-01	2.9881468574E-01	1.7653284788E00	1.7695303789E00	1.5714414965E00	1.5806616057E00	1.5746715743E00	1.3358902230E00	7.5841943116E-01	1.4098263311E00	1.0892445293E00	1.6784595752E00	1.4050618327E00	1.6789520131E00	1.5018019821E00	1.6788792393E00	1.5015351634E00	1.0513856161E00	
Target (LIBOR)	3.4648610645E-02	0.0000000000E00	3.5069432979E-02	3.3544615932E-02	1.7627069812E-03	1.6656912297E-03	?	1.6676818774E-03	1.6676818774E-03	8.7904032085E-03	2.0012553819E00	2.0011991719E00	1.9750834668E00	1.9751209281E00	?	1.9751309647E00	1.9751309647E00	1.9755906630E00	4.0786665331E-01	4.1679630327E-01	3.1850000259E-01	3.2985139269E-01	3.1589432325E-01	1.7738966765E00	1.7779816559E00	1.5851204441E00	1.5941287167E00	1.5882801047E00	1.3528383888E00	7.7836890160E-01	1.3920212007E00	1.0646990659E00	1.6894169168E00	1.3871969765E00	1.6898950935E00	1.5173164369E00	1.6898247682E00	1.5170565983E00	1.0709593006E00	
Caplet Vola Analytic Single-Curve	5.3765200807E-03	3.5069432979E-02	0.0000000000E00	7.1816149182E-03	3.5465803424E-02	3.5016832070E-02	?	3.4902459965E-02	3.4902459965E-02	2.7779293364E-02	1.9988767841E00	1.9988196752E00	1.9718601048E00	1.9718987687E00	?	1.9719091285E00	1.9719091285E00	1.9723832984E00	3.8886165487E-01	3.9721769247E-01	3.0196321307E-01	3.1257926568E-01	2.9795842979E-01	1.7645690041E00	1.7687679122E00	1.5709160427E00	1.5801234433E00	1.5741424248E00	1.3341660698E00	7.5885915109E-01	1.4093088963E00	1.0890993736E00	1.6775775410E00	1.4045523320E00	1.6780642347E00	1.5010877368E00	1.6779930715E00	1.5008231329E00	1.0495935878E00	
Caplet Vola Monte-Carlo Single-Curve	3.7969385065E-03	3.3544615932E-02	7.1816149182E-03	0.0000000000E00	3.3945327089E-02	3.3516266593E-02	?	3.3407098090E-02	3.3407098090E-02	2.6540479737E-02	1.9993146007E00	1.9992562112E00	1.9723068680E00	1.9723455351E00	?	1.9723558951E00	1.9723558951E00	1.9728302053E00	3.8953616213E-01	3.9791770863E-01	3.0234766193E-01	3.1308581132E-01	2.9846791650E-01	1.7651088909E00	1.7693073746E00	1.5714114588E00	1.5806299301E00	1.5746455235E00	1.3358361496E00	7.5927893101E-01	1.4089610241E00	1.0881962407E00	1.6783307462E00	1.4041922035E00	1.6788237786E00	1.5018830035E00	1.6787510858E00	1.5016164249E00	1.0512791474E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	3.5062163973E-02	1.7627069812E-03	3.5465803424E-02	3.3945327089E-02	0.0000000000E00	5.5367272329E-04	?	7.0450139356E-04	7.0450139356E-04	9.0365423134E-03	2.0012516772E00	2.0011954780E00	1.9750873848E00	1.9751248402E00	?	1.9751348756E00	1.9751348756E00	1.9755944559E00	4.0814239119E-01	4.1706853165E-01	3.1872300077E-01	3.3009917325E-01	3.1614369959E-01	1.7739342627E00	1.7780181332E00	1.5851809291E00	1.5941905790E00	1.5883419163E00	1.3530977527E00	7.7840286390E-01	1.3918454411E00	1.0644190642E00	1.6895072994E00	1.3870162915E00	1.6899854160E00	1.5174435796E00	1.6899151632E00	1.5171838669E00	1.0711763954E00	
Caplet Vola Analytic Multi-Curve Ju	3.4614709140E-02	1.6656912297E-03	3.5016832070E-02	3.3516266593E-02	5.5367272329E-04	0.0000000000E00	?	1.5131400330E-04	1.5131400330E-04	8.6532332144E-03	2.0013425065E00	2.0012862980E00	1.9751658413E00	1.9752033104E00	?	1.9752133493E00	1.9752133493E00	1.9756731414E00	4.0795759156E-01	4.1687395366E-01	3.1857716320E-01	3.2993455719E-01	3.1597023100E-01	1.7739368712E00	1.7780220943E00	1.5851173372E00	1.5941287042E00	1.5882782340E00	1.3530298086E00	7.7820592388E-01	1.3921249347E00	1.0647647173E00	1.6894801855E00	1.3872967918E00	1.6899584442E00	1.5173510188E00	1.6898881483E00	1.5170911998E00	1.0711083752E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	3.4500034517E-02	1.6676818774E-03	3.4902459965E-02	3.3407098090E-02	7.0450139356E-04	1.5131400330E-04	?	0.0000000000E00	0.0000000000E00	8.5607650708E-03	2.0013721019E00	2.0013158905E00	1.9751921440E00	1.9752296166E00	?	1.9752396564E00	1.9752396564E00	1.9756995051E00	4.0791536039E-01	4.1682906069E-01	3.1854564899E-01	3.2989770493E-01	3.1593110159E-01	1.7739436252E00	1.7780291949E00	1.5851066682E00	1.5941184450E00	1.5882674961E00	1.3530212021E00	7.7815682920E-01	1.3921996866E00	1.0648551259E00	1.6894794406E00	1.3873718057E00	1.6899577412E00	1.5173328423E00	1.6898874316E00	1.5170729921E00	1.0711013230E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	3.4500034517E-02	1.6676818774E-03	3.4902459965E-02	3.3407098090E-02	7.0450139356E-04	1.5131400330E-04	?	0.0000000000E00	0.0000000000E00	8.5607650708E-03	2.0013721019E00	2.0013158905E00	1.9751921440E00	1.9752296166E00	?	1.9752396564E00	1.9752396564E00	1.9756995051E00	4.0791536039E-01	4.1682906069E-01	3.1854564899E-01	3.2989770493E-01	3.1593110159E-01	1.7739436252E00	1.7780291949E00	1.5851066682E00	1.5941184450E00	1.5882674961E00	1.3530212021E00	7.7815682920E-01	1.3921996866E00	1.0648551259E00	1.6894794406E00	1.3873718057E00	1.6899577412E00	1.5173328423E00	1.6898874316E00	1.5170729921E00	1.0711013230E00	
Caplet Vola Monte-Carlo Multi-Curve	2.7685069693E-02	8.7904032085E-03	2.7779293364E-02	2.6540479737E-02	9.0365423134E-03	8.6532332144E-03	?	8.5607650708E-03	8.5607650708E-03	0.0000000000E00	2.0002828418E00	2.0002266124E00	1.9739548264E00	1.9739925351E00	?	1.9740026393E00	1.9740026393E00	1.9744646847E00	4.0261089872E-01	4.1142720087E-01	3.1363432466E-01	3.2488817725E-01	3.1075962789E-01	1.7714851990E00	1.7755935113E00	1.5817622546E00	1.5908145830E00	1.5849404269E00	1.3482641760E00	7.7463970875E-01	1.3955068779E00	1.0697972089E00	1.6865090732E00	1.3906961195E00	1.6869870658E00	1.5135857041E00	1.6869175466E00	1.5133264164E00	1.0657861531E00	
