	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.5119826435E-03	1.1107560345E-03	8.2889989669E-04	4.7726961942E-03	4.6898548248E-03	?	4.6700758247E-03	4.6700758247E-03	2.7863697906E-03	2.4075163072E-01	2.4075793630E-01	2.3906820800E-01	2.3907108032E-01	?	2.3907178365E-01	2.3907178365E-01	2.3912769991E-01	5.6357241251E-02	5.8163875776E-02	5.1022741194E-02	5.4333925781E-02	5.1923347882E-02	2.0387529368E-01	2.0534579899E-01	1.8833238664E-01	1.9067807097E-01	1.9068068379E-01	1.8364236846E-01	1.2077328931E-01	2.9811753936E02	5.8107629444E-01	2.2081572208E-01	1.3572458982E01	2.2084770893E-01	2.0715058778E-01	2.2086378940E-01	2.0715657786E-01	1.4959999960E-01	
Target (LIBOR)	8.5119826435E-03	0.0000000000E00	8.4025244649E-03	8.6620376208E-03	3.7392864493E-03	3.8221278187E-03	?	3.8419068188E-03	3.8419068188E-03	5.7256128529E-03	2.4926361336E-01	2.4926991894E-01	2.4758019064E-01	2.4758306297E-01	?	2.4758376629E-01	2.4758376629E-01	2.4763968256E-01	5.9502178650E-02	6.2090935265E-02	5.3535927923E-02	5.7400642563E-02	5.5445677582E-02	2.1238727632E-01	2.1385778163E-01	1.9684436928E-01	1.9919005361E-01	1.9919266643E-01	1.9215435110E-01	1.2753735499E-01	2.9810902738E02	5.7256431179E-01	2.2932770472E-01	1.3563946999E01	2.2935969157E-01	2.1566257042E-01	2.2937577204E-01	2.1566856050E-01	1.5706567099E-01	
Caplet Vola Analytic Single-Curve	1.1107560345E-03	8.4025244649E-03	0.0000000000E00	1.6043214820E-03	4.6632380157E-03	4.5803966462E-03	?	4.5606176461E-03	4.5606176461E-03	2.6769116120E-03	2.4086108890E-01	2.4086739448E-01	2.3917766618E-01	2.3918053850E-01	?	2.3918124183E-01	2.3918124183E-01	2.3923715809E-01	5.6055713669E-02	5.7981427172E-02	5.0829399421E-02	5.4091060410E-02	5.1711342994E-02	2.0398475186E-01	2.0545525717E-01	1.8844184482E-01	1.9078752915E-01	1.9079014196E-01	1.8375182664E-01	1.2092754642E-01	2.9811742990E02	5.8096683626E-01	2.2092518026E-01	1.3572349523E01	2.2095716711E-01	2.0726004596E-01	2.2097324758E-01	2.0726603604E-01	1.4930552016E-01	
Caplet Vola Monte-Carlo Single-Curve	8.2889989669E-04	8.6620376208E-03	1.6043214820E-03	0.0000000000E00	4.9227511715E-03	4.8399098021E-03	?	4.8201308020E-03	4.8201308020E-03	2.9697740358E-03	2.4060157574E-01	2.4060788132E-01	2.3891815302E-01	2.3892102535E-01	?	2.3892172867E-01	2.3892172867E-01	2.3897764494E-01	5.6205621337E-02	5.7999632395E-02	5.0852488308E-02	5.4182305867E-02	5.1791632882E-02	2.0372523870E-01	2.0519574401E-01	1.8818233166E-01	1.9052801599E-01	1.9053062881E-01	1.8349231348E-01	1.2071245539E-01	2.9811768942E02	5.8122634941E-01	2.2066566710E-01	1.3572609037E01	2.2069765395E-01	2.0700053280E-01	2.2071373442E-01	2.0700652288E-01	1.4950707446E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	4.7726961942E-03	3.7392864493E-03	4.6632380157E-03	4.9227511715E-03	0.0000000000E00	8.2841369415E-05	?	1.0262036956E-04	1.0262036956E-04	2.1238465330E-03	2.4552432691E-01	2.4553063249E-01	2.4384090420E-01	2.4384377652E-01	?	2.4384447984E-01	2.4384447984E-01	2.4390039611E-01	5.7970364558E-02	6.0278505581E-02	5.2204860390E-02	5.6013813661E-02	5.3845741345E-02	2.0864798987E-01	2.1011849519E-01	1.9310508283E-01	1.9545076716E-01	1.9545337998E-01	1.8841506465E-01	1.2453315803E-01	2.9811276667E02	5.7630359824E-01	2.2558841828E-01	1.3567686285E01	2.2562040512E-01	2.1192328397E-01	2.2563648559E-01	2.1192927405E-01	1.5368635605E-01	
Caplet Vola Analytic Multi-Curve Ju	4.6898548248E-03	3.8221278187E-03	4.5803966462E-03	4.8399098021E-03	8.2841369415E-05	0.0000000000E00	?	1.9779000146E-05	1.9779000146E-05	2.0567614730E-03	2.4544148554E-01	2.4544779112E-01	2.4375806283E-01	2.4376093515E-01	?	2.4376163847E-01	2.4376163847E-01	2.4381755474E-01	5.7939655034E-02	6.0241520036E-02	5.2182836741E-02	5.5983104138E-02	5.3811987125E-02	2.0856514850E-01	2.1003565382E-01	1.9302224147E-01	1.9536792579E-01	1.9537053861E-01	1.8833222328E-01	1.2447119259E-01	2.9811284951E02	5.7638643961E-01	2.2550557691E-01	1.3567769127E01	2.2553756375E-01	2.1184044260E-01	2.2555364422E-01	2.1184643268E-01	1.5361115122E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	4.6700758247E-03	3.8419068188E-03	4.5606176461E-03	4.8201308020E-03	1.0262036956E-04	1.9779000146E-05	?	0.0000000000E00	0.0000000000E00	2.0426447780E-03	2.4542170654E-01	2.4542801212E-01	2.4373828383E-01	2.4374115615E-01	?	2.4374185947E-01	2.4374185947E-01	2.4379777574E-01	5.7932742489E-02	6.0233132445E-02	5.2178221622E-02	5.5976191593E-02	5.3804467367E-02	2.0854536950E-01	2.1001587482E-01	1.9300246246E-01	1.9534814679E-01	1.9535075961E-01	1.8831244428E-01	1.2445648542E-01	2.9811286929E02	5.7640621861E-01	2.2548579791E-01	1.3567788906E01	2.2551778475E-01	2.1182066360E-01	2.2553386522E-01	2.1182665368E-01	1.5359338272E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	4.6700758247E-03	3.8419068188E-03	4.5606176461E-03	4.8201308020E-03	1.0262036956E-04	1.9779000146E-05	?	0.0000000000E00	0.0000000000E00	2.0426447780E-03	2.4542170654E-01	2.4542801212E-01	2.4373828383E-01	2.4374115615E-01	?	2.4374185947E-01	2.4374185947E-01	2.4379777574E-01	5.7932742489E-02	6.0233132445E-02	5.2178221622E-02	5.5976191593E-02	5.3804467367E-02	2.0854536950E-01	2.1001587482E-01	1.9300246246E-01	1.9534814679E-01	1.9535075961E-01	1.8831244428E-01	1.2445648542E-01	2.9811286929E02	5.7640621861E-01	2.2548579791E-01	1.3567788906E01	2.2551778475E-01	2.1182066360E-01	2.2553386522E-01	2.1182665368E-01	1.5359338272E-01	
Caplet Vola Monte-Carlo Multi-Curve	2.7863697906E-03	5.7256128529E-03	2.6769116120E-03	2.9697740358E-03	2.1238465330E-03	2.0567614730E-03	?	2.0426447780E-03	2.0426447780E-03	0.0000000000E00	2.4353800051E-01	2.4354430609E-01	2.4185457779E-01	2.4185745011E-01	?	2.4185815344E-01	2.4185815344E-01	2.4191406970E-01	5.6989591976E-02	5.9083472533E-02	5.1357991021E-02	5.5033041079E-02	5.2653323663E-02	2.0666166347E-01	2.0813216878E-01	1.9111875643E-01	1.9346444076E-01	1.9346705358E-01	1.8642873825E-01	1.2308200937E-01	2.9811475299E02	5.7828992465E-01	2.2360209187E-01	1.3569672612E01	2.2363407872E-01	2.0993695757E-01	2.2365015919E-01	2.0994294765E-01	1.5174220753E-01	
