Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
30.24	31.29	30.32	30.35	30.64	30.64	86.45	30.64	30.64	30.81	0.15	0.15	0.19	0.19	0.53	0.19	0.19	0.19	32.29	31.75	33.15	33.15	32.01	0.49	0.48	0.66	0.66	0.64	1.00	2.00	100.20	99.80	0.60	100.20	0.61	1.46	0.60	1.46	0.50	
31.12	32.19	31.10	31.17	31.52	31.52	81.27	31.52	31.52	31.39	0.23	0.23	0.30	0.30	0.76	0.30	0.30	0.30	32.61	31.96	33.63	33.57	32.26	1.57	1.54	2.17	2.17	2.08	1.00	6.00	100.50	99.50	0.79	100.50	0.79	1.88	0.79	1.88	1.00	
31.69	32.78	31.63	31.66	32.12	32.12	76.95	32.12	32.12	31.92	0.30	0.30	0.40	0.40	0.94	0.40	0.40	0.40	30.48	29.78	31.34	31.23	30.10	2.57	2.51	3.57	3.56	3.43	1.00	10.00	100.91	99.11	0.96	100.91	0.96	2.24	0.96	2.24	1.50	
32.00	33.10	31.93	31.91	32.46	32.46	72.51	32.46	32.46	32.19	0.36	0.36	0.49	0.49	1.06	0.49	0.49	0.49	26.93	26.23	27.81	27.63	26.74	3.31	3.22	4.63	4.60	4.45	1.00	14.00	101.41	98.64	1.10	101.41	1.10	2.50	1.10	2.50	2.00	
32.09	33.20	32.05	31.88	32.59	32.59	69.38	32.59	32.59	32.27	0.41	0.41	0.57	0.57	1.16	0.57	0.57	0.56	22.80	22.16	23.92	23.70	23.08	3.70	3.59	5.20	5.16	5.02	1.00	18.00	102.00	98.10	1.20	102.00	1.20	2.70	1.20	2.70	2.50	
32.01	33.11	32.00	31.87	32.55	32.55	66.41	32.55	32.55	32.30	0.45	0.45	0.63	0.63	1.24	0.63	0.63	0.63	18.70	18.16	20.22	20.00	19.54	3.75	3.65	5.39	5.33	5.20	1.00	22.00	102.68	97.51	1.30	102.68	1.30	2.90	1.30	2.90	3.00	
31.78	32.88	31.80	31.66	32.36	32.35	41.22	32.35	32.35	31.98	0.50	0.50	0.70	0.70	0.88	0.70	0.70	0.69	15.68	15.22	17.45	17.24	16.87	3.73	3.63	5.45	5.39	5.27	1.00	26.00	103.44	96.88	1.44	103.44	1.44	3.10	1.44	3.10	3.50	
31.44	32.52	31.48	31.31	32.03	32.03	?	32.03	32.03	31.61	0.54	0.54	0.76	0.76	?	0.76	0.76	0.75	13.55	13.15	15.46	15.26	14.96	3.72	3.61	5.49	5.42	5.31	1.00	30.00	104.32	96.19	1.59	104.32	1.59	3.29	1.59	3.30	4.00	
31.01	32.08	31.07	30.77	31.61	31.61	?	31.61	31.61	31.20	0.58	0.58	0.81	0.81	?	0.81	0.81	0.80	11.99	11.64	13.98	13.81	13.54	3.70	3.59	5.51	5.44	5.33	1.00	34.00	105.35	95.43	1.75	105.35	1.75	3.49	1.75	3.50	4.50	
30.50	31.55	30.57	30.23	31.12	31.11	?	31.11	31.11	30.72	0.62	0.61	0.85	0.85	?	0.85	0.85	0.84	32.42	31.56	33.24	33.16	31.89	1.03	1.00	1.45	1.45	1.39	3.50	2.00	106.55	94.60	1.91	106.54	1.91	3.69	1.91	3.70	5.00	
29.95	30.98	30.00	29.88	30.56	30.56	?	30.55	30.55	30.14	0.65	0.64	0.90	0.90	?	0.90	0.90	0.88	30.70	29.79	31.48	31.10	30.15	3.08	2.99	4.31	4.26	4.13	3.50	6.00	107.93	93.70	2.07	107.92	2.06	3.89	2.06	3.90	5.50	
29.35	30.36	29.39	29.30	29.97	29.96	?	29.96	29.96	29.55	0.67	0.67	0.93	0.93	?	0.93	0.93	0.92	27.44	26.54	28.26	27.57	27.08	4.74	4.59	6.62	6.46	6.35	3.50	10.00	109.52	92.75	2.21	109.50	2.19	4.08	2.20	4.10	6.00	
28.73	29.72	28.74	28.72	29.34	29.33	?	29.33	29.33	28.97	0.69	0.69	0.96	0.96	?	0.96	0.96	0.95	23.50	22.65	24.51	23.64	23.54	5.78	5.57	8.06	7.77	7.74	3.50	14.00	111.33	91.74	2.34	111.30	2.31	4.25	2.32	4.26	6.50	
28.09	29.06	28.07	28.09	28.68	28.67	?	28.67	28.67	28.29	0.71	0.71	0.98	0.98	?	0.98	0.98	0.96	19.47	18.71	20.84	19.86	20.00	6.18	5.94	8.73	8.33	8.38	3.50	18.00	113.38	90.68	2.46	113.33	2.43	4.35	2.44	4.37	7.00	
27.44	28.39	27.38	27.57	28.00	27.99	?	27.98	27.98	27.65	0.72	0.72	0.98	0.98	?	0.98	0.98	0.97	16.06	15.41	17.77	16.80	17.03	6.22	5.97	8.95	8.47	8.58	3.50	22.00	115.70	89.59	2.58	115.63	2.55	4.42	2.56	4.43	7.50	
26.80	27.72	26.69	26.87	27.31	27.30	?	27.30	27.30	27.01	0.73	0.73	0.98	0.98	?	0.98	0.98	0.97	13.66	13.08	15.55	14.65	14.89	6.21	5.95	9.05	8.53	8.67	3.50	26.00	118.32	88.46	2.68	118.23	2.65	4.45	2.66	4.46	8.00	
26.16	27.06	26.01	26.21	26.63	26.62	?	26.62	26.62	26.30	0.73	0.74	0.97	0.97	?	0.97	0.97	0.96	11.96	11.45	13.95	13.12	13.35	6.19	5.93	9.11	8.57	8.72	3.50	30.00	121.26	87.30	2.77	121.18	2.73	4.47	2.74	4.48	8.50	
