	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.0547281708E-02	9.2018196780E-01	5.0227854730E-01	9.1571165659E-01	9.4226541179E-01	3.5260868176E-01	2.8900936353E-01	2.8900936353E-01	1.6094866954E00	2.8072660682E00	2.8716691622E00	2.7694613631E00	2.7749368368E00	2.8122620553E00	2.8114341636E00	2.8114341636E00	2.7850984786E00	5.0161669738E-01	?	3.0775272406E-01	1.0444603943E00	?	2.3207445225E00	?	1.9698174328E00	2.0041625822E00	?	2.6214051085E00	2.3086072841E00	?	5.9133237895E-01	2.8127855585E00	?	2.8136796041E00	2.6853883434E00	2.8165557844E00	2.7161318739E00	2.4807217681E00	
Target (LIBOR)	5.0547281708E-02	0.0000000000E00	8.6567453663E-01	5.4073800381E-01	8.8770926920E-01	9.1308932519E-01	3.1102578017E-01	2.4784455789E-01	2.4784455789E-01	1.5614203064E00	2.8128531989E00	2.8752529904E00	2.7761504265E00	2.7814645592E00	2.8176737539E00	2.8168768453E00	2.8168768453E00	2.7913272768E00	5.3402253689E-01	?	2.7870759964E-01	9.9880492096E-01	?	2.3384255615E00	?	1.9931345220E00	2.0270548456E00	?	2.6321577618E00	2.3265788406E00	?	5.5462259713E-01	2.8181637408E00	?	2.8190318497E00	2.6944966590E00	2.8218231132E00	2.7243881400E00	2.4947964402E00	
Caplet Vola Analytic Single-Curve	9.2018196780E-01	8.6567453663E-01	0.0000000000E00	1.1166143648E00	5.8598452253E-01	6.0018160668E-01	7.7520581492E-01	6.5306535253E-01	6.5306535253E-01	1.1881903593E00	3.4969523531E00	3.5497174755E00	3.4623130372E00	3.4670352460E00	3.4990050749E00	3.4988469778E00	3.4988469778E00	3.4759495682E00	1.2787605596E00	?	7.6151078692E-01	8.0074369699E-01	?	3.0497717754E00	?	2.6995933007E00	2.7353050278E00	?	3.3287783944E00	3.0397017079E00	?	4.4129167429E-01	3.4978072699E00	?	3.4986675040E00	3.3899825245E00	3.5013096520E00	3.4176734548E00	3.1945518499E00	
Caplet Vola Monte-Carlo Single-Curve	5.0227854730E-01	5.4073800381E-01	1.1166143648E00	0.0000000000E00	1.0061762871E00	1.0375027565E00	5.6403802895E-01	4.9075385564E-01	4.9075385564E-01	1.9052907781E00	3.0650227137E00	3.1477571611E00	3.0146307342E00	3.0217184111E00	3.0701022982E00	3.0693776408E00	3.0693776408E00	3.0349850927E00	3.4296984106E-01	?	5.7707954331E-01	1.2797604667E00	?	2.4474595279E00	?	2.0272228210E00	2.0675327659E00	?	2.8229034771E00	2.4330260331E00	?	8.3113508527E-01	3.0697307898E00	?	3.0709532015E00	2.9068161912E00	3.0748078894E00	2.9467362033E00	2.6432604118E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	9.1571165659E-01	8.8770926920E-01	5.8598452253E-01	1.0061762871E00	0.0000000000E00	1.0714056962E-01	6.4608428524E-01	6.6080463930E-01	6.6080463930E-01	1.2220847253E00	2.0712007579E00	2.1003175010E00	2.0395592024E00	2.0414320385E00	2.0665520359E00	2.0678901751E00	2.0678901751E00	2.0617324423E00	1.0290402758E00	?	6.6310502086E-01	7.9106398395E-01	?	1.8358231670E00	?	1.6513340338E00	1.6697499625E00	?	1.8594784986E00	1.8644441965E00	?	5.0007285624E-01	2.0316848685E00	?	2.0338983250E00	2.0127231200E00	2.0414330563E00	2.0045159693E00	1.8056600850E00	
Caplet Vola Analytic Multi-Curve Ju	9.4226541179E-01	9.1308932519E-01	6.0018160668E-01	1.0375027565E00	1.0714056962E-01	0.0000000000E00	6.6285898041E-01	6.7815970839E-01	6.7815970839E-01	1.2526120428E00	2.1651013423E00	2.1963869770E00	2.1311579707E00	2.1332049630E00	2.1600771753E00	2.1615235423E00	2.1615235423E00	2.1546248099E00	1.0608115694E00	?	6.8085481235E-01	8.1191911974E-01	?	1.9097624267E00	?	1.7115594246E00	1.7313206375E00	?	1.9008358065E00	1.9394947158E00	?	5.1136644321E-01	2.1234226835E00	?	2.1257629933E00	2.1018166317E00	2.1337121795E00	2.0938134696E00	1.8432323242E00	
Caplet Vola Analytic Multi-Curve Ho	3.5260868176E-01	3.1102578017E-01	7.7520581492E-01	5.6403802895E-01	6.4608428524E-01	6.6285898041E-01	0.0000000000E00	1.4054644751E-01	1.4054644751E-01	1.3296577124E00	2.5195487322E00	2.5728846542E00	2.4894191367E00	2.4947099739E00	2.5213684869E00	2.5232412217E00	2.5232412217E00	2.5029034464E00	8.2623552763E-01	?	3.1215379148E-01	7.3239599145E-01	?	2.0978155717E00	?	1.7815765084E00	1.8082358031E00	?	2.3933904397E00	2.0488298272E00	?	3.4261929095E-01	2.5316128111E00	?	2.5333818199E00	2.4295589895E00	2.5332213939E00	2.4501791246E00	2.2745397202E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	2.8900936353E-01	2.4784455789E-01	6.5306535253E-01	4.9075385564E-01	6.6080463930E-01	6.7815970839E-01	1.4054644751E-01	0.0000000000E00	0.0000000000E00	1.3513593832E00	2.7276368700E00	2.7798206143E00	2.6972961308E00	2.7017398487E00	2.7319768111E00	2.7312323960E00	2.7312323960E00	2.7099591655E00	7.5770322483E-01	?	2.5236033220E-01	7.5283740900E-01	?	2.3241488663E00	?	2.0181297518E00	2.0486732503E00	?	2.5764574652E00	2.3137912645E00	?	3.8445907048E-01	2.7326255764E00	?	2.7333355558E00	2.6286695067E00	2.7356359354E00	2.6537149773E00	2.4596797735E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	2.8900936353E-01	2.4784455789E-01	6.5306535253E-01	4.9075385564E-01	6.6080463930E-01	6.7815970839E-01	1.4054644751E-01	0.0000000000E00	0.0000000000E00	1.3513593832E00	2.7276368700E00	2.7798206143E00	2.6972961308E00	2.7017398487E00	2.7319768111E00	2.7312323960E00	2.7312323960E00	2.7099591655E00	7.5770322483E-01	?	2.5236033220E-01	7.5283740900E-01	?	2.3241488663E00	?	2.0181297518E00	2.0486732503E00	?	2.5764574652E00	2.3137912645E00	?	3.8445907048E-01	2.7326255764E00	?	2.7333355558E00	2.6286695067E00	2.7356359354E00	2.6537149773E00	2.4596797735E00	
Caplet Vola Monte-Carlo Multi-Curve	1.6094866954E00	1.5614203064E00	1.1881903593E00	1.9052907781E00	1.2220847253E00	1.2526120428E00	1.3296577124E00	1.3513593832E00	1.3513593832E00	0.0000000000E00	3.8020491567E00	3.8626071352E00	3.7303179633E00	3.7352898238E00	3.7875893112E00	3.7903429729E00	3.7903429729E00	3.7371915624E00	1.9491946263E00	?	1.3590503118E00	1.4863264348E00	?	3.1798459486E00	?	2.7092342242E00	2.7730170889E00	?	3.4713679396E00	3.2550916881E00	?	9.3223727490E-01	3.7634765594E00	?	3.7643416177E00	3.5820494836E00	3.7731707363E00	3.6729411404E00	3.2162264083E00	
Caplet Value Analytic Single-Curve	2.8072660682E00	2.8128531989E00	3.4969523531E00	3.0650227137E00	2.0712007579E00	2.1651013423E00	2.5195487322E00	2.7276368700E00	2.7276368700E00	3.8020491567E00	0.0000000000E00	5.1967653681E-01	4.3930032072E-01	4.2752109795E-01	1.4979740309E-01	1.1434412436E-01	1.1434412436E-01	1.3191157950E00	3.1443515487E00	?	2.6669324248E00	3.3757241464E00	?	3.3489980834E00	?	3.8679147098E00	6.4460866547E00	?	3.1697528272E00	4.0536753316E00	?	2.3160480599E00	6.5408176554E-01	?	6.2303255660E-01	3.5156620886E00	5.0545633422E-01	6.4764913360E-01	2.7922682873E00	
Caplet Value Monte-Carlo Single-Curve	2.8716691622E00	2.8752529904E00	3.5497174755E00	3.1477571611E00	2.1003175010E00	2.1963869770E00	2.5728846542E00	2.7798206143E00	2.7798206143E00	3.8626071352E00	5.1967653681E-01	0.0000000000E00	8.6622842186E-01	8.4880442096E-01	6.1700627920E-01	5.8094649832E-01	5.8094649832E-01	1.8502044888E00	3.2359216946E00	?	2.7207804307E00	3.4494524419E00	?	3.6412002617E00	?	4.0539775400E00	6.7288269008E00	?	3.6546159236E00	4.4125959052E00	?	2.3517669492E00	1.0699088391E00	?	1.0353478459E00	4.1943109707E00	9.0134041321E-01	1.0311478796E00	3.0958193879E00	
Caplet Value Analytic Multi-Curve Fenton-Wilkinson	2.7694613631E00	2.7761504265E00	3.4623130372E00	3.0146307342E00	2.0395592024E00	2.1311579707E00	2.4894191367E00	2.6972961308E00	2.6972961308E00	3.7303179633E00	4.3930032072E-01	8.6622842186E-01	0.0000000000E00	7.8695567486E-02	3.2507875130E-01	3.4176454196E-01	3.4176454196E-01	8.7891915037E-01	3.0880858161E00	?	2.6360331522E00	3.2869647235E00	?	3.0241288933E00	?	3.6543648370E00	6.1352795339E00	?	2.7320787476E00	3.7500263741E00	?	2.2969935491E00	5.0886996036E-01	?	5.1112203653E-01	2.9246742798E00	4.4528442098E-01	2.8960790487E-01	2.5012445212E00	
Caplet Value Analytic Multi-Curve Ju	2.7749368368E00	2.7814645592E00	3.4670352460E00	3.0217184111E00	2.0414320385E00	2.1332049630E00	2.4947099739E00	2.7017398487E00	2.7017398487E00	3.7352898238E00	4.2752109795E-01	8.4880442096E-01	7.8695567486E-02	0.0000000000E00	3.1614076186E-01	3.2743451742E-01	3.2743451742E-01	8.9264574141E-01	3.0959323412E00	?	2.6405914513E00	3.2932004366E00	?	3.0456472981E00	?	3.6695471300E00	6.1601590439E00	?	2.7590371823E00	3.8017397848E00	?	2.2999607531E00	4.3109622844E-01	?	4.3556280551E-01	2.9600221023E00	3.6712897623E-01	2.9363267809E-01	2.5190148961E00	
Caplet Value Analytic Multi-Curve Ho	2.8122620553E00	2.8176737539E00	3.4990050749E00	3.0701022982E00	2.0665520359E00	2.1600771753E00	2.5213684869E00	2.7319768111E00	2.7319768111E00	3.7875893112E00	1.4979740309E-01	6.1700627920E-01	3.2507875130E-01	3.1614076186E-01	0.0000000000E00	4.4270935926E-02	4.4270935926E-02	1.2454230195E00	3.1495494299E00	?	2.6716345439E00	3.3572177650E00	?	3.2790096816E00	?	3.8230245435E00	6.3821658902E00	?	3.0962263323E00	3.9880165952E00	?	2.3201519316E00	6.0844458152E-01	?	5.7815311022E-01	3.4086919173E00	4.6374787237E-01	5.6205489622E-01	2.7452960545E00	
Caplet Value Analytic Multi-Curve Drift-Freeze	2.8114341636E00	2.8168768453E00	3.4988469778E00	3.0693776408E00	2.0678901751E00	2.1615235423E00	2.5232412217E00	2.7312323960E00	2.7312323960E00	3.7903429729E00	1.1434412436E-01	5.8094649832E-01	3.4176454196E-01	3.2743451742E-01	4.4270935926E-02	0.0000000000E00	0.0000000000E00	1.2626153033E00	3.1488543711E00	?	2.6708093451E00	3.3606826953E00	?	3.2919577904E00	?	3.8317047579E00	6.3961201502E00	?	3.1171631058E00	4.0140435858E00	?	2.3193544913E00	6.2123191009E-01	?	5.9072379756E-01	3.4363420442E00	4.7541543629E-01	5.7140385040E-01	2.7587194316E00	
Caplet Value Analytic Multi-Curve Integrated-Expectation	2.8114341636E00	2.8168768453E00	3.4988469778E00	3.0693776408E00	2.0678901751E00	2.1615235423E00	2.5232412217E00	2.7312323960E00	2.7312323960E00	3.7903429729E00	1.1434412436E-01	5.8094649832E-01	3.4176454196E-01	3.2743451742E-01	4.4270935926E-02	0.0000000000E00	0.0000000000E00	1.2626153033E00	3.1488543711E00	?	2.6708093451E00	3.3606826953E00	?	3.2919577904E00	?	3.8317047579E00	6.3961201502E00	?	3.1171631058E00	4.0140435858E00	?	2.3193544913E00	6.2123191009E-01	?	5.9072379756E-01	3.4363420442E00	4.7541543629E-01	5.7140385040E-01	2.7587194316E00	
Caplet Value Monte-Carlo Multi-Curve	2.7850984786E00	2.7913272768E00	3.4759495682E00	3.0349850927E00	2.0617324423E00	2.1546248099E00	2.5029034464E00	2.7099591655E00	2.7099591655E00	3.7371915624E00	1.3191157950E00	1.8502044888E00	8.7891915037E-01	8.9264574141E-01	1.2454230195E00	1.2626153033E00	1.2626153033E00	0.0000000000E00	3.1106571875E00	?	2.6490062399E00	3.3029252060E00	?	3.0789352727E00	?	3.6940022456E00	6.2043159808E00	?	2.9961847320E00	3.8667287370E00	?	2.3053563836E00	7.0200169412E-01	?	7.3226468039E-01	2.3163081492E00	8.3073999709E-01	5.9293291775E-01	2.6852180585E00	
Swaption Vola Analytic Single-Curve	5.0161669738E-01	5.3402253689E-01	1.2787605596E00	3.4296984106E-01	1.0290402758E00	1.0608115694E00	8.2623552763E-01	7.5770322483E-01	7.5770322483E-01	1.9491946263E00	3.1443515487E00	3.2359216946E00	3.0880858161E00	3.0959323412E00	3.1495494299E00	3.1488543711E00	3.1488543711E00	3.1106571875E00	0.0000000000E00	?	4.8980174102E-01	1.4530873732E00	?	2.4683927195E00	?	2.0209472217E00	2.0634444344E00	?	2.8763363162E00	2.4529324433E00	?	1.0222255360E00	3.1488113370E00	?	3.1501861524E00	2.9691741563E00	3.1544988523E00	3.0133155810E00	2.6796876543E00	
Swaption Vola Monte-Carlo Single-Curve	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Swaption Vola Analytic Multi-Curve Drift-Freeze	3.0775272406E-01	2.7870759964E-01	7.6151078692E-01	5.7707954331E-01	6.6310502086E-01	6.8085481235E-01	3.1215379148E-01	2.5236033220E-01	2.5236033220E-01	1.3590503118E00	2.6669324248E00	2.7207804307E00	2.6360331522E00	2.6405914513E00	2.6716345439E00	2.6708093451E00	2.6708093451E00	2.6490062399E00	4.8980174102E-01	?	0.0000000000E00	8.0000129828E-01	?	2.2563754166E00	?	1.9483706125E00	1.9789467341E00	?	2.5127561783E00	2.2457221961E00	?	5.3723184307E-01	2.6724823911E00	?	2.6732009200E00	2.5656272180E00	2.6755430740E00	2.5911823272E00	2.3944792815E00	
Swaption Vola Analytic Multi-Curve Integrated-Expectation	1.0444603943E00	9.9880492096E-01	8.0074369699E-01	1.2797604667E00	7.9106398395E-01	8.1191911974E-01	7.3239599145E-01	7.5283740900E-01	7.5283740900E-01	1.4863264348E00	3.3757241464E00	3.4494524419E00	3.2869647235E00	3.2932004366E00	3.3572177650E00	3.3606826953E00	3.3606826953E00	3.3029252060E00	1.4530873732E00	?	8.0000129828E-01	0.0000000000E00	?	2.5081688854E00	?	1.9649225218E00	1.9967997948E00	?	3.0555547162E00	2.5942229700E00	?	5.7833257800E-01	3.3307872879E00	?	3.3333877515E00	3.1303974363E00	3.3437254347E00	3.2193365915E00	2.7213116953E00	
Swaption Vola Monte-Carlo Multi-Curve	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Swaption Value Analytic Single-Curve	2.3207445225E00	2.3384255615E00	3.0497717754E00	2.4474595279E00	1.8358231670E00	1.9097624267E00	2.0978155717E00	2.3241488663E00	2.3241488663E00	3.1798459486E00	3.3489980834E00	3.6412002617E00	3.0241288933E00	3.0456472981E00	3.2790096816E00	3.2919577904E00	3.2919577904E00	3.0789352727E00	2.4683927195E00	?	2.2563754166E00	2.5081688854E00	?	0.0000000000E00	?	1.3326226534E00	3.0439871010E00	?	2.3136559855E00	1.3638075606E00	?	2.0437471768E00	3.1803314928E00	?	3.1898952430E00	2.5016430855E00	3.2283803112E00	2.7948173113E00	1.4818650529E00	
