	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	1.7742446074E-02	2.2347003194E-01	2.1880688056E-01	4.1630417847E-01	4.0221571919E-01	1.4093893523E-01	1.1068729051E-01	1.1068729051E-01	2.1066610790E-01	4.9921185399E-01	4.9915598257E-01	4.9252512887E-01	4.9273389606E-01	4.9664872762E-01	4.9745376602E-01	4.9745376602E-01	4.9526606062E-01	8.7008747220E-02	?	5.2662862089E-02	9.8102072338E-02	?	3.8965208086E-01	?	3.6959296186E-01	3.7237286014E-01	?	4.5132580795E-01	3.8171042333E-01	?	3.1339285494E-01	4.8761601170E-01	?	4.8786992775E-01	4.7265896015E-01	4.8854722889E-01	4.7484001735E-01	4.1453093615E-01	
Target (LIBOR)	1.7742446074E-02	0.0000000000E00	2.0572758586E-01	2.0106443449E-01	3.9856173240E-01	3.8447327312E-01	1.2319648916E-01	9.5059001014E-02	9.5059001014E-02	1.9361833332E-01	5.1695430007E-01	5.1689842865E-01	5.1026757494E-01	5.1047634213E-01	5.1439117369E-01	5.1519621209E-01	5.1519621209E-01	5.1300850669E-01	7.7489181617E-02	?	5.4287199584E-02	1.0064724534E-01	?	4.0739452694E-01	?	3.8733540793E-01	3.8930014014E-01	?	4.6906825402E-01	3.9945286941E-01	?	2.9565040887E-01	5.0535845777E-01	?	5.0561237383E-01	4.9040140622E-01	5.0628967496E-01	4.9258246342E-01	4.3227338223E-01	
Caplet Vola Analytic Single-Curve	2.2347003194E-01	2.0572758586E-01	0.0000000000E00	4.2953132984E-02	2.2835082262E-01	2.2953186651E-01	8.2531096706E-02	1.1288016902E-01	1.1288016902E-01	1.0998045728E-01	7.2268188593E-01	7.2262601451E-01	7.1599516080E-01	7.1620392800E-01	7.2011875955E-01	7.2092379796E-01	7.2092379796E-01	7.1873609256E-01	1.5737674419E-01	?	2.1380664238E-01	2.4069526365E-01	?	6.1312211280E-01	?	5.9306299380E-01	5.8938983692E-01	?	6.7479583989E-01	6.0518045527E-01	?	1.3339332486E-01	7.1108604364E-01	?	7.1133995969E-01	6.9612899209E-01	7.1201726083E-01	6.9831004929E-01	6.3800096809E-01	
Caplet Vola Monte-Carlo Single-Curve	2.1880688056E-01	2.0106443449E-01	4.2953132984E-02	0.0000000000E00	2.1065787670E-01	2.0427647596E-01	7.7867945331E-02	1.0821701764E-01	1.0821701764E-01	7.9564609787E-02	7.1801873456E-01	7.1796286314E-01	7.1133200943E-01	7.1154077662E-01	7.1545560818E-01	7.1626064658E-01	7.1626064658E-01	7.1407294118E-01	1.4952250643E-01	?	2.0914349101E-01	2.3112014264E-01	?	6.0845896143E-01	?	5.8839984242E-01	5.8472668554E-01	?	6.7013268851E-01	6.0051730390E-01	?	1.2440163439E-01	7.0642289226E-01	?	7.0667680832E-01	6.9146584071E-01	7.0735410945E-01	6.9364689791E-01	6.3333781672E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	4.1630417847E-01	3.9856173240E-01	2.2835082262E-01	2.1065787670E-01	0.0000000000E00	1.4296069558E-02	2.7536524324E-01	3.0571431555E-01	3.0571431555E-01	2.2578354404E-01	9.1551603247E-01	9.1546016105E-01	9.0882930734E-01	9.0903807453E-01	9.1295290609E-01	9.1375794449E-01	9.1375794449E-01	9.1157023909E-01	3.3840141850E-01	?	4.0664078892E-01	4.0461653731E-01	?	8.0595625934E-01	?	7.8589714033E-01	7.8222398345E-01	?	8.6762998642E-01	7.9801460181E-01	?	1.4604482604E-01	9.0392019017E-01	?	9.0417410623E-01	8.8896313862E-01	9.0485140736E-01	8.9114419582E-01	8.3083511463E-01	
Caplet Vola Analytic Multi-Curve Ju	4.0221571919E-01	3.8447327312E-01	2.2953186651E-01	2.0427647596E-01	1.4296069558E-02	0.0000000000E00	2.6127678396E-01	2.9162585627E-01	2.9162585627E-01	2.1169508476E-01	9.0142757318E-01	9.0137170176E-01	8.9474084806E-01	8.9494961525E-01	8.9886444681E-01	8.9966948521E-01	8.9966948521E-01	8.9748177981E-01	3.2633566893E-01	?	3.9255232963E-01	3.9107576593E-01	?	7.9186780005E-01	?	7.7180868105E-01	7.6813552417E-01	?	8.5354152714E-01	7.8392614252E-01	?	1.5210189522E-01	8.8983173089E-01	?	8.9008564694E-01	8.7487467934E-01	8.9076294808E-01	8.7705573654E-01	8.1674665534E-01	
Caplet Vola Analytic Multi-Curve Ho	1.4093893523E-01	1.2319648916E-01	8.2531096706E-02	7.7867945331E-02	2.7536524324E-01	2.6127678396E-01	0.0000000000E00	4.4537500031E-02	4.4537500031E-02	7.8281756157E-02	6.4015078922E-01	6.4009491781E-01	6.3346406410E-01	6.3367283129E-01	6.3758766285E-01	6.3839270125E-01	6.3839270125E-01	6.3620499585E-01	9.7017612035E-02	?	1.3127554568E-01	1.6711094164E-01	?	5.3059101610E-01	?	5.1053189709E-01	5.0685874021E-01	?	5.9226474318E-01	5.2264935857E-01	?	1.7245391971E-01	6.2855494693E-01	?	6.2880886298E-01	6.1359789538E-01	6.2948616412E-01	6.1577895258E-01	5.5546987139E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1068729051E-01	9.5059001014E-02	1.1288016902E-01	1.0821701764E-01	3.0571431555E-01	2.9162585627E-01	4.4537500031E-02	0.0000000000E00	0.0000000000E00	1.0946287608E-01	6.0980171692E-01	6.0974584550E-01	6.0311499179E-01	6.0332375898E-01	6.0723859054E-01	6.0804362894E-01	6.0804362894E-01	6.0585592354E-01	8.0593670821E-02	?	1.0896770197E-01	1.5595230146E-01	?	5.0024194379E-01	?	4.8018282478E-01	4.7858296189E-01	?	5.6191567087E-01	4.9230028626E-01	?	2.0857450981E-01	5.9820587462E-01	?	5.9845979068E-01	5.8324882307E-01	5.9913709181E-01	5.8542988027E-01	5.2512079908E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1068729051E-01	9.5059001014E-02	1.1288016902E-01	1.0821701764E-01	3.0571431555E-01	2.9162585627E-01	4.4537500031E-02	0.0000000000E00	0.0000000000E00	1.0946287608E-01	6.0980171692E-01	6.0974584550E-01	6.0311499179E-01	6.0332375898E-01	6.0723859054E-01	6.0804362894E-01	6.0804362894E-01	6.0585592354E-01	8.0593670821E-02	?	1.0896770197E-01	1.5595230146E-01	?	5.0024194379E-01	?	4.8018282478E-01	4.7858296189E-01	?	5.6191567087E-01	4.9230028626E-01	?	2.0857450981E-01	5.9820587462E-01	?	5.9845979068E-01	5.8324882307E-01	5.9913709181E-01	5.8542988027E-01	5.2512079908E-01	
Caplet Vola Monte-Carlo Multi-Curve	2.1066610790E-01	1.9361833332E-01	1.0998045728E-01	7.9564609787E-02	2.2578354404E-01	2.1169508476E-01	7.8281756157E-02	1.0946287608E-01	1.0946287608E-01	0.0000000000E00	6.9054354618E-01	6.9052775584E-01	6.8414955244E-01	6.8435838070E-01	6.8804977463E-01	6.8882407043E-01	6.8882407043E-01	6.8699383949E-01	1.5259074632E-01	?	2.0484433790E-01	2.1924419838E-01	?	5.8751849130E-01	?	5.6809839260E-01	5.6400904648E-01	?	6.4876951930E-01	5.7735926289E-01	?	1.3273804993E-01	6.8009877591E-01	?	6.8031374774E-01	6.6633558490E-01	6.8086387980E-01	6.6748131892E-01	6.1453875007E-01	
