	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	3.3898305085E-02	3.5682928504E-01	3.3321792004E-01	6.1086325885E-01	5.7109996415E-01	2.2550715353E-01	1.6713089591E-01	1.6713089591E-01	3.6806865010E-01	1.9454932964E00	1.9461035592E00	1.9015272348E00	1.9040044856E00	1.9221935499E00	1.9259543797E00	1.9259543797E00	1.9144291465E00	1.5366512600E-01	?	8.0909657235E-02	9.4481396306E-02	?	1.5990897050E00	?	1.4100557674E00	1.4412255388E00	?	1.5623944420E00	1.1792988922E00	?	4.6689523093E-01	1.8076393030E00	?	1.8093463268E00	1.7058959337E00	1.8077113538E00	1.7135376857E00	1.3490970487E00	
Target (LIBOR)	3.3898305085E-02	0.0000000000E00	3.2391047778E-01	3.0016725146E-01	5.7996733287E-01	5.3981426846E-01	1.9197572895E-01	1.3687044243E-01	1.3687044243E-01	3.3567699713E-01	1.9472862427E00	1.9478766967E00	1.9047314823E00	1.9071300436E00	1.9247382995E00	1.9283783731E00	1.9283783731E00	1.9172224804E00	1.3867801223E-01	?	7.0136966577E-02	1.0034755548E-01	?	1.6111542794E00	?	1.4269031152E00	1.4573244104E00	?	1.5754330200E00	1.2011924102E00	?	4.3471698761E-01	1.8137527708E00	?	1.8154081733E00	1.7150009076E00	1.8138226437E00	1.7224238035E00	1.3673622657E00	
Caplet Vola Analytic Single-Curve	3.5682928504E-01	3.2391047778E-01	0.0000000000E00	3.7411546282E-02	3.2471447191E-01	3.1453057104E-01	1.3401815997E-01	1.9256946496E-01	1.9256946496E-01	1.6087980364E-01	1.9618407193E00	1.9622697049E00	1.9308296029E00	1.9325824403E00	1.9454322892E00	1.9480847259E00	1.9480847259E00	1.9399514047E00	2.6555207696E-01	?	3.0394928741E-01	3.4739709309E-01	?	1.7117386065E00	?	1.5694661468E00	1.5932181593E00	?	1.6844500884E00	1.3899070442E00	?	1.7037003096E-01	1.8639051903E00	?	1.8651305921E00	1.7902828303E00	1.8639569190E00	1.7958527305E00	1.5226735825E00	
Caplet Vola Monte-Carlo Single-Curve	3.3321792004E-01	3.0016725146E-01	3.7411546282E-02	0.0000000000E00	3.4133470332E-01	3.2028708663E-01	1.0977293409E-01	1.6843206203E-01	1.6843206203E-01	1.4147093506E-01	1.9609098724E00	1.9613492205E00	1.9291558065E00	1.9309503143E00	1.9441068265E00	1.9468228231E00	1.9468228231E00	1.9384948854E00	2.4633905998E-01	?	2.8013256276E-01	3.2374659003E-01	?	1.7051608672E00	?	1.5600267624E00	1.5842388773E00	?	1.6773037978E00	1.3772177292E00	?	1.8822207500E-01	1.8606693485E00	?	1.8619228448E00	1.7853937389E00	1.8607222628E00	1.7910863319E00	1.5123484372E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	6.1086325885E-01	5.7996733287E-01	3.2471447191E-01	3.4133470332E-01	0.0000000000E00	4.3567571902E-02	3.9910053247E-01	4.5535462068E-01	4.5535462068E-01	2.9025067595E-01	1.9708130363E00	1.9711418900E00	1.9469959515E00	1.9483445032E00	1.9582220044E00	1.9602590184E00	1.9602590184E00	1.9540107691E00	5.2067048008E-01	?	5.6116755849E-01	6.0202432808E-01	?	1.7761949821E00	?	1.6628455075E00	1.6819049875E00	?	1.7546048723E00	1.5169611095E00	?	1.6555540750E-01	1.8952963278E00	?	1.8962466724E00	1.8379432125E00	1.8953364481E00	1.8422999618E00	1.6251360402E00	
Caplet Vola Analytic Multi-Curve Ju	5.7109996415E-01	5.3981426846E-01	3.1453057104E-01	3.2028708663E-01	4.3567571902E-02	0.0000000000E00	3.5708995809E-01	4.1384426654E-01	4.1384426654E-01	2.4960659422E-01	1.9695231671E00	1.9698664437E00	1.9446681929E00	1.9460751594E00	1.9563818079E00	1.9585076058E00	1.9585076058E00	1.9519873302E00	4.8269879876E-01	?	5.2078769073E-01	5.6214736101E-01	?	1.7668093859E00	?	1.6491480854E00	1.6689118946E00	?	1.7443751536E00	1.4981489437E00	?	1.8887109095E-01	1.8907609354E00	?	1.8917513017E00	1.8310312509E00	1.8908027450E00	1.8355658605E00	1.6100697032E00	
Caplet Vola Analytic Multi-Curve Ho	2.2550715353E-01	1.9197572895E-01	1.3401815997E-01	1.0977293409E-01	3.9910053247E-01	3.5708995809E-01	0.0000000000E00	6.5993038897E-02	6.5993038897E-02	1.5648077031E-01	1.9564191038E00	1.9569083761E00	1.9210897299E00	1.9230845546E00	1.9377160378E00	1.9407379136E00	1.9407379136E00	1.9314735795E00	1.8185976500E-01	?	1.7368217776E-01	2.2100936041E-01	?	1.6737093774E00	?	1.5151193904E00	1.5414845062E00	?	1.6431668868E00	1.3172299048E00	?	2.4791367444E-01	1.8451130210E00	?	1.8465009062E00	1.7619510820E00	1.8451716063E00	1.7682274355E00	1.4633082558E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.6713089591E-01	1.3687044243E-01	1.9256946496E-01	1.6843206203E-01	4.5535462068E-01	4.1384426654E-01	6.5993038897E-02	0.0000000000E00	0.0000000000E00	2.1010932310E-01	1.9538034029E00	1.9543217020E00	1.9163983863E00	1.9185093418E00	1.9339965164E00	1.9371959766E00	1.9371959766E00	1.9273881405E00	1.5393014502E-01	?	1.2931349314E-01	1.8315906122E-01	?	1.6556026307E00	?	1.4894351456E00	1.5170049328E00	?	1.6235389372E00	1.2832009345E00	?	3.0572853452E-01	1.8360935524E00	?	1.8375588433E00	1.7484057498E00	1.8361554039E00	1.7550159799E00	1.4353204391E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.6713089591E-01	1.3687044243E-01	1.9256946496E-01	1.6843206203E-01	4.5535462068E-01	4.1384426654E-01	6.5993038897E-02	0.0000000000E00	0.0000000000E00	2.1010932310E-01	1.9538034029E00	1.9543217020E00	1.9163983863E00	1.9185093418E00	1.9339965164E00	1.9371959766E00	1.9371959766E00	1.9273881405E00	1.5393014502E-01	?	1.2931349314E-01	1.8315906122E-01	?	1.6556026307E00	?	1.4894351456E00	1.5170049328E00	?	1.6235389372E00	1.2832009345E00	?	3.0572853452E-01	1.8360935524E00	?	1.8375588433E00	1.7484057498E00	1.8361554039E00	1.7550159799E00	1.4353204391E00	
Caplet Vola Monte-Carlo Multi-Curve	3.6806865010E-01	3.3567699713E-01	1.6087980364E-01	1.4147093506E-01	2.9025067595E-01	2.4960659422E-01	1.5648077031E-01	2.1010932310E-01	2.1010932310E-01	0.0000000000E00	1.9621983938E00	1.9626505778E00	1.9310677968E00	1.9328590494E00	1.9456250149E00	1.9482630255E00	1.9482630255E00	1.9406612554E00	2.9870395145E-01	?	3.2038777125E-01	3.6681733929E-01	?	1.7157168585E00	?	1.5725927315E00	1.5967083961E00	?	1.6956296502E00	1.3904412858E00	?	1.7490752913E-01	1.8658510397E00	?	1.8671167831E00	1.7932950649E00	1.8658378757E00	1.7971160362E00	1.5364303223E00	
