Time	F	S	L	N	E(L/N)
0.0	0.004000000000000002	0.005999999999999998	0.01	1.002	0.01
0.5	0.006082952045472551	0.008552807356767556	0.014635759402240107	1.005041928913632	0.014609398880616012
1.0	0.007962874035763524	0.010946886577151581	0.018909760612915105	1.0090974505087036	0.018778583029297895
1.5	0.009794795129624567	0.013037187611695674	0.02283198274132024	1.0142004988944144	0.022444050824031798
2.0	0.01147559546631136	0.014385615010755887	0.025861210477067242	1.0204064831884698	0.025111952738053046
2.5	0.013086548977757882	0.015423042259702624	0.028509591237460503	1.0282918000374133	0.02706272645541668
3.0	0.015378357507175875	0.016408352878629906	0.03178671038580578	1.0417862257844062	0.02903411593962016
3.5	0.019121800988292706	0.017112297182091014	0.03623409817038372	1.1161194687392255	0.030898378464749784
4.0	0.026998063533394605	0.017103596757542194	0.044101660290936796	5.464463091103294	0.03240574100186871
4.5	0.037974468610455066	0.017645133193098708	0.05561960180355377	742.1136990348376	0.034322444780508006
5.0	0.062064076045355306	0.017674045774620107	0.07973812181997542	82830.28079330939	0.035930188742865535
5.5	0.14518769559932362	0.018340074904599893	0.1635277705039235	5.03580574890008E7	0.03816844889647033
6.0	0.4720414669491084	0.018997271873960705	0.49103873882306914	1.5517000077684393E11	0.03998030016077737
6.5	3.1888935420282656	0.019846457211036388	3.208739999239302	2.709479393598654E15	0.042194056113453456
7.0	32.34062838551312	0.01900318085452817	32.359631566367646	1.6670047809709123E20	0.04208107279345027
7.5	298.375617037452	0.017445023204468158	298.3930620606565	4.770658834719E26	0.042171941327669916
8.0	3922.2829372840047	0.016692262460056978	3922.2996295464654	7.000530685730366E34	0.0425236978025323
8.5	14336.676227064181	0.01682457656379998	14336.693051640746	2.6569371839215555E43	0.04377653791490535
9.0	81153.8041933772	0.017673073775117176	81153.82186645099	3.737563948464157E52	0.04546773743622686
9.5	478136.5618595337	0.018845913885401213	478136.58070544753	2.5457646927747577E62	0.0477618822627413
10.0	3557071.0365493055	0.018614055032668032	3557071.05516336	1.707081651525488E73	0.04812588945467895
10.5	2.921501953526773E7	0.017290595705257934	2.9215019552558325E7	4.733784237363111E84	0.04724419145520618
11.0	1.6626598047575176E8	0.014759929517897563	1.662659804905117E8	4.994591964715228E96	0.0451045695917981
11.5	1.9511252605566285E9	0.01527137219397768	1.9511252605718997E9	6.4837850147590726E109	0.04654692870865401
12.0	2.438110486971137E10	0.01683480893884785	2.4381104869728207E10	8.23537838574765E123	0.048714034000720684
12.5	2.1438963970937653E11	0.015857243620555433	2.1438963970939236E11	2.8224430083182236E139	0.048178926812433805
13.0	3.007860763118187E12	0.016600057956267556	3.0078607631182036E12	3.0343072988614107E155	0.050177903564098764
13.5	6.375245258044483E13	0.01546894963071919	6.3752452580444836E13	4.704598412014619E172	0.04964979072032154
14.0	1.0312506403027982E15	0.01833314201476829	1.0312506403027982E15	1.824567874876611E191	0.05324743261852782
14.5	8.940172755826522E15	0.012562327366604165	8.940172755826522E15	6.557355628416373E210	0.04781121556029301
15.0	2.6244539955493388E16	0.01838014211410963	2.6244539955493388E16	3.278437396517617E230	0.05291219220379685
15.5	6.90355439324492E16	0.010078459690134581	6.90355439324492E16	1.6389456472694502E250	0.045572213577333966
16.0	1.70130694202666976E17	0.008752081047083148	1.70130694202666976E17	8.192791419863024E269	0.04397147986201824
16.5	3.2191219340706675E17	0.007923133953231219	3.2191219340706675E17	4.0954621406071125E289	0.044286552583846894
17.0	5.8214909605681843E17	0.006515854172957051	5.8214909605681843E17	Infinity	0.04245213098225403
17.5	9.5479938061975578E17	0.004353361673128987	9.5479938061975578E17	Infinity	0.04035730391012264
18.0	1.45518312459308595E18	0.007651392418402971	1.45518312459308595E18	Infinity	0.04467036630002448
18.5	2.11209658418494848E18	0.01465039681075533	2.11209658418494848E18	Infinity	0.05524622854810533
19.0	2.8993513791989591E18	0.006206617190121007	2.8993513791989591E18	Infinity	0.04381035470800779
19.5	3.8416998681622241E18	0.0034455715685331074	3.8416998681622241E18	Infinity	0.03971342070256402
