	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.5119826435E-03	1.1107560345E-03	?	1.3655870048E-01	5.2109116287E-02	4.8461695380E-02	1.4165776365E-01	1.4165776365E-01	?	2.4075163072E-01	?	2.3472028964E-01	2.3721173265E-01	2.3994649906E-01	2.3521146345E-01	2.3521146345E-01	?	1.5875046318E-01	?	1.4508561712E-01	?	?	2.2730082172E-01	?	2.1583558614E-01	?	?	1.8364236846E-01	1.2077328931E-01	2.9811753936E02	5.8107629444E-01	?	1.3572458982E01	2.2084770893E-01	?	2.2086378940E-01	2.0715657786E-01	1.4959999960E-01	
Target (LIBOR)	8.5119826435E-03	0.0000000000E00	8.4025244649E-03	?	1.2804671783E-01	4.5355370129E-02	5.6099551487E-02	1.3486088844E-01	1.3486088844E-01	?	2.4926361336E-01	?	2.4323227229E-01	2.4572371530E-01	2.4845848170E-01	2.4372344609E-01	2.4372344609E-01	?	1.6726244582E-01	?	1.5359759976E-01	?	?	2.3581280436E-01	?	2.2434756878E-01	?	?	1.9215435110E-01	1.2753735499E-01	2.9810902738E02	5.7256431179E-01	?	1.3563946999E01	2.2935969157E-01	?	2.2937577204E-01	2.1566856050E-01	1.5706567099E-01	
Caplet Vola Analytic Single-Curve	1.1107560345E-03	8.4025244649E-03	0.0000000000E00	?	1.3644924230E-01	5.1999658108E-02	4.8542561655E-02	1.4204917551E-01	1.4204917551E-01	?	2.4086108890E-01	?	2.3482974782E-01	2.3732119083E-01	2.4005595724E-01	2.3532092163E-01	2.3532092163E-01	?	1.5885992136E-01	?	1.4519507529E-01	?	?	2.2741027989E-01	?	2.1594504432E-01	?	?	1.8375182664E-01	1.2092754642E-01	2.9811742990E02	5.8096683626E-01	?	1.3572349523E01	2.2095716711E-01	?	2.2097324758E-01	2.0726603604E-01	1.4930552016E-01	
Caplet Vola Monte-Carlo Single-Curve	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.3655870048E-01	1.2804671783E-01	1.3644924230E-01	?	0.0000000000E00	8.4449584189E-02	1.8407033529E-01	5.0748101825E-02	5.0748101825E-02	?	3.7731033120E-01	?	3.7127899012E-01	3.7377043313E-01	3.7650519954E-01	3.7177016393E-01	3.7177016393E-01	?	2.9530916366E-01	?	2.8164431759E-01	?	?	3.6385952219E-01	?	3.5239428662E-01	?	?	3.2020106893E-01	2.5058568432E-01	2.9798129987E02	4.4504172356E-01	?	1.3436219487E01	3.5740640941E-01	?	3.5742248987E-01	3.4371527833E-01	2.8340619714E-01	
Caplet Vola Analytic Multi-Curve Ju	5.2109116287E-02	4.5355370129E-02	5.1999658108E-02	?	8.4449584189E-02	0.0000000000E00	9.9620751097E-02	9.0578304425E-02	9.0578304425E-02	?	2.9286074701E-01	?	2.8682940593E-01	2.8932084894E-01	2.9205561535E-01	2.8732057974E-01	2.8732057974E-01	?	2.1085957947E-01	?	1.9719473340E-01	?	?	2.7940993800E-01	?	2.6794470243E-01	?	?	2.3575148474E-01	1.7010127988E-01	2.9806543025E02	5.2896717815E-01	?	1.3520349865E01	2.7295682522E-01	?	2.7297290568E-01	2.5926569415E-01	2.0090774688E-01	
Caplet Vola Analytic Multi-Curve Ho	4.8461695380E-02	5.6099551487E-02	4.8542561655E-02	?	1.8407033529E-01	9.9620751097E-02	0.0000000000E00	1.8769351052E-01	1.8769351052E-01	?	1.9323999591E-01	?	1.8720865483E-01	1.8970009784E-01	1.9243486425E-01	1.8769982864E-01	1.8769982864E-01	?	1.1123882837E-01	?	9.7573982306E-02	?	?	1.7978918691E-01	?	1.6832395133E-01	?	?	1.3718814713E-01	9.5897612549E-02	2.9816505100E02	6.2858792925E-01	?	1.3619970616E01	1.7333607412E-01	?	1.7335215459E-01	1.5964494305E-01	1.0937175808E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.4165776365E-01	1.3486088844E-01	1.4204917551E-01	?	5.0748101825E-02	9.0578304425E-02	1.8769351052E-01	0.0000000000E00	0.0000000000E00	?	3.8093350643E-01	?	3.7490216535E-01	3.7739360836E-01	3.8012837477E-01	3.7539333916E-01	3.7539333916E-01	?	2.9893233889E-01	?	2.8526749282E-01	?	?	3.6748269742E-01	?	3.5601746185E-01	?	?	3.2385785322E-01	2.5452624424E-01	2.9799411732E02	4.5837443119E-01	?	1.3449036935E01	3.6102958464E-01	?	3.6104566510E-01	3.4733845357E-01	2.9125776324E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.4165776365E-01	1.3486088844E-01	1.4204917551E-01	?	5.0748101825E-02	9.0578304425E-02	1.8769351052E-01	0.0000000000E00	0.0000000000E00	?	3.8093350643E-01	?	3.7490216535E-01	3.7739360836E-01	3.8012837477E-01	3.7539333916E-01	3.7539333916E-01	?	2.9893233889E-01	?	2.8526749282E-01	?	?	3.6748269742E-01	?	3.5601746185E-01	?	?	3.2385785322E-01	2.5452624424E-01	2.9799411732E02	4.5837443119E-01	?	1.3449036935E01	3.6102958464E-01	?	3.6104566510E-01	3.4733845357E-01	2.9125776324E-01	
Caplet Vola Monte-Carlo Multi-Curve	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
