	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	3.4648610645E-02	5.3765200807E-03	?	6.1337091376E-01	4.0872184960E-01	2.2952588856E-01	8.3146222374E-01	8.3146222374E-01	?	1.9362132125E00	?	1.8321356360E00	1.8720214995E00	1.9247716356E00	1.8296284785E00	1.8296284785E00	?	1.1845729415E00	?	9.6062215707E-01	?	?	1.7851394884E00	?	1.6054888415E00	?	?	1.3358902230E00	7.5841943116E-01	6.6543448043E00	1.0892445293E00	?	4.2657819550E00	1.6788188861E00	?	1.6788792393E00	1.5015351634E00	1.0513856161E00	
Target (LIBOR)	3.4648610645E-02	0.0000000000E00	3.5069432979E-02	?	5.8376066540E-01	3.8334222594E-01	2.5971205549E-01	8.0279431092E-01	8.0279431092E-01	?	1.9397162247E00	?	1.8388418824E00	1.8775233917E00	1.9286370656E00	1.8364168916E00	1.8364168916E00	?	1.2065754428E00	?	9.8620777169E-01	?	?	1.7931463258E00	?	1.6183496681E00	?	?	1.3528383888E00	7.7836890160E-01	6.6541431063E00	1.0646990659E00	?	4.2627997202E00	1.6897645230E00	?	1.6898247682E00	1.5170565983E00	1.0709593006E00	
Caplet Vola Analytic Single-Curve	5.3765200807E-03	3.5069432979E-02	0.0000000000E00	?	6.1321802261E-01	4.0872290791E-01	2.2903137512E-01	8.3144119137E-01	8.3144119137E-01	?	1.9353391002E00	?	1.8313500060E00	1.8712147050E00	1.9239165832E00	1.8288648725E00	1.8288648725E00	?	1.1838247202E00	?	9.5992947394E-01	?	?	1.7843635347E00	?	1.6049122137E00	?	?	1.3341660698E00	7.5885915109E-01	6.6543385502E00	1.0890993736E00	?	4.2656325395E00	1.6779290363E00	?	1.6779930715E00	1.5008231329E00	1.0495935878E00	
Caplet Vola Monte-Carlo Single-Curve	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	6.1337091376E-01	5.8376066540E-01	6.1321802261E-01	?	0.0000000000E00	2.5750367675E-01	7.5687057245E-01	2.2531094779E-01	2.2531094779E-01	?	2.1067898905E00	?	2.0389465417E00	2.0647440262E00	2.0990872697E00	2.0361405402E00	2.0361405402E00	?	1.5864547888E00	?	1.3958172313E00	?	?	2.0117677495E00	?	1.8935128794E00	?	?	1.6970492144E00	1.2213881777E00	6.6509483212E00	7.3142128687E-01	?	4.2171027662E00	1.9421744006E00	?	1.9422343277E00	1.8224035686E00	1.4794330774E00	
Caplet Vola Analytic Multi-Curve Ju	4.0872184960E-01	3.8334222594E-01	4.0872290791E-01	?	2.5750367675E-01	0.0000000000E00	5.3341782408E-01	4.4790168411E-01	4.4790168411E-01	?	2.0910894444E00	?	2.0060461282E00	2.0381906717E00	2.0813307446E00	2.0023527489E00	2.0023527489E00	?	1.4637785507E00	?	1.2432550645E00	?	?	1.9731477338E00	?	1.8279691287E00	?	?	1.6058958854E00	1.0661511585E00	6.6529124710E00	9.1882284645E-01	?	4.2457759131E00	1.8882163631E00	?	1.8882704518E00	1.7420931906E00	1.3632119337E00	
Caplet Vola Analytic Multi-Curve Ho	2.2952588856E-01	2.5971205549E-01	2.2903137512E-01	?	7.5687057245E-01	5.3341782408E-01	0.0000000000E00	9.6269349444E-01	9.6269349444E-01	?	1.9332738696E00	?	1.8082289850E00	1.8558419414E00	1.9193061859E00	1.8045968119E00	1.8045968119E00	?	1.0668220973E00	?	8.0961950514E-01	?	?	1.7552608745E00	?	1.5481209850E00	?	?	1.2546659451E00	7.1705734505E-01	6.6554090662E00	1.2267466900E00	?	4.2814795989E00	1.6303115192E00	?	1.6304048871E00	1.4269966666E00	9.7143724277E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	8.3146222374E-01	8.0279431092E-01	8.3144119137E-01	?	2.2531094779E-01	4.4790168411E-01	9.6269349444E-01	0.0000000000E00	0.0000000000E00	?	2.2847946000E00	?	2.2192428377E00	2.2438605670E00	2.2771187217E00	2.2157022539E00	2.2157022539E00	?	1.7867069969E00	?	1.5936297609E00	?	?	2.1959673123E00	?	2.0831117481E00	?	?	1.9052564528E00	1.4236800407E00	6.6505561453E00	7.2245505950E-01	?	4.2133804590E00	2.1308676449E00	?	2.1309062943E00	2.0154954344E00	1.6998474336E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	8.3146222374E-01	8.0279431092E-01	8.3144119137E-01	?	2.2531094779E-01	4.4790168411E-01	9.6269349444E-01	0.0000000000E00	0.0000000000E00	?	2.2847946000E00	?	2.2192428377E00	2.2438605670E00	2.2771187217E00	2.2157022539E00	2.2157022539E00	?	1.7867069969E00	?	1.5936297609E00	?	?	2.1959673123E00	?	2.0831117481E00	?	?	1.9052564528E00	1.4236800407E00	6.6505561453E00	7.2245505950E-01	?	4.2133804590E00	2.1308676449E00	?	2.1309062943E00	2.0154954344E00	1.6998474336E00	
Caplet Vola Monte-Carlo Multi-Curve	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
