	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	3.4399500979E-02	4.0484075690E-01	?	7.1405006133E-01	7.0257771012E-01	3.9665478717E-01	3.0914462360E-01	3.0914462360E-01	?	1.9152549447E00	?	1.8257712948E00	1.8301549741E00	1.8695624694E00	1.8544005626E00	1.8544005626E00	?	7.2059007473E-01	?	5.9497627051E-01	?	?	1.6237405852E00	?	1.3296163775E00	?	?	1.6246122965E00	1.2442494261E00	?	4.7406717653E-01	?	?	1.8393723303E00	?	1.8430373961E00	1.7476571499E00	1.4267338878E00	
Target (LIBOR)	3.4399500979E-02	0.0000000000E00	3.7304455308E-01	?	6.8921422362E-01	6.7848314944E-01	3.8961729375E-01	2.8614624128E-01	2.8614624128E-01	?	1.9189559887E00	?	1.8322011745E00	1.8364529401E00	1.8746733654E00	1.8599777518E00	1.8599777518E00	?	7.4888288036E-01	?	6.2466617273E-01	?	?	1.6356030810E00	?	1.3477678198E00	?	?	1.6362983329E00	1.2637715548E00	?	4.4190733136E-01	?	?	1.8453828399E00	?	1.8489447035E00	1.7563768073E00	1.4429149368E00	
Caplet Vola Analytic Single-Curve	4.0484075690E-01	3.7304455308E-01	0.0000000000E00	?	5.7667850200E-01	5.8254345044E-01	5.6779538701E-01	3.6352224591E-01	3.6352224591E-01	?	1.9886115386E00	?	1.9267476240E00	1.9298864916E00	1.9574970678E00	1.9464358493E00	1.9464358493E00	?	1.0573980005E00	?	9.4960909113E-01	?	?	1.7770493519E00	?	1.5500698343E00	?	?	1.7802192282E00	1.4701396406E00	?	1.8681448792E-01	?	?	1.9358893357E00	?	1.9383119229E00	1.8696819193E00	1.6314497343E00	
Caplet Vola Monte-Carlo Single-Curve	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	7.1405006133E-01	6.8921422362E-01	5.7667850200E-01	?	0.0000000000E00	4.3903144531E-02	5.0984303579E-01	4.4221790916E-01	4.4221790916E-01	?	2.0090515111E00	?	1.9504141206E00	1.9528824905E00	1.9785156277E00	1.9705362089E00	1.9705362089E00	?	1.1818678703E00	?	1.0929452936E00	?	?	1.8119830548E00	?	1.6036599826E00	?	?	1.7992404477E00	1.5695524301E00	?	4.1138521625E-01	?	?	1.9567882205E00	?	1.9602680764E00	1.9032426748E00	1.6539092702E00	
Caplet Vola Analytic Multi-Curve Ju	7.0257771012E-01	6.7848314944E-01	5.8254345044E-01	?	4.3903144531E-02	0.0000000000E00	4.8825147830E-01	4.3169185336E-01	4.3169185336E-01	?	2.0148651481E00	?	1.9541487763E00	1.9566721928E00	1.9832593795E00	1.9750712096E00	1.9750712096E00	?	1.1643206594E00	?	1.0750016846E00	?	?	1.8106998833E00	?	1.5966223294E00	?	?	1.7956349840E00	1.5638839810E00	?	4.2371818547E-01	?	?	1.9603117164E00	?	1.9640112565E00	1.9052430389E00	1.6452523516E00	
Caplet Vola Analytic Multi-Curve Ho	3.9665478717E-01	3.8961729375E-01	5.6779538701E-01	?	5.0984303579E-01	4.8825147830E-01	0.0000000000E00	2.1599900133E-01	2.1599900133E-01	?	1.9614031685E00	?	1.8698351232E00	1.8739035114E00	1.9131846645E00	1.9003318122E00	1.9003318122E00	?	8.1954449215E-01	?	7.0671430597E-01	?	?	1.6646831964E00	?	1.3653294837E00	?	?	1.6606760640E00	1.3028787370E00	?	5.0121001233E-01	?	?	1.8833989739E00	?	1.8879024412E00	1.7983123437E00	1.4545887418E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	3.0914462360E-01	2.8614624128E-01	3.6352224591E-01	?	4.4221790916E-01	4.3169185336E-01	2.1599900133E-01	0.0000000000E00	0.0000000000E00	?	1.9270459964E00	?	1.8499286723E00	1.8535225191E00	1.8869961069E00	1.8751451738E00	1.8751451738E00	?	8.8888915064E-01	?	7.7369213279E-01	?	?	1.6721434785E00	?	1.4055764909E00	?	?	1.6760256188E00	1.3376005048E00	?	3.0167309492E-01	?	?	1.8621015347E00	?	1.8655733272E00	1.7867804461E00	1.4976532866E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	3.0914462360E-01	2.8614624128E-01	3.6352224591E-01	?	4.4221790916E-01	4.3169185336E-01	2.1599900133E-01	0.0000000000E00	0.0000000000E00	?	1.9270459964E00	?	1.8499286723E00	1.8535225191E00	1.8869961069E00	1.8751451738E00	1.8751451738E00	?	8.8888915064E-01	?	7.7369213279E-01	?	?	1.6721434785E00	?	1.4055764909E00	?	?	1.6760256188E00	1.3376005048E00	?	3.0167309492E-01	?	?	1.8621015347E00	?	1.8655733272E00	1.7867804461E00	1.4976532866E00	
Caplet Vola Monte-Carlo Multi-Curve	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
