	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	4.4066718013E-02	8.7197307961E-03	8.6694982249E-03	4.4597088141E-02	4.4430393878E-02	?	4.9054043167E-02	4.9011638065E-02	5.1662234351E-02	2.5608358716E00	2.5608354511E00	2.5313001590E00	2.5313290960E00	?	2.5310584473E00	2.5310684788E00	2.5313870113E00	9.7018857956E-01	9.8041217235E-01	7.5809035613E-01	7.6744466913E-01	7.4722603049E-01	2.3229107690E00	2.3260319906E00	2.1442944670E00	2.1507006626E00	2.1464129184E00	2.0054266043E00	1.5014567980E00	2.1908986924E00	1.2943447396E00	2.2645126562E00	2.1370802460E00	2.2648494155E00	2.0586130915E00	2.2647961638E00	2.0587363934E00	1.7406487295E00	
Target (LIBOR)	4.4066718013E-02	0.0000000000E00	4.6370517930E-02	4.9828230345E-02	5.8522236549E-03	6.1676837898E-03	?	7.4591037401E-03	7.2938899504E-03	9.9631703477E-03	2.5621248102E00	2.5621243887E00	2.5335480658E00	2.5335760778E00	?	2.5333141207E00	2.5333238318E00	2.5336320595E00	9.9914661764E-01	1.0093429388E00	7.8973978932E-01	7.9914040299E-01	7.7918212699E-01	2.3304903102E00	2.3335531743E00	2.1553808746E00	2.1616302378E00	2.1574451169E00	2.0213117862E00	1.5227253054E00	2.1711042386E00	1.2649198515E00	2.2744293622E00	2.1175231087E00	2.2747569554E00	2.0740084607E00	2.2747052547E00	2.0741298056E00	1.7604504238E00	
Caplet Vola Analytic Single-Curve	8.7197307961E-03	4.6370517930E-02	0.0000000000E00	1.5736827567E-02	4.5833391638E-02	4.5721067204E-02	?	4.9758453156E-02	4.9726842941E-02	4.8518361425E-02	2.5565150481E00	2.5565146795E00	2.5270211409E00	2.5270500206E00	?	2.5267798277E00	2.5267898388E00	2.5271079830E00	9.7266910743E-01	9.8290464380E-01	7.6052196057E-01	7.6989096479E-01	7.4966881226E-01	2.3173332292E00	2.3204464960E00	2.1418285152E00	2.1482248693E00	2.1439442824E00	2.0021425163E00	1.5044362958E00	2.1884582564E00	1.2927488989E00	2.2603415599E00	2.1346360386E00	2.2605772084E00	2.0535473324E00	2.2605231798E00	2.0536700453E00	1.7365548920E00	
Caplet Vola Monte-Carlo Single-Curve	8.6694982249E-03	4.9828230345E-02	1.5736827567E-02	0.0000000000E00	4.9783663955E-02	4.9642863144E-02	?	5.4508233165E-02	5.4403561919E-02	4.6764843503E-02	2.5485737914E00	2.5485362974E00	2.5211543780E00	2.5211823738E00	?	2.5209289395E00	2.5209386892E00	2.5212056411E00	9.6344748539E-01	9.7362307895E-01	7.5179028759E-01	7.6109315582E-01	7.4091253319E-01	2.3208074555E00	2.3239217519E00	2.1470448721E00	2.1534506588E00	2.1491625610E00	1.9948916308E00	1.4927884484E00	2.1894030352E00	1.2916205577E00	2.2590701258E00	2.1355931883E00	2.2594058436E00	2.0537005000E00	2.2593526993E00	2.0538231152E00	1.7396659993E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	4.4597088141E-02	5.8522236549E-03	4.5833391638E-02	4.9783663955E-02	0.0000000000E00	8.6932822331E-04	?	5.8602188660E-03	5.6948947502E-03	9.5460828730E-03	2.5611202666E00	2.5611198568E00	2.5325604051E00	2.5325883970E00	?	2.5323266105E00	2.5323363145E00	2.5326443745E00	9.9896924955E-01	1.0091624208E00	7.8961125412E-01	7.9900909691E-01	7.7905526408E-01	2.3293643005E00	2.3323950578E00	2.1545878353E00	2.1608328654E00	2.1566508243E00	2.0206576473E00	1.5224320260E00	2.1729154174E00	1.2646138692E00	2.2735088281E00	2.1193432227E00	2.2737387193E00	2.0724459936E00	2.2736862420E00	2.0725671373E00	1.7597319275E00	
Caplet Vola Analytic Multi-Curve Ju	4.4430393878E-02	6.1676837898E-03	4.5721067204E-02	4.9642863144E-02	8.6932822331E-04	0.0000000000E00	?	6.2352991109E-03	6.0699671625E-03	9.5679521415E-03	2.5620766022E00	2.5620761812E00	2.5334966376E00	2.5335246525E00	?	2.5332626671E00	2.5332723791E00	2.5335806420E00	9.9897896206E-01	1.0091750500E00	7.8956444701E-01	7.9896450721E-01	7.7900545395E-01	2.3302751425E00	2.3333083541E00	2.1554385428E00	2.1616887680E00	2.1575030565E00	2.0212181675E00	1.5225813252E00	2.1731985295E00	1.2647707372E00	2.2742571369E00	2.1196227940E00	2.2744872086E00	2.0731236277E00	2.2744347032E00	2.0732448938E00	1.7602326871E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	4.9054043167E-02	7.4591037401E-03	4.9758453156E-02	5.4508233165E-02	5.8602188660E-03	6.2352991109E-03	?	0.0000000000E00	2.8437379776E-04	1.3243727352E-02	2.5597351224E00	2.5597347301E00	2.5312908090E00	2.5313186836E00	?	2.5310579709E00	2.5310676341E00	2.5313744729E00	1.0027783503E00	1.0129713023E00	7.9370264249E-01	8.0310888161E-01	7.8318265705E-01	2.3274862307E00	2.3307090424E00	2.1523615525E00	2.1585791798E00	2.1544159982E00	2.0211811295E00	1.5258345610E00	2.1711064918E00	1.2624576435E00	2.2732291888E00	2.1175626991E00	2.2734582583E00	2.0723015279E00	2.2734059637E00	2.0724222582E00	1.7598367485E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	4.9011638065E-02	7.2938899504E-03	4.9726842941E-02	5.4403561919E-02	5.6948947502E-03	6.0699671625E-03	?	2.8437379776E-04	0.0000000000E00	1.3154735817E-02	2.5601101095E00	2.5601097129E00	2.5316584613E00	2.5316863444E00	?	2.5314255586E00	2.5314352248E00	2.5317421373E00	1.0027762671E00	1.0129702242E00	7.9368071054E-01	8.0308770292E-01	7.8315964278E-01	2.3278377730E00	2.3310432539E00	2.1526817287E00	2.1589012452E00	2.1547367268E00	2.0214093575E00	1.5258694985E00	2.1712102221E00	1.2625112695E00	2.2735277025E00	2.1176651785E00	2.2737568392E00	2.0725728097E00	2.2737045344E00	2.0726935864E00	1.7600367348E00	
Caplet Vola Monte-Carlo Multi-Curve	5.1662234351E-02	9.9631703477E-03	4.8518361425E-02	4.6764843503E-02	9.5460828730E-03	9.5679521415E-03	?	1.3243727352E-02	1.3154735817E-02	0.0000000000E00	2.5497548003E00	2.5497405232E00	2.5207419072E00	2.5207697863E00	?	2.5205088394E00	2.5205185031E00	2.5208259708E00	9.9011984620E-01	1.0002637799E00	7.8108071784E-01	7.9042155298E-01	7.7049367057E-01	2.3244809463E00	2.3275067439E00	2.1598742715E00	2.1661139367E00	2.1616728113E00	2.0126211116E00	1.5219303534E00	2.1724249942E00	1.2601862689E00	2.2642653488E00	2.1188490598E00	2.2645918580E00	2.0644379557E00	2.2645402247E00	2.0645775345E00	1.7558582753E00	
