	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.7003869867E-03	1.3274747747E-03	9.3797881977E-04	8.8058265415E-03	8.6902096432E-03	?	9.8148027677E-03	9.7731878647E-03	8.6428360790E-03	2.4967638760E-01	2.4967212295E-01	2.4796160337E-01	2.4796392899E-01	?	2.4794472474E-01	2.4794555996E-01	2.4796327338E-01	8.6676947722E-02	8.8017260695E-02	6.9435588059E-02	7.1390901708E-02	6.8000254826E-02	2.3477011259E-01	2.3504774740E-01	2.2044993266E-01	2.2112143790E-01	2.2056700152E-01	2.0709813509E-01	1.4397379789E-01	1.0776687128E00	5.8534437274E-01	2.2899098507E-01	1.0706761870E00	2.2903381529E-01	2.1511061219E-01	2.2902532206E-01	2.1512375324E-01	1.8233523448E-01	
Target (LIBOR)	8.7003869867E-03	0.0000000000E00	8.8079762609E-03	8.4294784836E-03	4.5019522000E-04	4.2483823911E-04	?	1.2320438445E-03	1.1906840170E-03	1.2931068300E-03	2.5837662771E-01	2.5837236277E-01	2.5666175511E-01	2.5666408119E-01	?	2.5664487448E-01	2.5664570986E-01	2.5666342337E-01	9.2436240672E-02	9.3922184456E-02	7.4308754183E-02	7.6472106615E-02	7.3120708689E-02	2.4345928159E-01	2.4373740992E-01	2.2911627473E-01	2.2979101824E-01	2.2923442344E-01	2.1548321517E-01	1.5107361705E-01	1.0699829333E00	5.7668534308E-01	2.3767603074E-01	1.0629668224E00	2.3771879170E-01	2.2379079526E-01	2.3771034251E-01	2.2380407664E-01	1.9028776970E-01	
Caplet Vola Analytic Single-Curve	1.3274747747E-03	8.8079762609E-03	0.0000000000E00	1.7745072865E-03	8.9104350704E-03	8.7944623454E-03	?	9.9268922571E-03	9.8852960006E-03	8.6905018223E-03	2.4967172788E-01	2.4966758328E-01	2.4795857931E-01	2.4796090344E-01	?	2.4794171739E-01	2.4794255214E-01	2.4796020810E-01	8.6495361877E-02	8.7841463285E-02	6.9253935614E-02	7.1207970102E-02	6.7815535999E-02	2.3476568369E-01	2.3504327156E-01	2.2046234194E-01	2.2113278205E-01	2.2057908476E-01	2.0690386366E-01	1.4409880336E-01	1.0773503168E00	5.8532597354E-01	2.2896246210E-01	1.0703648104E00	2.2900454816E-01	2.1509041739E-01	2.2899626997E-01	2.1510387988E-01	1.8208189752E-01	
Caplet Vola Monte-Carlo Single-Curve	9.3797881977E-04	8.4294784836E-03	1.7745072865E-03	0.0000000000E00	8.5314730809E-03	8.4205302584E-03	?	9.5327930588E-03	9.4926936408E-03	8.3186767234E-03	2.4999298540E-01	2.4998867371E-01	2.4827772864E-01	2.4828005777E-01	?	2.4826083697E-01	2.4826167348E-01	2.4827937846E-01	8.6697331463E-02	8.8049321129E-02	6.9376314594E-02	7.1360409118E-02	6.7964954507E-02	2.3507285710E-01	2.3535086257E-01	2.2074101062E-01	2.2141407625E-01	2.2085909608E-01	2.0734097041E-01	1.4427975062E-01	1.0772722437E00	5.8498568430E-01	2.2928903689E-01	1.0702775909E00	2.2933204279E-01	2.1540457963E-01	2.2932354682E-01	2.1541779037E-01	1.8251447445E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	8.8058265415E-03	4.5019522000E-04	8.9104350704E-03	8.5314730809E-03	0.0000000000E00	1.4312590969E-04	?	1.0354581439E-03	9.9319318555E-04	1.2088333919E-03	2.5847110742E-01	2.5846684048E-01	2.5675597133E-01	2.5675829847E-01	?	2.5673908696E-01	2.5673992267E-01	2.5675763764E-01	9.2518809387E-02	9.4004008709E-02	7.4375585346E-02	7.6545295252E-02	7.3192535786E-02	2.4354855673E-01	2.4382672217E-01	2.2919995006E-01	2.2987532064E-01	2.2931836678E-01	2.1558963916E-01	1.5111637224E-01	1.0699156012E00	5.7658436872E-01	2.3776900198E-01	1.0628958633E00	2.3781178017E-01	2.2388156607E-01	2.3780333679E-01	2.2389487454E-01	1.9037829801E-01	
Caplet Vola Analytic Multi-Curve Ju	8.6902096432E-03	4.2483823911E-04	8.7944623454E-03	8.4205302584E-03	1.4312590969E-04	0.0000000000E00	?	1.1562405320E-03	1.1120732112E-03	1.2354393543E-03	2.5835655504E-01	2.5835229056E-01	2.5664152584E-01	2.5664385228E-01	?	2.5662464366E-01	2.5662547914E-01	2.5664319566E-01	9.2451022790E-02	9.3933666240E-02	7.4322808253E-02	7.6487219037E-02	7.3134493858E-02	2.4343691303E-01	2.4371500671E-01	2.2909064029E-01	2.2976570707E-01	2.2920888727E-01	2.1549348019E-01	1.5102861021E-01	1.0700449087E00	5.7670616672E-01	2.3765849903E-01	1.0630255797E00	2.3770126783E-01	2.2377201958E-01	2.3769282263E-01	2.2378531026E-01	1.9029879023E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	9.8148027677E-03	1.2320438445E-03	9.9268922571E-03	9.5327930588E-03	1.0354581439E-03	1.1562405320E-03	?	0.0000000000E00	5.0669110944E-05	1.8176209732E-03	2.5947500907E-01	2.5947072880E-01	2.5775926947E-01	2.5776159723E-01	?	2.5774237778E-01	2.5774321374E-01	2.5776094445E-01	9.3267920006E-02	9.4768205538E-02	7.5038580445E-02	7.7230714977E-02	7.3884484412E-02	2.4454848240E-01	2.4482677874E-01	2.3019210077E-01	2.3086816677E-01	2.3031071244E-01	2.1657409852E-01	1.5190212514E-01	1.0690583552E00	5.7558745362E-01	2.3877058468E-01	1.0620347645E00	2.3881345640E-01	2.2487937058E-01	2.3880498646E-01	2.2489264846E-01	1.9131154634E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	9.7731878647E-03	1.1906840170E-03	9.8852960006E-03	9.4926936408E-03	9.9319318555E-04	1.1120732112E-03	?	5.0669110944E-05	0.0000000000E00	1.7976534787E-03	2.5943406039E-01	2.5942978096E-01	2.5771836246E-01	2.5772068998E-01	?	2.5770147159E-01	2.5770230747E-01	2.5772003858E-01	9.3243217593E-02	9.4742588609E-02	7.5019036780E-02	7.7209332401E-02	7.3863079394E-02	2.4450854563E-01	2.4478681628E-01	2.3015299248E-01	2.3082895330E-01	2.3027154641E-01	2.1653961504E-01	1.5187054526E-01	1.0691043344E00	5.7563087465E-01	2.3873106386E-01	1.0620808800E00	2.3877393220E-01	2.2484020129E-01	2.3876546172E-01	2.2485347333E-01	1.9128289279E-01	
Caplet Vola Monte-Carlo Multi-Curve	8.6428360790E-03	1.2931068300E-03	8.6905018223E-03	8.3186767234E-03	1.2088333919E-03	1.2354393543E-03	?	1.8176209732E-03	1.7976534787E-03	0.0000000000E00	2.5822261429E-01	2.5821836647E-01	2.5650835570E-01	2.5651068785E-01	?	2.5649147022E-01	2.5649230763E-01	2.5650993651E-01	9.2038302179E-02	9.3530860522E-02	7.3863298250E-02	7.6057610458E-02	7.2690915865E-02	2.4327588932E-01	2.4355464537E-01	2.2892056367E-01	2.2959787622E-01	2.2904041358E-01	2.1514549540E-01	1.5100472052E-01	1.0697394167E00	5.7674163761E-01	2.3748195529E-01	1.0627234813E00	2.3752445946E-01	2.2359653041E-01	2.3751617184E-01	2.2361021032E-01	1.8984074899E-01	
Caplet Value Analytic Single-Curve	2.4967638760E-01	2.5837662771E-01	2.4967172788E-01	2.4999298540E-01	2.5847110742E-01	2.5835655504E-01	?	2.5947500907E-01	2.5943406039E-01	2.5822261429E-01	0.0000000000E00	2.4994769238E-05	1.8257936218E-03	1.8232613190E-03	?	1.8444244950E-03	1.8435088492E-03	1.8223590047E-03	2.0586816379E-01	2.0344819464E-01	2.2178187735E-01	2.1911150039E-01	2.1991179768E-01	1.8812573367E-02	1.8426560575E-02	3.5551230657E-02	3.4430049061E-02	3.5272428604E-02	7.4692076154E-02	1.5841507295E-01	1.3031921051E00	8.3410971616E-01	2.4483088021E-02	1.2967864743E00	2.4466661953E-02	3.7578659843E-02	2.4462093824E-02	3.7544679834E-02	1.1188358515E-01	
Caplet Value Monte-Carlo Single-Curve	2.4967212295E-01	2.5837236277E-01	2.4966758328E-01	2.4998867371E-01	2.5846684048E-01	2.5835229056E-01	?	2.5947072880E-01	2.5942978096E-01	2.5821836647E-01	2.4994769238E-05	0.0000000000E00	1.8172476405E-03	1.8147174788E-03	?	1.8358675016E-03	1.8349524439E-03	1.8138746781E-03	2.0586493035E-01	2.0344496109E-01	2.2177824004E-01	2.1910795648E-01	2.1990821399E-01	1.8807306737E-02	1.8421300442E-02	3.5544278634E-02	3.4423162731E-02	3.5265530309E-02	7.4695969415E-02	1.5840961688E-01	1.3031915175E00	8.3410545787E-01	2.4481130885E-02	1.2967857592E00	2.4464841384E-02	3.7574636360E-02	2.4460238484E-02	3.7540628433E-02	1.1188498217E-01	
Caplet Value Analytic Multi-Curve Fenton-Wilkinson	2.4796160337E-01	2.5666175511E-01	2.4795857931E-01	2.4827772864E-01	2.5675597133E-01	2.5664152584E-01	?	2.5775926947E-01	2.5771836246E-01	2.5650835570E-01	1.8257936218E-03	1.8172476405E-03	0.0000000000E00	3.1271433696E-06	?	1.8986526033E-05	1.7994271543E-05	2.0142492638E-05	2.0429737055E-01	2.0188082884E-01	2.2016512796E-01	2.1750172793E-01	2.1829318386E-01	1.7315066426E-02	1.6928288126E-02	3.3941585121E-02	3.2812522589E-02	3.3659514324E-02	7.3574770866E-02	1.5686096886E-01	1.3016209482E00	8.3239232676E-01	2.2947457063E-02	1.2952098451E00	2.2935470455E-02	3.5883752864E-02	2.2929345075E-02	3.5848475845E-02	1.1057535133E-01	
Caplet Value Analytic Multi-Curve Ju	2.4796392899E-01	2.5666408119E-01	2.4796090344E-01	2.4828005777E-01	2.5675829847E-01	2.5664385228E-01	?	2.5776159723E-01	2.5772068998E-01	2.5651068785E-01	1.8232613190E-03	1.8147174788E-03	3.1271433696E-06	0.0000000000E00	?	2.1804970016E-05	2.0782647267E-05	2.1270282621E-05	2.0429970350E-01	2.0188315452E-01	2.2016751117E-01	2.1750408835E-01	2.1829555381E-01	1.7317788350E-02	1.6931010575E-02	3.3944299221E-02	3.2815233899E-02	3.3662215194E-02	7.3577322350E-02	1.5686306637E-01	1.3016236588E00	8.3239478302E-01	2.2950360320E-02	1.2952125617E00	2.2938368662E-02	3.5886612639E-02	2.2932244427E-02	3.5851334922E-02	1.1057813758E-01	
Caplet Value Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Value Analytic Multi-Curve Drift-Freeze	2.4794472474E-01	2.5664487448E-01	2.4794171739E-01	2.4826083697E-01	2.5673908696E-01	2.5662464366E-01	?	2.5774237778E-01	2.5770147159E-01	2.5649147022E-01	1.8444244950E-03	1.8358675016E-03	1.8986526033E-05	2.1804970016E-05	?	0.0000000000E00	1.0977979770E-06	2.8592510125E-05	2.0428157472E-01	2.0186507912E-01	2.2014888399E-01	2.1748558543E-01	2.1827695818E-01	1.7299100730E-02	1.6912327292E-02	3.3924554090E-02	3.2795440941E-02	3.3642483803E-02	7.3561967693E-02	1.5684563987E-01	1.3016044268E00	8.3237517423E-01	2.2930827914E-02	1.2951932724E00	2.2918890581E-02	3.5865859847E-02	2.2912749196E-02	3.5830572259E-02	1.1056059138E-01	
Caplet Value Analytic Multi-Curve Integrated-Expectation	2.4794555996E-01	2.5664570986E-01	2.4794255214E-01	2.4826167348E-01	2.5673992267E-01	2.5662547914E-01	?	2.5774321374E-01	2.5770230747E-01	2.5649230763E-01	1.8435088492E-03	1.8349524439E-03	1.7994271543E-05	2.0782647267E-05	?	1.0977979770E-06	0.0000000000E00	2.8158491297E-05	2.0428240988E-01	2.0186591152E-01	2.2014973711E-01	2.1748643061E-01	2.1827780678E-01	1.7300063437E-02	1.6913289987E-02	3.3925518639E-02	3.2796404884E-02	3.3643444101E-02	7.3562871243E-02	1.5684639021E-01	1.3016053922E00	8.3237605393E-01	2.2931859051E-02	1.2951942397E00	2.2919919916E-02	3.5866879895E-02	2.2913778956E-02	3.5831592119E-02	1.1056157784E-01	
Caplet Value Monte-Carlo Multi-Curve	2.4796327338E-01	2.5666342337E-01	2.4796020810E-01	2.4827937846E-01	2.5675763764E-01	2.5664319566E-01	?	2.5776094445E-01	2.5772003858E-01	2.5650993651E-01	1.8223590047E-03	1.8138746781E-03	2.0142492638E-05	2.1270282621E-05	?	2.8592510125E-05	2.8158491297E-05	0.0000000000E00	2.0429714668E-01	2.0188063905E-01	2.2016516096E-01	2.1750186174E-01	2.1829329944E-01	1.7309348307E-02	1.6922562124E-02	3.3938451613E-02	3.2809482381E-02	3.3656502852E-02	7.3564857157E-02	1.5686268440E-01	1.3016164901E00	8.3239292981E-01	2.2941229201E-02	1.2952054493E00	2.2929171877E-02	3.5880825047E-02	2.2923078903E-02	3.5845589323E-02	1.1056662342E-01	
Swaption Vola Analytic Single-Curve	8.6676947722E-02	9.2436240672E-02	8.6495361877E-02	8.6697331463E-02	9.2518809387E-02	9.2451022790E-02	?	9.3267920006E-02	9.3243217593E-02	9.2038302179E-02	2.0586816379E-01	2.0586493035E-01	2.0429737055E-01	2.0429970350E-01	?	2.0428157472E-01	2.0428240988E-01	2.0429714668E-01	0.0000000000E00	2.7818550121E-03	2.1015168501E-02	1.8057985977E-02	2.0608326687E-02	1.9289000321E-01	1.9311746864E-01	1.8145583039E-01	1.8192030297E-01	1.8161977831E-01	1.5923060689E-01	1.6137469804E-01	1.1183681907E00	6.4122550603E-01	1.8531462805E-01	1.1116472828E00	1.8534779386E-01	1.7264564990E-01	1.8534231277E-01	1.7266489435E-01	1.3960321131E-01	
