	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	4.4066718013E-02	8.7197307961E-03	1.0939484638E-02	2.4527184186E-02	2.4268368716E-02	?	3.2988494500E-02	3.2666281753E-02	2.5619123248E-02	2.5048929803E00	2.5051236653E00	2.4757491178E00	2.4757804512E00	?	2.4750903097E00	2.4751185533E00	2.4761854296E00	8.3855925624E-01	8.6619579247E-01	7.2944345497E-01	7.4655365526E-01	7.6077815753E-01	2.0531968886E00	2.0642401035E00	1.9350794181E00	1.9505885614E00	1.9500552011E00	2.0054266043E00	1.5014567980E00	3.1693043453E01	1.2943447396E00	2.2642405987E00	1.4589443791E01	2.2648344306E00	2.0581951039E00	2.2647961638E00	2.0587363934E00	1.7406487295E00	
Target (LIBOR)	4.4066718013E-02	0.0000000000E00	4.6370517930E-02	5.2654409094E-02	2.6747009561E-02	2.6786937664E-02	?	2.1167187166E-02	2.1203153388E-02	3.4283894514E-02	2.5079872281E00	2.5082104773E00	2.4797659964E00	2.4797963593E00	?	2.4791278493E00	2.4791552177E00	2.4801883336E00	8.6939157773E-01	8.9694294788E-01	7.6150620180E-01	7.7870533689E-01	7.9281659575E-01	2.0645308264E00	2.0753135390E00	1.9490380610E00	1.9642327295E00	1.9637001931E00	2.0213117862E00	1.5227253054E00	3.1692100609E01	1.2649198515E00	2.2743529442E00	1.4579783428E01	2.2747417974E00	2.0735984446E00	2.2747052547E00	2.0741298056E00	1.7604504238E00	
Caplet Vola Analytic Single-Curve	8.7197307961E-03	4.6370517930E-02	0.0000000000E00	1.4482468412E-02	2.4571807139E-02	2.4053935932E-02	?	3.2466121533E-02	3.2087606037E-02	2.5116393945E-02	2.5006516908E00	2.5008821704E00	2.4715487212E00	2.4715799948E00	?	2.4708908928E00	2.4709190832E00	2.4719846959E00	8.4102350583E-01	8.6868837945E-01	7.3187383445E-01	7.4901086885E-01	7.6324340162E-01	2.0578494823E00	2.0689122249E00	1.9395319417E00	1.9550711809E00	1.9545333805E00	2.0021425163E00	1.5044362958E00	3.1693020144E01	1.2927488989E00	2.2603619045E00	1.4589082052E01	2.2605662318E00	2.0531308870E00	2.2605231798E00	2.0536700453E00	1.7365548920E00	
Caplet Vola Monte-Carlo Single-Curve	1.0939484638E-02	5.2654409094E-02	1.4482468412E-02	0.0000000000E00	3.5150732772E-02	3.4947738237E-02	?	4.3404235772E-02	4.3145238100E-02	2.8092257322E-02	2.4961015564E00	2.4961855760E00	2.4689955292E00	2.4690255767E00	?	2.4683808240E00	2.4684076340E00	2.4693333543E00	8.2858846765E-01	8.5609217512E-01	7.1967855785E-01	7.3667007640E-01	7.5085321953E-01	2.0617890854E00	2.0728818910E00	1.9431656936E00	1.9587473868E00	1.9582053242E00	1.9947653357E00	1.4941696985E00	3.1693056780E01	1.2924961037E00	2.2591645029E00	1.4589544241E01	2.2597580662E00	2.0542082293E00	2.2597194791E00	2.0547827858E00	1.7406148766E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	2.4527184186E-02	2.6747009561E-02	2.4571807139E-02	3.5150732772E-02	0.0000000000E00	5.6088824080E-04	?	8.4516051960E-03	8.1288425396E-03	1.3051289243E-02	2.4979649019E00	2.4981912139E00	2.4693941062E00	2.4694248034E00	?	2.4687482568E00	2.4687759284E00	2.4698222975E00	8.5612358105E-01	8.8372064674E-01	7.4767848414E-01	7.6484509035E-01	7.7900919983E-01	2.0471626582E00	2.0579986856E00	1.9311409767E00	1.9463826452E00	1.9458616875E00	2.0072050999E00	1.5146367131E00	3.1692523832E01	1.2814331285E00	2.2618372030E00	1.4584122466E01	2.2620383249E00	2.0564811304E00	2.2619960694E00	2.0570130537E00	1.7416481045E00	
Caplet Vola Analytic Multi-Curve Ju	2.4268368716E-02	2.6786937664E-02	2.4053935932E-02	3.4947738237E-02	5.6088824080E-04	0.0000000000E00	?	8.7435576304E-03	8.3905789920E-03	1.2881426131E-02	2.4985192528E00	2.4987456495E00	2.4699358961E00	2.4699666088E00	?	2.4692897569E00	2.4693174423E00	2.4703642400E00	8.5606855095E-01	8.8366978346E-01	7.4760607660E-01	7.6477476736E-01	7.7894103658E-01	2.0477047799E00	2.0585465215E00	1.9316250216E00	1.9468745185E00	1.9463529231E00	2.0075326396E00	1.5146850979E00	3.1692532702E01	1.2815347829E00	2.2622828720E00	1.4584212324E01	2.2624841040E00	2.0568915333E00	2.2624418620E00	2.0574237579E00	1.7419556034E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	3.2988494500E-02	2.1167187166E-02	3.2466121533E-02	4.3404235772E-02	8.4516051960E-03	8.7435576304E-03	?	0.0000000000E00	4.5202314460E-04	2.1117994203E-02	2.4985997462E00	2.4988248333E00	2.4701803692E00	2.4702109079E00	?	2.4695379086E00	2.4695654370E00	2.4706062563E00	8.6247442680E-01	8.9007431145E-01	7.5420477238E-01	7.7140090876E-01	7.8555169611E-01	2.0468007530E00	2.0588388480E00	1.9295738526E00	1.9447332663E00	1.9442163680E00	2.0099291793E00	1.5198813791E00	3.1692370400E01	1.2776652708E00	2.2636283764E00	1.4582592793E01	2.2638286800E00	2.0584750317E00	2.2637867429E00	2.0590051165E00	1.7438071157E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	3.2666281753E-02	2.1203153388E-02	3.2087606037E-02	4.3145238100E-02	8.1288425396E-03	8.3905789920E-03	?	4.5202314460E-04	0.0000000000E00	2.0914531843E-02	2.4990695242E00	2.4992946861E00	2.4706391233E00	2.4706696754E00	?	2.4699964085E00	2.4700239491E00	2.4710651456E00	8.6235420276E-01	8.8995683999E-01	7.5407064166E-01	7.7126779161E-01	7.8542019760E-01	2.0468573965E00	2.0588987575E00	1.9300060662E00	1.9451724527E00	1.9446549875E00	2.0102013014E00	1.5198251688E00	3.1692378388E01	1.2777570639E00	2.2640031204E00	1.4582673587E01	2.2642035195E00	2.0588321452E00	2.2641615929E00	2.0593624952E00	1.7440806063E00	
Caplet Vola Monte-Carlo Multi-Curve	2.5619123248E-02	3.4283894514E-02	2.5116393945E-02	2.8092257322E-02	1.3051289243E-02	1.2881426131E-02	?	2.1117994203E-02	2.0914531843E-02	0.0000000000E00	2.4825939902E00	2.4828203666E00	2.4540690491E00	2.4540996392E00	?	2.4534244506E00	2.4534520283E00	2.4544975325E00	8.4384021091E-01	8.7129455161E-01	7.3557348002E-01	7.5260605506E-01	7.6672910260E-01	2.0637179740E00	2.0746557909E00	1.9466576487E00	1.9620468953E00	1.9615091161E00	1.9960031594E00	1.5023302420E00	3.1692575125E01	1.2784686560E00	2.2476303793E00	1.4584601419E01	2.2482133057E00	2.0453417526E00	2.2481746533E00	2.0458704193E00	1.7353501112E00	
