	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	1.8004773087E-02	2.5353798208E-01	2.3673350211E-01	4.2518746474E-01	4.1513324720E-01	1.4684760742E-01	1.3464469559E-01	1.3464469559E-01	2.1885750586E-01	5.0739893376E-01	5.0743169789E-01	5.0106361201E-01	5.0129039686E-01	5.0488430001E-01	5.0555637210E-01	5.0555637210E-01	5.0367415394E-01	1.1508706183E-01	?	6.4826504594E-02	1.4496051779E-01	?	4.1248291287E-01	?	3.9616159522E-01	3.9927799723E-01	?	4.6929855716E-01	4.0273333445E-01	?	3.1820686109E-01	4.9747176087E-01	?	4.9772674409E-01	4.8266001755E-01	4.9809435048E-01	4.8429489371E-01	4.3838605585E-01	
Target (LIBOR)	1.8004773087E-02	0.0000000000E00	2.3693446365E-01	2.1979501962E-01	4.0864801266E-01	3.9887687249E-01	1.2983634376E-01	1.1932018223E-01	1.1932018223E-01	2.0361960190E-01	5.2540291946E-01	5.2543551794E-01	5.1906626639E-01	5.1929299831E-01	5.2288788055E-01	5.2356017143E-01	5.2356017143E-01	5.2167732953E-01	1.0340857833E-01	?	6.5425752607E-02	1.4454564324E-01	?	4.3013881749E-01	?	4.1364905536E-01	4.1654575330E-01	?	4.8719024695E-01	4.2026337291E-01	?	3.0054055150E-01	5.1546895837E-01	?	5.1572396656E-01	5.0065410828E-01	5.1609324441E-01	5.0229241647E-01	4.5615835367E-01	
Caplet Vola Analytic Single-Curve	2.5353798208E-01	2.3693446365E-01	0.0000000000E00	5.0736343065E-02	2.6044400920E-01	2.6098607610E-01	1.2199163007E-01	1.2548232122E-01	1.2548232122E-01	1.4910132155E-01	7.4903047209E-01	7.4909881081E-01	7.4307289141E-01	7.4330388056E-01	7.4667931840E-01	7.4727953224E-01	7.4727953224E-01	7.4555311441E-01	2.0251155677E-01	?	2.6049775455E-01	2.9390209712E-01	?	6.5461296578E-01	?	6.3776102678E-01	6.3953869083E-01	?	7.1316124921E-01	6.4011458950E-01	?	1.4626871600E-01	7.3990884375E-01	?	7.4015048286E-01	7.2557019970E-01	7.4042030259E-01	7.2701822987E-01	6.8357822837E-01	
Caplet Vola Monte-Carlo Single-Curve	2.3673350211E-01	2.1979501962E-01	5.0736343065E-02	0.0000000000E00	2.3552360621E-01	2.3300842074E-01	9.8727822614E-02	1.0858317231E-01	1.0858317231E-01	1.2763739909E-01	7.3543258548E-01	7.3545890213E-01	7.2930742528E-01	7.2952841597E-01	7.3304142340E-01	7.3366575465E-01	7.3366575465E-01	7.3184783615E-01	1.7575012655E-01	?	2.3538922405E-01	2.6681000878E-01	?	6.3884453689E-01	?	6.2165628592E-01	6.2288988611E-01	?	6.9656901270E-01	6.2762136177E-01	?	1.4076943668E-01	7.2565204002E-01	?	7.2590306651E-01	7.1120248505E-01	7.2629056395E-01	7.1285824083E-01	6.6557412054E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	4.2518746474E-01	4.0864801266E-01	2.6044400920E-01	2.3552360621E-01	0.0000000000E00	1.9670837922E-02	2.9110444890E-01	3.2208770861E-01	3.2208770861E-01	2.7118853394E-01	9.1369103912E-01	9.1362361699E-01	9.0713617904E-01	9.0733156486E-01	9.1118212815E-01	9.1188560601E-01	9.1188560601E-01	9.0984145945E-01	3.5107103887E-01	?	4.0886347231E-01	4.1776286349E-01	?	8.0967516430E-01	?	7.9098340500E-01	7.9054648584E-01	?	8.6618375782E-01	8.0495809044E-01	?	1.8002512644E-01	9.0214296223E-01	?	9.0238505861E-01	8.8748406628E-01	9.0308466278E-01	8.8966560455E-01	8.3063984716E-01	
Caplet Vola Analytic Multi-Curve Ju	4.1513324720E-01	3.9887687249E-01	2.6098607610E-01	2.3300842074E-01	1.9670837922E-02	0.0000000000E00	2.8388438443E-01	3.1528626623E-01	3.1528626623E-01	2.6512071805E-01	9.0030567785E-01	9.0022876853E-01	8.9373032188E-01	8.9392243890E-01	8.9779531284E-01	8.9850267427E-01	8.9850267427E-01	8.9644204518E-01	3.4133688292E-01	?	3.9742727887E-01	4.0580882542E-01	?	7.9610549091E-01	?	7.7742494855E-01	7.7688458681E-01	?	8.5219745097E-01	7.9216209676E-01	?	1.8290440539E-01	8.8862828392E-01	?	8.8886903402E-01	8.7398966003E-01	8.8959679594E-01	8.7621733572E-01	8.1640373687E-01	
Caplet Vola Analytic Multi-Curve Ho	1.4684760742E-01	1.2983634376E-01	1.2199163007E-01	9.8727822614E-02	2.9110444890E-01	2.8388438443E-01	0.0000000000E00	4.6941958952E-02	4.6941958952E-02	1.2301759610E-01	6.4866687246E-01	6.4869290245E-01	6.4238101032E-01	6.4260456295E-01	6.4619554136E-01	6.4685416810E-01	6.4685416810E-01	6.4498438332E-01	1.1693677663E-01	?	1.5459125116E-01	2.0000099463E-01	?	5.4983349102E-01	?	5.3230989121E-01	5.3416193290E-01	?	6.0894536842E-01	5.3854994781E-01	?	1.8407587259E-01	6.3860020260E-01	?	6.3884951128E-01	6.2389668543E-01	6.3925416034E-01	6.2559274788E-01	5.7702552077E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.3464469559E-01	1.1932018223E-01	1.2548232122E-01	1.0858317231E-01	3.2208770861E-01	3.1528626623E-01	4.6941958952E-02	0.0000000000E00	0.0000000000E00	1.4076285723E-01	6.2826264827E-01	6.2830172848E-01	6.2218060211E-01	6.2240456843E-01	6.2588267501E-01	6.2650145855E-01	6.2650145855E-01	6.2470988228E-01	1.0557932064E-01	?	1.4123592280E-01	1.9441803693E-01	?	5.3323100766E-01	?	5.1666375532E-01	5.1890966475E-01	?	5.9018674492E-01	5.2137508363E-01	?	2.1946218659E-01	6.1862686588E-01	?	6.1886931797E-01	6.0421818019E-01	6.1922705774E-01	6.0581261803E-01	5.5980828386E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.3464469559E-01	1.1932018223E-01	1.2548232122E-01	1.0858317231E-01	3.2208770861E-01	3.1528626623E-01	4.6941958952E-02	0.0000000000E00	0.0000000000E00	1.4076285723E-01	6.2826264827E-01	6.2830172848E-01	6.2218060211E-01	6.2240456843E-01	6.2588267501E-01	6.2650145855E-01	6.2650145855E-01	6.2470988228E-01	1.0557932064E-01	?	1.4123592280E-01	1.9441803693E-01	?	5.3323100766E-01	?	5.1666375532E-01	5.1890966475E-01	?	5.9018674492E-01	5.2137508363E-01	?	2.1946218659E-01	6.1862686588E-01	?	6.1886931797E-01	6.0421818019E-01	6.1922705774E-01	6.0581261803E-01	5.5980828386E-01	
Caplet Vola Monte-Carlo Multi-Curve	2.1885750586E-01	2.0361960190E-01	1.4910132155E-01	1.2763739909E-01	2.7118853394E-01	2.6512071805E-01	1.2301759610E-01	1.4076285723E-01	1.4076285723E-01	0.0000000000E00	7.0412289017E-01	7.0413026904E-01	6.9778764930E-01	6.9800105150E-01	7.0163479182E-01	7.0230349903E-01	7.0230349903E-01	7.0045206526E-01	1.7582860310E-01	?	2.2019969050E-01	2.3951773694E-01	?	6.0552725830E-01	?	5.8770682132E-01	5.8723660634E-01	?	6.6499563048E-01	5.9608777009E-01	?	1.7516469121E-01	6.9403258604E-01	?	6.9425868617E-01	6.7956669082E-01	6.9471880873E-01	6.8110657781E-01	6.3296924855E-01	
