	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.0547281708E-02	9.2018196780E-01	9.2018341338E-01	8.5570363397E-01	8.8024278053E-01	3.5383249340E-01	3.1166397294E-01	3.1166397294E-01	9.8996169533E-01	2.9374395786E00	2.9379176613E00	2.9015976041E00	2.9035690684E00	2.9180742061E00	2.9200970236E00	2.9200970236E00	2.9111199006E00	6.5982690107E-01	?	2.2033482381E-01	2.8440633259E-01	?	2.6704863374E00	?	2.5207456196E00	2.5440674995E00	?	2.6214051085E00	2.3086072841E00	?	5.9133237895E-01	2.8165389594E00	?	2.8177235718E00	2.7102799288E00	2.8165557844E00	2.7161318739E00	2.4807217681E00	
Target (LIBOR)	5.0547281708E-02	0.0000000000E00	8.6567453663E-01	8.6490381785E-01	8.2797928116E-01	8.5143724707E-01	3.1233853892E-01	2.6955240885E-01	2.6955240885E-01	9.5249324690E-01	2.9389148782E00	2.9393774531E00	2.9042234229E00	2.9061323089E00	2.9201744755E00	2.9221329295E00	2.9221329295E00	2.9134431115E00	6.0139116531E-01	?	1.9128349267E-01	2.5360855260E-01	?	2.6798694187E00	?	2.5339256861E00	2.5566933324E00	?	2.6321577618E00	2.3265788406E00	?	5.5462259713E-01	2.8218067264E00	?	2.8229559605E00	2.7187005306E00	2.8218231132E00	2.7243881400E00	2.4947964402E00	
Caplet Vola Analytic Single-Curve	9.2018196780E-01	8.6567453663E-01	0.0000000000E00	1.1178548373E-01	5.2936785364E-01	5.4254222076E-01	7.6765960564E-01	6.5998561813E-01	6.5998561813E-01	7.7795197621E-01	3.6032850307E00	3.6036918106E00	3.5729238447E00	3.5746081182E00	3.5869529012E00	3.5887992467E00	3.5887992467E00	3.5811325637E00	7.3141335274E-01	?	8.1396269708E-01	8.4347076510E-01	?	3.3693077325E00	?	3.2332229095E00	3.2549703374E00	?	3.3287783944E00	3.0397017079E00	?	4.4129167429E-01	3.5012885812E00	?	3.5023437443E00	3.4124486670E00	3.5013096520E00	3.4176734548E00	3.1945518499E00	
Caplet Vola Monte-Carlo Single-Curve	9.2018341338E-01	8.6490381785E-01	1.1178548373E-01	0.0000000000E00	5.1986017067E-01	5.3288163075E-01	7.6567826391E-01	6.5651556462E-01	6.5651556462E-01	8.0291320993E-01	3.6687383543E00	3.6691623183E00	3.6371204199E00	3.6388748271E00	3.6517325398E00	3.6536662303E00	3.6536662303E00	3.6456777616E00	6.9099545169E-01	?	8.0942781496E-01	8.3927008522E-01	?	3.4251958009E00	?	3.2839367180E00	3.3065111825E00	?	3.3833283991E00	3.0837876621E00	?	4.3580443423E-01	3.5626603420E00	?	3.5637605275E00	3.4705507842E00	3.5626827549E00	3.4759868448E00	3.2437513855E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	8.5570363397E-01	8.2797928116E-01	5.2936785364E-01	5.1986017067E-01	0.0000000000E00	1.0851618098E-01	5.7272336983E-01	6.3548821114E-01	6.3548821114E-01	1.1968509784E00	2.0718487801E00	2.0717591528E00	2.0523548946E00	2.0530601232E00	2.0630666389E00	2.0649429529E00	2.0649429529E00	2.0606220043E00	6.6255127606E-01	?	7.2288346979E-01	7.4483753701E-01	?	1.9487833876E00	?	1.8842089943E00	1.8925383468E00	?	1.8998321067E00	1.8100177737E00	?	4.4518755567E-01	1.9768423940E00	?	1.9762363316E00	1.9393261815E00	1.9781663063E00	1.9412606048E00	1.8340280688E00	
Caplet Vola Analytic Multi-Curve Ju	8.8024278053E-01	8.5143724707E-01	5.4254222076E-01	5.3288163075E-01	1.0851618098E-01	0.0000000000E00	5.8781726773E-01	6.5260757485E-01	6.5260757485E-01	1.2266026363E00	2.1634822621E00	2.1633966409E00	2.1425597148E00	2.1433282596E00	2.1540096911E00	2.1560153399E00	2.1560153399E00	2.1513549216E00	6.8064336703E-01	?	7.4303451550E-01	7.6595005988E-01	?	2.0304650330E00	?	1.9607067496E00	1.9697944729E00	?	1.9332652279E00	1.8804538855E00	?	4.5571243748E-01	2.0625389294E00	?	2.0618412742E00	2.0221008458E00	2.0639210423E00	2.0242183493E00	1.8734074016E00	
Caplet Vola Analytic Multi-Curve Ho	3.5383249340E-01	3.1233853892E-01	7.6765960564E-01	7.6567826391E-01	5.7272336983E-01	5.8781726773E-01	0.0000000000E00	1.3711973792E-01	1.3711973792E-01	8.1206551595E-01	2.6175164198E00	2.6178805186E00	2.5890583493E00	2.5908039497E00	2.6012782624E00	2.6031485350E00	2.6031485350E00	2.5962628966E00	5.1453490819E-01	?	3.9831857915E-01	4.3106198219E-01	?	2.4050490751E00	?	2.2735461351E00	2.2913884478E00	?	2.3869650625E00	2.0446331230E00	?	3.4305005765E-01	2.5256801357E00	?	2.5267766048E00	2.4391615457E00	2.5256615587E00	2.4432234029E00	2.2690272552E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	3.1166397294E-01	2.6955240885E-01	6.5998561813E-01	6.5651556462E-01	6.3548821114E-01	6.5260757485E-01	1.3711973792E-01	0.0000000000E00	0.0000000000E00	7.7609265030E-01	2.9109270360E00	2.9113278957E00	2.8808108438E00	2.8824697046E00	2.8946661202E00	2.8963601450E00	2.8963601450E00	2.8888170747E00	3.8941407688E-01	?	3.5420323691E-01	3.8702106730E-01	?	2.6840479401E00	?	2.5540808920E00	2.5744664244E00	?	2.6417876937E00	2.3671592750E00	?	4.0024082120E-01	2.8089092039E00	?	2.8099135404E00	2.7183648103E00	2.8089233879E00	2.7233739140E00	2.5189077527E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	3.1166397294E-01	2.6955240885E-01	6.5998561813E-01	6.5651556462E-01	6.3548821114E-01	6.5260757485E-01	1.3711973792E-01	0.0000000000E00	0.0000000000E00	7.7609265030E-01	2.9109270360E00	2.9113278957E00	2.8808108438E00	2.8824697046E00	2.8946661202E00	2.8963601450E00	2.8963601450E00	2.8888170747E00	3.8941407688E-01	?	3.5420323691E-01	3.8702106730E-01	?	2.6840479401E00	?	2.5540808920E00	2.5744664244E00	?	2.6417876937E00	2.3671592750E00	?	4.0024082120E-01	2.8089092039E00	?	2.8099135404E00	2.7183648103E00	2.8089233879E00	2.7233739140E00	2.5189077527E00	
Caplet Vola Monte-Carlo Multi-Curve	9.8996169533E-01	9.5249324690E-01	7.7795197621E-01	8.0291320993E-01	1.1968509784E00	1.2266026363E00	8.1206551595E-01	7.7609265030E-01	7.7609265030E-01	0.0000000000E00	2.8230967253E00	2.8231362443E00	2.7845007785E00	2.7858081062E00	2.8041722992E00	2.8077834675E00	2.8077834675E00	2.7904002867E00	8.6612978914E-01	?	9.0393400383E-01	9.7191221610E-01	?	2.4555624887E00	?	2.3527500146E00	2.3688840533E00	?	2.4286954920E00	2.2010071083E00	?	8.1946534415E-01	2.6838463045E00	?	2.6857654941E00	2.5816488648E00	2.6853323188E00	2.6082977336E00	2.3251259710E00	
