Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
30.24	31.29	30.32	30.40	31.30	31.30	92.43	31.30	31.30	31.44	0.03	0.03	0.06	0.06	0.19	0.06	0.06	0.06	31.86	31.78	33.16	33.17	33.02	0.11	0.11	0.27	0.27	0.27	1.00	2.00	100.20	99.80	0.60	100.20	0.60	1.46	0.60	1.46	0.50	
31.12	32.19	31.10	31.16	32.19	32.19	?	32.19	32.19	32.32	0.05	0.05	0.12	0.12	?	0.12	0.12	0.12	32.14	32.00	33.22	33.21	33.23	0.42	0.42	0.99	0.99	0.99	1.00	6.00	100.50	99.50	0.79	100.50	0.79	1.88	0.79	1.88	1.00	
31.69	32.78	31.63	31.76	32.78	32.77	?	32.77	32.77	32.84	0.07	0.07	0.18	0.18	?	0.18	0.18	0.18	29.60	29.39	30.42	30.38	30.82	0.79	0.79	1.72	1.72	1.74	1.00	10.00	100.90	99.11	0.96	100.90	0.96	2.24	0.96	2.24	1.50	
32.00	33.10	31.93	32.03	33.09	33.08	?	33.08	33.08	33.13	0.10	0.10	0.23	0.23	?	0.23	0.23	0.23	25.44	25.20	26.64	26.58	27.21	1.12	1.11	2.33	2.32	2.38	1.00	14.00	101.38	98.64	1.10	101.38	1.10	2.50	1.10	2.50	2.00	
32.09	33.20	32.05	32.04	33.20	33.19	?	33.19	33.19	33.17	0.12	0.12	0.27	0.27	?	0.27	0.27	0.27	20.75	20.51	22.78	22.70	23.42	1.30	1.29	2.69	2.68	2.77	1.00	18.00	101.94	98.10	1.20	101.94	1.20	2.70	1.20	2.70	2.50	
32.01	33.11	32.00	32.00	33.13	33.12	?	33.12	33.12	33.08	0.14	0.14	0.32	0.32	?	0.32	0.32	0.32	16.24	16.04	19.29	19.19	19.85	1.33	1.31	2.85	2.83	2.93	1.00	22.00	102.56	97.51	1.30	102.56	1.30	2.90	1.30	2.90	3.00	
31.78	32.88	31.80	31.78	32.89	32.88	?	32.88	32.88	32.87	0.16	0.16	0.36	0.36	?	0.36	0.36	0.36	13.07	12.90	16.67	16.57	17.15	1.32	1.31	2.92	2.91	3.01	1.00	26.00	103.23	96.88	1.44	103.23	1.44	3.10	1.44	3.10	3.50	
31.44	32.52	31.48	31.44	32.53	32.52	?	32.52	32.52	32.48	0.19	0.19	0.40	0.40	?	0.40	0.40	0.40	10.93	10.79	14.76	14.67	15.20	1.32	1.30	2.97	2.95	3.06	1.00	30.00	103.99	96.19	1.59	103.99	1.59	3.30	1.59	3.30	4.00	
31.01	32.08	31.07	30.99	32.08	32.07	?	32.07	32.07	31.97	0.21	0.21	0.44	0.44	?	0.44	0.44	0.44	9.43	9.30	13.36	13.27	13.76	1.31	1.29	2.99	2.97	3.08	1.00	34.00	104.84	95.43	1.75	104.84	1.75	3.50	1.75	3.50	4.50	
30.50	31.55	30.57	30.48	31.56	31.55	?	31.55	31.55	31.44	0.24	0.24	0.48	0.48	?	0.48	0.48	0.48	31.95	31.68	33.15	33.12	32.77	0.34	0.34	0.75	0.75	0.74	3.50	2.00	105.79	94.60	1.91	105.79	1.91	3.70	1.91	3.70	5.00	
29.95	30.98	30.00	29.88	30.99	30.98	?	30.98	30.98	30.87	0.26	0.26	0.51	0.51	?	0.51	0.51	0.51	30.11	29.77	31.02	30.91	30.92	1.14	1.13	2.32	2.31	2.31	3.50	6.00	106.84	93.70	2.06	106.84	2.06	3.90	2.06	3.90	5.50	
29.35	30.36	29.39	29.26	30.39	30.38	?	30.38	30.38	30.29	0.28	0.28	0.55	0.55	?	0.55	0.55	0.54	26.61	26.22	27.68	27.42	27.74	1.88	1.86	3.67	3.63	3.67	3.50	10.00	108.00	92.75	2.20	108.00	2.20	4.10	2.20	4.10	6.00	
28.73	29.72	28.74	28.67	29.76	29.75	?	29.75	29.75	29.71	0.30	0.30	0.57	0.57	?	0.57	0.57	0.57	22.41	22.00	24.01	23.60	24.17	2.38	2.34	4.54	4.47	4.57	3.50	14.00	109.27	91.74	2.32	109.27	2.32	4.27	2.32	4.26	6.50	
28.09	29.06	28.07	27.95	29.10	29.09	?	29.08	29.08	29.02	0.32	0.32	0.59	0.59	?	0.59	0.59	0.59	18.15	17.76	20.53	20.03	20.66	2.58	2.53	5.00	4.88	5.04	3.50	18.00	110.64	90.68	2.44	110.64	2.44	4.37	2.44	4.37	7.00	
27.44	28.39	27.38	27.25	28.42	28.40	?	28.40	28.40	28.32	0.33	0.33	0.59	0.59	?	0.59	0.59	0.59	14.59	14.25	17.63	17.10	17.71	2.60	2.54	5.20	5.05	5.22	3.50	22.00	112.12	89.59	2.55	112.11	2.56	4.43	2.56	4.43	7.50	
26.80	27.72	26.69	26.58	27.73	27.71	?	27.71	27.71	27.61	0.34	0.34	0.59	0.59	?	0.59	0.59	0.59	12.12	11.82	15.51	14.99	15.56	2.59	2.53	5.30	5.12	5.32	3.50	26.00	113.71	88.46	2.65	113.70	2.66	4.46	2.66	4.46	8.00	
26.16	27.06	26.01	25.89	27.05	27.03	?	27.03	27.03	26.91	0.35	0.35	0.59	0.59	?	0.59	0.59	0.59	10.42	10.17	13.98	13.47	14.00	2.59	2.52	5.36	5.17	5.37	3.50	30.00	115.40	87.30	2.74	115.40	2.74	4.48	2.74	4.48	8.50	
25.53	26.41	25.35	25.27	26.39	26.37	?	26.37	26.37	26.24	0.35	0.35	0.59	0.59	?	0.59	0.59	0.58	29.30	28.84	30.54	30.45	29.90	0.58	0.57	1.11	1.11	1.09	6.00	2.00	117.21	86.12	2.80	117.20	2.80	4.50	2.80	4.50	9.00	
24.91	25.77	24.71	24.63	25.75	25.74	?	25.73	25.73	25.63	0.35	0.35	0.58	0.58	?	0.58	0.58	0.58	26.68	26.20	27.73	27.49	27.44	1.70	1.67	3.09	3.06	3.06	6.00	6.00	119.10	84.93	2.85	119.10	2.85	4.52	2.85	4.53	9.50	
