	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	1.1065306597E-02	2.7759109865E-01	2.7825620875E-01	2.7003893549E-01	2.8018596295E-01	2.2663013087E-01	2.2818517757E-01	2.2818517757E-01	2.4466419346E-01	3.1974406545E-01	3.1974386067E-01	3.1851219510E-01	3.1856288383E-01	3.1860932633E-01	3.1867027888E-01	3.1867027888E-01	3.1860782071E-01	2.8887305926E-01	2.8093055773E-01	2.1420974566E-01	2.2722458904E-01	2.3177557015E-01	3.0670384732E-01	3.0671081427E-01	3.0259765725E-01	3.0268805044E-01	3.0259954545E-01	3.1089389132E-01	2.8502755691E-01	4.2562988841E73	6.9556228128E-01	3.0894297498E-01	8.2032833052E67	3.0895226078E-01	2.9490305985E-01	3.0895353202E-01	2.9495353202E-01	3.0186982720E-01	
Target (LIBOR)	1.1065306597E-02	0.0000000000E00	2.7170045454E-01	2.7229426556E-01	2.6414829139E-01	2.7429531885E-01	2.2073948677E-01	2.2229453347E-01	2.2229453347E-01	2.3862580535E-01	3.3080937205E-01	3.3080916726E-01	3.2957750170E-01	3.2962819042E-01	3.2967463292E-01	3.2973558548E-01	3.2973558548E-01	3.2967312731E-01	2.8291111607E-01	2.7496861454E-01	2.0824780247E-01	2.2126264585E-01	2.2581362696E-01	3.1759284768E-01	3.1763736004E-01	3.1332877253E-01	3.1341916571E-01	3.1333066072E-01	3.2195919791E-01	2.9554574853E-01	4.2562988841E73	6.8513325677E-01	3.1997585539E-01	8.2032833052E67	3.1998514120E-01	3.0593594027E-01	3.1998641243E-01	3.0598641243E-01	3.1279637296E-01	
Caplet Vola Analytic Single-Curve	2.7759109865E-01	2.7170045454E-01	0.0000000000E00	9.6726110048E-03	3.9584365458E-02	5.4259467331E-02	6.7471548715E-02	9.9240828028E-02	9.9240828028E-02	6.2094514574E-02	4.4872036887E-01	4.4884238907E-01	4.4644245944E-01	4.4661725404E-01	4.4835126916E-01	4.4776259452E-01	4.4776259452E-01	4.4701652683E-01	1.0008926693E-01	9.8094033946E-02	1.5548213878E-01	1.6234710351E-01	1.4376135072E-01	4.4265561774E-01	4.4274152676E-01	4.3943268188E-01	4.3938022379E-01	4.3772808092E-01	3.9512736725E-01	4.3594545530E-01	4.2562988841E73	7.5531957834E-01	4.2308216008E-01	8.2032833052E67	4.2346931948E-01	4.1194428718E-01	4.2283593140E-01	4.1139896864E-01	3.4512736725E-01	
Caplet Vola Monte-Carlo Single-Curve	2.7825620875E-01	2.7229426556E-01	9.6726110048E-03	0.0000000000E00	3.6804192114E-02	5.3137157878E-02	7.2145978080E-02	1.0411856946E-01	1.0411856946E-01	5.8324199347E-02	4.4870616935E-01	4.4867808566E-01	4.4622445669E-01	4.4628175503E-01	4.4812883667E-01	4.4737193660E-01	4.4737193660E-01	4.4686550859E-01	1.0022271422E-01	9.6671430684E-02	1.5841967820E-01	1.6528464293E-01	1.4669889014E-01	4.4429212006E-01	4.4448245336E-01	4.4077126675E-01	4.4087217044E-01	4.3972342854E-01	3.9487304280E-01	4.3566216326E-01	4.2562988841E73	7.5526140721E-01	4.2400429459E-01	8.2032833052E67	4.2458555845E-01	4.1204107285E-01	4.2416216326E-01	4.1149575431E-01	3.4527235707E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	2.7003893549E-01	2.6414829139E-01	3.9584365458E-02	3.6804192114E-02	0.0000000000E00	2.7090511831E-02	5.1436855991E-02	8.2232907561E-02	8.2232907561E-02	3.8885791416E-02	4.3729598728E-01	4.3729478203E-01	4.3550717014E-01	4.3552115742E-01	4.3740569137E-01	4.3657814420E-01	4.3657814420E-01	4.3607743284E-01	1.2991669120E-01	1.2524696322E-01	1.3975896207E-01	1.4803088273E-01	1.2748456206E-01	4.3145029619E-01	4.3153620521E-01	4.2822736032E-01	4.2817490223E-01	4.2652275937E-01	3.7565871472E-01	4.2474013375E-01	4.2562988841E73	7.7124626743E-01	4.1089665926E-01	8.2032833052E67	4.1124025738E-01	4.0162265256E-01	4.1064728298E-01	4.0151162388E-01	3.1915869071E-01	
Caplet Vola Analytic Multi-Curve Ju	2.8018596295E-01	2.7429531885E-01	5.4259467331E-02	5.3137157878E-02	2.7090511831E-02	0.0000000000E00	5.3818882901E-02	6.3991152968E-02	6.3991152968E-02	4.5041515920E-02	4.4384570403E-01	4.4385559066E-01	4.4293311860E-01	4.4280020969E-01	4.4467722239E-01	4.4350744864E-01	4.4350744864E-01	4.4340770007E-01	1.3464502249E-01	1.2997529451E-01	1.2952864464E-01	1.3780056530E-01	1.1213501803E-01	4.3578320026E-01	4.3597899150E-01	4.3424522391E-01	4.3379261264E-01	4.3363654134E-01	3.4995689754E-01	4.3091794376E-01	4.2562988841E73	7.7243504899E-01	4.1596080896E-01	8.2032833052E67	4.1636803033E-01	4.1176968003E-01	4.1596553481E-01	4.1103339196E-01	2.9260286521E-01	
Caplet Vola Analytic Multi-Curve Ho	2.2663013087E-01	2.2073948677E-01	6.7471548715E-02	7.2145978080E-02	5.1436855991E-02	5.3818882901E-02	0.0000000000E00	3.2301597295E-02	3.2301597295E-02	2.8193819216E-02	3.9028987195E-01	3.9029975858E-01	3.8937728652E-01	3.8924437761E-01	3.9112139031E-01	3.8995161656E-01	3.8995161656E-01	3.8985186799E-01	1.3744788271E-01	1.3277815473E-01	8.9284599095E-02	9.7556519758E-02	7.7486137885E-02	3.8196431736E-01	3.8229647717E-01	3.8042634101E-01	3.7997372974E-01	3.7981765844E-01	3.2776060142E-01	3.7709906086E-01	4.2562988841E73	7.7287189853E-01	3.6240497688E-01	8.2032833052E67	3.6281219825E-01	3.5821384794E-01	3.6240970273E-01	3.5747755987E-01	2.7786143244E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	2.2818517757E-01	2.2229453347E-01	9.9240828028E-02	1.0411856946E-01	8.2232907561E-02	6.3991152968E-02	3.2301597295E-02	0.0000000000E00	0.0000000000E00	5.6069415153E-02	3.9184491865E-01	3.9185480528E-01	3.9093233322E-01	3.9079942431E-01	3.9267643701E-01	3.9150666326E-01	3.9150666326E-01	3.9140691469E-01	1.3938043419E-01	1.3471070622E-01	6.5739200615E-02	7.4011121277E-02	6.0079458757E-02	3.7992156084E-01	3.8011735209E-01	3.7838358449E-01	3.7793097322E-01	3.7777490193E-01	2.9870654429E-01	3.7505630435E-01	4.2562988841E73	7.7279978759E-01	3.6396002358E-01	8.2032833052E67	3.6436724495E-01	3.5976889465E-01	3.6396474943E-01	3.5903260658E-01	2.5354442458E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	2.2818517757E-01	2.2229453347E-01	9.9240828028E-02	1.0411856946E-01	8.2232907561E-02	6.3991152968E-02	3.2301597295E-02	0.0000000000E00	0.0000000000E00	5.6069415153E-02	3.9184491865E-01	3.9185480528E-01	3.9093233322E-01	3.9079942431E-01	3.9267643701E-01	3.9150666326E-01	3.9150666326E-01	3.9140691469E-01	1.3938043419E-01	1.3471070622E-01	6.5739200615E-02	7.4011121277E-02	6.0079458757E-02	3.7992156084E-01	3.8011735209E-01	3.7838358449E-01	3.7793097322E-01	3.7777490193E-01	2.9870654429E-01	3.7505630435E-01	4.2562988841E73	7.7279978759E-01	3.6396002358E-01	8.2032833052E67	3.6436724495E-01	3.5976889465E-01	3.6396474943E-01	3.5903260658E-01	2.5354442458E-01	
Caplet Vola Monte-Carlo Multi-Curve	2.4466419346E-01	2.3862580535E-01	6.2094514574E-02	5.8324199347E-02	3.8885791416E-02	4.5041515920E-02	2.8193819216E-02	5.6069415153E-02	5.6069415153E-02	0.0000000000E00	4.1724876470E-01	4.1733247596E-01	4.1576170763E-01	4.1570755249E-01	4.1763376324E-01	4.1668353032E-01	4.1668353032E-01	4.1604986994E-01	1.3270656879E-01	1.2803684081E-01	1.0979068945E-01	1.1665565418E-01	9.8069901392E-02	4.1010034855E-01	4.1049029639E-01	4.0763404595E-01	4.0733604901E-01	4.0636062952E-01	3.4624405405E-01	4.0468146394E-01	4.2562988841E73	7.7140401819E-01	3.8984176579E-01	8.2032833052E67	3.8927895491E-01	3.8174960911E-01	3.8970262796E-01	3.8207922629E-01	2.9722320276E-01	
