	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	3.4648610645E-02	5.9467859796E-01	5.9058591607E-01	5.7333389571E-01	5.6032872860E-01	4.7400776964E-01	4.6845691354E-01	4.6881733758E-01	5.2865516523E-01	1.9668852308E00	1.9671840186E00	1.9346123607E00	1.9370215878E00	1.9637096513E00	1.9446651396E00	1.9446460226E00	1.9381923488E00	5.3914634740E-01	5.2522228453E-01	3.9782148260E-01	3.9415248245E-01	4.4236634036E-01	1.4551913680E00	1.4626487806E00	1.3119847264E00	1.3161607407E00	1.2922690207E00	1.3358902230E00	7.5841943116E-01	1.2489746186E01	1.0892445293E00	1.6788266795E00	1.2489746217E01	1.6809794106E00	1.5016023823E00	1.6788792393E00	1.5015351634E00	1.0513856161E00	
Target (LIBOR)	3.4648610645E-02	0.0000000000E00	5.6886172419E-01	5.6479934431E-01	5.4872627344E-01	5.3633643411E-01	4.5289876707E-01	4.4602006327E-01	4.4638067742E-01	5.0469251563E-01	1.9694077452E00	1.9696970124E00	1.9381578146E00	1.9404913116E00	1.9663367333E00	1.9478951644E00	1.9478766446E00	1.9416257595E00	5.1178215560E-01	4.9800728247E-01	3.7483682061E-01	3.7139869902E-01	4.1873491983E-01	1.4711149426E00	1.4784216030E00	1.3306397380E00	1.3347708572E00	1.3111855572E00	1.3528383888E00	7.7836890160E-01	1.2489746186E01	1.0646990659E00	1.6897736612E00	1.2489746217E01	1.6918693933E00	1.5171226189E00	1.6898247682E00	1.5170565983E00	1.0709593006E00	
Caplet Vola Analytic Single-Curve	5.9467859796E-01	5.6886172419E-01	0.0000000000E00	9.6902077587E-03	5.1124081124E-02	7.8452154185E-02	1.8435941288E-01	1.7064286873E-01	1.7041175781E-01	9.7829003204E-02	1.9706563928E00	1.9708553295E00	1.9504170448E00	1.9519229172E00	1.9698887139E00	1.9571355655E00	1.9571211973E00	1.9528363634E00	1.1519093632E-01	1.2124004150E-01	2.3993343421E-01	2.4728700474E-01	1.9943867587E-01	1.6153226765E00	1.6207932716E00	1.5116425836E00	1.5153949253E00	1.4943553871E00	1.4751881691E00	1.1021146796E00	1.2489746186E01	7.3266263673E-01	1.7774149894E00	1.2489746217E01	1.7789354809E00	1.6632697488E00	1.7774480720E00	1.6631884894E00	1.2211016549E00	
Caplet Vola Monte-Carlo Single-Curve	5.9058591607E-01	5.6479934431E-01	9.6902077587E-03	0.0000000000E00	4.7804273348E-02	7.5314400565E-02	1.7995795262E-01	1.6627452835E-01	1.6604708471E-01	9.3238099282E-02	1.9701391322E00	1.9703372538E00	1.9498137346E00	1.9513270845E00	1.9693648895E00	1.9565607753E00	1.9565463602E00	1.9522419433E00	1.1278358638E-01	1.1833919812E-01	2.3520078673E-01	2.4257362242E-01	1.9487568450E-01	1.6136433674E00	1.6191335575E00	1.5096447159E00	1.5134042133E00	1.4923224625E00	1.4730025530E00	1.0993894332E00	1.2489746186E01	7.3599986502E-01	1.7761424887E00	1.2489746217E01	1.7776719130E00	1.6615641835E00	1.7761800073E00	1.6614856904E00	1.2183439105E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	5.7333389571E-01	5.4872627344E-01	5.1124081124E-02	4.7804273348E-02	0.0000000000E00	3.0897636822E-02	1.3858238358E-01	1.2844109631E-01	1.2817165376E-01	5.3410833126E-02	1.9725783582E00	1.9727872176E00	1.9514267939E00	1.9529966824E00	1.9718797703E00	1.9584768360E00	1.9584615937E00	1.9539672921E00	1.2461337950E-01	1.2414054401E-01	2.0715214317E-01	2.1461663321E-01	1.6687959224E-01	1.6019072828E00	1.6075706343E00	1.4948530995E00	1.4987515497E00	1.4768658959E00	1.4530431984E00	1.0828675140E00	1.2489746186E01	7.7553955205E-01	1.7702711536E00	1.2489746217E01	1.7718587715E00	1.6519832937E00	1.7703056374E00	1.6518973276E00	1.1900142601E00	
Caplet Vola Analytic Multi-Curve Ju	5.6032872860E-01	5.3633643411E-01	7.8452154185E-02	7.5314400565E-02	3.0897636822E-02	0.0000000000E00	1.1570756069E-01	1.0504154579E-01	1.0472553485E-01	3.8133210106E-02	1.9719591987E00	1.9721737423E00	1.9504007820E00	1.9519910411E00	1.9713112720E00	1.9575917988E00	1.9575760828E00	1.9529968781E00	1.3004976773E-01	1.2631548182E-01	1.8763562807E-01	1.9483313323E-01	1.4767922645E-01	1.5945675106E00	1.6003046754E00	1.4862137859E00	1.4901545700E00	1.4679550794E00	1.4396498059E00	1.0728251896E00	1.2489746186E01	7.9589925369E-01	1.7651739424E00	1.2489746217E01	1.7667780795E00	1.6449555396E00	1.7652067410E00	1.6448599765E00	1.1728065304E00	
Caplet Vola Analytic Multi-Curve Ho	4.7400776964E-01	4.5289876707E-01	1.8435941288E-01	1.7995795262E-01	1.3858238358E-01	1.1570756069E-01	0.0000000000E00	3.1916580772E-02	3.1958992449E-02	8.8824763001E-02	1.9621450121E00	1.9623828822E00	1.9381161841E00	1.9398924262E00	1.9613563586E00	1.9461130111E00	1.9460956549E00	1.9410000284E00	1.9419794745E-01	1.8162818305E-01	1.1636500047E-01	1.2270331192E-01	1.0130025217E-01	1.5472420937E00	1.5534773173E00	1.4298046057E00	1.4340236848E00	1.4102097470E00	1.3823573514E00	9.9863546679E-01	1.2489746186E01	8.8137867450E-01	1.7334381729E00	1.2489746217E01	1.7352090761E00	1.6012368230E00	1.7334762340E00	1.6011360200E00	1.0977729206E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	4.6845691354E-01	4.4602006327E-01	1.7064286873E-01	1.6627452835E-01	1.2844109631E-01	1.0504154579E-01	3.1916580772E-02	0.0000000000E00	4.0054182063E-04	7.8110547793E-02	1.9572932779E00	1.9575260349E00	1.9337808712E00	1.9355116499E00	1.9564628701E00	1.9415734122E00	1.9415564988E00	1.9365933522E00	1.7034772435E-01	1.5726566389E-01	1.0259746071E-01	1.0944947782E-01	8.3107669387E-02	1.5510921970E00	1.5572099476E00	1.4355739315E00	1.4396825421E00	1.4164350256E00	1.3894702259E00	1.0016927729E00	1.2489746186E01	8.6295289030E-01	1.7332612143E00	1.2489746217E01	1.7349810965E00	1.6030213607E00	1.7332974476E00	1.6029178568E00	1.1102866938E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	4.6881733758E-01	4.4638067742E-01	1.7041175781E-01	1.6604708471E-01	1.2817165376E-01	1.0472553485E-01	3.1958992449E-02	4.0054182063E-04	0.0000000000E00	7.7866446132E-02	1.9573603775E00	1.9575931010E00	1.9338538446E00	1.9355840954E00	1.9565316583E00	1.9416447952E00	1.9416278824E00	1.9366658068E00	1.7021070136E-01	1.5714283685E-01	1.0282268356E-01	1.0967264667E-01	8.3186202787E-02	1.5512361854E00	1.5573527141E00	1.4357419419E00	1.4398501776E00	1.4166045105E00	1.3895777788E00	1.0019606527E00	1.2489746186E01	8.6281684295E-01	1.7333691444E00	1.2489746217E01	1.7350886105E00	1.6031615562E00	1.7334053425E00	1.6030579961E00	1.1104154721E00	
Caplet Vola Monte-Carlo Multi-Curve	5.2865516523E-01	5.0469251563E-01	9.7829003204E-02	9.3238099282E-02	5.3410833126E-02	3.8133210106E-02	8.8824763001E-02	7.8110547793E-02	7.7866446132E-02	0.0000000000E00	1.9660438369E00	1.9662613136E00	1.9439244067E00	1.9455646903E00	1.9652758156E00	1.9512810092E00	1.9512651333E00	1.9465709195E00	1.3188510690E-01	1.2498682474E-01	1.6128438734E-01	1.6886550842E-01	1.2531043045E-01	1.5806793909E00	1.5865410797E00	1.4699745629E00	1.4739732648E00	1.4514886585E00	1.4278747684E00	1.0482840918E00	1.2489746186E01	8.1106643070E-01	1.7550636494E00	1.2489746217E01	1.7567067790E00	1.6318383246E00	1.7551014560E00	1.6317611443E00	1.1580028296E00	
