	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	9.0023865436E-02	1.2774767111E00	1.2771585202E00	1.2562534844E00	1.2650829344E00	?	1.2752366457E00	1.2752366457E00	1.2686844067E00	1.5277223579E00	1.5277178103E00	1.5259534934E00	1.5260877096E00	?	1.5262780064E00	1.5262780064E00	1.5261503853E00	1.3438947957E00	1.3459134756E00	1.3373738921E00	1.3417911931E00	1.3368882894E00	1.5146405502E00	1.5148723219E00	1.5039822010E00	1.5048763296E00	1.5038995001E00	1.4754760927E00	1.4030554619E00	5.2722612827E-01	6.9826202031E-01	1.5062103985E00	5.2699929816E-01	1.5062711198E00	1.4923945162E00	1.5062488404E00	1.4924255418E00	1.4425414327E00	
Target (LIBOR)	9.0023865436E-02	0.0000000000E00	1.3674785333E00	1.3671607985E00	1.3462317105E00	1.3550708666E00	?	1.3652229618E00	1.3652229618E00	1.3586737235E00	1.6177461884E00	1.6177416405E00	1.6159773053E00	1.6161115245E00	?	1.6163018275E00	1.6163018275E00	1.6161742020E00	1.4338400709E00	1.4358595448E00	1.4273318263E00	1.4317483704E00	1.4268468017E00	1.6046624245E00	1.6048942719E00	1.5940016234E00	1.5948962793E00	1.5939189235E00	1.5654441479E00	1.4928898567E00	5.8619724144E-01	7.8799404030E-01	1.5962311160E00	5.8600708102E-01	1.5962918372E00	1.5824146406E00	1.5962695634E00	1.5824456739E00	1.5324607691E00	
Caplet Vola Analytic Single-Curve	1.2774767111E00	1.3674785333E00	0.0000000000E00	1.7804002681E-03	3.0027317978E-02	2.2556604345E-02	?	2.2415162174E-02	2.2415162174E-02	2.1324435841E-02	2.5232220069E-01	2.5231801260E-01	2.5051152573E-01	2.5065024351E-01	?	2.5083747481E-01	2.5083747481E-01	2.5071335389E-01	1.0355203987E-01	1.0471057043E-01	9.5415884976E-02	9.8300671762E-02	9.4915054706E-02	2.3945477532E-01	2.3967743530E-01	2.2877500688E-01	2.2961031009E-01	2.2869118413E-01	2.1018117168E-01	1.4550274178E-01	1.0496072602E00	5.8322900491E-01	2.3178635252E-01	1.0493809314E00	2.3184702860E-01	2.1793045356E-01	2.3182312471E-01	2.1795930405E-01	1.8564756119E-01	
Caplet Vola Monte-Carlo Single-Curve	1.2771585202E00	1.3671607985E00	1.7804002681E-03	0.0000000000E00	2.9913631595E-02	2.2478378851E-02	?	2.2540058830E-02	2.2540058830E-02	2.1258575225E-02	2.5259423558E-01	2.5258990179E-01	2.5078282714E-01	2.5092161694E-01	?	2.5110914781E-01	2.5110914781E-01	2.5098472386E-01	1.0362899944E-01	1.0479368118E-01	9.5485222151E-02	9.8398617348E-02	9.4981778012E-02	2.3971188389E-01	2.3993498888E-01	2.2901656634E-01	2.2985482242E-01	2.2893285310E-01	2.1047796765E-01	1.4567375624E-01	1.0493734190E00	5.8289205716E-01	2.3204946721E-01	1.0491467459E00	2.3211068335E-01	2.1818491105E-01	2.3208670204E-01	2.1821393115E-01	1.8590188477E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.2562534844E00	1.3462317105E00	3.0027317978E-02	2.9913631595E-02	0.0000000000E00	1.0367914772E-02	?	2.0600904282E-02	2.0600904282E-02	1.4368891841E-02	2.7542282031E-01	2.7541880043E-01	2.7362846848E-01	2.7376598547E-01	?	2.7394584076E-01	2.7394584076E-01	2.7382746149E-01	1.2248467778E-01	1.2364134080E-01	1.1262605737E-01	1.1559495660E-01	1.1228475625E-01	2.6306113882E-01	2.6327229856E-01	2.5258343615E-01	2.5337593368E-01	2.5250330074E-01	2.3656236538E-01	1.6726828635E-01	1.0379286257E00	5.6326841430E-01	2.5585234323E-01	1.0376977985E00	2.5591179012E-01	2.4221416469E-01	2.5588771932E-01	2.4224152268E-01	2.1363315474E-01	
Caplet Vola Analytic Multi-Curve Ju	1.2650829344E00	1.3550708666E00	2.2556604345E-02	2.2478378851E-02	1.0367914772E-02	0.0000000000E00	?	1.1072636180E-02	1.1072636180E-02	4.4221501405E-03	2.6590073476E-01	2.6589673073E-01	2.6411348826E-01	2.6425008819E-01	?	2.6443010773E-01	2.6443010773E-01	2.6431139518E-01	1.1374263116E-01	1.1483569138E-01	1.0392170392E-01	1.0677633902E-01	1.0358815765E-01	2.5349720830E-01	2.5370902649E-01	2.4304576726E-01	2.4383879405E-01	2.4296528476E-01	2.2660284637E-01	1.5972714653E-01	1.0444397927E00	5.7208581425E-01	2.4621067349E-01	1.0442108994E00	2.4626953195E-01	2.3259233401E-01	2.4624593321E-01	2.3261996598E-01	2.0378787733E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.2752366457E00	1.3652229618E00	2.2415162174E-02	2.2540058830E-02	2.0600904282E-02	1.1072636180E-02	?	0.0000000000E00	0.0000000000E00	7.4724943020E-03	2.5606444815E-01	2.5606061545E-01	2.5428944370E-01	2.5442480303E-01	?	2.5460233366E-01	2.5460233366E-01	2.5448533750E-01	1.0666235458E-01	1.0760096462E-01	9.6606709136E-02	9.9125298625E-02	9.6331785217E-02	2.4380390264E-01	2.4401217674E-01	2.3346498239E-01	2.3423914689E-01	2.3338511712E-01	2.1763129094E-01	1.5274895894E-01	1.0541235967E00	5.8254244233E-01	2.3658911655E-01	1.0538967739E00	2.3664648232E-01	2.2307812999E-01	2.3662343525E-01	2.2310555902E-01	1.9584504451E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.2752366457E00	1.3652229618E00	2.2415162174E-02	2.2540058830E-02	2.0600904282E-02	1.1072636180E-02	?	0.0000000000E00	0.0000000000E00	7.4724943020E-03	2.5606444815E-01	2.5606061545E-01	2.5428944370E-01	2.5442480303E-01	?	2.5460233366E-01	2.5460233366E-01	2.5448533750E-01	1.0666235458E-01	1.0760096462E-01	9.6606709136E-02	9.9125298625E-02	9.6331785217E-02	2.4380390264E-01	2.4401217674E-01	2.3346498239E-01	2.3423914689E-01	2.3338511712E-01	2.1763129094E-01	1.5274895894E-01	1.0541235967E00	5.8254244233E-01	2.3658911655E-01	1.0538967739E00	2.3664648232E-01	2.2307812999E-01	2.3662343525E-01	2.2310555902E-01	1.9584504451E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.2686844067E00	1.3586737235E00	2.1324435841E-02	2.1258575225E-02	1.4368891841E-02	4.4221501405E-03	?	7.4724943020E-03	7.4724943020E-03	0.0000000000E00	2.6223237022E-01	2.6222836274E-01	2.6044966493E-01	2.6058577946E-01	?	2.6076525836E-01	2.6076525836E-01	2.6064664595E-01	1.1056631736E-01	1.1162776569E-01	1.0072028071E-01	1.0348737975E-01	1.0040115434E-01	2.4985184855E-01	2.5006326553E-01	2.3943269666E-01	2.4022087304E-01	2.3935239238E-01	2.2297042906E-01	1.5723603328E-01	1.0474934624E00	5.7576470408E-01	2.4255960490E-01	1.0472657198E00	2.4261792808E-01	2.2897010631E-01	2.4259476479E-01	2.2899837628E-01	2.0039223762E-01	
