	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	1.3228278194E-01	1.9622515293E00	1.9621837765E00	1.8789736675E00	1.8835817790E00	?	1.8836995339E00	1.8837038885E00	1.8820604716E00	2.2485645916E00	2.2485645344E00	2.2480531985E00	2.2480625420E00	?	2.2480627808E00	2.2480627896E00	2.2480594571E00	1.9172904148E00	1.9161354457E00	1.8665973782E00	1.8687884527E00	1.8721091822E00	2.2476695031E00	2.2476655755E00	2.2457202813E00	2.2457377655E00	2.2457642710E00	2.2388072929E00	2.2288072929E00	1.2468072929E00	1.2508033009E00	2.2427620337E00	1.2468072929E00	2.2427599276E00	2.2342141072E00	2.2427619804E00	2.2342369804E00	2.2438072929E00	
Target (LIBOR)	1.3228278194E-01	0.0000000000E00	2.0945343113E00	2.0944665584E00	2.0112564495E00	2.0158645609E00	?	2.0159823159E00	2.0159866705E00	2.0143432535E00	2.3808473736E00	2.3808473164E00	2.3803359804E00	2.3803453239E00	?	2.3803455627E00	2.3803455716E00	2.3803422391E00	2.0495731967E00	2.0484182277E00	1.9988801602E00	2.0010712346E00	2.0043919641E00	2.3799522850E00	2.3799483575E00	2.3780030632E00	2.3780205474E00	2.3780470529E00	2.3710900748E00	2.3610900748E00	1.3790900748E00	1.3830860828E00	2.3750448157E00	1.3790900748E00	2.3750427095E00	2.3664968891E00	2.3750447623E00	2.3665197623E00	2.3760900748E00	
Caplet Vola Analytic Single-Curve	1.9622515293E00	2.0945343113E00	0.0000000000E00	3.8297564424E-03	8.3277861789E-02	7.8669750341E-02	?	7.8551995407E-02	7.8547640803E-02	8.0191057737E-02	3.3730779385E-01	3.3730882440E-01	3.3534945166E-01	3.3547610351E-01	?	3.3552821231E-01	3.3552855113E-01	3.3549713021E-01	2.3624028059E-01	2.3693654439E-01	2.1076665988E-01	2.1209883847E-01	2.0910143161E-01	3.2764976606E-01	3.2773602781E-01	3.1610490400E-01	3.1628592250E-01	3.1594248681E-01	3.2854242447E-01	2.9245970485E-01	1.5526371935E00	7.1144822844E-01	3.2653417491E-01	1.5509637669E00	3.2655066239E-01	3.1150314943E-01	3.2654242447E-01	3.1154242447E-01	3.1575093921E-01	
Caplet Vola Monte-Carlo Single-Curve	1.9621837765E00	2.0944665584E00	3.8297564424E-03	0.0000000000E00	8.3210108952E-02	7.8601997504E-02	?	7.8484242570E-02	7.8479887965E-02	8.0123304900E-02	3.3701837722E-01	3.3701940776E-01	3.3506003503E-01	3.3518668687E-01	?	3.3523879568E-01	3.3523913450E-01	3.3520771357E-01	2.3338470895E-01	2.3408097276E-01	2.0791108825E-01	2.0924326684E-01	2.0624585998E-01	3.2736034942E-01	3.2744661117E-01	3.1581548737E-01	3.1599650587E-01	3.1565307018E-01	3.2825300784E-01	2.8903865648E-01	1.5544160050E00	7.1138047560E-01	3.2624475828E-01	1.5527425784E00	3.2626124576E-01	3.1121373280E-01	3.2625300784E-01	3.1125300784E-01	3.1537280940E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.8789736675E00	2.0112564495E00	8.3277861789E-02	8.3210108952E-02	0.0000000000E00	1.7672091841E-02	?	2.8630713967E-02	2.8709696739E-02	2.4552526888E-02	3.9029104440E-01	3.9029216346E-01	3.8885880226E-01	3.8892113197E-01	?	3.8893645473E-01	3.8893657120E-01	3.8893370637E-01	2.7048528212E-01	2.7118154592E-01	2.4520028347E-01	2.4659649132E-01	2.4345674730E-01	3.8344256432E-01	3.8345358330E-01	3.7452971720E-01	3.7460353210E-01	3.7453918549E-01	3.8130353568E-01	3.4983362537E-01	1.5590145286E00	6.2817036665E-01	3.8135864671E-01	1.5573411020E00	3.8137418897E-01	3.6853617070E-01	3.8137544742E-01	3.6855044742E-01	3.7594888492E-01	
Caplet Vola Analytic Multi-Curve Ju	1.8835817790E00	2.0158645609E00	7.8669750341E-02	7.8601997504E-02	1.7672091841E-02	0.0000000000E00	?	1.3255630917E-02	1.3339215558E-02	7.0517963185E-03	3.7832467223E-01	3.7832061619E-01	3.7698498323E-01	3.7704731293E-01	?	3.7706263570E-01	3.7706275216E-01	3.7705988733E-01	2.5349890472E-01	2.5419516852E-01	2.2802528402E-01	2.2935746260E-01	2.2636005574E-01	3.7156874529E-01	3.7157976426E-01	3.6458577477E-01	3.6462361636E-01	3.6466655870E-01	3.6907506588E-01	3.4522551392E-01	1.5592574933E00	6.3277847810E-01	3.6948482768E-01	1.5575840667E00	3.6950036993E-01	3.5666235166E-01	3.6950162838E-01	3.5667662838E-01	3.6501548046E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.8836995339E00	2.0159823159E00	7.8551995407E-02	7.8484242570E-02	2.8630713967E-02	1.3255630917E-02	?	0.0000000000E00	8.8728499795E-05	1.3683234113E-02	3.7540877338E-01	3.7540471735E-01	3.7406908438E-01	3.7413141409E-01	?	3.7414673685E-01	3.7414685332E-01	3.7414398849E-01	2.4188483090E-01	2.4258109470E-01	2.1701756702E-01	2.1841377486E-01	2.1527403085E-01	3.6937598152E-01	3.6936882160E-01	3.6330992338E-01	3.6334776498E-01	3.6339070731E-01	3.6615916704E-01	3.4510775898E-01	1.5627393819E00	6.3338186252E-01	3.6656892883E-01	1.5610659553E00	3.6658447109E-01	3.5492772639E-01	3.6658572954E-01	3.5492712907E-01	3.6373962907E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.8837038885E00	2.0159866705E00	7.8547640803E-02	7.8479887965E-02	2.8709696739E-02	1.3339215558E-02	?	8.8728499795E-05	0.0000000000E00	1.3745447417E-02	3.7538661501E-01	3.7538255898E-01	3.7404692601E-01	3.7410925572E-01	?	3.7412457848E-01	3.7412469495E-01	3.7412183012E-01	2.4181050668E-01	2.4250677049E-01	2.1694924294E-01	2.1834545078E-01	2.1520570677E-01	3.6936386934E-01	3.6935670942E-01	3.6329781121E-01	3.6333565280E-01	3.6337859514E-01	3.6613700867E-01	3.4510340438E-01	1.5627222104E00	6.3346470332E-01	3.6654677046E-01	1.5610487838E00	3.6656231272E-01	3.5491561422E-01	3.6656357117E-01	3.5491501690E-01	3.6372751690E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.8820604716E00	2.0143432535E00	8.0191057737E-02	8.0123304900E-02	2.4552526888E-02	7.0517963185E-03	?	1.3683234113E-02	1.3745447417E-02	0.0000000000E00	3.7686960590E-01	3.7687072496E-01	3.7520917503E-01	3.7530347048E-01	?	3.7533554347E-01	3.7533576239E-01	3.7529865465E-01	2.4753673902E-01	2.4823300282E-01	2.2206311832E-01	2.2339529691E-01	2.2039789005E-01	3.6917576716E-01	3.6918678613E-01	3.6365980972E-01	3.6367729390E-01	3.6370379937E-01	3.6788209718E-01	3.4674682131E-01	1.5605964983E00	6.3125717070E-01	3.6709184955E-01	1.5589230717E00	3.6710739180E-01	3.5426937353E-01	3.6710865025E-01	3.5428365025E-01	3.6174682131E-01	
