	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	9.0023865436E-02	1.2774767111E00	1.2771585202E00	1.2567652606E00	1.2653439469E00	?	1.2744702258E00	1.2745109688E00	1.2678108990E00	1.5277223579E00	1.5277178103E00	1.5259622688E00	1.5260920093E00	?	1.5262640420E00	1.5262647542E00	1.5261340838E00	1.3438947957E00	1.3459134756E00	1.3367676288E00	1.3412817252E00	1.3361573311E00	1.5146405502E00	1.5148723219E00	1.5038904588E00	1.5048004087E00	1.5037834773E00	1.4754760927E00	1.4030554619E00	5.2722612827E-01	6.9826202031E-01	1.5062103985E00	5.2699929816E-01	1.5062711198E00	1.4923751349E00	1.5062488404E00	1.4924255418E00	1.4425414327E00	
Target (LIBOR)	9.0023865436E-02	0.0000000000E00	1.3674785333E00	1.3671607985E00	1.3467436913E00	1.3553319902E00	?	1.3644566485E00	1.3644974128E00	1.3578004535E00	1.6177461884E00	1.6177416405E00	1.6159860810E00	1.6161158242E00	?	1.6162878627E00	1.6162885749E00	1.6161578999E00	1.4338400709E00	1.4358595448E00	1.4267252122E00	1.4312386199E00	1.4261155140E00	1.6046624245E00	1.6048942719E00	1.5939098437E00	1.5948203308E00	1.5938028502E00	1.5654441479E00	1.4928898567E00	5.8619724144E-01	7.8799404030E-01	1.5962311160E00	5.8600708102E-01	1.5962918372E00	1.5823952510E00	1.5962695634E00	1.5824456739E00	1.5324607691E00	
Caplet Vola Analytic Single-Curve	1.2774767111E00	1.3674785333E00	0.0000000000E00	1.7804002681E-03	2.9660480999E-02	2.2409299083E-02	?	2.2298600482E-02	2.2299422859E-02	2.1441371703E-02	2.5232220069E-01	2.5231801260E-01	2.5052030262E-01	2.5065455850E-01	?	2.5082373708E-01	2.5082446577E-01	2.5069743963E-01	1.0355203987E-01	1.0471057043E-01	9.5139839142E-02	9.8043292504E-02	9.4565654862E-02	2.3945477532E-01	2.3967743530E-01	2.2868772377E-01	2.2953722071E-01	2.2858152065E-01	2.1018117168E-01	1.4550274178E-01	1.0496072602E00	5.8322900491E-01	2.3178635252E-01	1.0493809314E00	2.3184702860E-01	2.1791307053E-01	2.3182312471E-01	2.1795930405E-01	1.8564756119E-01	
Caplet Vola Monte-Carlo Single-Curve	1.2771585202E00	1.3671607985E00	1.7804002681E-03	0.0000000000E00	2.9554417296E-02	2.2335445858E-02	?	2.2409104767E-02	2.2410844331E-02	2.1354667468E-02	2.5259423558E-01	2.5258990179E-01	2.5079162120E-01	2.5092593822E-01	?	2.5109538965E-01	2.5109611990E-01	2.5096878178E-01	1.0362899944E-01	1.0479368118E-01	9.5206601106E-02	9.8139322502E-02	9.4629336418E-02	2.3971188389E-01	2.3993498888E-01	2.2892911941E-01	2.2978160805E-01	2.2882298823E-01	2.1047796765E-01	1.4567375624E-01	1.0493734190E00	5.8289205716E-01	2.3204946721E-01	1.0491467459E00	2.3211068335E-01	2.1816748197E-01	2.3208670204E-01	2.1821393115E-01	1.8590188477E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.2567652606E00	1.3467436913E00	2.9660480999E-02	2.9554417296E-02	0.0000000000E00	1.0112608170E-02	?	1.9265607895E-02	1.9314955190E-02	1.3073977308E-02	2.7490302267E-01	2.7489901186E-01	2.7311772705E-01	2.7325085568E-01	?	2.7341322930E-01	2.7341394655E-01	2.7329288589E-01	1.2205666662E-01	1.2320834704E-01	1.1187479988E-01	1.1485532061E-01	1.1146430827E-01	2.6254444495E-01	2.6275551802E-01	2.5198747234E-01	2.5279258469E-01	2.5188634843E-01	2.3604983403E-01	1.6686088521E-01	1.0383569659E00	5.6378696423E-01	2.5533493135E-01	1.0381262759E00	2.5539430140E-01	2.4168416367E-01	2.5537026580E-01	2.4172758735E-01	2.1314887463E-01	
Caplet Vola Analytic Multi-Curve Ju	1.2653439469E00	1.3553319902E00	2.2409299083E-02	2.2335445858E-02	1.0112608170E-02	0.0000000000E00	?	1.0005602669E-02	1.0052014291E-02	3.4433280298E-03	2.6563387582E-01	2.6562987495E-01	2.6385535540E-01	2.6398761233E-01	?	2.6415018893E-01	2.6415090098E-01	2.6402945309E-01	1.1352680325E-01	1.1461726198E-01	1.0340591879E-01	1.0627286220E-01	1.0300442942E-01	2.5323121892E-01	2.5344301270E-01	2.4269782866E-01	2.4350394510E-01	2.4259622330E-01	2.2633709469E-01	1.5951930703E-01	1.0446551164E00	5.7234862718E-01	2.4594395224E-01	1.0444262864E00	2.4600278156E-01	2.3231072820E-01	2.4597919688E-01	2.3235456135E-01	2.0353477792E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.2744702258E00	1.3644566485E00	2.2298600482E-02	2.2409104767E-02	1.9265607895E-02	1.0005602669E-02	?	0.0000000000E00	5.1773096784E-05	7.6054416111E-03	2.5680765005E-01	2.5680380602E-01	2.5504029402E-01	2.5517146873E-01	?	2.5533194799E-01	2.5533265078E-01	2.5521283401E-01	1.0716991653E-01	1.0812056544E-01	9.6868646711E-02	9.9420637260E-02	9.6529975000E-02	2.4453735779E-01	2.4474587594E-01	2.3410865692E-01	2.3489711947E-01	2.3400803399E-01	2.1830939348E-01	1.5328469026E-01	1.0533999230E00	5.8175857318E-01	2.3731735082E-01	1.0531729625E00	2.3737481188E-01	2.2378332539E-01	2.3735173195E-01	2.2382661703E-01	1.9644789884E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.2745109688E00	1.3644974128E00	2.2299422859E-02	2.2410844331E-02	1.9314955190E-02	1.0052014291E-02	?	5.1773096784E-05	0.0000000000E00	7.6472657963E-03	2.5676565479E-01	2.5676181176E-01	2.5499838317E-01	2.5512954830E-01	?	2.5529002016E-01	2.5529072288E-01	2.5517091058E-01	1.0713461050E-01	1.0808471967E-01	9.6833685984E-02	9.9384347523E-02	9.6495143580E-02	2.4449557024E-01	2.4470408099E-01	2.3406738938E-01	2.3485579291E-01	2.3396676426E-01	2.1826585143E-01	1.5325629909E-01	1.0534309533E00	5.8180027124E-01	2.3727525706E-01	1.0532040066E00	2.3733270774E-01	2.2374170079E-01	2.3730963338E-01	2.2378499342E-01	1.9640631711E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.2678108990E00	1.3578004535E00	2.1441371703E-02	2.1354667468E-02	1.3073977308E-02	3.4433280298E-03	?	7.6054416111E-03	7.6472657963E-03	0.0000000000E00	2.6307093872E-01	2.6306691672E-01	2.6129598116E-01	2.6142785901E-01	?	2.6159014876E-01	2.6159085818E-01	2.6146934811E-01	1.1114907814E-01	1.1222365619E-01	1.0103308099E-01	1.0384445589E-01	1.0064171788E-01	2.5067729019E-01	2.5088903218E-01	2.4016601275E-01	2.4096907306E-01	2.4006457334E-01	2.2371674663E-01	1.5785658269E-01	1.0466310879E00	5.7486727447E-01	2.4337728272E-01	1.0464032059E00	2.4343571172E-01	2.2976360742E-01	2.4341251735E-01	2.2980809869E-01	2.0104635136E-01	
