	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.5326532986E-02	6.0204389601E-01	6.0242202582E-01	5.2215359920E-01	5.3242033039E-01	7.1360581881E-01	5.3737547648E-01	5.3737547648E-01	5.4328728159E-01	9.3931643014E-01	9.3931746068E-01	9.3707280153E-01	9.3714592720E-01	9.3955672257E-01	9.3716975789E-01	9.3716975789E-01	9.3719158891E-01	8.2474956145E-01	8.2544582525E-01	7.8576098310E-01	7.8723051140E-01	7.8310414070E-01	9.2965840234E-01	9.2974466409E-01	9.1529884333E-01	9.1550321312E-01	9.1499306632E-01	9.3055106076E-01	8.7404628749E-01	1.2239793966E00	1.4557114319E-01	9.2854281119E-01	1.2223059700E00	9.2855929868E-01	9.1354915760E-01	9.2855106076E-01	9.1355106076E-01	9.1779483522E-01	
Target (LIBOR)	5.5326532986E-02	0.0000000000E00	6.5733516927E-01	6.5762458590E-01	5.7635998187E-01	5.8662671306E-01	7.6893235180E-01	5.9139092741E-01	5.9139092741E-01	5.9749366426E-01	9.9464296312E-01	9.9464399366E-01	9.9239933452E-01	9.9247246019E-01	9.9488325555E-01	9.9249629087E-01	9.9249629087E-01	9.9251812189E-01	8.7866269147E-01	8.7947127601E-01	8.3940759534E-01	8.4095620253E-01	8.3658670125E-01	9.8498493533E-01	9.8507119708E-01	9.7062537632E-01	9.7082974610E-01	9.7031959930E-01	9.8587759374E-01	9.2663724558E-01	1.1945261760E00	1.1074195091E-01	9.8386934418E-01	1.1928527494E00	9.8388583166E-01	9.6887569059E-01	9.8387759374E-01	9.6887759374E-01	9.7295923729E-01	
Caplet Vola Analytic Single-Curve	6.0204389601E-01	6.5733516927E-01	0.0000000000E00	3.8297564424E-03	1.2123412221E-01	1.1830003210E-01	1.1258498214E-01	1.1809614419E-01	1.1809614419E-01	1.1910910306E-01	3.3730779385E-01	3.3730882440E-01	3.3506416525E-01	3.3513729092E-01	3.3754808628E-01	3.3516112160E-01	3.3516112160E-01	3.3518295262E-01	2.3624028059E-01	2.3693654439E-01	1.9725170224E-01	1.9872123054E-01	1.9459485984E-01	3.2764976606E-01	3.2773602781E-01	3.1329020705E-01	3.1349457683E-01	3.1298443004E-01	3.2854242447E-01	2.9245970485E-01	1.5526371935E00	7.1144822844E-01	3.2653417491E-01	1.5509637669E00	3.2655066239E-01	3.1154052132E-01	3.2654242447E-01	3.1154242447E-01	3.1575093921E-01	
Caplet Vola Monte-Carlo Single-Curve	6.0242202582E-01	6.5762458590E-01	3.8297564424E-03	0.0000000000E00	1.2116636938E-01	1.1823227927E-01	1.1271786460E-01	1.1802839135E-01	1.1802839135E-01	1.1904135022E-01	3.3701837722E-01	3.3701940776E-01	3.3477474861E-01	3.3484787428E-01	3.3725866965E-01	3.3487170497E-01	3.3487170497E-01	3.3489353599E-01	2.3338470895E-01	2.3408097276E-01	1.9439613061E-01	1.9586565891E-01	1.9173928820E-01	3.2736034942E-01	3.2744661117E-01	3.1300079041E-01	3.1320516020E-01	3.1269501340E-01	3.2825300784E-01	2.8903865648E-01	1.5544160050E00	7.1138047560E-01	3.2624475828E-01	1.5527425784E00	3.2626124576E-01	3.1125110468E-01	3.2625300784E-01	3.1125300784E-01	3.1537280940E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	5.2215359920E-01	5.7635998187E-01	1.2123412221E-01	1.2116636938E-01	0.0000000000E00	1.0266731186E-02	1.9990501940E-01	1.5266115513E-02	1.5266115513E-02	2.1759545318E-02	4.2860468301E-01	4.2860062698E-01	4.2706414506E-01	4.2710127360E-01	4.2841151773E-01	4.2710885674E-01	4.2710885674E-01	4.2711981133E-01	3.0260756873E-01	3.0330383253E-01	2.6361899038E-01	2.6508851868E-01	2.6096214798E-01	4.2184875608E-01	4.2185977505E-01	4.1087501045E-01	4.1095757027E-01	4.1087620800E-01	4.1935507667E-01	3.8778988579E-01	1.5488697690E00	5.9021410623E-01	4.1976483847E-01	1.5471963424E00	4.1978038072E-01	4.0695055336E-01	4.1978163917E-01	4.0695663917E-01	4.1435507667E-01	
Caplet Vola Analytic Multi-Curve Ju	5.3242033039E-01	5.8662671306E-01	1.1830003210E-01	1.1823227927E-01	1.0266731186E-02	0.0000000000E00	1.9059403865E-01	5.6536674055E-03	5.6536674055E-03	1.1817273954E-02	4.2148770763E-01	4.2148365160E-01	4.1994716968E-01	4.1998429822E-01	4.2129454235E-01	4.1999188136E-01	4.1999188136E-01	4.2000283595E-01	2.9246743793E-01	2.9316370173E-01	2.5347885959E-01	2.5494838789E-01	2.5082201718E-01	4.1473178070E-01	4.1474279967E-01	4.0538695140E-01	4.0542677050E-01	4.0551170754E-01	4.1223810129E-01	3.8485579568E-01	1.5493322116E00	5.9314819633E-01	4.1264786309E-01	1.5476587850E00	4.1266340534E-01	3.9983357798E-01	4.1266466379E-01	3.9983966379E-01	4.0723810129E-01	
Caplet Vola Analytic Multi-Curve Ho	7.1360581881E-01	7.6893235180E-01	1.1258498214E-01	1.1271786460E-01	1.9990501940E-01	1.9059403865E-01	0.0000000000E00	1.8756461950E-01	1.8756461950E-01	1.8479148849E-01	2.8106376399E-01	2.8106370680E-01	2.8047548746E-01	2.8048142556E-01	2.8080965832E-01	2.8048183823E-01	2.8048183823E-01	2.8047978805E-01	1.3474599552E-01	1.3544225932E-01	1.7828563891E-01	1.7100906214E-01	1.6889882756E-01	2.8016867545E-01	2.8016474788E-01	2.7786117773E-01	2.7787542960E-01	2.7792041991E-01	2.7130646527E-01	2.6130646527E-01	1.5694923374E00	7.5401360190E-01	2.7526120607E-01	1.5678189108E00	2.7525909991E-01	2.6671701284E-01	2.7526115277E-01	2.6673615277E-01	2.7630646527E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	5.3737547648E-01	5.9139092741E-01	1.1809614419E-01	1.1802839135E-01	1.5266115513E-02	5.6536674055E-03	1.8756461950E-01	0.0000000000E00	0.0000000000E00	6.4934298056E-03	4.2003512589E-01	4.2003106986E-01	4.1849458793E-01	4.1853171648E-01	4.1984196061E-01	4.1853929962E-01	4.1853929962E-01	4.1855025421E-01	2.8737408497E-01	2.8808034860E-01	2.4838550662E-01	2.4985503493E-01	2.4572866422E-01	4.1327919895E-01	4.1329021793E-01	4.0465818603E-01	4.0469800514E-01	4.0478294218E-01	4.1078551955E-01	3.8465190777E-01	1.5506467521E00	5.9335208425E-01	4.1119528134E-01	1.5489733255E00	4.1121082360E-01	3.9838099624E-01	4.1121208205E-01	3.9838708205E-01	4.0637771435E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	5.3737547648E-01	5.9139092741E-01	1.1809614419E-01	1.1802839135E-01	1.5266115513E-02	5.6536674055E-03	1.8756461950E-01	0.0000000000E00	0.0000000000E00	6.4934298056E-03	4.2003512589E-01	4.2003106986E-01	4.1849458793E-01	4.1853171648E-01	4.1984196061E-01	4.1853929962E-01	4.1853929962E-01	4.1855025421E-01	2.8737408497E-01	2.8808034860E-01	2.4838550662E-01	2.4985503493E-01	2.4572866422E-01	4.1327919895E-01	4.1329021793E-01	4.0465818603E-01	4.0469800514E-01	4.0478294218E-01	4.1078551955E-01	3.8465190777E-01	1.5506467521E00	5.9335208425E-01	4.1119528134E-01	1.5489733255E00	4.1121082360E-01	3.9838099624E-01	4.1121208205E-01	3.9838708205E-01	4.0637771435E-01	
Caplet Vola Monte-Carlo Multi-Curve	5.4328728159E-01	5.9749366426E-01	1.1910910306E-01	1.1904135022E-01	2.1759545318E-02	1.1817273954E-02	1.8479148849E-01	6.4934298056E-03	6.4934298056E-03	0.0000000000E00	4.1831170295E-01	4.1831282202E-01	4.1640091251E-01	4.1645630049E-01	4.1835736763E-01	4.1647117262E-01	4.1647117262E-01	4.1646522569E-01	2.8212250246E-01	2.8281876627E-01	2.4313392412E-01	2.4460345242E-01	2.4047708171E-01	4.1118138895E-01	4.1119240792E-01	4.0221957910E-01	4.0223383097E-01	4.0227882128E-01	4.0932419423E-01	3.8566486664E-01	1.5510345533E00	5.9487443815E-01	4.0909747134E-01	1.5493611267E00	4.0911301359E-01	3.9628318623E-01	4.0911427204E-01	3.9628927204E-01	4.0368770954E-01	
