	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.5208274879E-02	2.2337553708E00	2.5132871767E00	2.0589061230E00	2.0712080498E00	?	2.0768016919E00	2.0768016919E00	2.0771519859E00	2.9603725598E00	2.9683282047E00	2.9515351281E00	2.9522556623E00	?	2.9526755638E00	2.9526755638E00	2.9527425778E00	2.5200687295E00	2.5363558150E00	2.1004926040E00	2.1148827878E00	2.1368229087E00	2.9004751002E00	2.9043041767E00	2.8080280878E00	2.8166986070E00	2.8158092989E00	2.8496005945E00	2.7165198108E00	1.5910398377E00	1.0708787016E00	2.9237431347E00	8.5169690027E-01	2.9239771655E00	2.8867875528E00	2.9238957386E00	2.8869862539E00	2.7906178064E00	
Target (LIBOR)	8.5208274879E-02	0.0000000000E00	2.2697346777E00	2.5370084661E00	2.1020746114E00	2.1139841994E00	?	2.1194206137E00	2.1194206137E00	2.1197807205E00	2.9615830682E00	2.9691008784E00	2.9532299338E00	2.9539111231E00	?	2.9543080979E00	2.9543080979E00	2.9543714589E00	2.5438902137E00	2.5594183325E00	2.1433187892E00	2.1572402582E00	2.1781346524E00	2.9049120902E00	2.9085385134E00	2.8172250778E00	2.8254633185E00	2.8246163853E00	2.8566915344E00	2.7301509847E00	1.5057921826E00	1.1408100140E00	2.9269434793E00	9.1435483473E-01	2.9271649751E00	2.8919643995E00	2.9270878998E00	2.8921524727E00	2.8006386882E00	
Caplet Vola Analytic Single-Curve	2.2337553708E00	2.2697346777E00	0.0000000000E00	7.0767629120E-01	3.6434269302E-01	3.5971720044E-01	?	3.6216232914E-01	3.6216232914E-01	3.6628358112E-01	2.5652036196E00	2.6222767890E00	2.5027881829E00	2.5078624716E00	?	2.5105062697E00	2.5105062697E00	2.5114744820E00	1.3415970488E00	1.3787699544E00	7.2829455663E-01	7.5540731972E-01	7.6177961485E-01	2.1296584901E00	2.1528842924E00	1.7218566609E00	1.7510089893E00	1.7508183006E00	2.1060048607E00	1.5327242708E00	3.6971309598E00	1.3215052315E00	2.3758958618E00	2.5404302841E00	2.3774654231E00	2.1595966624E00	2.3767211478E00	2.1598056034E00	1.8104971925E00	
Caplet Vola Monte-Carlo Single-Curve	2.5132871767E00	2.5370084661E00	7.0767629120E-01	0.0000000000E00	1.0067238729E00	1.0127358733E00	?	1.0225397907E00	1.0225397907E00	1.0292416360E00	2.2625423247E00	2.3486819507E00	2.1685654623E00	2.1761751400E00	?	2.1801499550E00	2.1801499550E00	2.1810153801E00	8.6748896581E-01	9.0669845676E-01	1.3822993915E00	1.4080396137E00	1.3178166246E00	1.8181179484E00	1.8418898924E00	1.3551849737E00	1.3881078524E00	1.3892105105E00	1.6928008215E00	1.1679148426E00	3.9550051920E00	1.7091700738E00	2.0030373281E00	2.7603480046E00	2.0046369992E00	1.7104976443E00	2.0041079123E00	1.7107005286E00	1.3386587049E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	2.0589061230E00	2.1020746114E00	3.6434269302E-01	1.0067238729E00	0.0000000000E00	3.4325036782E-02	?	5.4075688117E-02	5.4075688117E-02	7.7091172638E-02	2.6500376638E00	2.6962183328E00	2.5995335865E00	2.6035846784E00	?	2.6056906129E00	2.6056906129E00	2.6059414073E00	1.4979447104E00	1.5343115807E00	9.0775547484E-01	9.3558410610E-01	9.4171046820E-01	2.2927632738E00	2.3110113267E00	1.9401160022E00	1.9652435018E00	1.9635329840E00	2.2390453302E00	1.6913760454E00	3.5667707072E00	1.0832766677E00	2.4871941154E00	2.4314338841E00	2.4884150323E00	2.3043746156E00	2.4879925313E00	2.3055740888E00	1.9927706827E00	
Caplet Vola Analytic Multi-Curve Ju	2.0712080498E00	2.1139841994E00	3.5971720044E-01	1.0127358733E00	3.4325036782E-02	0.0000000000E00	?	2.0081304915E-02	2.0081304915E-02	4.3018874716E-02	2.6691264260E00	2.7167684037E00	2.6170572076E00	2.6212361082E00	?	2.6234104556E00	2.6234104556E00	2.6236702860E00	1.4788640520E00	1.5156695439E00	8.8296948651E-01	9.1075835202E-01	9.1692707313E-01	2.3107341306E00	2.3276315493E00	1.9673840302E00	1.9934155691E00	1.9916002993E00	2.2458817811E00	1.7107793481E00	3.5882588260E00	1.0959863661E00	2.5011403562E00	2.4497927308E00	2.5023980944E00	2.3182042617E00	2.5019626163E00	2.3185973657E00	2.0001536161E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	2.0768016919E00	2.1194206137E00	3.6216232914E-01	1.0225397907E00	5.4075688117E-02	2.0081304915E-02	?	0.0000000000E00	0.0000000000E00	2.4693585925E-02	2.6961918007E00	2.7448903530E00	2.6456751363E00	2.6496222685E00	?	2.6517009913E00	2.6517009913E00	2.6523284508E00	1.4726735120E00	1.5098106914E00	8.7125426247E-01	8.9906984470E-01	9.0526942418E-01	2.3394413904E00	2.3566424498E00	1.9911036291E00	2.0177801819E00	2.0158827102E00	2.2631667072E00	1.7289014408E00	3.6018347626E00	1.1009058745E00	2.5259051328E00	2.4616767939E00	2.5273688255E00	2.3425669769E00	2.5269611849E00	2.3429690549E00	2.0169014684E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	2.0768016919E00	2.1194206137E00	3.6216232914E-01	1.0225397907E00	5.4075688117E-02	2.0081304915E-02	?	0.0000000000E00	0.0000000000E00	2.4693585925E-02	2.6961918007E00	2.7448903530E00	2.6456751363E00	2.6496222685E00	?	2.6517009913E00	2.6517009913E00	2.6523284508E00	1.4726735120E00	1.5098106914E00	8.7125426247E-01	8.9906984470E-01	9.0526942418E-01	2.3394413904E00	2.3566424498E00	1.9911036291E00	2.0177801819E00	2.0158827102E00	2.2631667072E00	1.7289014408E00	3.6018347626E00	1.1009058745E00	2.5259051328E00	2.4616767939E00	2.5273688255E00	2.3425669769E00	2.5269611849E00	2.3429690549E00	2.0169014684E00	
Caplet Vola Monte-Carlo Multi-Curve	2.0771519859E00	2.1197807205E00	3.6628358112E-01	1.0292416360E00	7.7091172638E-02	4.3018874716E-02	?	2.4693585925E-02	2.4693585925E-02	0.0000000000E00	2.7109271883E00	2.7599828220E00	2.6573415063E00	2.6616492119E00	?	2.6638949983E00	2.6638949983E00	2.6641654152E00	1.4475047755E00	1.4864790428E00	8.5037412538E-01	8.7784449243E-01	8.8401095599E-01	2.3296031920E00	2.3478984883E00	2.0021627012E00	2.0290707484E00	2.0271397627E00	2.2741972156E00	1.7379491340E00	3.6051818396E00	1.1004518956E00	2.5375780425E00	2.4645981057E00	2.5388745460E00	2.3448424908E00	2.5384250295E00	2.3460988042E00	2.0121806437E00	
Caplet Value Analytic Single-Curve	2.9603725598E00	2.9615830682E00	2.5652036196E00	2.2625423247E00	2.6500376638E00	2.6691264260E00	?	2.6961918007E00	2.6961918007E00	2.7109271883E00	0.0000000000E00	5.0758837036E-01	4.5673286489E-01	4.2442990883E-01	?	4.0562192724E-01	4.0562192724E-01	3.9172180706E-01	2.9407603032E00	2.9252740291E00	3.5203635084E00	3.6552786740E00	3.5177232337E00	2.1474674199E00	2.0888298474E00	2.7652397624E00	2.6151376592E00	2.7183634064E00	4.1750871024E00	4.6449988480E00	4.4509970211E00	2.3775354342E00	1.4839987637E00	3.1949494148E00	1.5088380695E00	1.4517007289E00	1.5024203750E00	1.4525858901E00	3.4105373186E00	
Caplet Value Monte-Carlo Single-Curve	2.9683282047E00	2.9691008784E00	2.6222767890E00	2.3486819507E00	2.6962183328E00	2.7167684037E00	?	2.7448903530E00	2.7448903530E00	2.7599828220E00	5.0758837036E-01	0.0000000000E00	9.4513620462E-01	9.1639596489E-01	?	8.9999082449E-01	8.9999082449E-01	8.8360272990E-01	3.0739506096E00	3.0549022025E00	3.5791594251E00	3.7186009055E00	3.5793715930E00	2.4537815113E00	2.4044501872E00	2.9406490564E00	2.7948041707E00	2.9000650567E00	4.4500699393E00	4.8090187168E00	4.4634348229E00	2.3897041721E00	1.8044161115E00	3.2060811693E00	1.8393066667E00	1.6997852555E00	1.8252030836E00	1.7018879227E00	3.5667196571E00	
Caplet Value Analytic Multi-Curve Fenton-Wilkinson	2.9515351281E00	2.9532299338E00	2.5027881829E00	2.1685654623E00	2.5995335865E00	2.6170572076E00	?	2.6456751363E00	2.6456751363E00	2.6573415063E00	4.5673286489E-01	9.4513620462E-01	0.0000000000E00	3.5016909157E-02	?	5.7345934116E-02	5.7345934116E-02	6.7623073818E-02	2.7952417835E00	2.8132336692E00	3.4566691192E00	3.5867789658E00	3.4510311868E00	1.8545098812E00	1.8068471714E00	2.5804103018E00	2.4264436160E00	2.5274813217E00	3.9302583807E00	4.4676211139E00	4.4388066093E00	2.3640495514E00	1.2548717663E00	3.1843977273E00	1.2697929358E00	1.2220675767E00	1.2711143303E00	1.2231744395E00	3.2698504511E00	
Caplet Value Analytic Multi-Curve Ju	2.9522556623E00	2.9539111231E00	2.5078624716E00	2.1761751400E00	2.6035846784E00	2.6212361082E00	?	2.6496222685E00	2.6496222685E00	2.6616492119E00	4.2442990883E-01	9.1639596489E-01	3.5016909157E-02	0.0000000000E00	?	2.2454271459E-02	2.2454271459E-02	3.7272227674E-02	2.8079414432E00	2.8219357028E00	3.4619230630E00	3.5924542682E00	3.4565275895E00	1.8817269638E00	1.8347863807E00	2.5987581585E00	2.4451715275E00	2.5464123395E00	3.9559797917E00	4.4833271037E00	4.4401282096E00	2.3651070788E00	1.2809393476E00	3.1855761884E00	1.2966198232E00	1.2455303963E00	1.2973844099E00	1.2462402349E00	3.2851044961E00	
Caplet Value Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Value Analytic Multi-Curve Drift-Freeze	2.9526755638E00	2.9543080979E00	2.5105062697E00	2.1801499550E00	2.6056906129E00	2.6234104556E00	?	2.6517009913E00	2.6517009913E00	2.6638949983E00	4.0562192724E-01	8.9999082449E-01	5.7345934116E-02	2.2454271459E-02	?	0.0000000000E00	0.0000000000E00	2.2512349036E-02	2.8152758418E00	2.8267340067E00	3.4650116773E00	3.5957956864E00	3.4597589001E00	1.8996198842E00	1.8531751334E00	2.6103157435E00	2.4569813986E00	2.5583433664E00	3.9729108379E00	4.4924296131E00	4.4409874552E00	2.3657166546E00	1.2992680062E00	3.1863545359E00	1.3153591028E00	1.2608796101E00	1.3158436000E00	1.2614445712E00	3.2952107990E00	
Caplet Value Analytic Multi-Curve Integrated-Expectation	2.9526755638E00	2.9543080979E00	2.5105062697E00	2.1801499550E00	2.6056906129E00	2.6234104556E00	?	2.6517009913E00	2.6517009913E00	2.6638949983E00	4.0562192724E-01	8.9999082449E-01	5.7345934116E-02	2.2454271459E-02	?	0.0000000000E00	0.0000000000E00	2.2512349036E-02	2.8152758418E00	2.8267340067E00	3.4650116773E00	3.5957956864E00	3.4597589001E00	1.8996198842E00	1.8531751334E00	2.6103157435E00	2.4569813986E00	2.5583433664E00	3.9729108379E00	4.4924296131E00	4.4409874552E00	2.3657166546E00	1.2992680062E00	3.1863545359E00	1.3153591028E00	1.2608796101E00	1.3158436000E00	1.2614445712E00	3.2952107990E00	
Caplet Value Monte-Carlo Multi-Curve	2.9527425778E00	2.9543714589E00	2.5114744820E00	2.1810153801E00	2.6059414073E00	2.6236702860E00	?	2.6523284508E00	2.6523284508E00	2.6641654152E00	3.9172180706E-01	8.8360272990E-01	6.7623073818E-02	3.7272227674E-02	?	2.2512349036E-02	2.2512349036E-02	0.0000000000E00	2.8199955255E00	2.8284618439E00	3.4655187503E00	3.5963474005E00	3.4602893014E00	1.9068474045E00	1.8606472693E00	2.6130453610E00	2.4597874900E00	2.5611670393E00	3.9764228667E00	4.4965544185E00	4.4411640535E00	2.3658094270E00	1.3033368823E00	3.1865174837E00	1.3074801066E00	1.2645077795E00	1.3199386473E00	1.2678879450E00	3.2973269171E00	
Swaption Vola Analytic Single-Curve	2.5200687295E00	2.5438902137E00	1.3415970488E00	8.6748896581E-01	1.4979447104E00	1.4788640520E00	?	1.4726735120E00	1.4726735120E00	1.4475047755E00	2.9407603032E00	3.0739506096E00	2.7952417835E00	2.8079414432E00	?	2.8152758418E00	2.8152758418E00	2.8199955255E00	0.0000000000E00	8.8786930899E-02	1.3093788920E00	1.3354564393E00	1.2364170900E00	2.3971377472E00	2.4326442155E00	1.7365594445E00	1.7838478770E00	1.7833979300E00	1.9991366357E00	2.0993020382E00	4.0420602742E00	1.8571204637E00	2.5192544110E00	2.8322510347E00	2.5223336428E00	2.1778891177E00	2.5213215547E00	2.1780824188E00	1.6714992269E00	
Swaption Vola Monte-Carlo Single-Curve	2.5363558150E00	2.5594183325E00	1.3787699544E00	9.0669845676E-01	1.5343115807E00	1.5156695439E00	?	1.5098106914E00	1.5098106914E00	1.4864790428E00	2.9252740291E00	3.0549022025E00	2.8132336692E00	2.8219357028E00	?	2.8267340067E00	2.8267340067E00	2.8284618439E00	8.8786930899E-02	0.0000000000E00	1.3645801138E00	1.3927396097E00	1.2921291092E00	2.3562634939E00	2.3926319701E00	1.7040549178E00	1.7465447095E00	1.7442487121E00	1.9945071394E00	2.1717251619E00	4.0629689698E00	1.8748167304E00	2.5350301631E00	2.8508724176E00	2.5382516962E00	2.1793533800E00	2.5371919772E00	2.1795544346E00	1.6586490604E00	
Swaption Vola Analytic Multi-Curve Drift-Freeze	2.1004926040E00	2.1433187892E00	7.2829455663E-01	1.3822993915E00	9.0775547484E-01	8.8296948651E-01	?	8.7125426247E-01	8.7125426247E-01	8.5037412538E-01	3.5203635084E00	3.5791594251E00	3.4566691192E00	3.4619230630E00	?	3.4650116773E00	3.4650116773E00	3.4655187503E00	1.3093788920E00	1.3645801138E00	0.0000000000E00	6.8418183331E-02	9.7936870074E-02	3.1138922726E00	3.1376144937E00	2.6142251234E00	2.6557204393E00	2.6516268176E00	2.8233839483E00	2.2261623547E00	3.7376325126E00	1.5283129903E00	3.2641798647E00	2.5719877505E00	3.2657586428E00	3.0346699728E00	3.2652024601E00	3.0358361540E00	2.5386882283E00	
Swaption Vola Analytic Multi-Curve Integrated-Expectation	2.1148827878E00	2.1572402582E00	7.5540731972E-01	1.4080396137E00	9.3558410610E-01	9.1075835202E-01	?	8.9906984470E-01	8.9906984470E-01	8.7784449243E-01	3.6552786740E00	3.7186009055E00	3.5867789658E00	3.5924542682E00	?	3.5957956864E00	3.5957956864E00	3.5963474005E00	1.3354564393E00	1.3927396097E00	6.8418183331E-02	0.0000000000E00	8.0945296225E-02	3.2177949729E00	3.2432161035E00	2.6863878291E00	2.7304322779E00	2.7259805984E00	2.9082004409E00	2.2774279607E00	3.7668315561E00	1.5480188122E00	3.3795980074E00	2.5973185161E00	3.3813021963E00	3.1352335277E00	3.3806997212E00	3.1364618591E00	2.6049127888E00	
Swaption Vola Monte-Carlo Multi-Curve	2.1368229087E00	2.1781346524E00	7.6177961485E-01	1.3178166246E00	9.4171046820E-01	9.1692707313E-01	?	9.0526942418E-01	9.0526942418E-01	8.8401095599E-01	3.5177232337E00	3.5793715930E00	3.4510311868E00	3.4565275895E00	?	3.4597589001E00	3.4597589001E00	3.4602893014E00	1.2364170900E00	1.2921291092E00	9.7936870074E-02	8.0945296225E-02	0.0000000000E00	3.0941182875E00	3.1187163092E00	2.5791553440E00	2.6216185549E00	2.6174754905E00	2.7939197128E00	2.1837533632E00	3.7685807365E00	1.5517197403E00	3.2501507586E00	2.5984533954E00	3.2517933415E00	3.0115669183E00	3.2512149284E00	3.0127789356E00	2.5027514389E00	
Swaption Value Analytic Single-Curve	2.9004751002E00	2.9049120902E00	2.1296584901E00	1.8181179484E00	2.2927632738E00	2.3107341306E00	?	2.3394413904E00	2.3394413904E00	2.3296031920E00	2.1474674199E00	2.4537815113E00	1.8545098812E00	1.8817269638E00	?	1.8996198842E00	1.8996198842E00	1.9068474045E00	2.3971377472E00	2.3562634939E00	3.1138922726E00	3.2177949729E00	3.0941182875E00	0.0000000000E00	9.0461770022E-02	1.2565451846E00	1.1111354883E00	1.1711017809E00	2.8707541043E00	3.5687710715E00	4.3433325480E00	2.2905336861E00	9.5962427629E-01	3.0995481959E00	9.7435689941E-01	7.9434322730E-01	9.6749620158E-01	7.8812251959E-01	2.5423976996E00	
Swaption Value Monte-Carlo Single-Curve	2.9043041767E00	2.9085385134E00	2.1528842924E00	1.8418898924E00	2.3110113267E00	2.3276315493E00	?	2.3566424498E00	2.3566424498E00	2.3478984883E00	2.0888298474E00	2.4044501872E00	1.8068471714E00	1.8347863807E00	?	1.8531751334E00	1.8531751334E00	1.8606472693E00	2.4326442155E00	2.3926319701E00	3.1376144937E00	3.2432161035E00	3.1187163092E00	9.0461770022E-02	0.0000000000E00	1.3333787296E00	1.1822059831E00	1.2491241137E00	2.9412877278E00	3.6251958217E00	4.3505358461E00	2.2960100545E00	8.8179645125E-01	3.1059854866E00	8.9681933994E-01	8.3451660473E-01	8.8981046968E-01	8.2674657979E-01	2.5893570732E00	
Swaption Value Analytic Multi-Curve Drift-Freeze	2.8080280878E00	2.8172250778E00	1.7218566609E00	1.3551849737E00	1.9401160022E00	1.9673840302E00	?	1.9911036291E00	1.9911036291E00	2.0021627012E00	2.7652397624E00	2.9406490564E00	2.5804103018E00	2.5987581585E00	?	2.6103157435E00	2.6103157435E00	2.6130453610E00	1.7365594445E00	1.7040549178E00	2.6142251234E00	2.6863878291E00	2.5791553440E00	1.2565451846E00	1.3333787296E00	0.0000000000E00	1.6368695125E-01	9.2299608568E-02	1.8547733890E00	2.3758733621E00	4.1997388900E00	2.1593060000E00	1.9695294462E00	2.9761677118E00	1.9794052643E00	1.5146247075E00	1.9745563974E00	1.5134601700E00	1.8099743885E00	
