Component1	Component2	Correlation
0	0	1.0000000000000007
0	1	0.9997679102910988
0	2	0.997098387285902
0	3	0.9864393846695865
0	4	0.9597634392601682
0	5	0.910181825797834
0	6	0.8377517560079593
0	7	0.7520297234588342
0	8	0.6671633411246936
0	9	0.5944908197328103
0	10	0.5392650072439883
0	11	0.501372451658576
0	12	0.4772169348132568
0	13	0.46180836283822163
0	14	0.45100540195984756
0	15	0.44270438678605906
0	16	0.43595270015511073
0	17	0.4291125112542362
0	18	0.4188042863221943
0	19	0.4007155357299794
0	20	0.37274126567748683
0	21	0.3381659735598066
0	22	0.30447578806839265
0	23	0.27863062098238556
0	24	0.2638633554554445
0	25	0.2591342157166291
0	26	0.2602178441154251
0	27	0.26291397314717596
0	28	0.2659678884230357
0	29	0.2692879515531178
0	30	0.26946682324912885
0	31	0.25851716709604544
0	32	0.23316447116494218
0	33	0.20548602636789232
0	34	0.19143803528072256
0	35	0.19406355323701563
0	36	0.19778564770589963
0	37	0.19852946035940636
0	38	0.2048428005554823
0	39	0.126037573575964
0	40	0.7000000000000005
0	41	0.6998375372037692
0	42	0.6979688711001315
0	43	0.6905075692687106
0	44	0.6718344074821176
0	45	0.6371272780584838
0	46	0.5864262292055714
0	47	0.5264208064211839
0	48	0.4670143387872854
0	49	0.41614357381296724
0	50	0.37748550507079176
0	51	0.35096071616100316
0	52	0.33405185436927964
0	53	0.32326585398675506
0	54	0.31570378137189326
0	55	0.30989307075024125
0	56	0.3051668901085775
0	57	0.30037875787796536
0	58	0.2931630004255361
0	59	0.28050087501098553
0	60	0.2609188859742408
0	61	0.23671618149186457
0	62	0.21313305164787488
0	63	0.19504143468766996
0	64	0.1847043488188112
0	65	0.18139395100164038
0	66	0.18215249088079755
0	67	0.1840397812030231
0	68	0.18617752189612494
0	69	0.18850156608718246
0	70	0.18862677627439017
0	71	0.1809620169672318
0	72	0.16321512981545944
0	73	0.14384021845752468
0	74	0.13400662469650573
0	75	0.13584448726591095
0	76	0.13844995339412977
0	77	0.1389706222515844
0	78	0.1433899603888376
0	79	0.08822630150317481
1	0	0.9997679102910988
1	1	1.0000000000000004
1	2	0.9984806852419288
1	3	0.9896370670105072
1	4	0.965338508783918
1	5	0.9184386577921719
1	6	0.848597782025792
1	7	0.7649825024000049
1	8	0.6815056815220375
1	9	0.6094268260119708
1	10	0.5539784101155822
1	11	0.5150238100989756
1	12	0.48898098593852596
1	13	0.4710216825978523
1	14	0.4573658701308352
1	15	0.44635739694091653
1	16	0.4374019062695524
1	17	0.42906518736754373
1	18	0.4180522247466035
1	19	0.4000359371621591
1	20	0.3727577226639438
1	21	0.3391954261074558
1	22	0.30647238755654
1	23	0.2812458208834641
1	24	0.266530647316264
1	25	0.26115461225158626
1	26	0.2609351269918235
1	27	0.2619797371535199
1	28	0.26346854298005573
1	29	0.26565409967216974
1	30	0.26538291494720784
1	31	0.2548614942177983
1	32	0.23066975835845088
1	33	0.204235214965924
1	34	0.19081427188531097
1	35	0.1929590215290897
1	36	0.19517268794918327
1	37	0.19439018854854206
1	38	0.20021975321167113
1	39	0.12467319170240591
1	40	0.6998375372037692
1	41	0.7000000000000005
1	42	0.69893647966935
1	43	0.692745946907355
1	44	0.6757369561487425
1	45	0.6429070604545204
1	46	0.5940184474180542
1	47	0.5354877516800032
1	48	0.4770539770654263
1	49	0.4265987782083795
1	50	0.3877848870809076
1	51	0.36051666706928304
1	52	0.3422866901569682
1	53	0.3297151778184966
1	54	0.32015610909158465
1	55	0.31245017785864154
1	56	0.3061813343886866
1	57	0.3003456311572806
1	58	0.2926365573226224
1	59	0.2800251560135113
1	60	0.2609304058647606
1	61	0.23743679827521896
1	62	0.214530671289578
1	63	0.19687207461842493
1	64	0.18657145312138482
1	65	0.18280822857611034
1	66	0.18265458889427638
1	67	0.18338581600746395
1	68	0.18442798008603908
1	69	0.1859578697705187
1	70	0.18576804046304546
1	71	0.1784030459524587
1	72	0.16146883085091557
1	73	0.14296465047614684
1	74	0.13356999031971759
1	75	0.1350713150703628
1	76	0.13662088156442828
1	77	0.13607313198397938
1	78	0.1401538272481698
1	79	0.08727123419168414
2	0	0.997098387285902
2	1	0.9984806852419288
2	2	0.9999999999999993
2	3	0.9960402277185452
2	4	0.9782224661594319
2	5	0.9387410202864094
2	6	0.8762063856511236
2	7	0.7987274641894844
2	8	0.7195622760446186
2	9	0.6497421748124023
2	10	0.5944410161117889
2	11	0.5534549400811832
2	12	0.5232129795624468
2	13	0.4992654169441392
2	14	0.47874185874480196
2	15	0.4611610556313059
2	16	0.4469055268481328
2	17	0.43511411600807126
2	18	0.42271930389277435
2	19	0.40531606279950316
2	20	0.3801883004561249
2	21	0.3495046968968397
2	22	0.31950811647917476
2	23	0.2961555299240701
2	24	0.2819295031615964
2	25	0.2752491128190849
2	26	0.27191122210573965
2	27	0.2687667137989341
2	28	0.26624171731901075
2	29	0.26565202282016315
2	30	0.26452660277698653
2	31	0.2553548312667248
2	32	0.23410423857293014
2	33	0.21071396806524617
2	34	0.1990333229056842
2	35	0.20023419052557834
2	36	0.19819055985707437
2	37	0.19283394669829396
2	38	0.19781602335584736
2	39	0.12833085835089497
2	40	0.6979688711001315
2	41	0.6989364796693501
2	42	0.6999999999999993
