	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	9.0023865436E-02	1.2774767111E00	1.3735944473E00	1.2174873909E00	1.2244093251E00	?	1.2237923042E00	1.2243630685E00	1.2278202249E00	1.5212474751E00	1.5245260688E00	1.5173850791E00	1.5176800964E00	?	1.5176686619E00	1.5176942095E00	1.5178003051E00	1.4071712307E00	1.4112314499E00	1.2891638601E00	1.2997737312E00	1.2988929948E00	1.4940321236E00	1.4953057253E00	1.4474481363E00	1.4522877438E00	1.4505399371E00	1.4754760927E00	1.4030554619E00	9.6138173450E-01	6.9826202031E-01	1.5061681596E00	6.3859790862E-01	1.5063071999E00	1.4918512226E00	1.5062488404E00	1.4924255418E00	1.4425414327E00	
Target (LIBOR)	9.0023865436E-02	0.0000000000E00	1.3674785333E00	1.4636115841E00	1.3074736042E00	1.3143964849E00	?	1.3137782249E00	1.3143488851E00	1.3178123630E00	1.6112711710E00	1.6145498472E00	1.6074086473E00	1.6077036828E00	?	1.6076922507E00	1.6077178001E00	1.6078238922E00	1.4971726354E00	1.5012346461E00	1.3791018757E00	1.3897112532E00	1.3888423903E00	1.5840480351E00	1.5853222825E00	1.5374298926E00	1.5422777717E00	1.5405250632E00	1.5654441479E00	1.4928898567E00	9.7029200588E-01	7.8799404030E-01	1.5961888726E00	6.7074999798E-01	1.5963279092E00	1.5818710599E00	1.5962695634E00	1.5824456739E00	1.5324607691E00	
Caplet Vola Analytic Single-Curve	1.2774767111E00	1.3674785333E00	0.0000000000E00	9.7928685247E-02	6.1327259958E-02	5.4775295152E-02	?	5.5640249180E-02	5.5138529771E-02	5.1085726876E-02	2.4585427807E-01	2.4912834749E-01	2.4197007784E-01	2.4226100343E-01	?	2.4224759605E-01	2.4227249113E-01	2.4239000045E-01	1.4102643233E-01	1.4438402352E-01	8.0361807571E-02	8.2313180724E-02	7.8911159866E-02	2.1920179100E-01	2.2040424723E-01	1.7602326144E-01	1.7970647522E-01	1.7866433104E-01	2.1018117168E-01	1.4550274178E-01	1.5641255462E00	5.8322900491E-01	2.3174528040E-01	1.2533027569E00	2.3188605343E-01	2.1746095203E-01	2.3182312471E-01	2.1795930405E-01	1.8564756119E-01	
Caplet Vola Monte-Carlo Single-Curve	1.3735944473E00	1.4636115841E00	9.7928685247E-02	0.0000000000E00	1.5907065235E-01	1.5236259217E-01	?	1.5316354858E-01	1.5263616446E-01	1.4851000951E-01	1.4860027474E-01	1.5192164252E-01	1.4467173615E-01	1.4497009274E-01	?	1.4495811378E-01	1.4498383978E-01	1.4509603816E-01	5.5551788608E-02	5.7387874691E-02	1.1145143613E-01	1.0414566959E-01	1.0164725040E-01	1.2173755519E-01	1.2293299282E-01	8.2273340028E-02	8.4789851622E-02	8.4352698892E-02	1.1602708370E-01	8.6129982518E-02	1.6346085632E00	6.7921157163E-01	1.3403994679E-01	1.3322109210E00	1.3418557376E-01	1.1964002736E-01	1.3412107688E-01	1.2015126753E-01	9.8830635959E-02	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.2174873909E00	1.3074736042E00	6.1327259958E-02	1.5907065235E-01	0.0000000000E00	7.1621354056E-03	?	6.8498974006E-03	7.4596041334E-03	1.1421565981E-02	3.0658292851E-01	3.0982933571E-01	3.0272598528E-01	3.0301325327E-01	?	3.0299932638E-01	3.0302384926E-01	3.0314235785E-01	1.9969876544E-01	2.0322485925E-01	1.0970234915E-01	1.1624290930E-01	1.1393786726E-01	2.8008521348E-01	2.8128408677E-01	2.3631710136E-01	2.4021604439E-01	2.3905321719E-01	2.7041640712E-01	1.9935462566E-01	1.5228884518E00	5.2388909541E-01	2.9267295843E-01	1.2064502327E00	2.9281280314E-01	2.7845679378E-01	2.9275041074E-01	2.7894890230E-01	2.4448217064E-01	
Caplet Vola Analytic Multi-Curve Ju	1.2244093251E00	1.3143964849E00	5.4775295152E-02	1.5236259217E-01	7.1621354056E-03	0.0000000000E00	?	1.2390545305E-03	1.2794368729E-03	5.4971401389E-03	2.9968736785E-01	3.0292744569E-01	2.9583757054E-01	2.9612392353E-01	?	2.9610987191E-01	2.9613430090E-01	2.9625302171E-01	1.9299015680E-01	1.9648708781E-01	1.0477995365E-01	1.1088504023E-01	1.0860338790E-01	2.7328862315E-01	2.7448092370E-01	2.2978592182E-01	2.3362469808E-01	2.3249583493E-01	2.6390842516E-01	1.9342561617E-01	1.5285143228E00	5.3093894203E-01	2.8584218330E-01	1.2127082144E00	2.8598152839E-01	2.7165527442E-01	2.8591927168E-01	2.7214334358E-01	2.3836644177E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.2237923042E00	1.3137782249E00	5.5640249180E-02	1.5316354858E-01	6.8498974006E-03	1.2390545305E-03	?	0.0000000000E00	6.1120513578E-04	6.2990173020E-03	3.0039906040E-01	3.0363568317E-01	2.9655285567E-01	2.9683871748E-01	?	2.9682459186E-01	2.9684896931E-01	2.9696787008E-01	1.9372441418E-01	1.9721557733E-01	1.0530199003E-01	1.1138827736E-01	1.0916715141E-01	2.7404272181E-01	2.7523243802E-01	2.3060914917E-01	2.3443435217E-01	2.3331339056E-01	2.6475594105E-01	1.9418097153E-01	1.5284634481E00	5.3039915933E-01	2.8658874205E-01	1.2125828202E00	2.8672788151E-01	2.7241502190E-01	2.8666567963E-01	2.7290115667E-01	2.3930200458E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.2243630685E00	1.3143488851E00	5.5138529771E-02	1.5263616446E-01	7.4596041334E-03	1.2794368729E-03	?	6.1120513578E-04	0.0000000000E00	6.0220223735E-03	2.9984508390E-01	3.0308082657E-01	2.9599982851E-01	2.9628556168E-01	?	2.9627141700E-01	2.9629578092E-01	2.9641472882E-01	1.9319517471E-01	1.9668290921E-01	1.0493749450E-01	1.1097905269E-01	1.0876582319E-01	2.7350196346E-01	2.7469082178E-01	2.3009930343E-01	2.3391752119E-01	2.3280054861E-01	2.6425219437E-01	1.9371427652E-01	1.5289694320E00	5.3098652996E-01	2.8604435176E-01	1.2131391763E00	2.8618342523E-01	2.7187449988E-01	2.8612123711E-01	2.7236005187E-01	2.3884316267E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.2278202249E00	1.3178123630E00	5.1085726876E-02	1.4851000951E-01	1.1421565981E-02	5.4971401389E-03	?	6.2990173020E-03	6.0220223735E-03	0.0000000000E00	2.9593021971E-01	2.9917405701E-01	2.9208025430E-01	2.9236725271E-01	?	2.9235339096E-01	2.9237790488E-01	2.9249416639E-01	1.8906596483E-01	1.9257450657E-01	1.0156477147E-01	1.0760327334E-01	1.0518532867E-01	2.6945187456E-01	2.7064932284E-01	2.2590136372E-01	2.2975378338E-01	2.2861571199E-01	2.5968394253E-01	1.9023279473E-01	1.5293183913E00	5.3427630434E-01	2.8198762085E-01	1.2142222886E00	2.8212642988E-01	2.6779449140E-01	2.8206513846E-01	2.6829208412E-01	2.3401121442E-01	
