	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7142857143E-02	1.4335497844E00	1.6258547267E00	1.2995564786E00	1.3103817898E00	?	1.3064321157E00	1.3078178060E00	1.3146411467E00	1.9750505747E00	1.9838374525E00	1.9634760787E00	1.9641590303E00	?	1.9639400347E00	1.9640309847E00	1.9643416118E00	1.7017253847E00	1.7111808599E00	1.4339692491E00	1.4571243481E00	1.4540232898E00	1.9006807924E00	1.9041434115E00	1.7705741523E00	1.7843528069E00	1.7788445743E00	1.8391023904E00	1.6762308204E00	4.6879551562E-01	5.8234151793E-01	1.9320433948E00	3.7454801362E-01	1.9323799182E00	1.8954116534E00	1.9322499208E00	1.8974261567E00	1.7512604745E00	
Target (LIBOR)	5.7142857143E-02	0.0000000000E00	1.4607769770E00	1.6447947646E00	1.3319711677E00	1.3423953551E00	?	1.3385923999E00	1.3399266639E00	1.3464960172E00	1.9764284859E00	1.9847319445E00	1.9654876781E00	1.9661333368E00	?	1.9659263009E00	1.9660122841E00	1.9663059462E00	1.7171243268E00	1.7261277629E00	1.4611794435E00	1.4833888899E00	1.4804153135E00	1.9060689545E00	1.9093480889E00	1.7826273814E00	1.7957213716E00	1.7904874474E00	1.8477008051E00	1.6928367471E00	4.7524088989E-01	6.3420829194E-01	1.9357581276E00	3.8379093154E-01	1.9360765546E00	1.9010784220E00	1.9359535480E00	1.9029864945E00	1.7642649395E00	
Caplet Vola Analytic Single-Curve	1.4335497844E00	1.4607769770E00	0.0000000000E00	4.6081585300E-01	2.5080389980E-01	2.3222786019E-01	?	2.3903683503E-01	2.3665212883E-01	2.2484416421E-01	1.8533968740E00	1.9039938767E00	1.7883894212E00	1.7921746072E00	?	1.7909601660E00	1.7914644514E00	1.7931876054E00	6.8741297073E-01	7.1788590504E-01	2.7790553531E-01	2.8739865793E-01	2.7153313698E-01	1.4651878985E00	1.4818163883E00	9.2222136014E-01	9.7307336117E-01	9.5257825052E-01	1.1896918187E00	6.4184116791E-01	1.4613395317E00	1.0757139521E00	1.6206963044E00	1.4035396488E00	1.6224265780E00	1.4401308887E00	1.6217580202E00	1.4496757931E00	8.6731231007E-01	
Caplet Vola Monte-Carlo Single-Curve	1.6258547267E00	1.6447947646E00	4.6081585300E-01	0.0000000000E00	6.9163589953E-01	6.7498544299E-01	?	6.8109665465E-01	6.7895738789E-01	6.6834784390E-01	1.7706472610E00	1.8486820751E00	1.6720692399E00	1.6777581207E00	?	1.6759322160E00	1.6766903277E00	1.6792816498E00	3.1649179589E-01	3.2995510264E-01	4.7724187987E-01	4.4484356429E-01	4.4528336808E-01	1.2083331942E00	1.2311759639E00	5.2653257774E-01	5.7693277262E-01	5.5498482344E-01	9.0971211739E-01	5.1350590696E-01	1.6451850220E00	1.3671087839E00	1.4261596239E00	1.6048602961E00	1.4286372785E00	1.1741102402E00	1.4276797974E00	1.1871187372E00	6.4547558536E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.2995564786E00	1.3319711677E00	2.5080389980E-01	6.9163589953E-01	0.0000000000E00	1.8850520398E-02	?	1.2345110274E-02	1.4719136262E-02	2.7571778827E-02	1.8851301887E00	1.9249882991E00	1.8335863849E00	1.8365979805E00	?	1.8356318785E00	1.8360330594E00	1.8374037312E00	8.9944928983E-01	9.2696511558E-01	3.0868749923E-01	3.4081839438E-01	3.2457048590E-01	1.5716100141E00	1.5853255767E00	1.1089038083E00	1.1534992187E00	1.1355580126E00	1.3405012466E00	8.2710885443E-01	1.3326421886E00	8.8457301010E-01	1.6988630363E00	1.2639692166E00	1.7002662543E00	1.5508928679E00	1.6997240999E00	1.5587916350E00	1.0479531651E00	
Caplet Vola Analytic Multi-Curve Ju	1.3103817898E00	1.3423953551E00	2.3222786019E-01	6.7498544299E-01	1.8850520398E-02	0.0000000000E00	?	6.9047979158E-03	4.4859018015E-03	1.3818734662E-02	1.8830081645E00	1.9235881041E00	1.8305537054E00	1.8336178016E00	?	1.8326348482E00	1.8330430257E00	1.8344376136E00	8.8434731590E-01	9.1209904853E-01	3.0151276352E-01	3.3074511234E-01	3.1572547422E-01	1.5643456897E00	1.5782663681E00	1.0957796719E00	1.1408503782E00	1.1227156656E00	1.3300530525E00	8.1142113847E-01	1.3430579696E00	8.9967309440E-01	1.6935714404E00	1.2752237147E00	1.6949972826E00	1.5433221564E00	1.6944463847E00	1.5513372510E00	1.0342102114E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.3064321157E00	1.3385923999E00	2.3903683503E-01	6.8109665465E-01	1.2345110274E-02	6.9047979158E-03	?	0.0000000000E00	2.4189148453E-03	1.8878500407E-02	1.8837898022E00	1.9241039211E00	1.8316706058E00	1.8347153766E00	?	1.8337386262E00	1.8341442282E00	1.8355300126E00	8.8989363789E-01	9.1755918172E-01	3.0411672171E-01	3.3404872633E-01	3.1882309727E-01	1.5670189524E00	1.5808642553E00	1.1006026422E00	1.1454993039E00	1.1274354584E00	1.3338953109E00	8.1718133113E-01	1.3392580888E00	8.9415693582E-01	1.6955194852E00	1.2711170146E00	1.6969370067E00	1.5461079960E00	1.6963893245E00	1.5540803499E00	1.0392596678E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.3078178060E00	1.3399266639E00	2.3665212883E-01	6.7895738789E-01	1.4719136262E-02	4.4859018015E-03	?	2.4189148453E-03	0.0000000000E00	1.7471299856E-02	1.8835165551E00	1.9239236085E00	1.8312801336E00	1.8343316620E00	?	1.8333527426E00	1.8337592452E00	1.8351481079E00	8.8795256960E-01	9.1564833668E-01	3.0321087293E-01	3.3301414817E-01	3.1792086033E-01	1.5660840923E00	1.5799557687E00	1.0989151279E00	1.1438727683E00	1.1257840949E00	1.3325512917E00	8.1516524896E-01	1.3405912751E00	8.9609131405E-01	1.6948383378E00	1.2725577386E00	1.6962587698E00	1.5451337440E00	1.6957099627E00	1.5531210536E00	1.0374927862E00	
Caplet Vola Monte-Carlo Multi-Curve	1.3146411467E00	1.3464960172E00	2.2484416421E-01	6.6834784390E-01	2.7571778827E-02	1.3818734662E-02	?	1.8878500407E-02	1.7471299856E-02	0.0000000000E00	1.8821555035E00	1.9230253353E00	1.8293355479E00	1.8324207084E00	?	1.8314309938E00	1.8318419785E00	1.8332461623E00	8.7831872488E-01	9.0616354822E-01	2.9976615089E-01	3.2697467157E-01	3.1081838774E-01	1.5614328626E00	1.5754355294E00	1.0905333417E00	1.1357925502E00	1.1175810723E00	1.3258699972E00	8.0516172225E-01	1.3471553068E00	9.0563055150E-01	1.6914478346E00	1.2796529695E00	1.6928827366E00	1.5402868935E00	1.6923283373E00	1.5483484693E00	1.0287187305E00	
