	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.5208274879E-02	2.3610197457E00	2.6013791550E00	2.4344082112E00	2.4345219856E00	?	2.4301336032E00	2.4301227453E00	2.4344388708E00	2.9651306235E00	2.9714879278E00	2.9648759790E00	2.9648838905E00	?	2.9647558803E00	2.9647549994E00	2.9648750493E00	2.6275123487E00	2.6341572684E00	2.4628490908E00	2.4667787283E00	2.4821977529E00	2.9228321450E00	2.9244496394E00	2.8844158613E00	2.8866457568E00	2.8879281920E00	2.8496005945E00	2.7165198108E00	8.8892902612E-01	1.0708787016E00	2.9237492434E00	8.8886790510E-01	2.9239184216E00	2.8865830305E00	2.9238957386E00	2.8869862539E00	2.7906178064E00	
Target (LIBOR)	8.5208274879E-02	0.0000000000E00	2.3918857623E00	2.6210766671E00	2.4619977284E00	2.4621069895E00	?	2.4579210662E00	2.4579106295E00	2.4620292709E00	2.9660796333E00	2.9720862806E00	2.9658389736E00	2.9658464500E00	?	2.9657254890E00	2.9657246566E00	2.9658380958E00	2.6461794422E00	2.6525017860E00	2.4895985703E00	2.4933619393E00	2.5080223661E00	2.9260786781E00	2.9276094317E00	2.8897013039E00	2.8918145337E00	2.8930291506E00	2.8566915344E00	2.7301509847E00	9.5310075311E-01	1.1408100140E00	2.9269492608E00	9.5303722855E-01	2.9271093794E00	2.8917705326E00	2.9270878998E00	2.8921524727E00	2.8006386882E00	
Caplet Vola Analytic Single-Curve	2.3610197457E00	2.3918857623E00	0.0000000000E00	7.4488800381E-01	1.9730233289E-01	1.9742989965E-01	?	1.8611691515E-01	1.8613213586E-01	2.0491687046E-01	2.6480940290E00	2.7059168262E00	2.6436422094E00	2.6437002175E00	?	2.6425813728E00	2.6425760748E00	2.6436686829E00	1.3897067659E00	1.4110202782E00	1.0672950276E00	1.0790464582E00	1.0951826530E00	2.2602111428E00	2.2716586544E00	2.0285194631E00	2.0389748091E00	2.0457774940E00	2.0213499961E00	1.4031204051E00	2.2884171621E00	1.4800531411E00	2.3612591843E00	2.2884193114E00	2.3625675717E00	2.1044122212E00	2.3623709592E00	2.1062999376E00	1.7176520301E00	
Caplet Vola Monte-Carlo Single-Curve	2.6013791550E00	2.6210766671E00	7.4488800381E-01	0.0000000000E00	5.6204422550E-01	5.6217342502E-01	?	5.7524889451E-01	5.7522890267E-01	5.6311714806E-01	2.3110617255E00	2.3985408208E00	2.3031526510E00	2.3032358180E00	?	2.3015856516E00	2.3015791764E00	2.3037337504E00	9.1870688974E-01	9.4033800361E-01	8.4940660247E-01	8.5492196715E-01	7.8385149248E-01	1.8330526028E00	1.8465400507E00	1.5509884248E00	1.5639304112E00	1.5746066300E00	1.5535171863E00	1.5498599353E00	2.4620118638E00	1.8279016292E00	1.9276387627E00	2.4619904714E00	1.9292939070E00	1.5900773063E00	1.9290578210E00	1.5922115207E00	1.2207935684E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	2.4344082112E00	2.4619977284E00	1.9730233289E-01	5.6204422550E-01	0.0000000000E00	9.1217052275E-04	?	1.3556022688E-02	1.3552304470E-02	1.3948319108E-02	2.6107239034E00	2.6761479974E00	2.6056893946E00	2.6057545705E00	?	2.6044912543E00	2.6044853210E00	2.6057193951E00	1.2686665358E00	1.2897879022E00	9.3920345260E-01	9.5089067012E-01	9.6728664003E-01	2.1842495976E00	2.1954763664E00	1.9441778131E00	1.9553462608E00	1.9627357674E00	1.9274234457E00	1.2931459575E00	2.3460906566E00	1.5824960595E00	2.2916464459E00	2.3460852325E00	2.2930839086E00	2.0097626726E00	2.2928694314E00	2.0117872537E00	1.6095598244E00	
Caplet Vola Analytic Multi-Curve Ju	2.4345219856E00	2.4621069895E00	1.9742989965E-01	5.6217342502E-01	9.1217052275E-04	0.0000000000E00	?	1.3563082528E-02	1.3559363267E-02	1.4817184029E-02	2.6117297351E00	2.6771988613E00	2.6066919932E00	2.6067572221E00	?	2.6054930477E00	2.6054871092E00	2.6067220113E00	1.2687151399E00	1.2898435088E00	9.3915789425E-01	9.5084789028E-01	9.6724795030E-01	2.1850936353E00	2.1963285200E00	1.9448883019E00	1.9560649361E00	1.9634588333E00	1.9279493558E00	1.2934790907E00	2.3464209706E00	1.5826211468E00	2.2924229293E00	2.3464155026E00	2.2938613671E00	2.0104410592E00	2.2936467267E00	2.0124670107E00	1.6099667815E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	2.4301336032E00	2.4579210662E00	1.8611691515E-01	5.7524889451E-01	1.3556022688E-02	1.3563082528E-02	?	0.0000000000E00	1.2619454303E-04	2.4119176689E-02	2.6158429259E00	2.6809222149E00	2.6108354370E00	2.6109003201E00	?	2.6096435321E00	2.6096376229E00	2.6108652678E00	1.2741952040E00	1.2952792459E00	9.4527658613E-01	9.5696857099E-01	9.7335335746E-01	2.1934466526E00	2.2046482650E00	1.9552737857E00	1.9664469058E00	1.9738231037E00	1.9345631780E00	1.3034057575E00	2.3436656073E00	1.5762366614E00	2.2980857273E00	2.3436605069E00	2.2995181838E00	2.0184190168E00	2.2993043087E00	2.0204404254E00	1.6179104515E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	2.4301227453E00	2.4579106295E00	1.8613213586E-01	5.7522890267E-01	1.3552304470E-02	1.3559363267E-02	?	1.2619454303E-04	0.0000000000E00	2.4109641645E-02	2.6156832211E00	2.6807571085E00	2.6106761133E00	2.6107409897E00	?	2.6094843048E00	2.6094783963E00	2.6107059421E00	1.2741284979E00	1.2952112207E00	9.4522721101E-01	9.5691847614E-01	9.7330238484E-01	2.1933415035E00	2.2045422129E00	1.9551952006E00	1.9663674544E00	1.9737431929E00	1.9344661256E00	1.3033673562E00	2.3436242562E00	1.5762251957E00	2.2979548667E00	2.3436191614E00	2.2993871986E00	2.0183161588E00	2.2991733451E00	2.0203373986E00	1.6178428068E00	
Caplet Vola Monte-Carlo Multi-Curve	2.4344388708E00	2.4620292709E00	2.0491687046E-01	5.6311714806E-01	1.3948319108E-02	1.4817184029E-02	?	2.4119176689E-02	2.4109641645E-02	0.0000000000E00	2.6122364606E00	2.6777430516E00	2.6071959708E00	2.6072612408E00	?	2.6059963537E00	2.6059904111E00	2.6072260043E00	1.2554966271E00	1.2765007516E00	9.2751941762E-01	9.3911809538E-01	9.5542276348E-01	2.1692775221E00	2.1817773839E00	1.9471556341E00	1.9583493124E00	1.9657511762E00	1.9280996102E00	1.2949149285E00	2.3460608298E00	1.5824147414E00	2.2927501229E00	2.3460554091E00	2.2941893081E00	2.0005947478E00	2.2939745487E00	2.0031405829E00	1.6021507461E00	
