	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.5208274879E-02	1.3779899241E00	1.3872853203E00	1.4944360822E00	1.4977075079E00	?	1.5205659950E00	1.5205659950E00	1.5080706728E00	2.9676799835E00	2.9678772170E00	2.9605518383E00	2.9606580063E00	?	2.9613612088E00	2.9613612088E00	2.9611097402E00	1.4236958524E00	1.4339811211E00	1.5682411264E00	1.5829519063E00	1.5733013012E00	2.8694021395E00	2.8724177489E00	2.8237649882E00	2.8293761931E00	2.8238842098E00	2.8496005945E00	2.7165198108E00	7.8000000000E01	1.0708787016E00	2.9241870351E00	7.8000000000E01	2.9246420492E00	2.8872591186E00	2.9238957386E00	2.8869862539E00	2.7906178064E00	
Target (LIBOR)	8.5208274879E-02	0.0000000000E00	1.4406747073E00	1.4499962289E00	1.5537578001E00	1.5570095083E00	?	1.5796921081E00	1.5796921081E00	1.5674458580E00	2.9684880861E00	2.9686744600E00	2.9617518428E00	2.9618521900E00	?	2.9625168279E00	2.9625168279E00	2.9622791569E00	1.4874111455E00	1.4978145739E00	1.6279097507E00	1.6424744107E00	1.6327805821E00	2.8754555658E00	2.8783153464E00	2.8321473415E00	2.8374770166E00	2.8322604738E00	2.8566915344E00	2.7301509847E00	7.8000000000E01	1.1408100140E00	2.9273635700E00	7.8000000000E01	2.9277941829E00	2.8924110727E00	2.9270878998E00	2.8921524727E00	2.8006386882E00	
Caplet Vola Analytic Single-Curve	1.3779899241E00	1.4406747073E00	0.0000000000E00	7.3052779385E-02	1.4301076840E-01	1.4405977166E-01	?	1.5887481221E-01	1.5887481221E-01	1.6863113181E-01	2.2400610845E00	2.2404536672E00	2.2229078781E00	2.2231263991E00	?	2.2245242454E00	2.2245242454E00	2.2238355353E00	5.1142215937E-01	5.4005991998E-01	6.2113306533E-01	6.3500303924E-01	6.1514966659E-01	2.0444967283E00	2.0491984726E00	1.9623390651E00	1.9705791801E00	1.9625410469E00	2.0480718400E00	1.7995976182E00	7.8000000000E01	3.3617076935E-01	2.1547349760E00	7.8000000000E01	2.1554350354E00	2.0765630339E00	2.1541803563E00	2.0760558876E00	1.9333365613E00	
Caplet Vola Monte-Carlo Single-Curve	1.3872853203E00	1.4499962289E00	7.3052779385E-02	0.0000000000E00	1.5118446907E-01	1.5315588751E-01	?	1.6727696894E-01	1.6727696894E-01	1.6340337983E-01	2.2966759679E00	2.2969958567E00	2.2802778839E00	2.2804859904E00	?	2.2818487407E00	2.2818487407E00	2.2813185381E00	4.5029033857E-01	4.7789870360E-01	5.7008510622E-01	5.8329477166E-01	5.6462751502E-01	2.1024635878E00	2.1073915938E00	2.0110740426E00	2.0197746747E00	2.0114010213E00	2.0950982648E00	1.8306962108E00	7.8000000000E01	3.4441461457E-01	2.2105080949E00	7.8000000000E01	2.2113966465E00	2.1306224830E00	2.2101042630E00	2.1300921746E00	1.9837332471E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.4944360822E00	1.5537578001E00	1.4301076840E-01	1.5118446907E-01	0.0000000000E00	1.2290712559E-02	?	6.6711624089E-02	6.6711624089E-02	7.2730821783E-02	2.1374214631E00	2.1378762277E00	2.1181929929E00	2.1184446397E00	?	2.1199892046E00	2.1199892046E00	2.1193724865E00	4.1611607709E-01	4.4437830452E-01	5.2452886575E-01	5.3751298019E-01	5.1823266436E-01	1.9250915310E00	1.9304974585E00	1.8431078435E00	1.8518811254E00	1.8434510522E00	1.9424227017E00	1.7019223802E00	7.8000000000E01	4.7451199117E-01	2.0474975170E00	7.8000000000E01	2.0483196370E00	1.9605764705E00	2.0468304770E00	1.9599029382E00	1.8118275208E00	
Caplet Vola Analytic Multi-Curve Ju	1.4977075079E00	1.5570095083E00	1.4405977166E-01	1.5315588751E-01	1.2290712559E-02	0.0000000000E00	?	5.7815082654E-02	5.7815082654E-02	6.4532193378E-02	2.1412618473E00	2.1417202177E00	2.1218881925E00	2.1221418020E00	?	2.1236985674E00	2.1236985674E00	2.1230771009E00	4.0746723339E-01	4.3569471444E-01	5.1576011527E-01	5.2866059898E-01	5.0943410102E-01	1.9234911348E00	1.9282422277E00	1.8353590987E00	1.8441496105E00	1.8357038573E00	1.9447703200E00	1.6939304984E00	7.8000000000E01	4.7639793319E-01	2.0506518134E00	7.8000000000E01	2.0514803779E00	1.9647295033E00	2.0499797726E00	1.9644421426E00	1.8176582315E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.5205659950E00	1.5796921081E00	1.5887481221E-01	1.6727696894E-01	6.6711624089E-02	5.7815082654E-02	?	0.0000000000E00	0.0000000000E00	6.0923692203E-02	2.1926698781E00	2.1931048518E00	2.1743741829E00	2.1745945496E00	?	2.1760371292E00	2.1760371292E00	2.1754727650E00	3.7548547729E-01	4.0388321359E-01	4.8453390205E-01	4.9728116353E-01	4.7802454749E-01	1.9843118913E00	1.9894184748E00	1.9004046619E00	1.9093005574E00	1.9006257565E00	1.9822266959E00	1.7248294997E00	7.8000000000E01	4.9031689715E-01	2.1001844366E00	7.8000000000E01	2.1011198722E00	2.0147377864E00	2.0997665724E00	2.0141852959E00	1.8620159307E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.5205659950E00	1.5796921081E00	1.5887481221E-01	1.6727696894E-01	6.6711624089E-02	5.7815082654E-02	?	0.0000000000E00	0.0000000000E00	6.0923692203E-02	2.1926698781E00	2.1931048518E00	2.1743741829E00	2.1745945496E00	?	2.1760371292E00	2.1760371292E00	2.1754727650E00	3.7548547729E-01	4.0388321359E-01	4.8453390205E-01	4.9728116353E-01	4.7802454749E-01	1.9843118913E00	1.9894184748E00	1.9004046619E00	1.9093005574E00	1.9006257565E00	1.9822266959E00	1.7248294997E00	7.8000000000E01	4.9031689715E-01	2.1001844366E00	7.8000000000E01	2.1011198722E00	2.0147377864E00	2.0997665724E00	2.0141852959E00	1.8620159307E00	
Caplet Vola Monte-Carlo Multi-Curve	1.5080706728E00	1.5674458580E00	1.6863113181E-01	1.6340337983E-01	7.2730821783E-02	6.4532193378E-02	?	6.0923692203E-02	6.0923692203E-02	0.0000000000E00	2.2121160138E00	2.2125474544E00	2.1932189534E00	2.1934589287E00	?	2.1949935723E00	2.1949935723E00	2.1942348182E00	3.7079145976E-01	3.9888348177E-01	4.7862463689E-01	4.9117111470E-01	4.7216624085E-01	1.9701353898E00	1.9765383114E00	1.8916965268E00	1.9004291469E00	1.8919140269E00	2.0030178129E00	1.7189846008E00	7.8000000000E01	4.7869795128E-01	2.1184641731E00	7.8000000000E01	2.1192253594E00	2.0298204769E00	2.1178587670E00	2.0295081299E00	1.8702604082E00	
Caplet Value Analytic Single-Curve	2.9676799835E00	2.9684880861E00	2.2400610845E00	2.2966759679E00	2.1374214631E00	2.1412618473E00	?	2.1926698781E00	2.1926698781E00	2.2121160138E00	0.0000000000E00	5.1214718171E-02	5.6126142031E-01	5.5012329274E-01	?	5.1127727490E-01	5.1127727490E-01	5.1178725426E-01	2.6422344293E00	2.7369632409E00	2.6116576114E00	2.6937475354E00	2.5987341614E00	3.6363972547E00	3.6403684643E00	3.6310185412E00	3.5203633610E00	3.6136933985E00	4.3136844249E00	4.7958843524E00	7.8000000000E01	2.3891407899E00	1.6310778413E00	7.8000000000E01	1.6456034324E00	1.6187444997E00	1.6052990428E00	1.5944390735E00	3.4845339717E00	
