Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
224.88	238.11	39.56	39.57	34.48	34.48	?	34.43	34.43	34.64	0.03	0.03	0.07	0.07	?	0.07	0.07	0.07	41.61	41.78	36.33	36.31	35.95	0.14	0.14	0.29	0.29	0.29	1.00	2.00	100.20	99.80	0.60	100.20	0.60	1.46	0.60	1.46	0.50	
204.12	216.13	40.70	41.05	35.52	35.51	?	35.40	35.40	35.34	0.06	0.06	0.13	0.13	?	0.13	0.13	0.13	39.74	39.80	34.53	34.50	34.31	0.52	0.52	1.02	1.02	1.02	1.00	6.00	100.50	99.50	0.79	100.50	0.79	1.88	0.79	1.88	1.00	
190.21	201.39	41.29	41.52	36.07	36.06	?	35.88	35.88	36.05	0.09	0.09	0.19	0.19	?	0.19	0.19	0.19	34.69	34.62	30.07	30.01	30.13	0.93	0.93	1.70	1.70	1.71	1.00	10.00	100.90	99.11	0.96	100.90	0.96	2.24	0.96	2.24	1.50	
180.88	191.52	41.46	41.35	36.25	36.22	?	35.99	35.99	36.43	0.12	0.12	0.25	0.25	?	0.25	0.25	0.25	29.58	29.37	25.74	25.67	25.92	1.30	1.29	2.25	2.24	2.27	1.00	14.00	101.39	98.64	1.10	101.39	1.10	2.50	1.10	2.50	2.00	
174.62	184.90	41.32	41.23	36.17	36.14	?	35.86	35.86	36.07	0.15	0.15	0.30	0.30	?	0.29	0.29	0.30	25.37	25.13	22.30	22.22	22.59	1.59	1.58	2.63	2.62	2.67	1.00	18.00	101.95	98.10	1.20	101.95	1.20	2.70	1.20	2.70	2.50	
170.43	180.46	40.96	40.91	35.90	35.87	?	35.53	35.53	35.96	0.17	0.17	0.34	0.34	?	0.34	0.34	0.34	22.25	22.03	19.77	19.68	20.10	1.82	1.80	2.92	2.91	2.97	1.00	22.00	102.57	97.51	1.30	102.57	1.30	2.90	1.30	2.90	3.00	
167.62	177.48	40.44	40.26	35.46	35.43	2.87	35.05	35.05	35.22	0.20	0.20	0.39	0.39	0.03	0.38	0.38	0.38	19.90	19.70	17.88	17.80	18.23	2.01	1.99	3.14	3.12	3.20	1.00	26.00	103.25	96.88	1.44	103.25	1.44	3.10	1.44	3.10	3.50	
165.74	175.49	39.82	39.69	34.94	34.90	7.76	34.49	34.49	34.57	0.24	0.23	0.43	0.43	0.10	0.42	0.42	0.43	18.05	17.84	16.45	16.37	16.79	2.17	2.15	3.31	3.29	3.38	1.00	30.00	104.01	96.19	1.59	104.01	1.59	3.29	1.59	3.30	4.00	
164.48	174.15	39.14	38.61	34.38	34.33	9.93	33.90	33.90	33.99	0.27	0.26	0.47	0.47	0.14	0.46	0.46	0.47	16.59	16.38	15.35	15.27	15.72	2.30	2.27	3.44	3.42	3.52	1.00	34.00	104.87	95.43	1.75	104.87	1.75	3.49	1.75	3.50	4.50	
193.94	205.35	38.42	37.84	33.79	33.74	10.28	33.28	33.28	33.26	0.30	0.29	0.51	0.51	0.16	0.50	0.50	0.50	40.34	39.84	35.13	34.94	34.81	0.43	0.42	0.79	0.79	0.78	3.50	2.00	105.84	94.60	1.91	105.84	1.90	3.69	1.91	3.70	5.00	
