	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	1.3228278194E-01	1.8031880670E00	1.8031105389E00	1.8602387465E00	1.8603062753E00	?	1.8610312552E00	1.8610312552E00	1.8585492444E00	2.2484307837E00	2.2484307188E00	2.2480152317E00	2.2480153685E00	?	2.2480168370E00	2.2480168370E00	2.2480118096E00	1.7825403695E00	1.7806310801E00	1.8417033600E00	1.8420057941E00	1.8457923585E00	2.2472141443E00	2.2472077386E00	2.2455218956E00	2.2455243029E00	2.2455544481E00	2.2388072929E00	2.2288072929E00	2.5316073216E13	1.2508033009E00	2.2427621794E00	3.1148954067E14	2.2427583497E00	2.2342181036E00	2.2427619804E00	2.2342369804E00	2.2438072929E00	
Target (LIBOR)	1.3228278194E-01	0.0000000000E00	1.9354708489E00	1.9353933209E00	1.9925215284E00	1.9925890572E00	?	1.9933140371E00	1.9933140371E00	1.9908320263E00	2.3807135657E00	2.3807135007E00	2.3802980136E00	2.3802981504E00	?	2.3802996190E00	2.3802996190E00	2.3802945915E00	1.9148231514E00	1.9129138621E00	1.9739861420E00	1.9742885760E00	1.9780751405E00	2.3794969262E00	2.3794905206E00	2.3778046776E00	2.3778070848E00	2.3778372300E00	2.3710900748E00	2.3610900748E00	2.5316073216E13	1.3830860828E00	2.3750449613E00	3.1148954067E14	2.3750411316E00	2.3665008855E00	2.3750447623E00	2.3665197623E00	2.3760900748E00	
Caplet Vola Analytic Single-Curve	1.8031880670E00	1.9354708489E00	0.0000000000E00	7.9597926481E-03	5.7950162568E-02	5.8195422179E-02	?	6.1276206467E-02	6.1276206467E-02	6.0047769134E-02	4.6318137223E-01	4.6318565530E-01	4.6179402753E-01	4.6179619300E-01	?	4.6181781235E-01	4.6181781235E-01	4.6178065538E-01	2.3906238396E-01	2.4190343182E-01	2.5642224810E-01	2.5741055189E-01	2.5225929487E-01	4.5233179162E-01	4.5235941115E-01	4.4551881616E-01	4.4553116431E-01	4.4558877424E-01	4.5457047748E-01	4.2561922592E-01	2.5316073216E13	5.5238476609E-01	4.5356538184E-01	3.1148954067E14	4.5356958829E-01	4.4047514000E-01	4.5357047748E-01	4.4048427491E-01	4.4788271241E-01	
Caplet Vola Monte-Carlo Single-Curve	1.8031105389E00	1.9353933209E00	7.9597926481E-03	0.0000000000E00	6.1764691440E-02	6.1916377107E-02	?	6.3472615636E-02	6.3472615636E-02	6.3952403456E-02	4.6446844734E-01	4.6446259959E-01	4.6335878866E-01	4.6336007234E-01	?	4.6337270751E-01	4.6337270751E-01	4.6336052316E-01	2.3165688074E-01	2.3449792860E-01	2.4901674488E-01	2.5000504866E-01	2.4504047574E-01	4.5507031619E-01	4.5506255272E-01	4.4942345048E-01	4.4943579863E-01	4.4949340856E-01	4.5552213706E-01	4.2569675398E-01	2.5316073216E13	5.5230723803E-01	4.5592618320E-01	3.1148954067E14	4.5594761012E-01	4.4311456466E-01	4.5594869956E-01	4.4312369956E-01	4.5091685305E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.8602387465E00	1.9925215284E00	5.7950162568E-02	6.1764691440E-02	0.0000000000E00	2.1786127457E-03	?	8.3921488811E-03	8.3921488811E-03	9.4530100859E-03	4.0548720547E-01	4.0549148854E-01	4.0409986077E-01	4.0410202624E-01	?	4.0412364559E-01	4.0412364559E-01	4.0408648862E-01	1.8680387860E-01	1.8964492646E-01	2.0416374274E-01	2.0515204652E-01	2.0000078951E-01	3.9438162905E-01	3.9440924858E-01	3.8765875904E-01	3.8767110719E-01	3.8772871712E-01	3.9687631073E-01	3.6856854644E-01	2.5316073216E13	6.0943544557E-01	3.9587121509E-01	3.1148954067E14	3.9587542153E-01	3.8252497743E-01	3.9587631073E-01	3.8253411234E-01	3.8993254984E-01	
Caplet Vola Analytic Multi-Curve Ju	1.8603062753E00	1.9925890572E00	5.8195422179E-02	6.1916377107E-02	2.1786127457E-03	0.0000000000E00	?	6.8982583034E-03	6.8982583034E-03	7.3828899657E-03	4.0516097425E-01	4.0516525732E-01	4.0377362955E-01	4.0377579502E-01	?	4.0379741437E-01	4.0379741437E-01	4.0376025741E-01	1.8602875759E-01	1.8886980545E-01	2.0338862173E-01	2.0437692552E-01	1.9922566850E-01	3.9413636944E-01	3.9416398897E-01	3.8750707337E-01	3.8751942152E-01	3.8757703145E-01	3.9655007951E-01	3.6850101760E-01	2.5316073216E13	6.0950297442E-01	3.9554498387E-01	3.1148954067E14	3.9554919031E-01	3.8227971782E-01	3.9555007951E-01	3.8228885273E-01	3.8968729023E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.8610312552E00	1.9933140371E00	6.1276206467E-02	6.3472615636E-02	8.3921488811E-03	6.8982583034E-03	?	0.0000000000E00	0.0000000000E00	7.9191717677E-03	4.0190516576E-01	4.0190944883E-01	4.0051782106E-01	4.0051998653E-01	?	4.0054160588E-01	4.0054160588E-01	4.0050444892E-01	1.7994476474E-01	1.8278581260E-01	1.9730462888E-01	1.9829293267E-01	1.9314167565E-01	3.9172279160E-01	3.9175041114E-01	3.8595083485E-01	3.8596318299E-01	3.8602079293E-01	3.9329427102E-01	3.6777603774E-01	2.5316073216E13	6.1022795427E-01	3.9267775852E-01	3.1148954067E14	3.9269918545E-01	3.7986613999E-01	3.9270027489E-01	3.7987527489E-01	3.8744423742E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.8610312552E00	1.9933140371E00	6.1276206467E-02	6.3472615636E-02	8.3921488811E-03	6.8982583034E-03	?	0.0000000000E00	0.0000000000E00	7.9191717677E-03	4.0190516576E-01	4.0190944883E-01	4.0051782106E-01	4.0051998653E-01	?	4.0054160588E-01	4.0054160588E-01	4.0050444892E-01	1.7994476474E-01	1.8278581260E-01	1.9730462888E-01	1.9829293267E-01	1.9314167565E-01	3.9172279160E-01	3.9175041114E-01	3.8595083485E-01	3.8596318299E-01	3.8602079293E-01	3.9329427102E-01	3.6777603774E-01	2.5316073216E13	6.1022795427E-01	3.9267775852E-01	3.1148954067E14	3.9269918545E-01	3.7986613999E-01	3.9270027489E-01	3.7987527489E-01	3.8744423742E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.8585492444E00	1.9908320263E00	6.0047769134E-02	6.3952403456E-02	9.4530100859E-03	7.3828899657E-03	?	7.9191717677E-03	7.9191717677E-03	0.0000000000E00	4.0750222219E-01	4.0750650526E-01	4.0611487749E-01	4.0611704296E-01	?	4.0613866231E-01	4.0613866231E-01	4.0610150534E-01	1.8138081477E-01	1.8422186263E-01	1.9874067890E-01	1.9972898269E-01	1.9457772568E-01	3.9405023960E-01	3.9407785914E-01	3.8697265125E-01	3.8697505845E-01	3.8700520366E-01	3.9889132744E-01	3.7025804851E-01	2.5316073216E13	6.0774594351E-01	3.9788623180E-01	3.1148954067E14	3.9789043824E-01	3.8384332235E-01	3.9789132744E-01	3.8389132744E-01	3.8960116039E-01	
