	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.5208274879E-02	1.8125548182E00	1.8136397278E00	1.9170379325E00	1.9190645455E00	?	1.9258014511E00	1.9256361821E00	1.9179014234E00	2.9721707406E00	2.9721872364E00	2.9676970492E00	2.9677647656E00	?	2.9679843444E00	2.9679781684E00	2.9678207001E00	1.8641999828E00	1.8672410698E00	1.9747086961E00	1.9833276639E00	1.9794090599E00	2.9109162268E00	2.9119899521E00	2.8811257783E00	2.8840087917E00	2.8808787270E00	2.8496005945E00	2.7165198108E00	7.7728738105E01	1.0708787016E00	2.9238303807E00	7.7800235013E01	2.9240957060E00	2.8868569636E00	2.9238957386E00	2.8869862539E00	2.7906178064E00	
Target (LIBOR)	8.5208274879E-02	0.0000000000E00	1.8638445928E00	1.8649127111E00	1.9646742253E00	1.9666559047E00	?	1.9732438037E00	1.9730820120E00	1.9655849913E00	2.9727311973E00	2.9727467824E00	2.9685042988E00	2.9685682864E00	?	2.9687757732E00	2.9687699374E00	2.9686211427E00	1.9151363590E00	1.9181773369E00	2.0215418945E00	2.0299419741E00	2.0260238254E00	2.9147945435E00	2.9158112681E00	2.8865739449E00	2.8893066967E00	2.8863396776E00	2.8566915344E00	2.7301509847E00	7.7728738105E01	1.1408100140E00	2.9270260469E00	7.7800235013E01	2.9272771471E00	2.8920300177E00	2.9270878998E00	2.8921524727E00	2.8006386882E00	
Caplet Vola Analytic Single-Curve	1.8125548182E00	1.8638445928E00	0.0000000000E00	2.5450837707E-02	1.5690520241E-01	1.5779761833E-01	?	1.6535161653E-01	1.6535050513E-01	1.6159485635E-01	2.3793087208E00	2.3793812988E00	2.3613895265E00	2.3615918170E00	?	2.3622923961E00	2.3622755846E00	2.3616450565E00	6.4995596677E-01	6.6427127905E-01	7.4188223862E-01	7.5288578128E-01	7.2876368801E-01	2.1684176620E00	2.1712903024E00	2.0730487813E00	2.0799096556E00	2.0726493440E00	2.0611388338E00	1.7010506076E00	7.7728738105E01	8.0105377389E-01	2.2261296098E00	7.7800235013E01	2.2268388697E00	2.1043826090E00	2.2263102129E00	2.1046666127E00	1.8916410944E00	
Caplet Vola Monte-Carlo Single-Curve	1.8136397278E00	1.8649127111E00	2.5450837707E-02	0.0000000000E00	1.6793970189E-01	1.6885939475E-01	?	1.7296973128E-01	1.7294887070E-01	1.7268516382E-01	2.3937977404E00	2.3938140894E00	2.3771886600E00	2.3773866292E00	?	2.3780510315E00	2.3780339004E00	2.3775396741E00	6.2465630104E-01	6.3882037587E-01	7.1631255659E-01	7.2712593724E-01	7.0387876051E-01	2.1907830663E00	2.1934880182E00	2.0967850304E00	2.1037413673E00	2.0963767320E00	2.0715965599E00	1.7049394606E00	7.7728738105E01	8.0174720415E-01	2.2441192433E00	7.7800235013E01	2.2449322130E00	2.1227551608E00	2.2443994212E00	2.1230420731E00	1.9094113304E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.9170379325E00	1.9646742253E00	1.5690520241E-01	1.6793970189E-01	0.0000000000E00	7.0535498994E-03	?	2.7486692449E-02	2.6871494029E-02	2.6551078162E-02	2.2966209577E00	2.2966990569E00	2.2773221206E00	2.2775373027E00	?	2.2782841521E00	2.2782663310E00	2.2775889902E00	5.3170563660E-01	5.4593668277E-01	6.2226354393E-01	6.3260682716E-01	6.0840483751E-01	2.0696144884E00	2.0726209059E00	1.9680443598E00	1.9751508116E00	1.9676466660E00	1.9613181510E00	1.5864960826E00	7.7728738105E01	9.3122449437E-01	2.1330636826E00	7.7800235013E01	2.1338085722E00	2.0005870752E00	2.1332537490E00	2.0008839735E00	1.7834731095E00	
Caplet Vola Analytic Multi-Curve Ju	1.9190645455E00	1.9666559047E00	1.5779761833E-01	1.6885939475E-01	7.0535498994E-03	0.0000000000E00	?	2.0558272934E-02	2.0004517818E-02	2.0362352320E-02	2.3053819079E00	2.3054605779E00	2.2859452536E00	2.2861622394E00	?	2.2869151802E00	2.2868972030E00	2.2862148876E00	5.2976451376E-01	5.4401861010E-01	6.2046208730E-01	6.3081450401E-01	6.0656549557E-01	2.0773154632E00	2.0803460259E00	1.9756750837E00	1.9828400790E00	1.9752728983E00	1.9675140411E00	1.5919727781E00	7.7728738105E01	9.3283957605E-01	2.1406157773E00	7.7800235013E01	2.1413667337E00	2.0079064550E00	2.1408073580E00	2.0082056292E00	1.7890307896E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.9258014511E00	1.9732438037E00	1.6535161653E-01	1.7296973128E-01	2.7486692449E-02	2.0558272934E-02	?	0.0000000000E00	9.0097626291E-04	3.6299065132E-02	2.3280305341E00	2.3281110087E00	2.3081569124E00	2.3083794697E00	?	2.3091513034E00	2.3091328469E00	2.3084348459E00	5.1704367384E-01	5.3133025205E-01	6.0786497683E-01	6.1817675098E-01	5.9384009344E-01	2.1009295246E00	2.1038135348E00	1.9998218292E00	2.0071814548E00	1.9994048330E00	1.9822997275E00	1.6108636873E00	7.7728738105E01	9.3816554956E-01	2.1608232341E00	7.7800235013E01	2.1617002913E00	2.0287140694E00	2.1611284872E00	2.0290205266E00	1.8043056276E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.9256361821E00	1.9730820120E00	1.6535050513E-01	1.7294887070E-01	2.6871494029E-02	2.0004517818E-02	?	9.0097626291E-04	0.0000000000E00	3.5438907088E-02	2.3269657284E00	2.3270461452E00	2.3071060055E00	2.3073283741E00	?	2.3080995744E00	2.3080811344E00	2.3073836390E00	5.1692225048E-01	5.3120470073E-01	6.0771514894E-01	6.1802281248E-01	5.9369360023E-01	2.1000693358E00	2.1029510094E00	1.9990296903E00	2.0063836096E00	1.9986131435E00	1.9815039105E00	1.6103380564E00	7.7728738105E01	9.3804153319E-01	2.1598969308E00	7.7800235013E01	2.1607733065E00	2.0278699706E00	2.1602019812E00	2.0281761970E00	1.8036574999E00	
Caplet Vola Monte-Carlo Multi-Curve	1.9179014234E00	1.9655849913E00	1.6159485635E-01	1.7268516382E-01	2.6551078162E-02	2.0362352320E-02	?	3.6299065132E-02	3.5438907088E-02	0.0000000000E00	2.3360812970E00	2.3361609713E00	2.3164066143E00	2.3166272167E00	?	2.3173921057E00	2.3173738051E00	2.3166826067E00	5.1974672264E-01	5.3396069687E-01	6.1010401828E-01	6.2036948535E-01	5.9617404366E-01	2.0904133767E00	2.0939981295E00	1.9883146930E00	1.9954861908E00	1.9877507274E00	1.9929400638E00	1.6075833354E00	7.7728738105E01	9.2966481871E-01	2.1690566529E00	7.7800235013E01	2.1698205565E00	2.0322756898E00	2.1692514098E00	2.0327947798E00	1.7998726165E00	
Caplet Value Analytic Single-Curve	2.9721707406E00	2.9727311973E00	2.3793087208E00	2.3937977404E00	2.2966209577E00	2.3053819079E00	?	2.3280305341E00	2.3269657284E00	2.3360812970E00	0.0000000000E00	1.8202721065E-02	5.2424213630E-01	5.2057686588E-01	?	5.0385555849E-01	5.0384146794E-01	5.0727575619E-01	2.9043633490E00	2.9603590425E00	2.8523333426E00	2.9179781543E00	2.8253430031E00	3.4055502007E00	3.4036199266E00	3.4090519735E00	3.3265805047E00	3.4130704739E00	4.5278156565E00	4.8913126327E00	7.7728738105E01	2.3958058553E00	1.8852812248E00	7.7800235013E01	1.9200921802E00	1.7937033724E00	1.8890677831E00	1.7924616149E00	3.6065212609E00	
Caplet Value Monte-Carlo Single-Curve	2.9721872364E00	2.9727467824E00	2.3793812988E00	2.3938140894E00	2.2966990569E00	2.3054605779E00	?	2.3281110087E00	2.3270461452E00	2.3361609713E00	1.8202721065E-02	0.0000000000E00	5.3882311237E-01	5.3519835804E-01	?	5.1860664840E-01	5.1858850879E-01	5.2192821149E-01	2.9044319801E00	2.9604300593E00	2.8524089825E00	2.9180574038E00	2.8254179250E00	3.4069995349E00	3.4050896367E00	3.4064533947E00	3.3238937402E00	3.4104798745E00	4.5287295161E00	4.8925234243E00	7.7728738105E01	2.3958299927E00	1.8865747322E00	7.7800235013E01	1.9235544587E00	1.7912585256E00	1.8903637721E00	1.7900135239E00	3.6070403604E00	
Caplet Value Analytic Multi-Curve Fenton-Wilkinson	2.9676970492E00	2.9685042988E00	2.3613895265E00	2.3771886600E00	2.2773221206E00	2.2859452536E00	?	2.3081569124E00	2.3071060055E00	2.3164066143E00	5.2424213630E-01	5.3882311237E-01	0.0000000000E00	8.0872943577E-03	?	3.1797329468E-02	3.1081854850E-02	3.0612562060E-02	2.8857688009E00	2.9411716797E00	2.8318004379E00	2.8965387482E00	2.8049768166E00	3.1737496448E00	3.1687424804E00	3.2118808766E00	3.1268186387E00	3.2163013595E00	4.3820582710E00	4.7853340530E00	7.7728738105E01	2.3890464927E00	1.7329286993E00	7.7800235013E01	1.7526976213E00	1.6156707037E00	1.7363278360E00	1.6166565479E00	3.5279535174E00	
Caplet Value Analytic Multi-Curve Ju	2.9677647656E00	2.9685682864E00	2.3615918170E00	2.3773866292E00	2.2775373027E00	2.2861622394E00	?	2.3083794697E00	2.3073283741E00	2.3166272167E00	5.2057686588E-01	5.3519835804E-01	8.0872943577E-03	0.0000000000E00	?	2.3791482259E-02	2.3113995603E-02	2.2563303695E-02	2.8860480387E00	2.9414605373E00	2.8321077827E00	2.8968606106E00	2.8052812630E00	3.1787394732E00	3.1737964388E00	3.2157174049E00	3.1307097494E00	3.2201300312E00	4.3849810456E00	4.7867348384E00	7.7728738105E01	2.3891455141E00	1.7363834551E00	7.7800235013E01	1.7566085515E00	1.6191743158E00	1.7397897990E00	1.6202164788E00	3.5295937583E00	
Caplet Value Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Value Analytic Multi-Curve Drift-Freeze	2.9679843444E00	2.9687757732E00	2.3622923961E00	2.3780510315E00	2.2782841521E00	2.2869151802E00	?	2.3091513034E00	2.3080995744E00	2.3173921057E00	5.0385555849E-01	5.1860664840E-01	3.1797329468E-02	2.3791482259E-02	?	0.0000000000E00	9.7269817437E-04	3.5036704380E-02	2.8869537668E00	2.9423974868E00	2.8331047135E00	2.8979046610E00	2.8062687851E00	3.1939380071E00	3.1891901801E00	3.2276201677E00	3.1427748042E00	3.2320087342E00	4.3944249212E00	4.7917143253E00	7.7728738105E01	2.3894665724E00	1.7475161493E00	7.7800235013E01	1.7689564822E00	1.6299689099E00	1.7509459015E00	1.6310025671E00	3.5348841787E00	
Caplet Value Analytic Multi-Curve Integrated-Expectation	2.9679781684E00	2.9687699374E00	2.3622755846E00	2.3780339004E00	2.2782663310E00	2.2868972030E00	?	2.3091328469E00	2.3080811344E00	2.3173738051E00	5.0384146794E-01	5.1858850879E-01	3.1081854850E-02	2.3113995603E-02	?	9.7269817437E-04	0.0000000000E00	3.4197128192E-02	2.8869282886E00	2.9423711283E00	2.8330766709E00	2.8978752901E00	2.8062410082E00	3.1933986290E00	3.1886437645E00	3.2272744378E00	3.1424242125E00	3.2316637114E00	4.3940890481E00	4.7916062809E00	7.7728738105E01	2.3894575501E00	1.7470536943E00	7.7800235013E01	1.7684419695E00	1.6296665615E00	1.7504826270E00	1.6306712117E00	3.5346895735E00	
Caplet Value Monte-Carlo Multi-Curve	2.9678207001E00	2.9686211427E00	2.3616450565E00	2.3775396741E00	2.2775889902E00	2.2862148876E00	?	2.3084348459E00	2.3073836390E00	2.3166826067E00	5.0727575619E-01	5.2192821149E-01	3.0612562060E-02	2.2563303695E-02	?	3.5036704380E-02	3.4197128192E-02	0.0000000000E00	2.8862778598E00	2.9416988888E00	2.8323600838E00	2.8971256556E00	2.8055308509E00	3.1881172307E00	3.1832987412E00	3.2200808800E00	3.1351459852E00	3.2244840260E00	4.3881597579E00	4.7885846483E00	7.7728738105E01	2.3892246874E00	1.7405642736E00	7.7800235013E01	1.7504114719E00	1.6208417780E00	1.7439783740E00	1.6272951097E00	3.5314186349E00	
Swaption Vola Analytic Single-Curve	1.8641999828E00	1.9151363590E00	6.4995596677E-01	6.2465630104E-01	5.3170563660E-01	5.2976451376E-01	?	5.1704367384E-01	5.1692225048E-01	5.1974672264E-01	2.9043633490E00	2.9044319801E00	2.8857688009E00	2.8860480387E00	?	2.8869537668E00	2.8869282886E00	2.8862778598E00	0.0000000000E00	3.9763061891E-02	1.9468903868E-01	2.0548157009E-01	2.0760117830E-01	2.6649471229E00	2.6688776043E00	2.5581280040E00	2.5681102678E00	2.5572944328E00	2.4483618585E00	2.0543107515E00	7.7728738105E01	1.2145162737E00	2.7111997203E00	7.7800235013E01	2.7122007922E00	2.5720211685E00	2.7114465816E00	2.5724898310E00	2.2705785724E00	
