	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	9.0023865436E-02	1.0538989442E00	1.2422374921E00	1.1025769818E00	1.1050625089E00	?	1.1163387913E00	1.1163387913E00	1.1089429600E00	1.5138886871E00	1.5197164213E00	1.5127557694E00	1.5128588457E00	?	1.5133146132E00	1.5133146132E00	1.5130026282E00	1.2673777902E00	1.2867584792E00	1.1702131161E00	1.1501176716E00	1.1843480074E00	1.4463913575E00	1.4524590203E00	1.3992889914E00	1.3892296100E00	1.4043082685E00	1.4754760927E00	1.4030554619E00	9.7396764025E119	6.9826202031E-01	1.5061759653E00	2.7405129207E114	1.5064329508E00	1.4923180611E00	1.5062488404E00	1.4924255418E00	1.4425414327E00	
Target (LIBOR)	9.0023865436E-02	0.0000000000E00	1.1438640448E00	1.3322286246E00	1.1925449604E00	1.1950337426E00	?	1.2063210184E00	1.2063210184E00	1.1989139912E00	1.6039118445E00	1.6097399123E00	1.6027788516E00	1.6028819438E00	?	1.6033377710E00	1.6033377710E00	1.6030257311E00	1.3573393860E00	1.3767377378E00	1.2601350666E00	1.2393553111E00	1.2742747418E00	1.5363490692E00	1.5424271237E00	1.4891529024E00	1.4789866997E00	1.4941869917E00	1.5654441479E00	1.4928898567E00	9.7396764025E119	7.8799404030E-01	1.5961965986E00	2.7405129207E114	1.5964535670E00	1.5823380365E00	1.5962695634E00	1.5824456739E00	1.5324607691E00	
Caplet Vola Analytic Single-Curve	1.0538989442E00	1.1438640448E00	0.0000000000E00	1.8928687096E-01	4.9079999237E-02	5.1461580320E-02	?	6.2804662359E-02	6.2804662359E-02	5.5668514314E-02	4.6209502237E-01	4.6800475380E-01	4.6095277533E-01	4.6105825818E-01	?	4.6152404661E-01	4.6152404661E-01	4.6120244241E-01	2.2169304872E-01	2.3966593057E-01	1.3782615850E-01	1.8123825141E-01	1.4940544219E-01	3.9411849792E-01	4.0002217456E-01	3.4941079697E-01	3.4400987536E-01	3.5394258512E-01	4.2419546831E-01	3.5451670696E-01	9.7396764025E119	3.5875680972E-01	4.5418136331E-01	2.7405129207E114	4.5443278362E-01	4.4024043871E-01	4.5425507236E-01	4.4035788468E-01	3.9197379795E-01	
Caplet Vola Monte-Carlo Single-Curve	1.2422374921E00	1.3322286246E00	1.8928687096E-01	0.0000000000E00	1.4041214805E-01	1.3791315615E-01	?	1.2669759766E-01	1.2669759766E-01	1.3404734278E-01	2.7367290727E-01	2.7964051753E-01	2.7252450147E-01	2.7263316441E-01	?	2.7311045656E-01	2.7311045656E-01	2.7277582746E-01	5.4235772701E-02	6.2930776242E-02	9.6559922976E-02	1.8655057758E-01	8.5659973530E-02	2.0691692882E-01	2.1248783353E-01	1.6763384835E-01	1.7032689489E-01	1.7114224430E-01	2.3583459578E-01	1.7846157497E-01	9.7396764025E119	5.4746685935E-01	2.6546580721E-01	2.7405129207E114	2.6572320677E-01	2.5149575884E-01	2.6554905831E-01	2.5162890211E-01	2.0470934657E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.1025769818E00	1.1925449604E00	4.9079999237E-02	1.4041214805E-01	0.0000000000E00	2.9631072999E-03	?	1.5529878445E-02	1.5529878445E-02	8.3044922470E-03	4.1357896185E-01	4.1950944134E-01	4.1243648723E-01	4.1254303462E-01	?	4.1301273105E-01	4.1301273105E-01	4.1268692043E-01	1.7406146648E-01	1.9172033513E-01	9.7974383422E-02	1.6230126464E-01	1.0747343311E-01	3.4560079636E-01	3.5147941829E-01	3.0153967669E-01	2.9722852406E-01	3.0594666411E-01	3.7523436508E-01	3.0789260408E-01	9.7396764025E119	4.0752218168E-01	4.0555315971E-01	2.7405129207E114	4.0580373021E-01	3.9161031918E-01	4.0562943091E-01	3.9173366201E-01	3.4294761042E-01	
Caplet Vola Analytic Multi-Curve Ju	1.1050625089E00	1.1950337426E00	5.1461580320E-02	1.3791315615E-01	2.9631072999E-03	0.0000000000E00	?	1.2588300242E-02	1.2588300242E-02	6.4943603814E-03	4.1097654934E-01	4.1690280518E-01	4.0983448048E-01	4.0994080627E-01	?	4.1040969321E-01	4.1040969321E-01	4.1008471922E-01	1.7170794276E-01	1.8927532477E-01	9.6250641140E-02	1.6185001172E-01	1.0556551272E-01	3.4312525907E-01	3.4898625177E-01	2.9918644623E-01	2.9496054009E-01	3.0357464383E-01	3.7279838248E-01	3.0536938290E-01	9.7396764025E119	4.1003037665E-01	4.0297435222E-01	2.7405129207E114	4.0322484691E-01	3.8903346552E-01	4.0304997283E-01	3.8915560963E-01	3.4062689299E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1163387913E00	1.2063210184E00	6.2804662359E-02	1.2669759766E-01	1.5529878445E-02	1.2588300242E-02	?	0.0000000000E00	0.0000000000E00	1.0714909189E-02	3.9930947939E-01	4.0522038894E-01	3.9816926916E-01	3.9827484826E-01	?	3.9874096294E-01	3.9874096294E-01	3.9841875836E-01	1.6104372516E-01	1.7822988014E-01	8.8781298399E-02	1.6015259995E-01	9.7155711528E-02	3.3192910424E-01	3.3772319841E-01	2.8849431257E-01	2.8467132653E-01	2.9280399860E-01	3.6171473361E-01	2.9418313429E-01	9.7396764025E119	4.2144750993E-01	3.9138578724E-01	2.7405129207E114	3.9163612982E-01	3.7745496460E-01	3.9145941222E-01	3.7757322597E-01	3.2996707778E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1163387913E00	1.2063210184E00	6.2804662359E-02	1.2669759766E-01	1.5529878445E-02	1.2588300242E-02	?	0.0000000000E00	0.0000000000E00	1.0714909189E-02	3.9930947939E-01	4.0522038894E-01	3.9816926916E-01	3.9827484826E-01	?	3.9874096294E-01	3.9874096294E-01	3.9841875836E-01	1.6104372516E-01	1.7822988014E-01	8.8781298399E-02	1.6015259995E-01	9.7155711528E-02	3.3192910424E-01	3.3772319841E-01	2.8849431257E-01	2.8467132653E-01	2.9280399860E-01	3.6171473361E-01	2.9418313429E-01	9.7396764025E119	4.2144750993E-01	3.9138578724E-01	2.7405129207E114	3.9163612982E-01	3.7745496460E-01	3.9145941222E-01	3.7757322597E-01	3.2996707778E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.1089429600E00	1.1989139912E00	5.5668514314E-02	1.3404734278E-01	8.3044922470E-03	6.4943603814E-03	?	1.0714909189E-02	1.0714909189E-02	0.0000000000E00	4.0713414471E-01	4.1305853820E-01	4.0599548617E-01	4.0610192996E-01	?	4.0657111455E-01	4.0657111455E-01	4.0624326721E-01	1.6766820106E-01	1.8525368392E-01	9.2814773197E-02	1.6069132516E-01	1.0192267827E-01	3.3934302963E-01	3.4519864832E-01	2.9554463793E-01	2.9150275150E-01	2.9991037215E-01	3.6875170799E-01	3.0208054034E-01	9.7396764025E119	4.1405311996E-01	3.9910424533E-01	2.7405129207E114	3.9935309600E-01	3.8517699247E-01	3.9918247948E-01	3.8530750607E-01	3.3657982819E-01	
