	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.8712230371E-02	1.0325334760E00	1.0351392829E00	1.0740162439E00	1.0763868709E00	?	1.0856019612E00	1.0853658614E00	1.0793159880E00	1.5027650238E00	1.5027862160E00	1.5005460297E00	1.5005864080E00	?	1.5007405941E00	1.5007363195E00	1.5006386485E00	1.1132286737E00	1.1200966613E00	1.1572558116E00	1.1666034208E00	1.1567981121E00	1.4677556147E00	1.4684756052E00	1.4512700123E00	1.4531757636E00	1.4510326460E00	1.4449027881E00	1.3752874035E00	1.8513331235E69	6.8018412521E-01	1.4821145372E00	5.3413475835E76	1.4822733998E00	1.4683569658E00	1.4821242090E00	1.4684169975E00	1.4081079163E00	
Target (LIBOR)	8.8712230371E-02	0.0000000000E00	1.1212457064E00	1.1238515133E00	1.1627284743E00	1.1650991013E00	?	1.1743141915E00	1.1740780918E00	1.1680282184E00	1.5914772542E00	1.5914984464E00	1.5892582601E00	1.5892986384E00	?	1.5894528244E00	1.5894485498E00	1.5893508788E00	1.2019409041E00	1.2088088917E00	1.2459680419E00	1.2553156512E00	1.2455103425E00	1.5564678451E00	1.5571878355E00	1.5399822427E00	1.5418879939E00	1.5397448764E00	1.5336150185E00	1.4639996339E00	1.8513331235E69	7.6889635558E-01	1.5708267676E00	5.3413475835E76	1.5709856302E00	1.5570691961E00	1.5708364394E00	1.5571292279E00	1.4968201467E00	
Caplet Vola Analytic Single-Curve	1.0325334760E00	1.1212457064E00	0.0000000000E00	5.0871772789E-03	4.1482767902E-02	4.3853394875E-02	?	5.3068485151E-02	5.2832385399E-02	4.6782512023E-02	4.7023154778E-01	4.7025274000E-01	4.6801255371E-01	4.6805293203E-01	?	4.6820711805E-01	4.6820284345E-01	4.6810517245E-01	9.1346196868E-02	9.4944019769E-02	1.2472233555E-01	1.3406994484E-01	1.2426463611E-01	4.3522213871E-01	4.3594212916E-01	4.1873653628E-01	4.2064228755E-01	4.1849916999E-01	4.1236931209E-01	3.4275392748E-01	1.8513331235E69	3.5234935080E-01	4.4958106120E-01	5.3413475835E76	4.4973992379E-01	4.3582348975E-01	4.4959073303E-01	4.3588352150E-01	3.7557444030E-01	
Caplet Vola Monte-Carlo Single-Curve	1.0351392829E00	1.1238515133E00	5.0871772789E-03	0.0000000000E00	3.8876960993E-02	4.1247587966E-02	?	5.0462678242E-02	5.0226578490E-02	4.4176705114E-02	4.6762574088E-01	4.6764693309E-01	4.6540674681E-01	4.6544712512E-01	?	4.6560131114E-01	4.6559703654E-01	4.6549936554E-01	8.9281265379E-02	9.3120637539E-02	1.2211652864E-01	1.3146413793E-01	1.2165882920E-01	4.3261633180E-01	4.3333632225E-01	4.1613072937E-01	4.1803648064E-01	4.1589336308E-01	4.0976350518E-01	3.4014812057E-01	1.8513331235E69	3.5495515771E-01	4.4697525429E-01	5.3413475835E76	4.4713411688E-01	4.3321768284E-01	4.4698492612E-01	4.3327771459E-01	3.7296863339E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0740162439E00	1.1627284743E00	4.1482767902E-02	3.8876960993E-02	0.0000000000E00	2.3706269728E-03	?	1.1585717249E-02	1.1349617496E-02	6.5086562106E-03	4.2874877988E-01	4.2876997210E-01	4.2652978581E-01	4.2657016413E-01	?	4.2672435015E-01	4.2672007555E-01	4.2662240454E-01	7.3195101545E-02	7.5239224296E-02	8.7312295049E-02	9.4911645951E-02	8.6159272611E-02	3.9373937080E-01	3.9445936125E-01	3.7725376838E-01	3.7915951965E-01	3.7701640208E-01	3.7088654419E-01	3.0127115958E-01	1.8513331235E69	3.9383211870E-01	4.0809829329E-01	5.3413475835E76	4.0825715588E-01	3.9434072185E-01	4.0810796513E-01	3.9440075359E-01	3.3409167240E-01	
Caplet Vola Analytic Multi-Curve Ju	1.0763868709E00	1.1650991013E00	4.3853394875E-02	4.1247587966E-02	2.3706269728E-03	0.0000000000E00	?	9.2150902761E-03	8.9789905236E-03	4.9558299258E-03	4.2637815291E-01	4.2639934513E-01	4.2415915884E-01	4.2419953716E-01	?	4.2435372317E-01	4.2434944858E-01	4.2425177757E-01	7.2508547871E-02	7.4274849717E-02	8.5652218263E-02	9.3138068113E-02	8.4385694773E-02	3.9136874383E-01	3.9208873428E-01	3.7488314141E-01	3.7678889268E-01	3.7464577511E-01	3.6851591722E-01	2.9890053260E-01	1.8513331235E69	3.9620274567E-01	4.0572766632E-01	5.3413475835E76	4.0588652891E-01	3.9197009488E-01	4.0573733816E-01	3.9203012662E-01	3.3172104542E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.0856019612E00	1.1743141915E00	5.3068485151E-02	5.0462678242E-02	1.1585717249E-02	9.2150902761E-03	?	0.0000000000E00	2.4278735007E-04	6.3029936320E-03	4.1716306263E-01	4.1718425485E-01	4.1494406856E-01	4.1498444688E-01	?	4.1513863290E-01	4.1513435830E-01	4.1503668730E-01	7.0286669998E-02	7.0831773991E-02	7.9474070262E-02	8.6312856135E-02	7.7962133750E-02	3.8215365356E-01	3.8287364400E-01	3.6566805113E-01	3.6757380240E-01	3.6543068484E-01	3.5930082694E-01	2.8968544233E-01	1.8513331235E69	4.0541783595E-01	3.9651257605E-01	5.3413475835E76	3.9667143863E-01	3.8275500460E-01	3.9652224788E-01	3.8281503634E-01	3.2250595515E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.0853658614E00	1.1740780918E00	5.2832385399E-02	5.0226578490E-02	1.1349617496E-02	8.9789905236E-03	?	2.4278735007E-04	0.0000000000E00	6.0809741225E-03	4.1739916239E-01	4.1742035460E-01	4.1518016832E-01	4.1522054663E-01	?	4.1537473265E-01	4.1537045805E-01	4.1527278705E-01	7.0302006682E-02	7.0849228087E-02	7.9595523278E-02	8.6469439674E-02	7.8075748153E-02	3.8238975331E-01	3.8310974376E-01	3.6590415088E-01	3.6780990215E-01	3.6566678459E-01	3.5953692669E-01	2.8992154208E-01	1.8513331235E69	4.0518173620E-01	3.9674867580E-01	5.3413475835E76	3.9690753839E-01	3.8299110436E-01	3.9675834763E-01	3.8305113610E-01	3.2274205490E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.0793159880E00	1.1680282184E00	4.6782512023E-02	4.4176705114E-02	6.5086562106E-03	4.9558299258E-03	?	6.3029936320E-03	6.0809741225E-03	0.0000000000E00	4.2344903576E-01	4.2347022798E-01	4.2123004169E-01	4.2127042001E-01	?	4.2142460602E-01	4.2142033143E-01	4.2132266042E-01	7.2120180402E-02	7.3994265898E-02	8.3992793615E-02	9.1522296358E-02	8.2872761348E-02	3.8843962668E-01	3.8915961713E-01	3.7195402426E-01	3.7385977553E-01	3.7171665796E-01	3.6558680007E-01	2.9597141545E-01	1.8513331235E69	3.9913186282E-01	4.0279854917E-01	5.3413475835E76	4.0295741176E-01	3.8904097773E-01	4.0280822101E-01	3.8910100947E-01	3.2879192828E-01	
Caplet Value Analytic Single-Curve	1.5027650238E00	1.5914772542E00	4.7023154778E-01	4.6762574088E-01	4.2874877988E-01	4.2637815291E-01	?	4.1716306263E-01	4.1739916239E-01	4.2344903576E-01	0.0000000000E00	4.6615067194E-05	2.2189940700E-03	2.1786157509E-03	?	2.0244297368E-03	2.0287043309E-03	2.1263753376E-03	3.8953635008E-01	3.8266836251E-01	3.4550921224E-01	3.3616160295E-01	3.4596691167E-01	3.5009409077E-02	3.4289418629E-02	5.1495011504E-02	4.9589260232E-02	5.1732377798E-02	5.7862235691E-02	1.2747762031E-01	1.8513331235E69	8.2258089858E-01	2.0650486587E-02	5.3413475835E76	2.0491624000E-02	3.4408058031E-02	2.0640814751E-02	3.4348026290E-02	9.4657107486E-02	
Caplet Value Monte-Carlo Single-Curve	1.5027862160E00	1.5914984464E00	4.7025274000E-01	4.6764693309E-01	4.2876997210E-01	4.2639934513E-01	?	4.1718425485E-01	4.1742035460E-01	4.2347022798E-01	4.6615067194E-05	0.0000000000E00	2.2401862891E-03	2.1998079699E-03	?	2.0456219559E-03	2.0498965499E-03	2.1475675566E-03	3.8955754230E-01	3.8268955473E-01	3.4553040446E-01	3.3618279517E-01	3.4598810389E-01	3.5030601296E-02	3.4310610848E-02	5.1516203723E-02	4.9610452451E-02	5.1753570017E-02	5.7883427910E-02	1.2749881253E-01	1.8513331235E69	8.2260209080E-01	2.0671678806E-02	5.3413475835E76	2.0512816219E-02	3.4429250250E-02	2.0662006970E-02	3.4369218509E-02	9.4678299705E-02	
