Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
224.88	238.11	59.56	32.00	51.76	51.76	?	52.07	52.07	51.64	0.55	0.30	0.54	0.54	?	0.55	0.55	0.54	34.94	34.00	55.01	54.54	52.71	0.95	0.93	1.74	1.73	1.67	1.00	2.00	100.20	99.80	0.60	100.20	0.61	1.47	0.60	1.46	0.50	
204.12	216.13	60.70	33.39	52.97	52.94	?	53.09	53.09	52.20	0.81	0.45	0.82	0.82	?	0.83	0.83	0.81	34.61	33.42	53.01	52.31	50.69	2.90	2.80	5.29	5.22	5.06	1.00	6.00	100.51	99.50	0.80	100.51	0.78	1.87	0.79	1.88	1.00	
190.21	201.39	61.28	33.97	53.69	53.64	3.87	53.63	53.62	53.05	1.01	0.57	1.06	1.06	0.08	1.06	1.06	1.05	32.35	31.08	48.19	47.45	46.18	4.62	4.44	8.30	8.17	7.96	1.00	10.00	100.94	99.11	0.96	100.94	0.95	2.23	0.96	2.24	1.50	
180.88	191.52	61.45	33.95	54.05	53.96	16.70	53.79	53.78	53.64	1.18	0.67	1.25	1.25	0.40	1.25	1.25	1.24	29.79	28.48	43.37	42.61	41.61	6.06	5.80	10.70	10.51	10.27	1.00	14.00	101.50	98.64	1.09	101.50	1.09	2.51	1.10	2.50	2.00	
174.62	184.90	61.31	33.93	54.12	54.00	20.05	53.68	53.67	53.02	1.32	0.75	1.42	1.42	0.54	1.41	1.41	1.39	27.37	26.09	39.24	38.50	37.75	7.22	6.89	12.51	12.28	12.04	1.00	18.00	102.23	98.10	1.18	102.23	1.17	2.68	1.20	2.70	2.50	
170.43	180.46	60.95	33.85	53.98	53.82	21.46	53.37	53.37	53.14	1.44	0.82	1.57	1.56	0.64	1.55	1.55	1.54	25.37	24.16	36.03	35.31	34.71	8.17	7.78	13.97	13.69	13.46	1.00	22.00	103.15	97.51	1.27	103.15	1.28	2.90	1.30	2.90	3.00	
167.62	177.48	60.43	33.62	53.68	53.49	22.26	52.92	52.92	52.14	1.55	0.89	1.70	1.69	0.73	1.68	1.68	1.65	23.74	22.59	33.52	32.83	32.31	8.98	8.55	15.17	14.86	14.62	1.00	26.00	104.34	96.88	1.40	104.37	1.39	3.06	1.44	3.10	3.50	
165.74	175.49	59.80	33.58	53.27	53.04	22.70	52.38	52.38	51.39	1.65	0.96	1.82	1.81	0.80	1.79	1.79	1.76	22.34	21.23	31.48	30.82	30.34	9.65	9.17	16.14	15.81	15.56	1.00	30.00	106.01	96.19	1.55	106.11	1.53	3.23	1.59	3.30	4.00	
164.48	174.15	59.10	33.14	52.78	52.53	22.81	51.78	51.78	50.86	1.74	1.02	1.93	1.92	0.87	1.89	1.89	1.86	21.16	20.07	29.84	29.20	28.77	10.21	9.69	16.95	16.60	16.35	1.00	34.00	108.65	95.43	1.69	108.97	1.68	3.44	1.75	3.50	4.50	
193.94	205.35	58.36	33.06	52.25	51.97	22.26	51.15	51.15	50.03	1.82	1.08	2.02	2.01	0.90	1.99	1.99	1.95	36.51	33.59	54.08	52.28	51.63	1.94	1.79	3.45	3.34	3.30	3.50	2.00	113.96	94.60	1.84	115.45	1.82	3.61	1.91	3.70	5.00	
