	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	7.4283896080E-02	4.2937815889E-01	4.5346740001E-01	5.6210960813E-01	5.6661089365E-01	1.0523423052E00	5.9419405141E-01	5.9419405141E-01	5.7885503666E-01	2.5713086975E00	2.5715732090E00	2.5553179804E00	2.5555307265E00	2.5881689127E00	2.5566961247E00	2.5566961247E00	2.5562404590E00	9.2795107371E-01	9.5068459969E-01	1.0386413635E00	1.0541042310E00	1.0313309103E00	2.3683896622E00	2.3726494645E00	2.2723835626E00	2.2798425359E00	2.2722625586E00	2.3656364146E00	2.0413556995E00	7.7998439939E01	1.8765911141E-01	2.4780892473E00	7.7998440079E01	2.4787907871E00	2.3944741785E00	2.4777806420E00	2.3939721096E00	2.2289597810E00	
Target (LIBOR)	7.4283896080E-02	0.0000000000E00	4.9808097810E-01	5.1918938151E-01	6.2903005770E-01	6.3355639991E-01	1.1088012794E00	6.6095328877E-01	6.6095328877E-01	6.4537483329E-01	2.5728862826E00	2.5731363369E00	2.5577681744E00	2.5579693952E00	2.5888208449E00	2.5590716198E00	2.5590716198E00	2.5586407122E00	9.8189063466E-01	1.0043473524E00	1.0911961293E00	1.1066732923E00	1.0841927732E00	2.3800794017E00	2.3841326318E00	2.2874157665E00	2.2945389066E00	2.2873013239E00	2.3776609932E00	2.0617161580E00	7.7998439939E01	1.3894830120E-01	2.4846370368E00	7.7998440079E01	2.4853024809E00	2.4053283050E00	2.4843444412E00	2.4048509308E00	2.2468155185E00	
Caplet Vola Analytic Single-Curve	4.2937815889E-01	4.9808097810E-01	0.0000000000E00	4.8362023652E-02	1.4741610502E-01	1.4828690933E-01	6.4165762446E-01	1.6192381523E-01	1.6192381523E-01	1.6173548406E-01	2.2822379657E00	2.2825128393E00	2.2647925538E00	2.2650168637E00	2.3004061638E00	2.2662618364E00	2.2662618364E00	2.2656500554E00	5.5246593006E-01	5.7428335125E-01	6.5837903589E-01	6.7123466272E-01	6.4958134030E-01	2.0802816580E00	2.0840548716E00	1.9923923866E00	2.0002448617E00	1.9925702754E00	2.0530747188E00	1.7692216245E00	7.7998439939E01	5.0257086556E-01	2.1773169289E00	7.7998440079E01	2.1779964855E00	2.0862334114E00	2.1770250409E00	2.0857803881E00	1.9211988027E00	
Caplet Vola Monte-Carlo Single-Curve	4.5346740001E-01	5.1918938151E-01	4.8362023652E-02	0.0000000000E00	1.5724398571E-01	1.5875099208E-01	6.1553611366E-01	1.6978970900E-01	1.6978970900E-01	1.6759234842E-01	2.3206807384E00	2.3208898704E00	2.3042265009E00	2.3044436280E00	2.3382313339E00	2.3056438462E00	2.3056438462E00	2.3051858564E00	5.0920912854E-01	5.3069755640E-01	6.2130850759E-01	6.3374918427E-01	6.1313065082E-01	2.1232864980E00	2.1271828449E00	2.0317802857E00	2.0399577101E00	2.0320839973E00	2.0839252012E00	1.7873017100E00	7.7998439939E01	5.0536830697E-01	2.2163064699E00	7.7998440079E01	2.2171374339E00	2.1242812120E00	2.2161453030E00	2.1238142568E00	1.9566037039E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	5.6210960813E-01	6.2903005770E-01	1.4741610502E-01	1.5724398571E-01	0.0000000000E00	1.0097520504E-02	5.2644420705E-01	5.3053154621E-02	5.3053154621E-02	5.7669380738E-02	2.1855875142E00	2.1859051818E00	2.1657908161E00	2.1660438139E00	2.2056078620E00	2.1674328303E00	2.1674328303E00	2.1668774947E00	4.4732953657E-01	4.6890008797E-01	5.5193534822E-01	5.6394871770E-01	5.4261192598E-01	1.9625962208E00	1.9667862320E00	1.8698956275E00	1.8778993638E00	1.8702122754E00	1.9498369819E00	1.6607898205E00	7.7998439939E01	6.3892324477E-01	2.0735585147E00	7.7998440079E01	2.0743624903E00	1.9743142132E00	2.0731928522E00	1.9740777195E00	1.8058647811E00	
Caplet Vola Analytic Multi-Curve Ju	5.6661089365E-01	6.3355639991E-01	1.4828690933E-01	1.5875099208E-01	1.0097520504E-02	0.0000000000E00	5.2024817297E-01	4.3892689142E-02	4.3892689142E-02	4.9339454432E-02	2.1922852394E00	2.1926056427E00	2.1732290565E00	2.1734648389E00	2.2124842847E00	2.1747748518E00	2.1747748518E00	2.1741235786E00	4.4162629919E-01	4.6320299324E-01	5.4626010830E-01	5.5823874539E-01	5.3689770194E-01	1.9711961819E00	1.9750703864E00	1.8785192028E00	1.8866047205E00	1.8788379472E00	1.9545500103E00	1.6570481583E00	7.7998439939E01	6.4084547883E-01	2.0809951181E00	7.7998440079E01	2.0816994994E00	1.9811191415E00	2.0806900460E00	1.9808796229E00	1.8124397885E00	
Caplet Vola Analytic Multi-Curve Ho	1.0523423052E00	1.1088012794E00	6.4165762446E-01	6.1553611366E-01	5.2644420705E-01	5.2024817297E-01	0.0000000000E00	4.9283515399E-01	4.9283515399E-01	4.9346973167E-01	2.0768450812E00	2.0771324273E00	2.0556598150E00	2.0559489018E00	2.1156135971E00	2.0575382104E00	2.0575382104E00	2.0570317106E00	7.3318227364E-01	6.9895624820E-01	5.7142164516E-01	5.6187480555E-01	5.6423927825E-01	1.8342768655E00	1.8392697485E00	1.7385787568E00	1.7488598268E00	1.7388320972E00	1.7565630716E00	1.4682209401E00	7.7998439939E01	1.0425517247E00	1.9353459850E00	7.7998440079E01	1.9365001814E00	1.8168047008E00	1.9351298486E00	1.8163237892E00	1.6201636798E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	5.9419405141E-01	6.6095328877E-01	1.6192381523E-01	1.6978970900E-01	5.3053154621E-02	4.3892689142E-02	4.9283515399E-01	0.0000000000E00	0.0000000000E00	4.2629904070E-02	2.2344962724E00	2.2348009667E00	2.2151768755E00	2.2154100511E00	2.2546313562E00	2.2167001780E00	2.2167001780E00	2.2162053995E00	4.1616983600E-01	4.3784694718E-01	5.2129950171E-01	5.3316736420E-01	5.1172652215E-01	2.0195402939E00	2.0236388971E00	1.9300086227E00	1.9384900371E00	1.9302044955E00	1.9836108694E00	1.6900593466E00	7.7998439939E01	6.5283929424E-01	2.1204161869E00	7.7998440079E01	2.1213035587E00	2.0209094795E00	2.1202497285E00	2.0204180023E00	1.8454223217E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	5.9419405141E-01	6.6095328877E-01	1.6192381523E-01	1.6978970900E-01	5.3053154621E-02	4.3892689142E-02	4.9283515399E-01	0.0000000000E00	0.0000000000E00	4.2629904070E-02	2.2344962724E00	2.2348009667E00	2.2151768755E00	2.2154100511E00	2.2546313562E00	2.2167001780E00	2.2167001780E00	2.2162053995E00	4.1616983600E-01	4.3784694718E-01	5.2129950171E-01	5.3316736420E-01	5.1172652215E-01	2.0195402939E00	2.0236388971E00	1.9300086227E00	1.9384900371E00	1.9302044955E00	1.9836108694E00	1.6900593466E00	7.7998439939E01	6.5283929424E-01	2.1204161869E00	7.7998440079E01	2.1213035587E00	2.0209094795E00	2.1202497285E00	2.0204180023E00	1.8454223217E00	
Caplet Vola Monte-Carlo Multi-Curve	5.7885503666E-01	6.4537483329E-01	1.6173548406E-01	1.6759234842E-01	5.7669380738E-02	4.9339454432E-02	4.9346973167E-01	4.2629904070E-02	4.2629904070E-02	0.0000000000E00	2.2547825553E00	2.2550858917E00	2.2354863172E00	2.2357334514E00	2.2748355368E00	2.2371056157E00	2.2371056157E00	2.2364288593E00	4.1720530072E-01	4.3875750193E-01	5.2170074191E-01	5.3349443099E-01	5.1219170743E-01	2.0092346406E00	2.0143118899E00	1.9250921733E00	1.9334611959E00	1.9252857671E00	2.0046066301E00	1.6879404419E00	7.7998439939E01	6.4297059158E-01	2.1392519510E00	7.7998440079E01	2.1399929869E00	2.0357812543E00	2.1389326484E00	2.0355232011E00	1.8520530765E00	
