	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7987730221E-02	9.1919564379E-01	9.2947152263E-01	9.8596144942E-01	9.9076700798E-01	?	1.0165559809E00	1.0165559809E00	1.0075676714E00	2.0135658449E00	2.0137204580E00	2.0064220986E00	2.0065522232E00	?	2.0072437726E00	2.0072437726E00	2.0070162076E00	1.0528466493E00	1.0701573973E00	1.1427347859E00	1.1621377057E00	1.1442376383E00	1.9073745107E00	1.9100781185E00	1.8595060540E00	1.8652299136E00	1.8595401083E00	1.8780167299E00	1.7100751465E00	?	5.9781895776E-01	1.9638806954E00	?	1.9643832764E00	1.9288020737E00	1.9637012773E00	1.9284489791E00	1.7940853572E00	
Target (LIBOR)	5.7987730221E-02	0.0000000000E00	9.6444572797E-01	9.7445841227E-01	1.0293466423E00	1.0340237386E00	?	1.0591312728E00	1.0591312728E00	1.0503845636E00	2.0144512893E00	2.0145973801E00	2.0077006135E00	2.0078235933E00	?	2.0084771687E00	2.0084771687E00	2.0082621014E00	1.0942463005E00	1.1110676238E00	1.1814180865E00	1.2002371263E00	1.1828867308E00	1.9139319038E00	1.9164955360E00	1.8685139460E00	1.8739515901E00	1.8685463939E00	1.8860485700E00	1.7262427875E00	?	6.4996062308E-01	1.9674679787E00	?	1.9679435463E00	1.9342604517E00	1.9672982160E00	1.9339260299E00	1.8062736608E00	
Caplet Vola Analytic Single-Curve	9.1919564379E-01	9.6444572797E-01	0.0000000000E00	2.1320055142E-02	8.9270575794E-02	9.5129713065E-02	?	1.2674504721E-01	1.2674504721E-01	1.1586238041E-01	1.9676822488E00	1.9680857924E00	1.9492182249E00	1.9495542905E00	?	1.9513510928E00	1.9513510928E00	1.9507592910E00	2.4657630252E-01	2.6307209882E-01	3.4080409808E-01	3.6584061100E-01	3.4041698233E-01	1.7010179313E00	1.7074643447E00	1.5895110109E00	1.6025756266E00	1.5895691073E00	1.6340623198E00	1.2749251812E00	?	3.7387263414E-01	1.8404310858E00	?	1.8416695845E00	1.7545300769E00	1.8399799769E00	1.7536873980E00	1.4462709264E00	
Caplet Vola Monte-Carlo Single-Curve	9.2947152263E-01	9.7445841227E-01	2.1320055142E-02	0.0000000000E00	7.8405046271E-02	8.3943321532E-02	?	1.1459648680E-01	1.1459648680E-01	1.0329003170E-01	1.9667815488E00	1.9671856968E00	1.9481098205E00	1.9484499041E00	?	1.9502687832E00	1.9502687832E00	1.9496678484E00	2.3578712487E-01	2.5161960191E-01	3.2826967075E-01	3.5326795163E-01	3.2779288888E-01	1.6971191529E00	1.7036344717E00	1.5845777197E00	1.5977779911E00	1.5846402891E00	1.6290401034E00	1.2684323880E00	?	3.8693179039E-01	1.8379506880E00	?	1.8392129030E00	1.7511573515E00	1.8375047855E00	1.7503111224E00	1.4395142875E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	9.8596144942E-01	1.0293466423E00	8.9270575794E-02	7.8405046271E-02	0.0000000000E00	7.0811254934E-03	?	4.3395280569E-02	4.3395280569E-02	3.4354580201E-02	1.9587133716E00	1.9591498229E00	1.9387743214E00	1.9391380255E00	?	1.9410890877E00	1.9410890877E00	1.9404470965E00	1.9653415243E-01	2.0809749707E-01	2.6951033253E-01	2.9456578672E-01	2.6837122314E-01	1.6710312109E00	1.6779336020E00	1.5522689677E00	1.5662557250E00	1.5523463460E00	1.5963309021E00	1.2260458126E00	?	4.5731617581E-01	1.8206586868E00	?	1.8219890639E00	1.7286424916E00	1.8201746023E00	1.7277458928E00	1.3958098441E00	
Caplet Vola Analytic Multi-Curve Ju	9.9076700798E-01	1.0340237386E00	9.5129713065E-02	8.3943321532E-02	7.0811254934E-03	0.0000000000E00	?	3.6631587691E-02	3.6631587691E-02	2.8389847144E-02	1.9585079056E00	1.9589469437E00	1.9384567473E00	1.9388223117E00	?	1.9407841709E00	1.9407841709E00	1.9401386825E00	1.9367355540E-01	2.0452791954E-01	2.6446911971E-01	2.8927222556E-01	2.6322429826E-01	1.6693526269E00	1.6762834544E00	1.5500905619E00	1.5641276761E00	1.5501669446E00	1.5940735678E00	1.2227220261E00	?	4.6335991967E-01	1.8196528470E00	?	1.8209876063E00	1.7271538793E00	1.8191658589E00	1.7262540593E00	1.3927704339E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.0165559809E00	1.0591312728E00	1.2674504721E-01	1.1459648680E-01	4.3395280569E-02	3.6631587691E-02	?	0.0000000000E00	0.0000000000E00	1.8887144412E-02	1.9584088027E00	1.9588627872E00	1.9376787934E00	1.9380560032E00	?	1.9400804381E00	1.9400804381E00	1.9394141444E00	1.8365147125E-01	1.9028554345E-01	2.4029373617E-01	2.6299575815E-01	2.3837831242E-01	1.6607676096E00	1.6678746712E00	1.5384350483E00	1.5527528551E00	1.5385054932E00	1.5839841295E00	1.2034977300E00	?	4.9499018778E-01	1.8151636798E00	?	1.8165348917E00	1.7197568682E00	1.8146606539E00	1.7188319325E00	1.3785099639E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.0165559809E00	1.0591312728E00	1.2674504721E-01	1.1459648680E-01	4.3395280569E-02	3.6631587691E-02	?	0.0000000000E00	0.0000000000E00	1.8887144412E-02	1.9584088027E00	1.9588627872E00	1.9376787934E00	1.9380560032E00	?	1.9400804381E00	1.9400804381E00	1.9394141444E00	1.8365147125E-01	1.9028554345E-01	2.4029373617E-01	2.6299575815E-01	2.3837831242E-01	1.6607676096E00	1.6678746712E00	1.5384350483E00	1.5527528551E00	1.5385054932E00	1.5839841295E00	1.2034977300E00	?	4.9499018778E-01	1.8151636798E00	?	1.8165348917E00	1.7197568682E00	1.8146606539E00	1.7188319325E00	1.3785099639E00	
Caplet Vola Monte-Carlo Multi-Curve	1.0075676714E00	1.0503845636E00	1.1586238041E-01	1.0329003170E-01	3.4354580201E-02	2.8389847144E-02	?	1.8887144412E-02	1.8887144412E-02	0.0000000000E00	1.9588777658E00	1.9593252491E00	1.9383887317E00	1.9387618199E00	?	1.9407636066E00	1.9407636066E00	1.9400988939E00	1.8769823708E-01	1.9619230086E-01	2.4961361256E-01	2.7298836333E-01	2.4799941033E-01	1.6641773592E00	1.6712311171E00	1.5428817351E00	1.5570978544E00	1.5429564554E00	1.5882093617E00	1.2104315880E00	?	4.8383663537E-01	1.8172128469E00	?	1.8185645366E00	1.7228106397E00	1.8167184800E00	1.7219113329E00	1.3842799690E00	
