	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	9.0023865436E-02	9.5711834356E-01	9.6443104241E-01	1.0043686603E00	1.0074980627E00	?	1.0228058053E00	1.0224469311E00	1.0135056190E00	1.5246150635E00	1.5246728571E00	1.5219170673E00	1.5219638054E00	?	1.5221944671E00	1.5221884883E00	1.5220563423E00	1.0486681919E00	1.0597130024E00	1.1038310732E00	1.1156988986E00	1.1024161337E00	1.4851808873E00	1.4862145306E00	1.4660225065E00	1.4682744099E00	1.4656583954E00	1.4754760927E00	1.4030554619E00	?	6.9826202031E-01	1.5063184426E00	?	1.5065123884E00	1.4923894547E00	1.5062488404E00	1.4924255418E00	1.4425414327E00	
Target (LIBOR)	9.0023865436E-02	0.0000000000E00	1.0470143489E00	1.0543331800E00	1.0942353095E00	1.0973686013E00	?	1.1127087348E00	1.1123483482E00	1.1033825894E00	1.6146387303E00	1.6146965253E00	1.6119406527E00	1.6119873942E00	?	1.6122180751E00	1.6122120956E00	1.6120799374E00	1.1384400543E00	1.1495066016E00	1.1936645987E00	1.2055594554E00	1.1922511069E00	1.5751813982E00	1.5762161619E00	1.5560052932E00	1.5582618833E00	1.5556405684E00	1.5654441479E00	1.4928898567E00	?	7.8799404030E-01	1.5963391653E00	?	1.5965331387E00	1.5824095138E00	1.5962695634E00	1.5824456739E00	1.5324607691E00	
Caplet Vola Analytic Single-Curve	9.5711834356E-01	1.0470143489E00	0.0000000000E00	1.2168650340E-02	4.9051877884E-02	5.2021645720E-02	?	6.6468188044E-02	6.6147052398E-02	5.8167116923E-02	5.7125785453E-01	5.7131707960E-01	5.6853069611E-01	5.6857812062E-01	?	5.6881557988E-01	5.6880926905E-01	5.6867200032E-01	1.3048318769E-01	1.3768898983E-01	1.6904526210E-01	1.7962445244E-01	1.6690189726E-01	5.3037812706E-01	5.3143025871E-01	5.1104954967E-01	5.1332163925E-01	5.1067187989E-01	5.2094724155E-01	4.5082972869E-01	?	2.6214615641E-01	5.5242316248E-01	?	5.5261533565E-01	5.3841792719E-01	5.5235148608E-01	5.3846602854E-01	4.8768608263E-01	
Caplet Vola Monte-Carlo Single-Curve	9.6443104241E-01	1.0543331800E00	1.2168650340E-02	0.0000000000E00	4.2779086164E-02	4.5569048900E-02	?	5.9516314343E-02	5.9193115775E-02	5.0953563184E-02	5.6382913295E-01	5.6388708722E-01	5.6110818939E-01	5.6115556881E-01	?	5.6139305243E-01	5.6138671572E-01	5.6124866971E-01	1.2391453164E-01	1.3077794380E-01	1.6158605576E-01	1.7212845901E-01	1.5941970775E-01	5.2297794398E-01	5.2402996612E-01	5.0368857785E-01	5.0596226550E-01	5.0331197815E-01	5.1340968125E-01	4.4391144754E-01	?	2.6989273681E-01	5.4498089479E-01	?	5.4517582649E-01	5.3100025437E-01	5.4491232033E-01	5.3105096885E-01	4.8016193378E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0043686603E00	1.0942353095E00	4.9051877884E-02	4.2779086164E-02	0.0000000000E00	3.6170541134E-03	?	2.0805290685E-02	2.0329981246E-02	1.2950258097E-02	5.2549622547E-01	5.2555555887E-01	5.2276985381E-01	5.2281749091E-01	?	5.2305801961E-01	5.2305151962E-01	5.2291206193E-01	9.9770114767E-02	1.0447086139E-01	1.2777500779E-01	1.3824662901E-01	1.2536477337E-01	4.8425526387E-01	4.8531297965E-01	4.6493238977E-01	4.6723860335E-01	4.6455163063E-01	4.7378624852E-01	4.0668340222E-01	?	3.1016298213E-01	5.0639456327E-01	?	5.0658671788E-01	4.9241824437E-01	5.0632308845E-01	4.9247353127E-01	4.3997854079E-01	
Caplet Vola Analytic Multi-Curve Ju	1.0074980627E00	1.0973686013E00	5.2021645720E-02	4.5569048900E-02	3.6170541134E-03	0.0000000000E00	?	1.7399497945E-02	1.6906564419E-02	1.0293720064E-02	5.2228188140E-01	5.2234117872E-01	5.1955853644E-01	5.1960607661E-01	?	5.1984632827E-01	5.1983983003E-01	5.1970051705E-01	9.8031540773E-02	1.0238992199E-01	1.2502595770E-01	1.3536692504E-01	1.2259627662E-01	4.8109069014E-01	4.8214605976E-01	4.6180059771E-01	4.6410124731E-01	4.6142001082E-01	4.7056194962E-01	4.0365134262E-01	?	3.1338300952E-01	5.0318699837E-01	?	5.0337826378E-01	4.8922114288E-01	5.0311550204E-01	4.8927684702E-01	4.3679902889E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.0228058053E00	1.1127087348E00	6.6468188044E-02	5.9516314343E-02	2.0805290685E-02	1.7399497945E-02	?	0.0000000000E00	5.7713038054E-04	1.3184963830E-02	5.0605178634E-01	5.0611095627E-01	5.0333443360E-01	5.0338171395E-01	?	5.0362047168E-01	5.0361403442E-01	5.0347561390E-01	9.1835702150E-02	9.4296954545E-02	1.1276199464E-01	1.2204374207E-01	1.1034097026E-01	4.6512052057E-01	4.6616718522E-01	4.4593808345E-01	4.4820565345E-01	4.4556040154E-01	4.5482686991E-01	3.8788765268E-01	?	3.2856830204E-01	4.8705194085E-01	?	4.8724143243E-01	4.7309911594E-01	4.8698040626E-01	4.7315362821E-01	4.2144161758E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.0224469311E00	1.1123483482E00	6.6147052398E-02	5.9193115775E-02	2.0329981246E-02	1.6906564419E-02	?	5.7713038054E-04	0.0000000000E00	1.2755450292E-02	5.0645989168E-01	5.0651905855E-01	5.0374266713E-01	5.0378995097E-01	?	5.0402878113E-01	5.0402233895E-01	5.0388386618E-01	9.1875404557E-02	9.4390289288E-02	1.1298241760E-01	1.2231557375E-01	1.1055617856E-01	4.6551714223E-01	4.6656405595E-01	4.4633272671E-01	4.4860191189E-01	4.4595487626E-01	4.5519330835E-01	3.8830680008E-01	?	3.2823619200E-01	4.8745345075E-01	?	4.8764294381E-01	4.7350171278E-01	4.8738193170E-01	4.7355641660E-01	4.2178709773E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.0135056190E00	1.1033825894E00	5.8167116923E-02	5.0953563184E-02	1.2950258097E-02	1.0293720064E-02	?	1.3184963830E-02	1.2755450292E-02	0.0000000000E00	5.1614726298E-01	5.1620606090E-01	5.1342984222E-01	5.1347723514E-01	?	5.1371683442E-01	5.1371034986E-01	5.1356974880E-01	9.5657121567E-02	9.9462655986E-02	1.2042544858E-01	1.3044398655E-01	1.1800023994E-01	4.7502799511E-01	4.7608242512E-01	4.5577993357E-01	4.5807042790E-01	4.5540048421E-01	4.6450720499E-01	3.9780888320E-01	?	3.1947475000E-01	4.9707934786E-01	?	4.9726807569E-01	4.8312982597E-01	4.9700892747E-01	4.8319061580E-01	4.3086997105E-01	
