	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7142857143E-02	8.2936756216E-01	1.2275211088E00	8.9771687359E-01	9.0472464889E-01	?	9.3263906686E-01	9.3184895107E-01	8.9556163571E-01	1.9433999720E00	1.9634363668E00	1.9381680344E00	1.9386054072E00	?	1.9403583685E00	1.9403084798E00	1.9380541861E00	1.2547256905E00	1.3116916250E00	1.0361538148E00	1.0419319852E00	1.0493436300E00	1.7064469864E00	1.7302278284E00	1.5563060270E00	1.5547366115E00	1.5647617385E00	1.8391023904E00	1.6762308204E00	2.0000000000E00	5.8234151793E-01	1.9322693080E00	2.0000000000E00	1.9327337095E00	1.8915644866E00	1.9322499208E00	1.8974261567E00	1.7512604745E00	
Target (LIBOR)	5.7142857143E-02	0.0000000000E00	8.7612993716E-01	1.2625243194E00	9.4276916238E-01	9.4959434305E-01	?	9.7676803784E-01	9.7599918230E-01	9.4066981009E-01	1.9465023629E00	1.9654501343E00	1.9415529506E00	1.9419667328E00	?	1.9436250940E00	1.9435778987E00	1.9414452422E00	1.2887678318E00	1.3436564407E00	1.0773495315E00	1.0829553309E00	1.0901445410E00	1.7216204991E00	1.7442569441E00	1.5783573547E00	1.5768566575E00	1.5864416919E00	1.8477008051E00	1.6928367471E00	2.0000000000E00	6.3420829194E-01	1.9359718927E00	2.0000000000E00	1.9364113177E00	1.8974342127E00	1.9359535480E00	1.9029864945E00	1.7642649395E00	
Caplet Vola Analytic Single-Curve	8.2936756216E-01	8.7612993716E-01	0.0000000000E00	5.3408770537E-01	8.3981070324E-02	9.2757152249E-02	?	1.2802916294E-01	1.2702383147E-01	9.1206549825E-02	1.8658891157E00	1.9127572837E00	1.8537580172E00	1.8547704514E00	?	1.8588313044E00	1.8587156654E00	1.8534945305E00	5.7493041294E-01	6.6250449764E-01	2.6336765731E-01	3.3609635662E-01	2.8114576504E-01	1.3573255655E00	1.4048474895E00	1.0732688293E00	1.0979334388E00	1.0885708029E00	1.6320871369E00	1.2979798911E00	2.0000000000E00	2.8094887676E-01	1.8401335244E00	2.0000000000E00	1.8412041518E00	1.7476108875E00	1.8400888367E00	1.7607758613E00	1.4474908018E00	
Caplet Vola Monte-Carlo Single-Curve	1.2275211088E00	1.2625243194E00	5.3408770537E-01	0.0000000000E00	4.5521105972E-01	4.4686502727E-01	?	4.1312071735E-01	4.1408698236E-01	4.5776792474E-01	1.7736945406E00	1.8515449764E00	1.7537551155E00	1.7554159314E00	?	1.7620834321E00	1.7618934319E00	1.7533229849E00	1.3403155527E-01	1.5290470125E-01	2.8249193496E-01	2.9323839734E-01	2.7078672617E-01	1.0054601404E00	1.0718071680E00	6.3539548603E-01	7.1007542322E-01	6.5086676374E-01	1.4039466743E00	9.2403567736E-01	2.0000000000E00	7.8556771006E-01	1.7314631519E00	2.0000000000E00	1.7332109851E00	1.5828791156E00	1.7313902122E00	1.6037281473E00	1.1322314646E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	8.9771687359E-01	9.4276916238E-01	8.3981070324E-02	4.5521105972E-01	0.0000000000E00	8.7932063543E-03	?	4.4414485899E-02	4.3404253860E-02	3.1283565393E-02	1.8545601447E00	1.9052904903E00	1.8414463051E00	1.8425404909E00	?	1.8469297339E00	1.8468047328E00	1.8411615505E00	4.9694791033E-01	5.8668388285E-01	1.8986667705E-01	2.6868117821E-01	2.0713613092E-01	1.3106959393E00	1.3610096000E00	1.0120938426E00	1.0440285454E00	1.0280864798E00	1.6030358636E00	1.2480088530E00	2.0000000000E00	3.6278999517E-01	1.8267263758E00	2.0000000000E00	1.8278827666E00	1.7269959911E00	1.8266781095E00	1.7411619988E00	1.4062461956E00	
Caplet Vola Analytic Multi-Curve Ju	9.0472464889E-01	9.4959434305E-01	9.2757152249E-02	4.4686502727E-01	8.7932063543E-03	0.0000000000E00	?	3.5656352614E-02	3.4643144281E-02	3.2672598335E-02	1.8533227173E00	1.9044739887E00	1.8401019314E00	1.8412050112E00	?	1.8456299857E00	1.8455039658E00	1.8398148630E00	4.8868856759E-01	5.7863694926E-01	1.8383955888E-01	2.6165192152E-01	2.0125400453E-01	1.3056647512E00	1.3562742435E00	1.0055378448E00	1.0385827485E00	1.0216021393E00	1.5998805664E00	1.2426247876E00	2.0000000000E00	3.7128709196E-01	1.8252628693E00	2.0000000000E00	1.8264285843E00	1.7247507285E00	1.8252142139E00	1.7390250834E00	1.4017864062E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	9.3263906686E-01	9.7676803784E-01	1.2802916294E-01	4.1312071735E-01	4.4414485899E-02	3.5656352614E-02	?	0.0000000000E00	1.0698065452E-03	5.6114971991E-02	1.8482406854E00	1.9011187524E00	1.8345814939E00	1.8357210281E00	?	1.8402924653E00	1.8401622692E00	1.8342849423E00	4.5527928339E-01	5.4605440418E-01	1.6504840169E-01	2.4182974680E-01	1.8241597234E-01	1.2851279027E00	1.3369340501E00	9.7886609275E-01	1.0161156540E00	9.9521719883E-01	1.5869586088E00	1.2206629503E00	2.0000000000E00	4.0533311716E-01	1.8192542308E00	2.0000000000E00	1.8204581495E00	1.7155428251E00	1.8192039815E00	1.7302601184E00	1.3835624452E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	9.3184895107E-01	9.7599918230E-01	1.2702383147E-01	4.1408698236E-01	4.3404253860E-02	3.4643144281E-02	?	1.0698065452E-03	0.0000000000E00	5.5042840694E-02	1.8483879959E00	1.9012160525E00	1.8347414938E00	1.8358799729E00	?	1.8404471711E00	1.8403170959E00	1.8344452167E00	4.5623630020E-01	5.4698846378E-01	1.6528106287E-01	2.4206676313E-01	1.8263952294E-01	1.2857203618E00	1.3374922329E00	9.7963353376E-01	1.0167763108E00	9.9597649297E-01	1.5873323445E00	1.2212961715E00	2.0000000000E00	4.0436504390E-01	1.8194283578E00	2.0000000000E00	1.8206311711E00	1.7158094310E00	1.8193781545E00	1.7305139310E00	1.3840886203E00	
Caplet Vola Monte-Carlo Multi-Curve	8.9556163571E-01	9.4066981009E-01	9.1206549825E-02	4.5776792474E-01	3.1283565393E-02	3.2672598335E-02	?	5.6114971991E-02	5.5042840694E-02	0.0000000000E00	1.8549377156E00	1.9055395896E00	1.8418565237E00	1.8429479943E00	?	1.8473263293E00	1.8472016392E00	1.8415724754E00	4.9947791378E-01	5.8914818523E-01	1.9812392048E-01	2.7490880749E-01	2.1127778664E-01	1.3122334904E00	1.3624565342E00	1.0140991040E00	1.0451697494E00	1.0300697323E00	1.6039993238E00	1.2496545418E00	2.0000000000E00	3.6018072597E-01	1.8271729651E00	2.0000000000E00	1.8283265092E00	1.7276813303E00	1.8271248176E00	1.7418142397E00	1.4076087502E00	
