	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	6.6665034943E-02	8.7197509696E-03	5.9185602587E-02	2.3741675365E00	2.3767145557E00	?	3.2951996677E-02	3.2951996677E-02	4.7908545976E-02	2.5130812479E00	2.5145818368E00	2.4813292459E00	2.4814982850E00	?	2.5076227405E00	2.5076227405E00	2.5107492288E00	8.5130834137E-01	9.0515147303E-01	7.4799337504E-01	8.2458466182E-01	8.4026385493E-01	2.0683852920E00	2.0891226263E00	2.0364417393E00	2.0777169668E00	2.0725361137E00	2.2638070812E00	1.8755133269E00	7.7999841139E01	6.0854199774E-01	2.4516665799E00	7.7999995694E01	2.4520651800E00	2.4333720791E00	2.4500015669E00	2.4292627806E00	2.0809701324E00	
Target (LIBOR)	6.6665034943E-02	0.0000000000E00	6.8876343399E-02	1.2162200742E-01	2.3148478522E00	2.3172919942E00	?	5.5198714799E-02	5.5198714799E-02	1.1185665400E-01	2.5173321620E00	2.5187607793E00	2.4870702830E00	2.4872314689E00	?	2.5121360587E00	2.5121360587E00	2.5151134167E00	8.9760608735E-01	9.5114429506E-01	7.9615248144E-01	8.7237372408E-01	8.8787667232E-01	2.0848537657E00	2.1048428106E00	2.0540506100E00	2.0938790256E00	2.0888747681E00	2.2787626826E00	1.8991577803E00	7.7999841139E01	5.5096720760E-01	2.4587626195E00	7.7999995694E01	2.4591425584E00	2.4413231642E00	2.4569370466E00	2.4373748657E00	2.1023510595E00	
Caplet Vola Analytic Single-Curve	8.7197509696E-03	6.8876343399E-02	0.0000000000E00	6.1822172633E-02	2.3695377107E00	2.3720794192E00	?	3.6854311201E-02	3.6854311201E-02	5.0377807132E-02	2.5088280959E00	2.5103264600E00	2.4771388754E00	2.4773075895E00	?	2.5033766499E00	2.5033766499E00	2.5064979691E00	8.5377196749E-01	9.0766943037E-01	7.5042897811E-01	8.2709506568E-01	8.4278499708E-01	2.0730552242E00	2.0938302425E00	2.0410589937E00	2.0824124440E00	2.0772191743E00	2.2600561501E00	1.8789807585E00	7.7999841139E01	6.0612040339E-01	2.4475382830E00	7.7999995694E01	2.4479364601E00	2.4292626551E00	2.4456259195E00	2.4251319224E00	2.0760857253E00	
Caplet Vola Monte-Carlo Single-Curve	5.9185602587E-02	1.2162200742E-01	6.1822172633E-02	0.0000000000E00	2.3961137379E00	2.3986994739E00	?	8.8796235678E-02	8.8796235678E-02	4.1394588691E-02	2.5261996086E00	2.5273995689E00	2.4939812787E00	2.4941446825E00	?	2.5209000548E00	2.5209000548E00	2.5237938598E00	7.9896792590E-01	8.5194301374E-01	6.9570825169E-01	7.7109267572E-01	7.8662692227E-01	2.1061787872E00	2.1276423830E00	2.0731761338E00	2.1159072947E00	2.1105203958E00	2.2675209453E00	1.8904736687E00	7.7999841139E01	6.1150290912E-01	2.4675987155E00	7.7999995694E01	2.4682304304E00	2.4474781426E00	2.4666710602E00	2.4437348764E00	2.0978966658E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	2.3741675365E00	2.3148478522E00	2.3695377107E00	2.3961137379E00	0.0000000000E00	8.0327079347E-03	?	2.3502848689E00	2.3502848689E00	2.3983747458E00	3.9636527728E00	3.9647297155E00	3.9280599323E00	3.9281657376E00	?	3.9612971431E00	3.9612971431E00	3.9634586725E00	2.4955108715E00	2.5611762295E00	2.4605489125E00	2.5462352970E00	2.5474781624E00	3.6444441786E00	3.6662904237E00	3.6189852738E00	3.6599003396E00	3.6531134578E00	3.5305677925E00	3.4936455817E00	7.7999841139E01	1.6154487290E00	3.8928410058E00	7.7999995694E01	3.8916037750E00	3.8867616271E00	3.8913269534E00	3.8841115997E00	3.3649632192E00	
Caplet Vola Analytic Multi-Curve Ju	2.3767145557E00	2.3172919942E00	2.3720794192E00	2.3986994739E00	8.0327079347E-03	0.0000000000E00	?	2.3527916631E00	2.3527916631E00	2.4009670420E00	3.9697108746E00	3.9707904603E00	3.9340325655E00	3.9341386929E00	?	3.9673486686E00	3.9673486686E00	3.9695159190E00	2.4983294992E00	2.5641153669E00	2.4632928624E00	2.5491387137E00	2.5503928732E00	3.6496828922E00	3.6715850133E00	3.6241527496E00	3.6651768841E00	3.6583725207E00	3.5357230613E00	3.4984601345E00	7.7999841139E01	1.6168613362E00	3.8987285806E00	7.7999995694E01	3.8974896420E00	3.8926328451E00	3.8972112636E00	3.8899758459E00	3.3697266952E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	3.2951996677E-02	5.5198714799E-02	3.6854311201E-02	8.8796235678E-02	2.3502848689E00	2.3527916631E00	?	0.0000000000E00	0.0000000000E00	7.5413008054E-02	2.4940021045E00	2.4954682405E00	2.4630422595E00	2.4632071520E00	?	2.4886642506E00	2.4886642506E00	2.4917167111E00	8.7261699972E-01	9.2647003295E-01	7.6989438449E-01	8.4651726514E-01	8.6215776811E-01	2.0666815976E00	2.0897194976E00	2.0331135118E00	2.0739803790E00	2.0719700496E00	2.2506549081E00	1.8944855645E00	7.7999841139E01	5.9471155264E-01	2.4341232483E00	7.7999995694E01	2.4345136461E00	2.4162021364E00	2.4322491781E00	2.4121577920E00	2.0665544574E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	3.2951996677E-02	5.5198714799E-02	3.6854311201E-02	8.8796235678E-02	2.3502848689E00	2.3527916631E00	?	0.0000000000E00	0.0000000000E00	7.5413008054E-02	2.4940021045E00	2.4954682405E00	2.4630422595E00	2.4632071520E00	?	2.4886642506E00	2.4886642506E00	2.4917167111E00	8.7261699972E-01	9.2647003295E-01	7.6989438449E-01	8.4651726514E-01	8.6215776811E-01	2.0666815976E00	2.0897194976E00	2.0331135118E00	2.0739803790E00	2.0719700496E00	2.2506549081E00	1.8944855645E00	7.7999841139E01	5.9471155264E-01	2.4341232483E00	7.7999995694E01	2.4345136461E00	2.4162021364E00	2.4322491781E00	2.4121577920E00	2.0665544574E00	
Caplet Vola Monte-Carlo Multi-Curve	4.7908545976E-02	1.1185665400E-01	5.0377807132E-02	4.1394588691E-02	2.3983747458E00	2.4009670420E00	?	7.5413008054E-02	7.5413008054E-02	0.0000000000E00	2.5351219589E00	2.5361646173E00	2.5027071299E00	2.5028671234E00	?	2.5298532211E00	2.5298532211E00	2.5325009871E00	8.1052578298E-01	8.6397867452E-01	7.0672778005E-01	7.8276079225E-01	7.9840933009E-01	2.1460251728E00	2.1679848067E00	2.1123119169E00	2.1560518071E00	2.1505147387E00	2.2738334860E00	1.9260641114E00	7.7999841139E01	6.0178109415E-01	2.4797487803E00	7.7999995694E01	2.4803844620E00	2.4590832717E00	2.4788118530E00	2.4557170121E00	2.1067910262E00	
