Time	F	S	L	N	E(L/N)
0.0	0.0010000030000364007	0.002535956492391625	0.003535959492428026	1.0005000015000183	0.003535959492428026
0.5	0.0018602888847462486	0.003124240227759808	0.004984529112506057	1.001416032194795	0.0048759699012437254
1.0	0.002864878710724824	0.0031972467657431307	0.006062125476467954	1.0029227031191206	0.005683439839643211
1.5	0.004438408048398881	0.003652210938399285	0.008090618986798167	1.0054040945571165	0.007178829563567241
2.0	0.007757846547750512	0.003277380170264522	0.011035226718015035	1.0099122561648255	0.009199366605732024
2.5	0.010950661156274124	0.003352372690677406	0.01430303384695153	1.0167481491150083	0.010934096869407618
3.0	0.01509972461544018	0.0034252277357814586	0.018524952351221636	1.0272911222435352	0.01266508108955534
3.5	0.020271287025537155	0.0038035098526512214	0.024074796878188375	1.0461032307718658	0.01435953773409686
4.0	0.027537142775526227	0.004734874430555535	0.03227201720608176	1.115682024789387	0.01612633473205121
4.5	0.03734784340337546	0.006862894000302203	0.04421073740367766	2.1659173164152685	0.017833295554884075
5.0	0.053073641360242826	0.013213050854666515	0.06628669221490935	33.43789388435615	0.01955733973809764
5.5	0.08127296403210109	0.04404055318538827	0.12531351721748935	2430.1934312670523	0.021146256867320797
6.0	0.13916595634679632	0.27638560872306567	0.41555156506986196	494464.35278229055	0.022572266150678335
6.5	0.28915520954386675	3.661024359994395	3.9501795695382618	2.83050937522029E8	0.02398137495157033
7.0	0.7584667579013212	93.67669029940058	94.43515705730191	3.553330410190517E11	0.025211274500477058
7.5	2.020073072432016	4106.687279391296	4108.707352463727	1.4966748814144195E15	0.02633832227719647
8.0	6.921482995764112	299079.0126974219	299085.9341804177	4.229638221199956E19	0.027206519233792033
8.5	19.67559162214392	1.5707207801678516E7	1.5707227477270138E7	4.753907149558002E24	0.02790808691558022
9.0	52.72163028330272	1.1969131206576822E9	1.1969131733793128E9	1.2020300333462415E30	0.028549063850323637
9.5	139.0720783406745	1.1518946468218163E11	1.1518946482125368E11	5.329610335532232E35	0.029309676887032014
10.0	315.63181330932133	1.7341061763725324E13	1.7341061764040957E13	4.427200365974885E41	0.029906436333650532
10.5	737.788346715893	2.091706876662057E15	2.0917068766627945E15	4.216404699856782E47	0.030383701226981533
11.0	1537.4392065589907	5.553622580767554E15	5.553622580769092E15	4.343550938867374E53	0.030709357464192327
11.5	3334.8102272643064	1.4856852294287762E16	1.4856852294291096E16	1.1072882138184206E60	0.031055221434918245
12.0	6244.375246368856	3.8903933466607464E16	3.8903933466613712E16	3.4112742074183325E66	0.03130086417187778
12.5	11287.879365542301	9.874271092507344E16	9.874271092508472E16	6.6349336816163634E72	0.031223511423669678
13.0	21649.135072395395	1.96087637413055264E17	1.96087637413076896E17	4.062812014686578E78	0.03114173795143061
13.5	40489.38363512737	3.5540909928736435E17	3.5540909928740486E17	3.222004462422877E84	0.031052983625447728
14.0	64504.837511519254	5.7245223713068026E17	5.7245223713074477E17	1.0603375462774287E92	0.03078177054684637
14.5	105908.93608674938	8.3506162290986342E17	8.3506162290996928E17	7.2374317963788E99	0.030382539099937475
15.0	153118.01162056345	1.14765913563380352E18	1.14765913563395674E18	5.3168714300446216E107	0.02988281788106251
15.5	221193.89652558346	1.48551840921833421E18	1.48551840921855514E18	4.620078825886521E115	0.0296876084386645
16.0	296538.8975993598	1.84439205632728192E18	1.84439205632757862E18	4.506767974041099E123	0.029478553980107285
16.5	374074.64189827675	2.28640776062146483E18	2.2864077606218391E18	3.4741205873249354E131	0.02919394115611106
17.0	482816.33636771695	2.7692056309159982E18	2.769205630916481E18	5.558046431306273E139	0.028774898005664736
17.5	543958.1309559712	3.1989990727952968E18	3.1989990727958405E18	7.640424610845022E147	0.02849970277297327
18.0	655651.6400526788	3.6504172311559634E18	3.6504172311566188E18	4.520814703684323E155	0.02794149356898445
18.5	761470.3310452255	4.1704032731939599E18	4.1704032731947213E18	1.4092237856570438E163	0.027817412640728508
19.0	873924.7079696567	4.7071798489886372E18	4.7071798489895107E18	2.552431556521496E170	0.027563153170236568
19.5	999793.7373846448	5.1676931987656028E18	5.1676931987666022E18	3.5388402870007447E177	0.02732154719975465
